pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CH,2025-09-05,86.4,1.32,5.89,"Alexander, Blaze",665966,593958,field_out,hit_into_play,,,,,5.0,Carlos Narváez flies out to center fielder Blaze Alexander.,R,R,L,AZ,BOS,X,8,fly_ball,0,1,2025,1.09,0.77,0.26,2.53,,,,0,5,Top,136.45,91.14,,,,,-4.778005867097647,-125.65349415534234,-3.3374871502063552,12.561961457548108,26.57443620439013,-23.51136932895317,3.61,1.64,270.0,76.4,33.0,86.5,1909.0,6.5,776448,672515,682988,606466,691783,672695,678489,677942,682998,53.99,0.183,0.198,0.0,1.0,0,0,3.0,39,2,Changeup,5,1,1,5,1,5,1,5,Infield shade,Standard,132.0,0.016,-0.22,76.1,8.4,0.259,0.22,88.0,4,-4,0.905,0.095,32,26,32,27,2,1,6.0,3.0,5.0,1.0,2.29,1.09,-1.09,39.8,25.86850133265963,-16.886000130597814,32.870987196448915,41.32086934123141,46.25572972855105,1,27.652754905105684,268.58020244641665,3.8421969677146057,0.0,313.0,52.323926348690385
FF,2025-09-05,92.2,1.25,5.82,"Alexander, Blaze",681987,593958,field_out,hit_into_play,,,,,2.0,Nate Eaton lines out sharply to center fielder Blaze Alexander.,R,R,L,AZ,BOS,X,8,line_drive,0,0,2025,0.39,1.07,0.27,2.96,,,663993.0,1,4,Top,144.92,62.78,,,,,-3.332119963472745,-134.32861667497383,-3.8438128732583,5.437923772807944,27.025991951399806,-18.524332652490813,3.45,1.66,341.0,106.8,16.0,92.8,2281.0,6.4,776448,672515,682988,606466,691783,672695,678489,677942,682998,54.1,0.626,0.716,0.0,1.0,0,0,5.0,33,1,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,158.0,0.02,-0.256,72.1,6.6,1.098,0.256,106.8,4,-4,0.884,0.116,32,28,32,29,2,1,6.0,2.0,5.0,1.0,1.59,0.39,-0.39,39.3,-1.5501802248232588,6.923369676648794,29.50882304472833,38.323088634421175,29.543263990446288,1,48.57690103359149,337.5222728739137,2.751668006443768,0.0,313.0,54.415596853567884
CH,2025-09-05,87.8,1.28,5.8,"Alexander, Blaze",663853,593958,single,hit_into_play,,,,,6.0,"Romy Gonzalez singles on a line drive to center fielder Blaze Alexander. Carlos Narváez out at home on the throw, center fielder Blaze Alexander to catcher Gabriel Moreno. Alex Bregman to 2nd.",R,R,L,AZ,BOS,X,8,line_drive,1,2,2025,1.2,0.44,0.66,2.62,,665966.0,608324.0,2,3,Top,117.29,97.19,,,,,-4.011807391357781,-127.88732019545456,-2.513448138362351,14.019942335115424,26.414530329554218,-27.03097473746429,3.62,1.74,194.0,89.3,11.0,88.4,1729.0,6.6,776448,672515,682988,606466,691783,672695,678489,677942,682998,53.88,0.603,0.547,0.9,1.0,1,0,4.0,24,8,Changeup,2,1,1,2,1,2,1,2,Standard,Standard,132.0,0.05,0.635,77.9,7.1,0.664,-0.635,89.3,1,-1,0.623,0.377,32,28,32,29,2,1,6.0,2.0,5.0,1.0,2.51,1.2,-1.2,39.8,6.432413102819536,2.0456131877042467,23.846626533483093,45.6544976401271,26.899291338728325,0,-15.553452154459263,193.37551583920583,1.6654564632588147,0.0,313.0,120.63136857657359
FF,2025-09-05,93.7,1.28,5.79,"Alexander, Blaze",608324,593958,single,hit_into_play,,,,,8.0,Alex Bregman singles on a sharp line drive to center fielder Blaze Alexander. Carlos Narváez to 2nd.,R,R,L,AZ,BOS,X,8,line_drive,3,2,2025,0.58,1.18,-0.12,2.12,,,665966.0,1,3,Top,110.24,85.97,,,,,-4.912476688901621,-136.36683431548434,-6.389052443893787,8.267125638245291,28.30021231172936,-16.29775546814191,3.34,1.6,211.0,102.2,9.0,94.3,2380.0,6.5,776448,672515,682988,606466,691783,672695,678489,677942,682998,53.97,0.754,0.712,0.9,1.0,1,0,4.0,22,6,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,155.0,-0.043,0.344,72.3,6.8,0.883,-0.344,102.2,1,-1,0.614,0.386,32,31,32,31,2,1,6.0,2.0,5.0,1.0,1.41,0.58,-0.58,39.9,8.805519083552515,3.432588469663992,29.52556731210067,32.6281107142963,24.401559979701467,0,-28.26458336400935,209.09833410923906,1.575937826310319,0.0,313.0,107.67749461988957
FF,2025-09-05,92.6,1.29,5.89,"Alexander, Blaze",680776,593958,field_out,hit_into_play,,,,,6.0,Jarren Duran lines out sharply to center fielder Blaze Alexander.,R,L,L,AZ,BOS,X,8,line_drive,3,2,2025,0.63,0.96,0.28,2.27,,,665966.0,0,3,Top,127.29,72.05,,,,,-3.945171512846639,-134.8024040799065,-5.599530599328633,8.520767265899757,26.882798250132616,-19.468749712799283,3.5,1.63,315.0,109.3,12.0,93.2,2345.0,6.5,776448,672515,682988,606466,691783,672695,678489,677942,682998,54.05,0.894,0.882,0.0,1.0,0,0,5.0,21,9,4-Seam Fastball,2,1,1,2,1,2,1,2,Infield shade,Standard,161.0,0.04,-0.314,76.2,7.0,1.169,0.314,109.3,1,-1,0.574,0.426,32,28,32,29,2,1,6.0,2.0,5.0,1.0,1.68,0.63,0.63,42.8,-5.370045842296688,-1.3213297409512408,29.70649049852842,34.47328073191628,32.024473196422335,1,4.666339435458819,314.9654350500592,2.1582426738175857,0.0,313.0,5.0633643620540925
CU,2025-09-05,80.5,0.93,6.31,"Alexander, Blaze",608701,685314,double,hit_into_play,,,,,6.0,Rob Refsnyder doubles (11) on a sharp fly ball to center fielder Blaze Alexander. Trevor Story scores.,R,R,L,AZ,BOS,X,8,fly_ball,1,2,2025,-0.74,-0.83,0.56,2.49,596115.0,,,1,8,Top,140.15,22.55,,,,,0.5675596936939488,-117.28554014780777,-0.1897915661082458,-6.864822239565074,23.710557972389765,-40.03062998245541,3.55,1.63,400.0,103.0,23.0,80.1,2190.0,6.1,776448,672515,682988,606466,691783,672695,678489,677942,682998,54.38,0.74,1.206,1.25,1.0,1,1,6.0,65,4,Curveball,6,4,4,6,5,6,5,6,Infield shade,Standard,336.0,-0.117,0.681,71.1,7.9,2.178,-0.681,103.0,2,-2,0.822,0.178,27,34,28,34,1,3,2.0,2.0,5.0,2.0,4.36,-0.74,0.74,46.8,9.73111752524894,0.7494843423183786,25.6841826484283,44.84143813340752,26.06328709380304,0,33.413426180174255,398.60198563341606,3.7193413054290496,0.0,313.0,91.89209429260781
SI,2025-09-02,87.8,-2.53,5.74,"Alexander, Blaze",694671,622503,sac_fly,hit_into_play,,,,,1.0,Wyatt Langford out on a sacrifice fly to center fielder Blaze Alexander. Michael Helman scores.,R,R,R,AZ,TEX,X,8,fly_ball,1,0,2025,-1.24,0.67,-0.73,2.98,680737.0,,,1,3,Top,115.56,76.15,,,,,6.996588597155026,-127.74820669214216,-1.9808504393030804,-15.036893870180142,25.521780295716265,-24.61082347671661,3.36,1.59,307.0,86.2,39.0,88.8,2145.0,6.8,776481,672515,682988,545121,691783,672695,678489,677942,682998,53.68,0.011,0.015,0.0,1.0,0,0,3.0,19,2,Sinker,0,0,0,0,1,0,1,0,Strategic,Standard,216.0,-0.023,-0.151,73.1,5.9,0.025,0.151,88.0,0,0,0.443,0.557,30,23,31,24,2,1,5.0,1.0,6.0,1.0,2.28,1.24,1.24,37.4,11.442770745316007,1.1385985491436492,31.42202172299837,25.966529948663325,27.228712344259307,1,-24.706857390846487,306.00420127486547,4.983210100327961,0.0,313.0,25.678200909219083
CH,2025-09-02,79.8,-2.7,5.62,"Alexander, Blaze",696030,622503,single,hit_into_play,,,,,4.0,Alejandro Osuna singles on a line drive to center fielder Blaze Alexander. Cody Freeman to 2nd.,R,L,R,AZ,TEX,X,8,line_drive,0,1,2025,-1.12,0.44,-0.83,2.47,,,683227.0,1,2,Top,150.43,87.54,,,,,6.2426521265607615,-116.0811765429886,-1.0265412898738628,-11.25222311093706,21.41732056197441,-28.23614977690256,3.36,1.48,222.0,90.6,11.0,80.3,1418.0,6.6,776481,672515,682988,545121,691783,672695,678489,677942,682998,53.89,0.689,0.66,0.9,1.0,1,0,4.0,11,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,252.0,-0.037,0.448,75.9,7.3,0.783,-0.448,90.6,0,0,0.497,0.503,30,22,31,23,1,0,5.0,1.0,6.0,1.0,3.14,1.12,-1.12,32.8,6.446287949250249,-3.9239873240260303,22.516680644785428,40.9791859911692,31.67814377125746,0,48.909918145507504,216.54519137353236,1.686663677788787,0.0,313.0,108.14670683922252
FF,2025-09-01,97.0,-0.83,6.32,"Alexander, Blaze",642133,669194,field_out,hit_into_play,,,,,2.0,Rowdy Tellez lines out to center fielder Blaze Alexander.,R,L,R,AZ,TEX,X,8,line_drive,2,2,2025,0.05,1.52,0.14,3.41,,,,2,6,Top,84.79,72.09,,,,,2.502883856334019,-141.2437207220489,-5.812540962675082,0.0614470988852277,31.313722669416887,-10.664109418239596,3.63,1.66,331.0,92.8,24.0,98.5,2347.0,7.0,776495,672515,682988,606466,691783,672695,666971,677942,682998,53.47,0.151,0.188,0.0,1.0,0,0,3.0,42,5,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,179.0,0.016,-0.224,74.7,7.2,0.298,0.224,92.8,0,0,0.558,0.442,27,30,27,30,3,2,5.0,1.0,6.0,1.0,0.89,-0.05,0.05,62.0,8.573836231498646,8.859710583309816,22.97518235622127,34.4286146341981,23.213776760698856,1,-101.45229585731818,315.0689316090674,3.4946248490618186,0.0,313.0,101.47338967790431
FF,2025-09-01,96.0,-0.92,6.29,"Alexander, Blaze",673962,669194,single,hit_into_play,,,,,11.0,Josh Jung singles on a fly ball to center fielder Blaze Alexander.,R,R,R,AZ,TEX,X,8,fly_ball,2,2,2025,-0.24,1.53,-0.89,3.73,,,,0,5,Top,110.93,100.78,,,,,0.6267547774684455,-139.8081426115076,-4.660885609422846,-3.3403611909382014,32.19763535034934,-11.306032317376983,3.73,1.74,220.0,65.4,31.0,96.8,2136.0,6.8,776495,672515,682988,606466,691783,672695,666971,677942,682998,53.73,0.894,0.805,0.9,1.0,1,0,4.0,30,5,4-Seam Fastball,3,2,2,3,2,3,2,3,Standard,Standard,189.0,-0.052,0.465,63.1,5.6,0.929,-0.465,88.0,1,-1,0.644,0.356,27,27,27,27,2,1,5.0,1.0,6.0,1.0,0.95,0.24,0.24,55.7,6.603699978645707,5.294815578261491,30.640603001604543,20.63278643851796,25.925087132812223,0,-32.34343935499928,217.60951709585103,3.130525133409054,0.0,313.0,100.72458636299903
