pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CU,2025-09-26,81.2,-2.56,5.83,"Bellinger, Cody",683002,701542,field_out,hit_into_play,,,,,8.0,Gunnar Henderson flies out to center fielder Cody Bellinger.,R,L,R,NYY,BAL,X,8,fly_ball,1,0,2025,0.8,-0.71,-0.12,2.18,,,676059.0,2,5,Top,105.86,87.29,,,,,3.9464039372235353,-118.2588387982849,-0.1701976647604064,6.724066828053008,23.297945688803274,-39.05263749653802,3.65,1.74,282.0,94.9,47.0,81.5,2724.0,6.5,776174,669224,502671,676609,642708,683011,596103,641355,592450,53.96,0.003,0.005,0.0,1.0,0,0,3.0,39,2,Curveball,6,3,3,6,3,6,3,6,Standard,Standard,52.0,0.021,-0.307,78.2,7.7,0.011,0.307,94.9,3,-3,0.871,0.129,26,24,26,24,3,2,7.0,1.0,9.0,1.0,4.17,-0.8,0.8,37.1,15.717831343818933,-7.928089069092933,28.815768169707685,36.202010809203074,40.504301320828496,1,-48.9475055001417,277.71953785305345,6.3570956363982924,0.0,318.0,63.39064540969745
FF,2025-09-26,92.2,-2.48,5.72,"Bellinger, Cody",681297,701542,double,hit_into_play,,,,,5.0,Colton Cowser doubles (14) on a sharp line drive to center fielder Cody Bellinger.,R,L,R,NYY,BAL,X,8,line_drive,0,0,2025,-0.87,1.31,-0.08,2.46,,,,2,4,Top,156.35,39.72,,,,,7.98924835611001,-133.94889194489124,-5.286378021641586,-12.200773050192772,30.245056288845543,-15.394982962171325,3.47,1.67,345.0,107.8,17.0,92.1,2646.0,6.4,776174,669224,502671,676609,642708,683011,596103,641355,592450,54.08,0.649,0.798,1.25,1.0,1,1,6.0,31,1,4-Seam Fastball,6,3,3,6,3,6,3,6,Infield shade,Standard,227.0,-0.02,0.58,75.7,6.8,1.259,-0.58,107.8,3,-3,0.86,0.14,26,25,26,25,2,1,7.0,1.0,9.0,1.0,1.39,0.87,-0.87,28.9,11.87164323860363,0.5727457941260238,45.63826853671381,37.14345677077715,31.85613367665151,0,66.05752534225789,338.61689760798555,2.9369906979066114,0.0,318.0,69.20009480716918
FC,2025-09-19,90.8,-1.35,5.7,"Bellinger, Cody",694212,643410,field_out,hit_into_play,,,,,8.0,Samuel Basallo flies out to center fielder Cody Bellinger.,R,L,R,BAL,NYY,X,8,fly_ball,3,1,2025,0.15,0.69,0.1,1.77,,,666185.0,1,8,Bot,129.52,73.25,,,,,3.321841974553112,-132.21473616051472,-5.447524758292922,1.1389270484687444,27.205118597975765,-23.10430043156331,3.5,1.66,313.0,85.0,32.0,91.6,2167.0,6.7,776273,669224,700250,665862,642708,683011,596103,641355,592450,53.84,0.02,0.024,0.0,1.0,0,0,3.0,65,5,Cutter,4,2,4,2,2,4,4,2,Infield shade,Standard,196.0,-0.007,-0.407,82.3,7.3,0.041,0.407,88.0,2,2,0.943,0.943,34,20,34,21,1,3,3.0,1.0,7.0,2.0,2.06,-0.15,0.15,43.7,5.8474873802514935,3.010654068797379,37.97641476968439,30.36660666322333,34.95160836382514,1,10.259242235289204,312.8318205502082,4.151544163808328,0.0,318.0,11.487477097587275
SI,2025-09-19,93.5,-1.18,5.7,"Bellinger, Cody",669236,643410,single,hit_into_play,,,,,1.0,Jeremiah Jackson singles on a line drive to center fielder Cody Bellinger.,R,R,R,BAL,NYY,X,8,line_drive,1,0,2025,-1.22,1.12,-0.39,2.95,,,,1,8,Bot,130.88,85.14,,,,,4.760918281642917,-136.0670096520177,-3.807881355790648,-16.15494479353139,31.301265798795285,-17.65619552094107,3.32,1.55,252.0,88.4,17.0,94.1,2073.0,6.7,776273,669224,700250,665862,642708,683011,596103,641355,592450,53.76,0.891,0.803,0.9,1.0,1,0,4.0,64,2,Sinker,4,2,4,2,2,4,4,2,Strategic,Standard,207.0,0.006,0.376,72.4,6.9,0.978,-0.376,88.4,2,2,0.937,0.937,34,25,34,25,1,3,3.0,1.0,7.0,1.0,1.5,1.22,1.22,47.3,10.420954057965526,10.316235731540162,23.131921711111698,35.43051107573152,22.95745310807579,0,12.14815091542331,251.70701704429317,2.433020532565112,0.0,318.0,67.39686313048655
FF,2025-09-19,94.2,-2.53,5.65,"Bellinger, Cody",702616,701542,field_out,hit_into_play,,,,,5.0,Jackson Holliday flies out to center fielder Cody Bellinger.,R,L,R,BAL,NYY,X,8,fly_ball,3,2,2025,-0.8,1.17,0.07,2.81,,,,0,1,Bot,96.58,62.81,,,,,8.570957710931733,-136.8214635844404,-4.239779728861902,-11.935688884302651,31.103510085675367,-16.722592925027037,3.38,1.63,345.0,96.2,34.0,94.6,2609.0,6.7,776273,669224,502671,665862,642708,683011,596103,641355,592450,53.83,0.18,0.331,0.0,1.0,0,0,3.0,4,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,227.0,-0.021,-0.345,73.6,6.5,0.635,0.345,96.2,0,0,0.547,0.547,26,21,26,22,1,0,5.0,2.0,7.0,1.0,1.41,0.8,-0.8,25.8,15.18433627160072,3.947400937274399,31.32568033046269,31.417179387664525,22.021417408306725,1,-71.84175760901077,337.437048741907,4.9422145866312,0.0,318.0,74.42470692012918
ST,2025-09-14,82.2,-2.56,5.6,"Bellinger, Cody",663853,701542,single,hit_into_play,,,,,7.0,Romy Gonzalez singles on a sharp line drive to center fielder Cody Bellinger.,R,R,R,BOS,NYY,X,8,line_drive,0,0,2025,1.21,-0.25,-0.83,2.21,,,,1,5,Bot,123.84,78.77,,,,,1.5999475750781735,-119.80194229462968,-0.675852062781884,11.291016703777236,23.922646166327446,-34.617050260660434,3.65,1.76,235.0,107.1,11.0,82.6,2713.0,6.6,776330,700250,502671,665862,642708,676609,519317,641355,596103,53.93,0.926,0.94,0.9,1.0,1,0,4.0,44,1,Sweeper,6,3,6,3,3,6,6,3,Standard,Standard,61.0,0.009,0.415,,,1.246,-0.415,107.1,3,3,0.883,0.883,26,28,26,29,3,2,5.0,1.0,5.0,2.0,3.62,-1.21,-1.21,31.0,,,,,,0,-3.106841421544021,234.979461945893,1.9583619982066516,0.0,318.0,83.07865070168177
SI,2025-09-14,93.3,-2.35,5.47,"Bellinger, Cody",608324,701542,field_out,hit_into_play,,,,,8.0,Alex Bregman flies out sharply to center fielder Cody Bellinger.,R,R,R,BOS,NYY,X,8,fly_ball,1,0,2025,-1.5,0.51,-0.1,1.9,,,,1,4,Bot,109.67,55.65,,,,,9.16959074560042,-135.50526215627482,-4.506953066489023,-20.55642926324136,32.27120909091032,-25.062368772657887,3.33,1.59,357.0,100.5,35.0,93.7,2460.0,6.8,776330,700250,502671,665862,642708,676609,519317,641355,596103,53.69,0.38,0.741,0.0,1.0,0,0,5.0,37,2,Sinker,6,2,6,2,2,6,6,2,Standard,Strategic,235.0,-0.005,-0.294,73.2,7.2,1.435,0.294,100.5,4,4,0.913,0.913,26,31,26,31,3,2,5.0,1.0,5.0,2.0,2.14,1.5,1.5,24.6,11.335940327434692,-1.5349493660087323,31.840768681659792,31.49670518815281,31.993356034343464,1,-39.186469466414906,354.8428111301647,5.29074375263798,0.0,318.0,53.78635627382893
CU,2025-09-14,80.4,-2.51,5.8,"Bellinger, Cody",807799,701542,sac_fly,hit_into_play,,,,,7.0,Masataka Yoshida out on a sacrifice fly to center fielder Cody Bellinger. Nathaniel Lowe scores. Romy Gonzalez to 3rd.,R,L,R,BOS,NYY,X,8,line_drive,1,2,2025,1.18,-0.56,-0.41,1.93,663993.0,663853.0,,0,1,Bot,109.57,59.72,,,,,2.4451590263058587,-117.18639888446226,-0.873367467329287,10.441637841252748,20.95150896478053,-37.40241379531779,3.22,1.43,348.0,95.7,20.0,81.1,2872.0,6.6,776330,700250,502671,665862,642708,676609,519317,641355,596103,53.92,0.329,0.388,0.0,1.0,0,0,4.0,9,4,Curveball,3,0,3,0,0,4,4,0,Strategic,Standard,59.0,0.008,-0.1,71.9,7.6,0.601,0.1,95.7,3,3,0.885,0.885,26,31,26,32,1,0,5.0,1.0,5.0,3.0,4.06,-1.18,1.18,36.6,8.80563249917542,3.330738590345441,36.05245875823026,38.20467109894003,29.00241750739277,1,-39.55292214724931,345.7449440694884,3.045381096739392,0.0,318.0,48.31372032668778
FF,2025-09-11,96.5,-1.96,6.31,"Bellinger, Cody",679529,693645,field_out,hit_into_play,,,,,5.0,Spencer Torkelson flies out to center fielder Cody Bellinger.,R,R,R,NYY,DET,X,8,fly_ball,2,1,2025,-0.36,1.26,-0.06,2.52,,,,0,6,Top,135.09,73.14,,,,,5.86943334067107,-140.2198448414703,-7.33662617806489,-6.0830688841408485,33.46474239441465,-14.023219648741948,3.53,1.65,351.0,99.6,34.0,96.1,2323.0,6.3,776368,700250,502671,665862,641857,676609,596103,641355,592450,54.21,0.409,0.81,0.0,1.0,0,0,5.0,50,4,4-Seam Fastball,9,1,1,9,1,9,1,9,Strategic,Standard,211.0,0.002,-0.306,75.5,7.6,1.564,0.306,99.6,8,-8,0.994,0.006,24,25,24,26,3,2,6.0,1.0,5.0,1.0,1.2,0.36,0.36,36.6,5.626004009652611,0.1300602487011475,39.9178050366992,35.66613629982927,26.126184416366065,1,27.044513233916625,349.9565605956552,5.1142843091193075,0.0,318.0,41.86439371546273
FF,2025-09-11,98.3,-1.9,6.3,"Bellinger, Cody",678009,693645,single,hit_into_play,,,,,1.0,Parker Meadows singles on a sharp line drive to center fielder Cody Bellinger.,R,L,R,NYY,DET,X,8,line_drive,3,2,2025,-0.73,1.2,-0.3,3.59,,,,1,5,Top,150.16,78.68,,,,,6.007690048421336,-142.91635434628273,-4.617373588107366,-11.368769397063051,34.95456889581064,-14.857716916827927,3.52,1.71,305.0,103.2,15.0,97.9,2435.0,6.3,776368,700250,502671,665862,641857,676609,596103,641355,592450,54.24,0.646,0.674,0.9,1.0,1,0,4.0,41,7,4-Seam Fastball,9,1,1,9,1,9,1,9,Infield shade,Standard,212.0,-0.002,0.338,68.3,6.7,0.95,-0.338,103.2,8,-8,0.992,0.008,24,25,24,26,2,1,6.0,1.0,5.0,1.0,1.17,0.73,-0.73,34.2,10.548435255434528,6.376610068806738,19.28041144433599,40.12725482015368,32.60309669125302,0,61.788102379433624,298.6757948082647,2.50949887885219,0.0,318.0,64.7394354465936
