pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SI,2025-09-26,94.7,-2.45,4.85,"Buxton, Byron",624641,657746,single,hit_into_play,,,,,4.0,Edmundo Sosa singles on a sharp line drive to center fielder Byron Buxton.,R,R,R,PHI,MIN,X,8,line_drive,2,1,2025,-1.53,0.62,-0.45,2.21,,,,0,3,Bot,121.06,95.74,,,,,8.716851819940114,-137.6870886049141,-2.634266407739489,-21.433737036602096,30.557028532445784,-23.837773001276528,3.31,1.56,163.0,103.0,8.0,95.4,2295.0,6.7,776176,543877,666397,665019,668904,686797,681546,621439,663616,53.77,0.717,0.665,0.9,1.0,1,0,4.0,18,4,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,228.0,0.032,0.393,74.4,7.6,0.803,-0.393,103.0,1,1,0.673,0.673,29,29,29,29,1,0,6.0,1.0,,1.0,1.92,1.53,1.53,28.8,7.431832548013465,5.521951441267367,33.909111200926084,30.28390582531106,25.695852555166457,0,-6.925176123735213,162.85282292811274,1.4367195068210807,5.672032092117141,324.95050092582716,162.58642891423702
CH,2025-09-26,87.6,-1.03,5.89,"Buxton, Byron",681082,701519,field_out,hit_into_play,,,,,7.0,Bryson Stott flies out to center fielder Byron Buxton.,R,L,R,PHI,MIN,X,8,fly_ball,1,2,2025,-1.36,0.42,-0.51,2.09,,669016.0,592206.0,1,6,Bot,108.21,59.48,,,,,4.073497330800037,-127.49858496018766,-3.934140529652423,-15.710063176260752,25.95097695740456,-27.00323098173361,3.33,1.59,348.0,93.1,27.0,87.6,1803.0,6.2,776176,543877,666397,665019,668904,686797,681546,621439,663616,54.26,0.126,0.155,0.0,1.0,0,0,3.0,45,4,Changeup,3,1,3,1,1,3,3,1,Standard,Standard,226.0,-0.022,-0.172,66.4,7.4,0.26,0.172,93.1,2,2,0.871,0.871,25,27,25,28,1,2,2.0,1.0,2.0,1.0,2.55,1.36,-1.36,40.2,7.0322391777321736,0.518654007188112,29.58081641401552,38.80592705641724,30.934873077527257,1,-42.824122850225805,345.35502675089117,3.9012785547725994,5.672032092117141,324.95050092582716,52.613892826300535
FF,2025-09-25,89.4,-1.47,5.69,"Buxton, Byron",642133,641927,field_out,hit_into_play,,,,,11.0,Rowdy Tellez flies out sharply to center fielder Byron Buxton.,R,L,R,TEX,MIN,X,8,fly_ball,0,2,2025,-1.0,1.3,-0.44,3.86,,,,2,4,Bot,134.88,34.92,,,,,4.7053665015659965,-130.02166736114248,-1.188691915719125,-12.347723352169403,30.299095683240505,-17.558767385942254,3.61,1.62,405.0,107.0,23.0,90.0,2256.0,7.0,776183,543877,666397,665019,668904,686797,668885,621439,676812,53.54,0.903,1.644,0.0,1.0,0,0,6.0,28,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,225.0,-0.013,-0.161,73.4,7.4,3.116,0.161,107.0,-1,-1,0.369,0.369,29,30,30,30,2,1,5.0,1.0,,1.0,1.59,1.0,-1.0,23.6,6.279739855833269,3.019865238900615,16.619147882833616,39.93766647101093,27.90202530897461,1,23.415312566752124,404.32254839101086,3.860007398224444,5.672032092117141,324.95050092582716,81.33108828004785
CH,2025-09-25,82.9,-1.43,5.78,"Buxton, Byron",673962,641927,field_out,hit_into_play,,,,,9.0,Josh Jung flies out to center fielder Byron Buxton.,R,R,R,TEX,MIN,X,8,fly_ball,3,2,2025,-1.58,0.66,0.49,1.99,,,,1,4,Bot,117.15,69.02,,,,,7.572921991308675,-120.49803959740304,-3.4773830006193576,-16.922940764048928,23.97251047344123,-25.24644152453422,3.66,1.67,322.0,87.2,34.0,83.7,2191.0,7.0,776183,543877,666397,665019,668904,686797,668885,621439,676812,53.55,0.011,0.012,0.0,1.0,0,0,3.0,27,7,Changeup,0,1,0,1,1,0,0,1,Strategic,Standard,248.0,-0.022,-0.332,69.5,7.7,0.025,0.332,88.0,-1,-1,0.391,0.391,29,27,30,27,2,1,5.0,1.0,,1.0,2.67,1.58,1.58,25.4,16.921924137567093,-9.13848981084752,33.73478442726524,39.290666822218455,39.80806193758254,1,-20.560971887201376,321.3428798574098,4.487201624483364,5.672032092117141,324.95050092582716,26.479906109203448
SI,2025-09-25,88.5,-1.46,5.73,"Buxton, Byron",677649,641927,single,hit_into_play,,,,,5.0,Ezequiel Duran singles on a line drive to center fielder Byron Buxton.,R,R,R,TEX,MIN,X,8,line_drive,1,0,2025,-1.23,0.73,0.02,2.37,,,,0,3,Bot,122.85,66.61,,,,,6.28459208021139,-128.70316819786763,-3.6879295617579135,-14.981418738241988,27.30228820273194,-23.506187187940945,3.43,1.6,255.0,99.9,14.0,89.7,2110.0,7.1,776183,543877,666397,665019,668904,686797,668885,621439,676812,53.41,0.846,0.836,0.9,1.0,1,0,4.0,19,2,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,221.0,0.044,0.397,78.2,7.1,1.102,-0.397,99.9,-1,-1,0.43,0.43,29,26,30,26,1,0,5.0,1.0,,1.0,2.19,1.23,1.23,25.1,2.94312582516481,5.963215463872752,29.04200119873014,32.49205002260642,27.3249592280819,0,-4.976645768213694,254.95143262374054,2.2850306950983703,5.672032092117141,324.95050092582716,70.80440595989269
CH,2025-09-25,82.5,-1.41,5.84,"Buxton, Byron",642133,641927,field_out,hit_into_play,,,,,8.0,Rowdy Tellez flies out sharply to center fielder Byron Buxton.,R,L,R,TEX,MIN,X,8,fly_ball,2,2,2025,-1.41,0.39,-0.27,1.57,,,,0,2,Bot,129.87,44.13,,,,,5.424098632929782,-119.92724764581524,-3.9240416680514287,-14.669614441415185,25.852098418768737,-27.79093717107469,3.61,1.62,382.0,100.6,24.0,83.1,1869.0,7.0,776183,543877,666397,665019,668904,686797,668885,621439,676812,53.52,0.577,0.875,0.0,1.0,0,0,6.0,11,6,Changeup,0,1,0,1,1,0,0,1,Infield shade,Strategic,258.0,-0.025,-0.233,74.0,8.2,1.544,0.233,100.6,-1,-1,0.437,0.437,29,30,30,30,1,0,5.0,1.0,,1.0,2.99,1.41,-1.41,26.5,-0.6694273416301246,-5.447029142529286,37.766774254174486,35.893804346361215,35.94474394697036,1,11.023692978905355,381.840906914263,3.779842098986989,5.672032092117141,324.95050092582716,57.14156602488448
CH,2025-09-25,80.2,-0.84,5.93,"Buxton, Byron",641856,701487,double,hit_into_play,,,,,5.0,"Billy McKinney doubles (1) on a line drive to left fielder Austin Martin, deflected by center fielder Byron Buxton.",R,L,R,TEX,MIN,X,8,line_drive,2,0,2025,-1.0,0.27,0.14,2.56,,,,2,8,Bot,108.94,79.65,,,,,4.085276439903861,-116.65932032309776,-1.2092099197447903,-9.944672292536003,23.661357946158084,-29.70970554772491,3.16,1.46,300.0,86.4,24.0,79.9,2207.0,6.3,776183,543877,665019,680837,668904,686797,668885,621439,681546,54.21,0.177,0.162,1.25,1.0,1,1,3.0,58,3,Changeup,0,4,0,4,4,0,0,4,Infield shade,Strategic,256.0,0.008,0.479,69.2,6.3,0.229,-0.479,88.0,-4,-4,0.017,0.017,25,30,26,31,1,2,4.0,1.0,2.0,1.0,3.3,1.0,-1.0,50.3,8.298746207063683,12.06999231530616,34.98307673991672,36.04039141573169,25.41496981389442,0,-41.28279942967443,297.1459750211153,3.26111751489932,5.672032092117141,324.95050092582716,54.56966065521778
FF,2025-09-23,94.8,-1.91,5.84,"Buxton, Byron",673962,805673,field_out,hit_into_play,,,,,5.0,Josh Jung lines out sharply to center fielder Byron Buxton.,R,R,R,TEX,MIN,X,8,line_drive,1,0,2025,-0.68,1.33,0.18,2.67,,,,0,7,Bot,146.51,53.07,,,,,7.040121547078045,-137.71846264527355,-5.563169241624102,-10.318639007592267,35.27869885742222,-14.173266582068347,3.68,1.68,364.0,103.9,21.0,95.0,2276.0,6.8,776210,543877,666397,665019,668904,686797,668885,621439,681546,53.68,0.689,0.969,0.0,1.0,0,0,6.0,58,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Strategic,Standard,214.0,-0.027,-0.301,68.9,7.0,1.632,0.301,103.9,-3,-3,0.118,0.118,25,27,25,27,3,2,7.0,2.0,,1.0,1.24,0.68,0.68,39.3,11.892340758867071,8.617741046382111,35.78772697473994,35.19026014546536,31.358163198262165,1,52.32121913643898,360.2200577814577,3.4487705893473444,5.672032092117141,324.95050092582716,58.48152095054196
CU,2025-09-23,80.2,-1.93,5.96,"Buxton, Byron",673962,805673,single,hit_into_play,,,,,8.0,Josh Jung singles on a sharp line drive to center fielder Byron Buxton.,R,R,R,TEX,MIN,X,8,line_drive,0,0,2025,0.38,-1.03,-0.11,1.89,,,,1,4,Bot,136.34,68.93,,,,,3.3033691103516567,-116.75481650469705,-0.3292243309727813,2.82430438751169,22.566169837765106,-41.73354579571327,3.68,1.68,232.0,108.1,10.0,80.0,2507.0,6.2,776210,543877,666397,665019,668904,686797,668885,621439,676812,54.33,0.86,0.866,0.9,1.0,1,0,4.0,34,1,Curveball,1,2,1,2,2,1,1,2,Strategic,Standard,39.0,0.034,0.415,,,1.12,-0.415,108.1,-1,-1,0.391,0.391,25,27,25,27,2,1,7.0,2.0,,1.0,4.58,-0.38,-0.38,43.3,,,,,,0,19.51800340705411,231.1775238707306,1.8141956333411366,5.672032092117141,324.95050092582716,94.78967321090269
SL,2025-09-23,87.3,-2.05,5.83,"Buxton, Byron",666969,805673,field_out,hit_into_play,,,,,6.0,Adolis García flies out to center fielder Byron Buxton.,R,R,R,TEX,MIN,X,8,fly_ball,2,2,2025,0.34,0.07,0.31,2.57,,,,0,4,Bot,156.08,60.59,,,,,4.975793605494162,-127.07758179317156,-1.8471097160662755,2.697029261839311,25.29464414823389,-31.262756303212345,3.49,1.68,350.0,94.3,29.0,87.6,2505.0,6.4,776210,543877,666397,665019,668904,686797,668885,621439,676812,54.1,0.154,0.246,0.0,1.0,0,0,3.0,33,5,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,84.0,-0.03,-0.233,71.0,7.1,0.431,0.233,94.3,-1,-1,0.421,0.421,25,32,25,32,2,1,7.0,4.0,,1.0,2.91,-0.34,-0.34,41.4,9.468938479219409,6.115182741945169,23.86663631021026,36.13019541987852,35.03132707269085,1,76.07803645782464,341.63157402196,4.212381965151403,5.672032092117141,324.95050092582716,72.35512179785582
