pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-06-20,89.8,-1.93,5.66,"Clase, Jonatan",672820,605513,triple,hit_into_play,,,,,6.0,"Lenyn Sosa triples (1) on a sharp fly ball to right fielder Addison Barger, deflected by center fielder Jonatan Clase.",R,R,R,TOR,CWS,X,8,fly_ball,0,0,2025,-0.08,0.94,0.66,2.6,,,,1,2,Top,148.61,56.17,,,,,6.5486236011267644,-130.58956653428825,-3.5695281658249964,-2.3099525316770024,27.62564887627009,-20.87061007668394,3.36,1.61,385.0,101.9,25.0,89.6,2417.0,6.2,777435,623168,665489,665926,676391,666182,664770,682729,680718,54.3,0.654,1.132,1.6,1.0,1,2,6.0,9,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,218.0,-0.068,1.073,77.3,7.6,2.113,-1.073,101.9,-1,1,0.412,0.588,32,25,33,25,1,0,5.0,1.0,,1.0,1.89,0.08,0.08,19.2,15.268971591061169,6.469668270655873,28.988068422618504,44.18784537697635,31.206971927767327,0,62.00973533164705,379.973410548816,3.9731937605796377,0.0,327.0,81.55605128422002
FF,2025-06-19,96.2,-2.34,5.65,"Clase, Jonatan",553993,592332,single,hit_into_play,,,,,2.0,Eugenio Suárez singles on a line drive to center fielder Jonatan Clase. Josh Naylor to 3rd.,R,R,R,TOR,AZ,X,8,line_drive,2,2,2025,-1.08,1.52,-0.12,2.95,,647304.0,,1,5,Top,138.07,115.34,,,,,8.370298889457066,-139.6029463503052,-4.921334405833099,-16.108659798250553,36.92775518376842,-11.487162051841898,3.51,1.59,227.0,79.2,20.0,95.9,2372.0,6.6,777448,672386,665489,665926,676391,666182,683770,682729,680718,53.85,0.94,0.858,0.9,1.0,1,0,4.0,37,5,4-Seam Fastball,1,6,6,1,6,1,6,1,Standard,Standard,221.0,-0.009,0.587,71.7,7.0,1.027,-0.587,88.0,-5,5,0.052,0.948,34,33,34,34,3,2,6.0,1.0,7.0,1.0,0.99,1.08,1.08,36.5,11.350859699625488,8.405286275076211,37.904918408609326,29.8376238826518,23.941373756247025,0,34.23024724325874,224.40430070224897,2.5429714731525146,0.0,327.0,108.15538516749488
FF,2025-06-19,93.4,-2.42,5.66,"Clase, Jonatan",645444,592332,field_out,hit_into_play,,,,,9.0,Jose Herrera flies out to center fielder Jonatan Clase.,R,L,R,TOR,AZ,X,8,fly_ball,1,1,2025,-0.86,1.8,0.31,2.04,,,,2,4,Top,137.72,79.15,,,,,8.979123157678593,-135.2826891517227,-7.391303512026251,-12.848288170411442,37.660557935899085,-8.642028013478644,3.28,1.5,299.0,78.4,32.0,92.7,2198.0,6.8,777448,672386,665489,665926,676391,666182,683770,682729,680718,53.74,0.103,0.109,0.0,1.0,0,0,3.0,29,3,4-Seam Fastball,1,4,4,1,4,1,4,1,Infield shade,Standard,215.0,0.006,-0.245,65.3,7.1,0.161,0.245,88.0,-3,3,0.197,0.803,34,28,34,28,2,1,6.0,1.0,7.0,1.0,0.9,0.86,-0.86,35.5,8.42509801108828,-4.875525612861983,45.56861725376677,30.208083619300314,27.87789293044778,1,30.710623593698255,297.4186571123039,3.836367227410659,0.0,327.0,42.640335933869764
FF,2025-06-19,93.4,-2.41,5.65,"Clase, Jonatan",545341,592332,field_out,hit_into_play,,,,,4.0,Randal Grichuk flies out to center fielder Jonatan Clase.,R,R,R,TOR,AZ,X,8,fly_ball,3,2,2025,-0.66,1.56,-0.59,2.55,,,,0,4,Top,84.36,47.89,,,,,6.15882174928516,-135.60708610412297,-5.565096241174906,-9.614844318587007,35.12922429891411,-11.960104244860997,3.25,1.5,386.0,99.6,35.0,93.2,2151.0,6.7,777448,672386,665489,665926,676391,666182,683770,682729,680718,53.81,0.354,0.678,0.0,1.0,0,0,5.0,27,6,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,218.0,0.012,-0.345,76.9,7.3,1.318,0.345,99.6,-3,3,0.176,0.824,34,33,34,34,2,1,6.0,1.0,7.0,1.0,1.1,0.66,0.66,36.9,7.695539095650655,-8.743096356593691,29.90854572953434,29.69509664554592,34.24604455669401,1,-101.6722665473789,372.36910480747287,5.243993838262537,0.0,327.0,111.33555342258249
SL,2025-06-19,83.7,-2.56,5.69,"Clase, Jonatan",553993,592332,double,hit_into_play,,,,,9.0,Eugenio Suárez doubles (14) on a line drive to center fielder Jonatan Clase. Ketel Marte scores. Pavin Smith scores.,R,R,R,TOR,AZ,X,8,line_drive,0,0,2025,0.03,-0.13,0.49,2.13,,606466.0,656976.0,2,3,Top,107.81,68.14,,,,,7.044467159283461,-121.6371295902432,-1.4343806437132771,-1.2874927054439462,27.09078659684937,-33.3882320272518,3.51,1.59,377.0,99.3,22.0,83.7,2483.0,6.7,777448,672386,665489,665926,676391,666182,683770,682729,680718,53.82,0.354,0.461,1.25,1.0,1,1,5.0,22,1,Slider,1,2,2,1,4,1,4,1,Standard,Standard,72.0,-0.185,0.994,66.5,7.5,0.755,-0.994,99.3,-1,1,0.388,0.612,34,33,34,34,2,1,6.0,1.0,7.0,1.0,3.43,-0.03,-0.03,44.0,15.239923042885904,1.8755966562132464,35.05977084592161,37.12480646500409,35.8523297520337,0,-50.55715106852477,373.59466601630487,3.44553957725168,0.0,327.0,68.75382480514543
FS,2025-06-19,85.1,-2.53,5.56,"Clase, Jonatan",606466,592332,single,hit_into_play,,,,,7.0,Ketel Marte singles on a line drive to center fielder Jonatan Clase.,R,L,R,TOR,AZ,X,8,line_drive,1,1,2025,-2.04,0.4,-0.82,2.14,,,,1,3,Top,145.88,81.24,,,,,8.159591250015934,-123.41311841087452,-2.30997154917332,-22.514639853401004,30.65994494080068,-27.865035893333552,3.62,1.7,232.0,75.8,20.0,84.6,1752.0,6.7,777448,672386,665489,665926,676391,666182,683770,682729,680718,53.81,0.997,0.907,0.9,1.0,1,0,4.0,19,3,Split-Finger,1,2,2,1,2,1,2,1,Infield shade,Standard,239.0,-0.024,0.426,75.2,8.1,1.055,-0.426,88.0,-1,1,0.404,0.596,34,31,34,32,2,1,6.0,1.0,7.0,1.0,2.84,2.04,-2.04,31.1,15.214383817105585,-16.293137506702486,27.981080107659675,39.325951453493246,47.70445537466359,0,39.95386766157643,228.5337796888706,2.440045060774757,0.0,327.0,106.2633901373311
FC,2025-06-19,90.3,-2.61,5.64,"Clase, Jonatan",656976,687606,sac_fly,hit_into_play,,,,,4.0,Pavin Smith out on a sacrifice fly to center fielder Jonatan Clase. Geraldo Perdomo scores. Ketel Marte to 3rd.,R,L,R,TOR,AZ,X,8,line_drive,3,2,2025,0.0,1.05,-0.65,2.61,672695.0,606466.0,,0,6,Top,121.5,83.88,,,,,4.867015475896385,-131.26361152652024,-3.732076829049936,-1.2279671920462418,32.20946602637065,-19.45575161495052,3.49,1.63,288.0,102.0,18.0,89.4,2164.0,6.2,777448,672386,665489,665926,676391,666182,683770,682729,680718,54.33,0.423,0.503,0.0,1.0,0,0,5.0,47,6,Cutter,1,8,8,1,9,1,9,1,Strategic,Standard,202.0,-0.001,-0.219,74.0,7.4,0.779,0.219,102.0,-7,7,0.006,0.994,27,29,27,29,1,3,11.0,2.0,5.0,2.0,1.78,0.0,0.0,33.6,16.1772447423125,9.345633395646844,29.65016070804453,44.14765477317499,21.35572859418574,1,-9.863604235856661,287.8310429948069,2.9371748621879696,0.0,327.0,40.39180463158676
FF,2025-06-19,92.7,-2.49,5.78,"Clase, Jonatan",647304,592332,single,hit_into_play,,,,,7.0,Josh Naylor singles on a fly ball to center fielder Jonatan Clase.,R,L,R,TOR,AZ,X,8,fly_ball,2,0,2025,-1.37,1.15,-0.48,1.67,,,,0,2,Top,115.93,102.66,,,,,8.127500043252605,-134.391887254965,-7.05672746275535,-18.47011076681224,37.446906126912594,-16.733378071381555,3.24,1.52,232.0,73.4,42.0,91.7,2273.0,6.5,777448,672386,665489,665926,676391,666182,683770,682729,680718,53.96,0.263,0.257,0.9,1.0,1,0,3.0,7,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,217.0,-0.038,0.32,76.7,8.2,0.33,-0.32,88.0,0,0,0.5,0.5,34,28,34,28,1,0,6.0,1.0,7.0,1.0,1.58,1.37,-1.37,34.9,13.147640118367589,-11.514165347511073,36.45203322200127,40.349569813992446,27.696479681995086,0,-22.915113221895176,230.86554005747095,4.519052414885298,0.0,327.0,98.82781391093299
FF,2025-06-17,92.6,-1.32,5.44,"Clase, Jonatan",656976,605135,single,hit_into_play,,,,,6.0,Pavin Smith singles on a fly ball to center fielder Jonatan Clase. Josh Naylor scores. Eugenio Suárez to 3rd.,R,L,R,TOR,AZ,X,8,fly_ball,1,0,2025,-0.37,1.15,0.66,2.71,,647304.0,553993.0,2,4,Top,136.15,102.02,,,,,5.883571399531183,-134.73160913249038,-3.67997484876464,-5.855016164213405,30.13346354962764,-17.54677213825372,3.51,1.65,249.0,70.8,35.0,92.7,2130.0,6.4,777479,672386,665489,665926,676391,666182,683770,682729,680718,54.05,0.611,0.559,0.9,1.0,1,0,3.0,29,2,4-Seam Fastball,2,0,0,2,1,2,1,2,Standard,Standard,218.0,-0.114,0.518,71.9,7.0,0.653,-0.518,88.0,2,-2,0.743,0.257,36,29,36,29,2,1,7.0,2.0,5.0,2.0,1.51,0.37,-0.37,32.5,4.317233461882801,2.504325944233604,35.50739142307452,29.880117331075223,23.78736104882385,0,27.587749709102408,247.46699995350477,3.7520813929181434,0.0,327.0,84.18183907713048
ST,2025-06-15,83.8,-1.44,5.46,"Clase, Jonatan",642215,605513,single,hit_into_play,,,,,14.0,Weston Wilson singles on a line drive to center fielder Jonatan Clase. Rafael Marchán to 2nd.,R,R,R,PHI,TOR,X,8,line_drive,0,2,2025,1.05,0.63,1.28,2.27,,,665561.0,1,8,Bot,141.16,86.67,,,,,4.2247578772237775,-122.00216719212771,-2.1721210850464434,9.439228263307934,26.51319373819732,-25.65094436314352,3.65,1.63,263.0,78.3,23.0,83.7,2759.0,6.4,777499,672386,665489,665926,680718,676391,702176,682729,683770,54.08,0.789,0.727,0.9,1.0,1,0,4.0,77,3,Sweeper,11,4,11,4,4,11,11,4,Standard,Standard,87.0,0.0,0.495,54.5,7.8,0.885,-0.495,88.0,7,7,0.999,0.999,32,30,33,31,2,0,4.0,6.0,5.0,42.0,2.64,-1.05,-1.05,20.5,20.244049873944068,9.857326275513657,34.809117631729514,52.067521048491,25.72254387368932,0,36.729850765255264,260.4225759467909,2.8546332983381846,0.0,327.0,76.03706550623022
