pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CU,2025-05-20,82.0,1.62,6.34,"Crews, Dylan",671739,680730,double,hit_into_play,,,,,4.0,Michael Harris II doubles (9) on a line drive to center fielder Dylan Crews. Eli White scores.,R,L,L,WSH,ATL,X,8,line_drive,3,2,2025,0.23,-0.79,-0.41,2.67,,642201.0,,1,2,Top,95.24,55.77,,,,,-5.095455780124942,-119.36498851909342,-0.2192404093973368,3.1783821675329023,22.16866901466715,-39.92546968677238,3.5,1.56,316.0,108.0,14.0,83.0,2319.0,6.9,777841,660688,663993,671277,677588,682928,695578,686611,669743,53.65,0.743,0.783,1.25,1.0,1,1,5.0,15,6,Curveball,3,2,2,3,3,3,3,3,Standard,Standard,340.0,-0.108,0.793,,,1.124,-0.793,108.0,1,-1,0.588,0.412,25,24,26,24,1,0,6.0,2.0,7.0,2.0,4.17,0.23,0.23,57.3,,,,,,0,-65.4731877845216,309.14278526488823,2.4579449297230345,-5.654579685679858,323.95065323067075,61.62417405998123
FF,2025-05-18,93.0,-2.73,5.69,"Crews, Dylan",656811,647336,double,hit_into_play,,,,,1.0,Ryan O'Hearn doubles (5) on a sharp line drive to center fielder Dylan Crews.,R,L,R,BAL,WSH,X,8,line_drive,0,0,2025,-1.11,1.39,-0.53,3.2,,,,1,6,Bot,143.44,81.28,,,,,8.010582249489895,-135.24634781784468,-3.644167214269871,-15.347330277712606,28.32429882899946,-14.494765302497347,3.49,1.62,201.0,109.1,11.0,92.5,2479.0,5.9,777873,660688,663993,671277,677588,682928,695578,686611,669743,54.59,0.951,0.951,1.25,1.0,1,1,5.0,52,1,4-Seam Fastball,2,8,2,8,8,2,2,8,Infield shade,Standard,228.0,0.011,0.642,73.6,6.7,1.25,-0.642,109.1,-6,-6,0.02,0.02,27,31,28,32,3,2,5.0,1.0,7.0,1.0,1.24,1.11,-1.11,30.1,9.56340850021399,6.426711728902173,23.768582017200824,42.771067092759935,26.938470996153,0,30.599221719182033,198.6572113722035,1.991566797137382,-5.654579685679858,323.95065323067075,130.4330659343875
FF,2025-05-18,96.0,-2.31,5.44,"Crews, Dylan",656896,695418,field_out,hit_into_play,,,,,2.0,Emmanuel Rivera lines out sharply to center fielder Dylan Crews.,R,R,R,BAL,WSH,X,8,line_drive,3,2,2025,-1.31,0.91,0.26,3.26,,,,0,7,Bot,148.96,52.5,,,,,9.67035054476412,-139.48254141646373,-2.205910270581069,-19.30242940090356,31.710238607077443,-20.00012881285905,3.51,1.65,366.0,100.4,22.0,94.9,2343.0,5.8,777873,660688,663993,671277,677588,682928,695578,686611,669743,54.72,0.429,0.581,0.0,1.0,0,0,5.0,59,6,4-Seam Fastball,3,8,3,8,8,3,3,8,Strategic,Standard,241.0,-0.009,-0.345,68.9,6.4,0.967,0.345,100.4,-5,-5,0.033,0.033,25,29,25,29,1,2,3.0,1.0,4.0,2.0,1.57,1.31,1.31,24.6,9.744739235142314,6.08801165605625,23.61381791229125,33.84296271092987,26.508782970626115,1,58.34842968597113,361.31905672574385,3.4825331924832534,-5.654579685679858,323.95065323067075,74.11331046713698
SL,2025-05-14,84.9,2.04,6.05,"Crews, Dylan",621566,680730,single,hit_into_play,,,,,6.0,Matt Olson singles on a sharp line drive to center fielder Dylan Crews.,R,L,L,ATL,WSH,X,8,line_drive,0,1,2025,-0.29,0.13,0.49,2.43,,,,0,4,Bot,118.57,70.47,,,,,-3.0841605738795925,-123.81064926955412,-2.5535469731836304,-2.557731204063398,20.143301909356275,-30.61658379170211,3.51,1.71,247.0,109.0,11.0,86.7,2209.0,6.9,777929,656180,663993,677588,642708,682928,695578,686611,669743,53.57,0.951,0.951,0.9,1.0,1,0,5.0,28,2,Slider,2,1,2,1,1,2,2,1,Infield shade,Standard,308.0,0.033,0.478,,,1.25,-0.478,109.0,1,1,0.69,0.69,25,31,26,31,2,1,5.0,1.0,6.0,1.0,2.98,-0.29,-0.29,52.5,,,,,,0,-13.22006908158596,246.64596038345752,1.9899053553841757,-5.654579685679858,323.95065323067075,77.67401216624225
FS,2025-05-14,84.7,1.69,6.28,"Crews, Dylan",656413,680730,double,hit_into_play,,,,,2.0,Stuart Fairchild doubles (1) on a fly ball to center fielder Dylan Crews. Michael Harris II scores.,R,R,L,ATL,WSH,X,8,fly_ball,0,1,2025,-0.23,0.92,0.08,3.21,671739.0,,,0,3,Bot,133.36,97.63,,,,,-3.3586424421411905,-123.41374323921676,-2.692106285252108,-1.6610437212717457,23.886467522456496,-22.4778435087166,3.42,1.61,256.0,73.1,33.0,85.8,900.0,6.9,777929,656180,663993,677588,642708,682928,695578,686611,669743,53.62,0.357,0.321,1.25,1.0,1,1,3.0,20,2,Split-Finger,0,1,0,1,1,1,1,1,Strategic,Standard,144.0,0.086,0.67,68.6,6.6,0.381,-0.67,88.0,-1,-1,0.537,0.537,25,29,26,29,1,0,5.0,5.0,6.0,2.0,2.25,-0.23,0.23,60.3,11.031263209836217,12.362449706672209,29.818551711666068,30.72898667652566,25.47749957682502,0,20.13457238163067,255.20697285734352,3.680467474067157,-5.654579685679858,323.95065323067075,73.42189016649628
FC,2025-05-14,91.6,-2.52,6.06,"Crews, Dylan",669221,671131,field_out,hit_into_play,,,,,6.0,Sean Murphy flies out to center fielder Dylan Crews.,R,R,R,ATL,WSH,X,8,fly_ball,1,0,2025,0.16,0.63,0.37,2.49,,,,0,6,Bot,94.75,71.68,,,,,6.93912534306088,-133.33983885230757,-4.538264383995863,0.5092811973310161,26.181212855061176,-23.945218031189786,3.41,1.6,325.0,86.8,27.0,91.8,2301.0,6.2,777929,656180,663993,677588,642708,682928,695578,686611,669743,54.31,0.074,0.08,0.0,1.0,0,0,3.0,44,2,Cutter,4,1,4,1,1,4,4,1,Standard,Standard,217.0,-0.007,-0.301,74.4,8.2,0.141,0.301,88.0,3,3,0.918,0.918,26,30,26,31,1,2,2.0,2.0,2.0,2.0,2.07,-0.16,-0.16,30.3,21.679599440113105,-8.84656954719446,30.15510026892087,45.53778946302679,34.559036921226834,1,-76.52644515530898,315.86184193709045,3.643893357741351,-5.654579685679858,323.95065323067075,71.33197167671983
FS,2025-05-12,85.9,-2.05,6.04,"Crews, Dylan",645277,671131,field_out,hit_into_play,,,,,5.0,Ozzie Albies flies out to center fielder Dylan Crews.,R,L,R,ATL,WSH,X,8,fly_ball,0,0,2025,-0.86,0.49,-0.15,2.29,,,,2,8,Bot,165.92,76.19,,,,,6.264516985951339,-124.93350137673946,-3.6412558902768337,-10.218133943469768,25.00197133314555,-26.51371961664294,3.28,1.59,320.0,94.3,45.0,86.3,1129.0,6.6,777959,660688,663993,671277,677588,682928,695578,686611,669743,53.95,0.009,0.009,0.0,1.0,0,0,3.0,63,1,Split-Finger,3,1,3,1,1,3,3,1,Standard,Standard,241.0,-0.003,-0.261,70.0,7.9,0.012,0.261,94.3,2,2,0.932,0.932,26,28,26,28,1,3,3.0,1.0,2.0,1.0,2.6,0.86,-0.86,32.2,21.906567496886893,-11.662881921218432,36.34939570507187,33.41225766492349,42.44474342417018,1,100.75988790963959,303.72264483972356,6.109815074896659,-5.654579685679858,323.95065323067075,108.31994847238215
FF,2025-05-11,95.6,1.73,5.7,"Crews, Dylan",691023,669022,field_out,hit_into_play,,,,,2.0,Jordan Walker flies out to center fielder Dylan Crews.,R,R,L,WSH,STL,X,8,fly_ball,3,1,2025,0.36,1.41,-0.18,3.28,,671056.0,650968.0,1,7,Top,128.14,91.03,,,,,-5.8964793902020745,-139.14231677463704,-3.9898070781633246,5.982422850698572,31.8200364633086,-13.146755096550988,3.78,1.8,270.0,77.1,31.0,96.6,2325.0,6.9,777962,656180,663993,671277,677588,682928,695578,686611,669743,53.6,0.154,0.139,0.0,1.0,0,0,3.0,49,5,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,148.0,0.027,-0.386,82.5,7.8,0.172,0.386,88.0,-2,2,0.153,0.847,26,23,26,23,3,2,7.0,2.0,5.0,1.0,1.08,0.36,-0.36,41.1,0.6284682439512586,2.7263823929071167,31.13436376961266,35.44837567749914,24.968923841936707,1,6.84598926113407,269.9131942514786,3.6711437514608662,-5.654579685679858,323.95065323067075,55.46450393649908
SL,2025-05-11,87.0,2.09,5.68,"Crews, Dylan",663457,669022,field_out,hit_into_play,,,,,4.0,Lars Nootbaar flies out to center fielder Dylan Crews.,R,L,L,WSH,STL,X,8,fly_ball,0,1,2025,-0.12,0.1,-0.34,2.46,,,,0,6,Top,132.66,57.66,,,,,-5.622960432387685,-126.57073839265884,-1.7177312407520176,-0.0974644850561595,27.774198666688463,-30.950975213630983,3.33,1.57,350.0,98.2,35.0,87.5,2125.0,6.8,777962,656180,663993,671277,677588,682928,695578,686611,669743,53.72,0.223,0.426,0.0,1.0,0,0,5.0,38,2,Slider,1,2,2,1,2,1,2,1,Standard,Standard,324.0,0.024,-0.22,79.4,7.2,0.814,0.22,98.2,-1,1,0.333,0.667,26,27,26,28,3,2,7.0,1.0,5.0,1.0,2.93,-0.12,-0.12,43.2,13.102854545816584,-8.291344131384998,26.31801669843038,39.02810428867261,39.12426816015383,1,17.997635850318254,349.53695813718946,5.171282963849482,-5.654579685679858,323.95065323067075,34.8437411672549
FF,2025-05-11,94.2,2.05,5.74,"Crews, Dylan",650968,669022,field_out,hit_into_play,,,,,1.0,Yohel Pozo lines out to center fielder Dylan Crews.,R,R,L,WSH,STL,X,8,line_drive,0,1,2025,0.53,1.23,-0.29,3.03,,,,0,5,Top,141.19,82.91,,,,,-7.340776513095452,-137.09394262446543,-4.174964738564811,8.269298066803561,27.62094165993832,-15.890401803512132,3.12,1.38,293.0,84.9,23.0,95.5,2257.0,6.8,777962,656180,663993,671277,677588,682928,695578,686611,669743,53.66,0.271,0.252,0.0,1.0,0,0,3.0,31,2,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,151.0,0.023,-0.22,70.6,7.0,0.336,0.22,88.0,-1,1,0.356,0.644,26,28,26,28,2,1,7.0,5.0,5.0,7.0,1.32,0.53,-0.53,40.9,5.00330055150253,8.151516877810964,21.152424296962884,33.29519986010256,25.550991167524003,1,39.684742099931974,290.30005381408716,3.0848715081118008,-5.654579685679858,323.95065323067075,56.462526874685935
