pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SL,2025-05-04,85.0,-1.53,6.27,"Dunn, Blake",682928,607259,field_out,hit_into_play,,,,,4.0,CJ Abrams flies out sharply to center fielder Blake Dunn.,R,L,R,CIN,WSH,X,8,fly_ball,2,1,2025,0.02,0.18,-0.6,2.26,,,,0,6,Top,106.75,43.95,,,,,2.114225786000696,-123.848279933528,-3.475247492036286,-0.1597875251503644,23.03842506426525,-29.859311724037607,3.43,1.55,385.0,102.5,26.0,84.9,2403.0,6.0,778058,624431,668715,680574,682622,682829,666158,694362,669289,54.52,0.82,1.528,0.0,1.0,0,0,6.0,41,4,Slider,1,1,1,1,1,1,1,1,Standard,Standard,164.0,0.033,-0.306,75.8,7.9,2.926,0.306,102.5,0,0,0.5,0.5,34,24,35,25,3,2,6.0,1.0,5.0,2.0,2.95,-0.02,0.02,57.5,9.39439113608714,6.107789962625523,25.51558285770207,47.78283946123338,30.85682450510692,1,-46.24103453881744,382.21298607553865,4.141614406166149,0.0,322.0,75.91993787769533
FF,2025-05-04,92.4,-1.62,6.26,"Dunn, Blake",671277,607259,sac_fly,hit_into_play,,,,,2.0,Luis García Jr. out on a sacrifice fly to center fielder Blake Dunn. Nathaniel Lowe scores.,R,L,R,CIN,WSH,X,8,fly_ball,0,0,2025,-0.18,1.62,0.13,3.18,663993.0,,660688.0,0,2,Top,123.32,50.52,,,,,4.82425117400157,-134.44709992621648,-5.505837896960248,-3.2762033395605283,30.6371231219544,-11.548234104563887,3.42,1.61,367.0,99.1,34.0,91.7,2359.0,6.0,778058,624431,668715,680574,682622,682829,666158,694362,669289,54.49,0.291,0.573,0.0,1.0,0,0,5.0,11,1,4-Seam Fastball,0,0,0,0,1,0,1,0,Standard,Standard,207.0,0.019,-0.261,73.7,6.9,1.097,0.261,99.1,0,0,0.37,0.63,34,25,35,25,1,0,6.0,1.0,5.0,2.0,1.06,0.18,-0.18,56.6,6.61388055982717,0.9921014648838112,27.35000203497865,32.91093712468281,29.799254837255777,1,-5.215716854915232,366.96293586367733,5.088974592374123,0.0,322.0,45.26443751767835
CH,2025-04-18,83.5,2.2,6.14,"Dunn, Blake",676059,671096,field_out,hit_into_play,,,,,6.0,Jordan Westburg flies out to center fielder Blake Dunn.,R,R,L,BAL,CIN,X,8,fly_ball,2,1,2025,1.32,0.74,0.64,2.25,,,,0,5,Bot,158.86,69.98,,,,,-6.190827315979674,-121.43265238481472,-4.019011446321874,14.257953787440735,22.68036453677968,-24.236848276732232,3.51,1.65,329.0,87.3,31.0,83.7,1734.0,6.4,778276,624431,600869,680574,682622,682829,669720,694362,669289,54.12,0.023,0.021,0.0,1.0,0,0,3.0,42,4,Changeup,1,7,1,7,7,1,1,7,Infield shade,Standard,138.0,-0.008,-0.306,69.2,6.8,0.035,0.306,88.0,-6,-6,0.039,0.039,26,26,26,26,2,1,6.0,1.0,7.0,1.0,2.52,1.32,-1.32,51.7,7.129586845683493,5.039493096600409,32.88406981030454,49.34950358239584,31.911322669030383,1,82.9841700084338,318.36241538223595,4.144300420132668,0.0,322.0,83.06385792774157
SL,2025-04-18,87.3,-2.58,4.83,"Dunn, Blake",663624,664747,field_out,hit_into_play,,,,,8.0,Ryan Mountcastle flies out to center fielder Blake Dunn.,R,R,R,BAL,CIN,X,8,fly_ball,1,2,2025,0.26,0.52,0.15,1.91,,,,1,9,Bot,136.94,71.54,,,,,6.189314037887762,-127.16708256878488,-2.061726377787065,1.7215926378712518,23.63709793917615,-26.26056644658603,3.74,1.83,317.0,84.4,30.0,90.0,2597.0,7.7,778276,624431,600869,680574,682622,682829,669720,694362,669289,52.79,0.04,0.04,0.0,1.0,0,0,3.0,75,4,Slider,3,8,3,8,8,3,3,8,Infield shade,Standard,162.0,-0.001,-0.18,79.7,7.9,0.065,0.18,88.0,-5,-5,0.002,0.002,28,28,29,28,1,3,1.0,1.0,3.0,2.0,2.44,-0.26,-0.26,15.9,10.242882249370645,-5.705672734794569,40.34974835097458,40.48482814722644,32.78686127704558,1,28.69758541210504,315.6983506316036,3.8952877888069586,0.0,322.0,29.381323885204267
SL,2025-04-05,81.0,-1.52,5.38,"Dunn, Blake",661388,663903,single,hit_into_play,,,,,14.0,William Contreras singles on a line drive to center fielder Blake Dunn. Jackson Chourio to 3rd. Christian Yelich to 2nd.,R,R,R,MIL,CIN,X,8,line_drive,0,1,2025,0.4,-0.17,1.21,2.02,,694192.0,592885.0,1,5,Bot,128.11,92.7,,,,,5.388454121626272,-117.96113892784496,-0.5615403110046308,2.735060551625123,21.391102433092367,-33.917222468422025,3.46,1.66,231.0,84.4,15.0,81.7,2382.0,6.6,778439,624431,687952,669289,600869,682829,666158,694362,641584,53.86,0.931,0.888,0.9,1.0,1,0,4.0,45,2,Slider,2,7,2,7,7,2,2,7,Standard,Standard,97.0,0.046,0.512,66.4,7.3,1.098,-0.512,88.0,-5,-5,0.092,0.092,28,27,29,28,3,2,5.0,1.0,6.0,3.0,3.63,-0.4,-0.4,33.2,13.7652285570123,8.582308193995003,21.460197578195405,50.0166243776058,33.663719086280736,0,5.884137293540146,230.92504612603366,2.081173690434429,0.0,322.0,91.26483602589951
SI,2025-04-05,93.0,-1.41,5.21,"Dunn, Blake",686554,663903,single,hit_into_play,,,,,5.0,Oliver Dunn singles on a sharp line drive to center fielder Blake Dunn.,R,L,R,MIL,CIN,X,8,line_drive,3,2,2025,-1.44,0.79,-0.12,2.15,,,,2,2,Bot,134.64,85.72,,,,,6.528887917078315,-135.27156238109268,-3.788875283816699,-19.067821602859144,31.453758361413577,-21.8784941526211,3.32,1.55,209.0,109.1,9.0,93.6,2368.0,6.8,778439,624431,687952,669289,600869,682829,666158,694362,641584,53.67,0.8,0.8,0.9,1.0,1,0,4.0,18,7,Sinker,0,4,0,4,4,0,0,4,Standard,Standard,218.0,0.009,0.26,77.4,7.1,1.023,-0.26,109.1,-4,-4,0.139,0.139,28,27,29,28,1,0,5.0,1.0,6.0,1.0,1.86,1.44,-1.44,28.9,6.547297817436862,1.4458562106732151,31.093185932275865,35.71301465392356,27.11361897905288,0,17.0639415746486,208.30223690094397,1.667827871673909,0.0,322.0,114.97112435647522
FF,2025-04-05,92.9,-1.18,5.35,"Dunn, Blake",656555,663903,field_out,hit_into_play,,,,,6.0,Rhys Hoskins flies out to center fielder Blake Dunn.,R,R,R,MIL,CIN,X,8,fly_ball,0,0,2025,-0.48,1.43,0.56,2.82,,,,1,2,Bot,92.93,66.32,,,,,5.579395894740553,-135.09810504805182,-3.8536619760914816,-7.127791357983534,30.19853426436944,-14.00895682226943,3.52,1.63,339.0,89.4,29.0,93.7,2427.0,6.9,778439,624431,687952,669289,600869,682829,666158,694362,641584,53.63,0.06,0.079,0.0,1.0,0,0,3.0,17,1,4-Seam Fastball,0,4,0,4,4,0,0,4,Infield shade,Standard,217.0,-0.012,-0.255,70.7,8.1,0.129,0.255,89.4,-4,-4,0.151,0.151,28,32,29,32,1,0,5.0,1.0,6.0,3.0,1.22,0.48,0.48,33.5,21.89601386708104,-8.695861202603998,32.34802567846961,42.45859826000623,35.01300044872534,1,-81.05097801329377,329.16825327344156,3.998171222770968,0.0,322.0,81.36734536596138
FF,2025-04-05,94.5,-1.8,5.42,"Dunn, Blake",641343,641941,field_out,hit_into_play,,,,,5.0,Jake Bauers flies out sharply to center fielder Blake Dunn. William Contreras to 3rd.,R,L,R,MIL,CIN,X,8,fly_ball,3,1,2025,-0.58,1.48,-0.16,2.75,,661388.0,686217.0,1,9,Bot,121.63,64.51,,,,,5.618141454666753,-137.37421447201842,-4.5561549657140805,-8.709205550317192,33.49335698971307,-12.704457250521976,3.56,1.66,334.0,104.9,45.0,94.9,2350.0,6.8,778439,624431,687952,669289,600869,682829,674441,694362,641584,53.7,0.137,0.25,0.0,1.0,0,0,5.0,84,5,4-Seam Fastball,7,11,7,11,11,7,7,11,Standard,Standard,208.0,-0.027,-0.386,76.9,7.6,0.492,0.386,104.9,-4,-4,0.039,0.039,34,29,34,30,1,1,3.0,3.0,3.0,1.0,1.1,0.58,-0.58,39.7,15.695349872218989,-4.517731708763532,31.603225170437373,37.75532146485496,32.72965145117175,1,-9.459869676040556,333.8660073528186,6.790113392633691,0.0,322.0,15.175350565466903
FS,2025-04-05,85.0,-1.8,5.45,"Dunn, Blake",686217,641941,single,hit_into_play,,,,,7.0,Sal Frelick singles on a fly ball to center fielder Blake Dunn. William Contreras to 2nd.,R,L,R,MIL,CIN,X,8,fly_ball,2,2,2025,-0.67,0.22,-0.68,1.87,,,661388.0,1,9,Bot,106.36,105.6,,,,,4.003605104863654,-123.66977849194473,-2.482638777031452,-7.642285941466149,26.071622655201946,-29.67291222940334,3.08,1.44,228.0,68.3,35.0,85.9,1035.0,7.0,778439,624431,687952,669289,600869,682829,674441,694362,641584,53.52,0.817,0.744,0.9,1.0,1,0,4.0,83,6,Split-Finger,7,11,7,11,11,7,7,11,Standard,Standard,232.0,0.023,0.44,,,0.868,-0.44,88.0,-4,-4,0.016,0.016,34,25,34,25,1,4,3.0,1.0,3.0,1.0,2.96,0.67,-0.67,41.2,,,,,,0,-45.932666872513224,223.3253011057608,3.6231167972233598,0.0,322.0,108.84165603246787
SI,2025-04-05,92.8,1.72,5.61,"Dunn, Blake",686555,573124,field_out,hit_into_play,,,,,4.0,Isaac Collins flies out to center fielder Blake Dunn.,R,R,L,MIL,CIN,X,8,fly_ball,0,2,2025,1.5,0.69,-0.4,2.4,,,,0,6,Bot,142.84,74.33,,,,,-8.599268329873128,-134.73780524879444,-3.833437542694285,20.16204551517503,31.138905089805903,-23.10465839892617,3.21,1.56,313.0,87.0,31.0,91.5,2187.0,5.8,778439,624431,687952,669289,600869,682829,666158,694362,641584,54.7,0.023,0.021,0.0,1.0,0,0,3.0,52,3,Sinker,5,7,5,7,7,5,5,7,Infield shade,Standard,131.0,-0.035,-0.165,78.0,6.7,0.035,0.165,88.0,-2,-2,0.248,0.248,34,27,35,28,1,0,1.0,2.0,4.0,3.0,1.98,1.5,-1.5,27.9,-0.021741083394229,-0.0640671861085961,32.07324448326039,35.80874644294473,30.69093615394844,1,43.56453779737498,309.95343367431997,4.130365286887687,0.0,322.0,45.19943267053163
