pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-09-24,90.8,1.63,5.93,"Edman, Tommy",606466,477132,field_out,hit_into_play,,,,,5.0,Ketel Marte flies out to center fielder Tommy Edman.,R,R,L,AZ,LAD,X,8,fly_ball,3,2,2025,-0.25,1.25,-0.25,2.42,,,,2,9,Bot,155.92,60.08,,,,,-4.187900169060455,-132.17165724090407,-5.621253177829871,-2.069157327357732,26.28428754159964,-16.505327348803068,3.63,1.73,352.0,95.5,26.0,91.5,2163.0,6.5,776193,666163,518692,500743,571771,605141,681624,669242,606192,53.98,0.266,0.391,0.0,1.0,0,0,5.0,73,6,4-Seam Fastball,4,4,4,4,4,4,4,4,Strategic,Strategic,175.0,-0.033,-0.329,81.6,7.7,0.672,0.329,95.5,0,0,0.533,0.533,37,31,37,32,1,4,5.0,1.0,4.0,1.0,1.5,-0.25,0.25,52.5,-0.4285008312325555,-0.9340048213285828,34.23849277030198,29.450902488574314,29.287320063037622,1,75.86431202111255,343.72751731795245,3.865069188585471,0.0,316.0,80.77257613233638
SL,2025-09-24,81.9,-1.47,6.07,"Edman, Tommy",680728,683618,sac_fly,hit_into_play,,,,,2.0,Adrian Del Castillo out on a sacrifice fly to center fielder Tommy Edman. Corbin Carroll scores.,R,L,R,AZ,LAD,X,8,fly_ball,1,2,2025,1.04,-0.71,-0.11,3.23,682998.0,,672515.0,1,8,Bot,116.84,44.36,,,,,1.0567076062913927,-119.30674812267208,1.5448384622336475,9.701816951943446,23.41842422173582,-39.48347334347057,3.43,1.6,382.0,99.9,23.0,82.6,2560.0,6.8,776193,666163,518692,500743,571771,605141,681624,669242,606192,53.74,0.46,0.66,0.0,1.0,0,0,5.0,65,4,Slider,3,4,3,4,4,4,4,4,Standard,Standard,51.0,0.071,-0.052,68.0,6.5,1.128,0.052,99.9,-1,-1,0.479,0.479,23,25,23,26,1,0,1.0,1.0,3.0,1.0,4.11,-1.04,1.04,48.8,8.638439166246084,3.604835589894333,22.220706167098804,40.61785461100502,32.65885211539192,1,-21.262289531854442,381.40780674215836,3.610421634182956,0.0,316.0,68.77693028157002
CU,2025-09-24,83.0,1.89,6.63,"Edman, Tommy",606466,605483,double,hit_into_play,,,,,14.0,Ketel Marte doubles (27) on a sharp line drive to center fielder Tommy Edman.,R,R,L,AZ,LAD,X,8,line_drive,1,2,2025,-0.71,-0.26,0.87,2.51,,,,0,1,Bot,92.99,22.18,,,,,-0.9645582674224152,-120.97471249492902,-2.4840556556235995,-6.761113222684488,23.090936220794045,-34.50566771435454,3.63,1.73,398.0,111.9,16.0,83.8,2458.0,6.7,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.83,0.729,0.875,1.25,1.0,1,1,6.0,5,4,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,321.0,0.064,0.786,79.2,8.0,1.372,-0.786,111.9,-1,-1,0.442,0.442,32,31,33,32,1,0,7.0,1.0,6.0,1.0,3.56,-0.71,0.71,56.8,2.85161853936559,-5.714723272533653,27.475878471350697,42.06256055303438,36.82933078067994,0,-72.08623994278271,391.41739104300353,2.8768818627002517,0.0,316.0,104.32741183802918
CU,2025-09-21,86.6,-2.02,5.94,"Edman, Tommy",672275,694361,field_out,hit_into_play,,,,,2.0,Patrick Bailey flies out to center fielder Tommy Edman.,R,L,R,LAD,SF,X,8,fly_ball,0,0,2025,0.91,-0.99,-0.24,2.97,683766.0,,,2,9,Top,94.44,50.32,,,,,2.386309610720076,-126.15997422515292,1.1602874976206343,9.24395726042368,26.07789151973356,-43.22930920020818,3.3,1.6,375.0,99.3,30.0,86.8,2542.0,6.4,776227,687221,518692,500743,571970,605141,624424,669242,681624,54.1,0.494,0.924,0.0,1.0,0,0,6.0,66,1,Curveball,1,3,3,1,3,1,3,1,Standard,Standard,19.0,0.014,-0.277,67.6,6.5,1.766,0.277,99.3,-2,2,0.073,0.927,25,26,26,26,1,1,1.0,1.0,4.0,1.0,4.03,-0.91,0.91,56.7,2.078186474202728,6.913992074679864,25.81266549232756,40.12154076562511,26.74105177589585,1,-76.85629327228072,367.039657509165,4.567465617940578,0.0,316.0,92.2601563742859
FC,2025-09-21,90.7,-2.33,5.66,"Edman, Tommy",683766,694361,double,hit_into_play,,,,,8.0,"Dodgers challenged (tag play), call on the field was upheld: Christian Koss doubles (9) on a sharp line drive to center fielder Tommy Edman.",R,R,R,LAD,SF,X,8,line_drive,0,0,2025,0.46,0.06,0.23,1.89,,,,1,9,Top,147.76,71.64,,,,,5.431204655040914,-132.00209705782365,-3.6694430131456257,4.31560529143372,26.84217708300711,-30.897532651359512,3.66,1.64,267.0,104.6,12.0,91.1,2473.0,6.4,776227,687221,518692,500743,571970,605141,624424,669242,681624,54.06,0.903,0.897,1.25,1.0,1,1,4.0,64,1,Cutter,1,3,3,1,3,1,3,1,Standard,Standard,29.0,-0.014,0.642,71.2,7.4,1.186,-0.642,104.6,-2,2,0.078,0.922,25,27,26,27,1,3,1.0,2.0,4.0,2.0,2.7,-0.46,-0.46,42.6,6.955936836247732,6.000880171736613,29.73548379444266,40.68773478044719,24.88992612562049,0,46.387654091701556,262.9395092941885,2.0727171634463613,0.0,316.0,70.47857920015744
SL,2025-09-21,83.3,0.14,6.19,"Edman, Tommy",805811,681911,field_out,hit_into_play,,,,,5.0,Bryce Eldridge flies out sharply to center fielder Tommy Edman.,R,L,L,LAD,SF,X,8,fly_ball,1,0,2025,-0.56,0.26,-0.2,2.51,646240.0,642715.0,,2,8,Top,104.23,56.87,,,,,0.3300196411620442,-121.5069520240852,-2.6615745355174014,-5.721399211014729,18.70218213446337,-29.315538513824755,3.76,1.75,355.0,102.4,41.0,83.8,2345.0,6.0,776227,687221,518692,500743,571970,605141,624424,669242,681624,54.51,0.197,0.376,0.0,1.0,0,0,5.0,58,2,Slider,1,3,3,1,3,1,3,1,Standard,Standard,217.0,0.03,-0.306,74.9,7.5,0.725,0.306,102.4,-2,2,0.126,0.874,29,20,29,21,1,3,3.0,1.0,2.0,1.0,2.95,-0.56,-0.56,71.8,19.07469202967105,-3.864633443458282,38.12597131441583,37.10550284790703,33.91291242680707,1,-52.6122953335084,351.0796866521042,6.155200561448734,0.0,316.0,63.23478501481703
SL,2025-09-19,86.8,1.6,6.02,"Edman, Tommy",671218,477132,field_out,hit_into_play,,,,,4.0,Heliot Ramos flies out to center fielder Tommy Edman.,R,R,L,LAD,SF,X,8,fly_ball,1,2,2025,-0.21,0.86,-0.37,2.05,,,672275.0,1,4,Top,128.08,50.28,,,,,-4.311292798459505,-126.41497483676524,-5.190880785426739,-1.505319602974728,23.40362275396372,-22.10230151723463,3.09,1.46,367.0,96.9,26.0,87.8,2512.0,6.7,776256,687221,518692,500743,571771,605141,681624,669242,606192,53.81,0.317,0.487,0.0,1.0,0,0,5.0,30,4,Slider,1,2,2,1,2,1,2,1,Standard,Standard,200.0,0.028,-0.179,74.5,6.6,0.856,0.179,96.9,-1,1,0.369,0.631,37,25,37,26,3,2,6.0,1.0,5.0,1.0,2.14,-0.21,0.21,55.5,5.511889293056579,-2.3102021587873174,34.81477960490448,28.96836089531773,29.56793399076156,1,6.595461475853719,366.94073075623606,3.9203423063652134,0.0,316.0,51.365924133211166
FF,2025-09-19,89.5,1.62,5.98,"Edman, Tommy",527038,477132,single,hit_into_play,,,,,2.0,Wilmer Flores singles on a line drive to center fielder Tommy Edman. Matt Chapman scores.,R,R,L,LAD,SF,X,8,line_drive,1,0,2025,0.03,1.46,0.25,2.73,,656305.0,,1,3,Top,134.79,71.79,,,,,-3.4827983948752306,-130.36406414488428,-5.177753957524499,1.0715571693930208,25.75876828226884,-14.600243355228248,3.24,1.57,230.0,99.2,11.0,90.4,2288.0,6.6,776256,687221,518692,500743,571771,605141,681624,669242,606192,53.87,0.86,0.825,0.9,1.0,1,0,4.0,22,2,4-Seam Fastball,1,1,1,1,2,1,2,1,Standard,Standard,171.0,-0.098,0.512,63.9,6.0,1.022,-0.512,99.2,0,0,0.478,0.522,37,33,37,34,2,1,6.0,1.0,5.0,3.0,1.36,0.03,-0.03,54.1,-0.4727979312626569,18.581463666943264,31.00689919425333,35.89842983047346,24.404075090114898,0,16.99249167157345,229.37143507157012,1.8277373328854412,0.0,316.0,88.27940323069524
FF,2025-09-19,88.6,1.73,5.97,"Edman, Tommy",656305,477132,double,hit_into_play,,,,,8.0,Matt Chapman doubles (21) on a sharp line drive to center fielder Tommy Edman.,R,R,L,LAD,SF,X,8,line_drive,1,1,2025,0.03,1.56,0.07,2.14,,,,1,3,Top,149.0,47.32,,,,,-4.106983243029531,-128.92370812377607,-6.589961522457913,1.0815193886848742,24.484405617125955,-13.604238092215818,3.46,1.67,333.0,107.1,14.0,88.9,2325.0,6.3,776256,687221,518692,500743,571771,605141,681624,669242,606192,54.21,0.751,0.784,1.25,1.0,1,1,5.0,21,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Strategic,172.0,-0.047,0.653,79.6,7.2,1.102,-0.653,107.1,0,0,0.525,0.475,37,32,37,32,2,1,6.0,1.0,5.0,1.0,1.32,0.03,-0.03,53.9,2.901189352054202,13.69595313697587,26.85872191150781,37.71827664585047,22.091897263321258,0,51.39486816446699,329.00998089170037,2.4386932539544435,0.0,316.0,53.01596058212424
FF,2025-09-19,98.2,2.13,5.44,"Edman, Tommy",656305,680736,single,hit_into_play,,,,,4.0,Matt Chapman singles on a line drive to center fielder Tommy Edman. Willy Adames scores.,R,R,L,LAD,SF,X,8,line_drive,2,2,2025,0.53,1.25,-0.33,2.36,,642715.0,,2,7,Top,157.93,98.15,,,,,-7.746606254523144,-142.7655107031888,-5.673905457961123,8.943094970486689,31.753132909006474,-13.936603569846532,3.46,1.67,231.0,76.0,22.0,96.9,2437.0,5.5,776256,687221,518692,500743,571771,605141,681624,669242,606192,54.98,0.96,0.877,0.9,1.0,1,0,4.0,57,6,4-Seam Fastball,6,2,2,6,3,6,3,6,Strategic,Standard,139.0,-0.034,0.741,69.4,6.7,1.032,-0.741,88.0,4,-4,0.96,0.04,24,32,25,32,1,3,3.0,1.0,1.0,1.0,1.11,0.53,-0.53,36.3,-2.979835761046597,10.019763618007582,35.898129072351054,31.74062406681364,20.30289369780708,0,71.34132111550493,219.70756905826983,2.6656055278500865,0.0,316.0,119.84079587174588
