pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FS,2025-09-28,82.1,-2.12,6.06,"Grisham, Trent",663624,518585,field_out,hit_into_play,,,,,3.0,Ryan Mountcastle flies out sharply to center fielder Trent Grisham.,R,R,R,NYY,BAL,X,8,fly_ball,1,2,2025,-0.16,0.1,0.54,3.05,,641933.0,668939.0,2,6,Top,99.0,41.69,,,,,6.432405321523534,-119.5331044863421,-0.526978171715482,-2.693628673245758,20.42472562513797,-31.28750602101877,3.59,1.74,393.0,100.0,28.0,83.6,899.0,7.0,776140,669224,700250,676609,641857,683011,641355,663757,592450,53.48,0.566,0.998,0.0,1.0,0,0,6.0,45,5,Split-Finger,2,2,2,2,2,2,2,2,Strategic,Standard,237.0,0.065,-0.191,77.3,7.4,1.875,0.191,100.0,0,0,0.509,0.491,35,28,35,28,1,2,2.0,3.0,2.0,,3.24,0.16,0.16,52.5,8.736355355342528,-4.410284690723946,25.130025334241,43.487530890086816,33.90426530056034,1,-65.38726672348871,387.5222643286852,4.323350252711816,0.0,319.0,94.71428275766468
FS,2025-09-28,81.0,-2.24,6.02,"Grisham, Trent",676059,518585,single,hit_into_play,,,,,6.0,Jordan Westburg singles on a line drive to center fielder Trent Grisham.,R,R,R,NYY,BAL,X,8,line_drive,2,2,2025,-0.45,-0.12,0.79,2.34,,,,0,6,Top,131.26,88.24,,,,,7.744158654293816,-117.80861795865816,-1.4253797749791397,-5.557080944138088,19.73529297463826,-33.223809921752405,3.51,1.61,251.0,77.8,24.0,82.4,774.0,7.0,776140,669224,700250,676609,641857,683011,641355,663757,592450,53.49,0.674,0.607,0.9,1.0,1,0,4.0,41,5,Split-Finger,2,2,2,2,2,2,2,2,Strategic,Standard,262.0,-0.053,0.465,72.3,7.0,0.736,-0.465,88.0,0,0,0.5,0.5,35,26,35,26,1,2,2.0,1.0,2.0,,3.56,0.45,0.45,48.9,16.832745613059657,-3.382877761796601,28.762352069312605,46.725131062528845,36.82461946543718,0,13.303459397597583,250.64719820507963,2.9482754129592412,0.0,319.0,69.63539003379816
SI,2025-09-27,98.1,-1.65,6.36,"Grisham, Trent",641933,693645,single,hit_into_play,,,,,6.0,Tyler O'Neill singles on a sharp line drive to center fielder Trent Grisham.,R,R,R,NYY,BAL,X,8,line_drive,1,0,2025,-0.92,1.1,0.4,1.89,,,,2,6,Top,106.27,89.32,,,,,7.649107650081166,-142.46939024701686,-9.177016052101648,-14.278959500364437,30.315853004216248,-15.277646229498234,3.07,1.32,192.0,102.4,9.0,98.3,2238.0,6.4,776162,700250,502671,676609,641857,683011,641355,663757,592450,54.13,0.754,0.712,0.9,1.0,1,0,4.0,47,2,Sinker,6,0,0,6,0,6,0,6,Strategic,Standard,206.0,-0.003,0.29,76.1,7.6,0.883,-0.29,102.4,6,-6,0.987,0.013,24,30,24,30,3,2,6.0,1.0,5.0,1.0,1.26,0.92,0.92,42.1,8.670016971651714,-0.4358890702735267,34.67306377202349,39.34149888293717,29.01147724609155,0,-33.23805731741062,189.10111460740924,1.5785913682010133,0.0,319.0,134.0838874752403
FF,2025-09-27,96.9,-1.54,6.59,"Grisham, Trent",676059,693645,field_out,hit_into_play,,,,,1.0,Jordan Westburg lines out to center fielder Trent Grisham.,R,R,R,NYY,BAL,X,8,line_drive,0,0,2025,-0.53,1.44,-0.77,3.28,,,,0,6,Top,121.41,85.3,,,,,3.273734525917134,-141.03215613629806,-6.6349327995118506,-7.81048598008313,31.067707043053023,-11.601304731987634,3.5,1.61,284.0,81.2,25.0,97.3,2362.0,6.4,776162,700250,502671,676609,641857,683011,641355,663757,592450,54.07,0.326,0.293,0.0,1.0,0,0,3.0,45,1,4-Seam Fastball,6,0,0,6,0,6,0,6,Strategic,Standard,204.0,0.006,-0.259,69.6,6.1,0.392,0.259,88.0,6,-6,0.977,0.023,24,26,24,26,3,2,6.0,1.0,5.0,1.0,0.98,0.53,0.53,46.0,7.594816686136746,0.1401688784260599,24.08539824873776,29.73761747483848,26.58683095667187,1,-10.0745615772604,283.8212522152384,3.1871875585216753,0.0,319.0,36.59291033353155
CU,2025-09-27,87.0,-2.0,6.32,"Grisham, Trent",676059,693645,field_out,hit_into_play,,,,,8.0,Jordan Westburg flies out sharply to center fielder Trent Grisham.,R,R,R,NYY,BAL,X,8,fly_ball,1,1,2025,0.7,-0.43,-0.1,1.72,,,,0,4,Top,103.08,40.59,,,,,3.1238069850367967,-126.68201745467356,-3.9779663691212432,6.904324496569277,25.45274879842119,-36.20268149203624,3.5,1.61,394.0,100.8,28.0,87.1,2553.0,6.3,776162,700250,502671,665862,641857,683011,641355,663757,592450,54.21,0.626,1.181,0.0,1.0,0,0,6.0,23,3,Curveball,3,0,0,3,0,3,0,3,Strategic,Standard,89.0,0.021,-0.251,77.6,7.0,2.268,0.251,100.8,3,-3,0.824,0.176,24,26,24,26,2,1,6.0,1.0,5.0,1.0,3.43,-0.7,-0.7,41.9,5.04923161560687,-5.717317265576784,34.06225824677676,36.75494310961603,35.14128368638092,1,-55.26970479016375,390.10416523334914,4.35725632523253,0.0,319.0,90.05855084956268
CH,2025-09-25,84.1,2.3,6.25,"Grisham, Trent",678246,607074,field_out,hit_into_play,,,,,9.0,Miguel Vargas lines out sharply to center fielder Trent Grisham.,R,R,L,NYY,CWS,X,8,line_drive,1,1,2025,0.77,0.41,0.52,1.87,,,700337.0,1,6,Top,120.49,52.01,,,,,-5.64222963681292,-122.31194543463816,-4.547836911958763,8.833998531090321,24.524246292921788,-27.35801128690409,3.39,1.59,363.0,102.9,21.0,83.7,1713.0,6.1,776184,669224,700250,665862,641857,683011,641355,663757,592450,54.38,0.537,0.699,0.0,1.0,0,0,6.0,48,3,Changeup,4,3,3,4,3,4,3,4,Strategic,Standard,135.0,0.046,-0.235,71.1,8.0,1.156,0.235,102.9,1,-1,0.662,0.338,32,25,33,26,3,2,5.0,1.0,6.0,1.0,2.82,0.77,-0.77,43.7,13.527517482834847,1.9513769108065808,35.9587019962648,43.49976884417225,40.11167568246734,1,-12.22873121628927,362.79396099279234,3.4166068930550235,0.0,319.0,45.46925210071598
SI,2025-09-25,91.7,2.28,6.38,"Grisham, Trent",695657,607074,double,hit_into_play,,,,,6.0,Colson Montgomery doubles (8) on a sharp fly ball to center fielder Trent Grisham.,R,L,L,NYY,CWS,X,8,fly_ball,0,0,2025,1.02,0.68,0.39,2.41,,,,0,6,Top,162.46,45.65,,,,,-6.938797559145968,-133.3732211288227,-5.6060748305122265,13.675395582501736,28.749063717330905,-23.004366549259245,3.6,1.69,388.0,107.9,26.0,91.1,2319.0,5.9,776184,669224,700250,665862,641857,683011,641355,663757,592450,54.57,0.991,1.992,1.25,1.0,1,1,6.0,46,1,Sinker,4,3,3,4,3,4,3,4,Infield shade,Standard,139.0,-0.1,0.716,78.5,7.5,3.901,-0.716,107.9,1,-1,0.667,0.333,32,23,33,23,3,2,5.0,1.0,6.0,1.0,2.03,1.02,1.02,45.7,11.508316997678758,-6.720108823638072,35.14437596860695,30.961951235957606,34.79700476035001,0,91.50897179189839,377.05451606046245,4.35522613451734,0.0,319.0,108.37074676048397
CH,2025-09-25,84.8,2.29,6.29,"Grisham, Trent",667452,607074,field_out,hit_into_play,,,,,6.0,Corey Julks flies out to center fielder Trent Grisham.,R,R,L,NYY,CWS,X,8,fly_ball,1,0,2025,1.08,0.38,0.3,2.28,,,,2,4,Top,120.21,90.48,,,,,-6.779313596666751,-123.18590051660568,-3.711549523309309,12.414602138877049,26.21668872668655,-27.71624504857564,3.39,1.58,271.0,77.9,33.0,84.2,1570.0,6.2,776184,669224,700250,665862,641857,683011,641355,663757,592450,54.33,0.08,0.072,0.0,1.0,0,0,3.0,32,2,Changeup,1,3,3,1,3,1,3,1,Strategic,Standard,136.0,0.009,-0.299,71.2,7.1,0.102,0.299,88.0,-2,2,0.291,0.709,32,29,33,29,2,1,5.0,1.0,6.0,,2.82,1.08,-1.08,44.8,9.513589875425472,-4.214619565662616,33.4349472753104,42.10160444394396,39.10061598181908,1,-13.083436310870773,270.68399231262157,3.915767916043475,0.0,319.0,50.0560975760938
SL,2025-09-25,84.8,2.27,6.28,"Grisham, Trent",805367,607074,field_out,hit_into_play,,,,,5.0,Chase Meidroth lines out to center fielder Trent Grisham.,R,R,L,NYY,CWS,X,8,line_drive,1,1,2025,-0.04,0.42,0.0,2.29,,,,0,3,Top,126.1,79.8,,,,,-5.2018663545223705,-123.34705443805818,-3.7438429194357656,0.7757688927462099,28.045309967715248,-27.290951170466464,3.03,1.42,297.0,97.9,18.0,83.8,2490.0,6.0,776184,669224,700250,665862,641857,683011,641355,663757,592450,54.51,0.403,0.441,0.0,1.0,0,0,4.0,22,3,Slider,1,1,1,1,1,1,1,1,Standard,Standard,299.0,0.025,-0.251,69.8,6.6,0.65,0.251,97.9,0,0,0.5,0.5,32,23,33,24,2,1,5.0,1.0,6.0,1.0,2.79,-0.04,0.04,42.3,8.455588069060456,5.005127311060455,36.26069714074578,35.95980445913668,29.77142143314641,1,1.7047072947389765,296.9951076584247,2.8242037953204266,0.0,319.0,22.07082494890159
CH,2025-09-25,84.3,2.38,6.21,"Grisham, Trent",667452,607074,sac_fly,hit_into_play,,,,,5.0,Corey Julks out on a sacrifice fly to center fielder Trent Grisham. Miguel Vargas scores.,R,R,L,NYY,CWS,X,8,fly_ball,1,2,2025,0.68,0.48,0.28,2.37,678246.0,691019.0,,1,2,Top,149.06,49.9,,,,,-6.225393342035553,-122.71449017798253,-3.5530370920626684,8.068645019645132,22.665921735833045,-26.81731410755092,3.39,1.58,373.0,97.6,25.0,84.3,1637.0,6.2,776184,669224,700250,665862,641857,683011,641355,663757,592450,54.35,0.397,0.59,0.0,1.0,0,0,5.0,14,4,Changeup,1,0,0,1,1,1,1,1,Standard,Standard,134.0,0.004,-0.065,71.8,7.1,1.024,0.065,97.6,1,-1,0.512,0.488,32,29,33,29,1,0,5.0,1.0,6.0,,2.71,0.68,-0.68,43.6,11.779202200139034,4.50553066816417,34.10455451457344,42.032253871536966,34.858267825022345,1,58.6903109721462,368.3536987706147,3.809529082611569,0.0,319.0,76.68337619293897
