pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FC,2025-09-23,88.8,-2.22,5.71,"Johnson, Bryce",661388,681190,field_out,hit_into_play,,,,,12.0,William Contreras lines out to center fielder Bryce Johnson.,R,R,R,SD,MIL,X,8,line_drive,1,1,2025,0.03,0.79,1.05,2.82,,,,0,4,Top,146.33,64.32,,,,,7.878176094780805,-129.18233844929475,-2.6928178565042,-1.2639368105132724,25.474026240453888,-22.89101039084712,3.46,1.64,337.0,97.4,22.0,88.3,2776.0,5.9,776214,666023,656811,669200,578428,593428,657757,669369,657656,54.61,0.257,0.334,0.0,1.0,0,0,5.0,29,3,Cutter,6,0,0,6,0,6,0,6,Standard,Standard,203.0,0.008,-0.251,71.9,7.5,0.541,0.251,97.4,6,-6,0.957,0.043,26,27,27,28,2,1,5.0,1.0,5.0,3.0,2.08,-0.03,-0.03,32.4,14.471628179374662,5.690960709037815,21.54973984859697,49.35777829546324,28.838375351605187,1,51.977236032611856,332.96751633516766,3.381670667630846,0.0,323.0,52.9243275581436
CH,2025-09-23,86.4,-2.2,5.73,"Johnson, Bryce",592885,681190,single,hit_into_play,,,,,7.0,Christian Yelich singles on a line drive to center fielder Bryce Johnson.,R,L,R,SD,MIL,X,8,line_drive,0,2,2025,-1.62,0.52,-0.8,2.03,,,,1,3,Top,127.88,92.32,,,,,6.585560735156031,-125.54725570917446,-3.5535921254634344,-18.50745876548358,28.249934805627195,-26.143007007214,3.33,1.78,267.0,93.7,17.0,85.3,2246.0,5.9,776214,666023,656811,669200,578428,593428,657757,669369,657656,54.56,0.614,0.583,0.9,1.0,1,0,4.0,22,5,Changeup,6,0,0,6,0,6,0,6,Infield shade,Standard,242.0,-0.01,0.507,68.9,8.0,0.776,-0.507,93.7,6,-6,0.955,0.045,26,33,27,34,2,1,5.0,1.0,5.0,1.0,2.57,1.62,-1.62,30.1,10.931836319677611,7.63032056103204,35.404270093567774,48.0327387905411,29.191838293275087,0,6.197668958418316,266.92805940830175,2.5702051839924875,0.0,323.0,56.413417040958265
FF,2025-09-23,92.1,1.88,6.15,"Johnson, Bryce",686217,673513,single,hit_into_play,,,,,2.0,Sal Frelick singles on a line drive to center fielder Bryce Johnson.,R,L,L,SD,MIL,X,8,line_drive,1,1,2025,0.5,1.62,-0.15,2.77,,,,2,9,Top,106.91,92.72,,,,,-6.190374283725999,-133.86110095093005,-6.186696832645671,7.409413197632114,29.386047802789783,-11.547858938260184,3.08,1.47,232.0,78.1,20.0,91.1,2451.0,5.8,776214,666023,656811,669200,578428,593428,657757,669369,657656,54.69,0.986,0.903,0.9,1.0,1,0,4.0,67,3,4-Seam Fastball,7,0,0,7,0,7,0,7,Infield shade,Standard,162.0,0.0,0.344,58.9,7.3,1.063,-0.344,88.0,7,-7,0.999,0.001,29,25,30,25,1,3,5.0,1.0,4.0,1.0,1.08,0.5,0.5,56.1,13.005120660745613,4.841793173124813,21.08086282387324,38.05137794524377,23.25641544618206,0,-40.0736342308816,228.51280891785805,2.5096447844064302,0.0,323.0,102.63393902147422
SI,2025-09-23,94.3,-2.26,5.7,"Johnson, Bryce",694192,681190,field_out,hit_into_play,,,,,4.0,Jackson Chourio flies out sharply to center fielder Bryce Johnson.,R,R,R,SD,MIL,X,8,fly_ball,0,0,2025,-1.45,0.83,-0.63,2.59,,,,1,1,Top,121.31,55.69,,,,,7.436100363123718,-137.1777685245179,-4.207816225438677,-19.93487820278256,30.36737313818429,-20.898778927421866,3.41,1.63,354.0,105.5,39.0,93.9,2431.0,6.1,776214,666023,656811,669200,578428,593428,657757,669369,657656,54.44,0.546,1.097,0.0,1.0,0,0,6.0,2,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,219.0,0.015,-0.255,81.5,7.8,2.143,0.255,105.5,0,0,0.522,0.478,26,21,27,21,1,0,5.0,1.0,5.0,1.0,1.73,1.45,1.45,28.4,13.040694599520966,-9.709236549206514,25.873772932184245,32.38911937376006,34.78712483142998,1,-10.200139550025705,353.85301631208404,6.083791594602746,0.0,323.0,32.495406789171334
FF,2025-09-23,91.6,1.97,6.18,"Johnson, Bryce",668930,673513,field_out,hit_into_play,,,,,5.0,Brice Turang flies out sharply to center fielder Bryce Johnson.,R,L,L,SD,MIL,X,8,fly_ball,2,1,2025,0.31,1.66,-0.06,2.74,,,,0,9,Top,89.25,52.13,,,,,-5.721407552949088,-133.1710885748635,-6.300249389795176,4.985299381550339,30.107182080396417,-11.269842358157778,3.52,1.69,374.0,104.3,37.0,90.2,2467.0,5.6,776214,666023,656811,669200,578428,593428,657757,669369,657656,54.9,0.537,1.062,0.0,1.0,0,0,6.0,65,4,4-Seam Fastball,7,0,0,7,0,7,0,7,Infield shade,Standard,157.0,0.0,-0.306,73.7,7.3,2.077,0.306,104.3,7,-7,0.999,0.001,29,25,30,26,1,3,5.0,1.0,4.0,1.0,1.07,0.31,0.31,55.5,14.497903070039891,0.4587625484146791,34.02617697584063,34.525057664739045,37.15108907799711,1,-89.85466614758528,363.0456430967131,5.755139142102481,0.0,323.0,98.37435925851479
SI,2025-09-01,98.7,2.3,6.04,"Johnson, Bryce",656896,670970,single,hit_into_play,,,,,2.0,Emmanuel Rivera singles on a line drive to center fielder Bryce Johnson.,R,R,L,SD,BAL,X,8,line_drive,1,2,2025,1.58,0.95,-0.23,2.97,,,,2,5,Top,137.85,97.24,,,,,-10.574165651775452,-143.14826788210036,-5.055044804318802,24.34966545839522,38.16705286950129,-18.03008404743785,3.38,1.65,216.0,88.4,15.0,98.2,2277.0,6.5,776494,666023,656811,630105,592518,578428,657757,669369,657656,53.95,0.991,0.928,0.9,1.0,1,0,4.0,39,4,Sinker,2,3,3,2,3,2,3,2,Standard,Standard,147.0,-0.014,0.406,59.4,5.9,1.134,-0.406,88.4,-1,1,0.396,0.604,26,29,26,29,1,2,2.0,3.0,6.0,1.0,1.43,1.58,-1.58,46.1,5.158412316753035,9.715302218788285,32.77288316059571,29.121077763978203,23.494032165474053,0,26.376197444689026,214.38352597240018,2.1718208092391325,0.0,323.0,111.77317308652145
SL,2025-09-01,89.8,2.8,5.62,"Johnson, Bryce",683002,606996,field_out,hit_into_play,,,,,5.0,Gunnar Henderson lines out to center fielder Bryce Johnson.,R,L,L,SD,BAL,X,8,line_drive,0,0,2025,-0.13,0.66,-0.15,2.72,,,,2,9,Top,110.73,71.45,,,,,-7.082347960825966,-130.68556141710033,-2.591684356369708,0.0331903578859439,28.06931522020753,-24.30769591803955,3.69,1.79,319.0,89.4,22.0,90.4,2439.0,6.7,776494,666023,656811,630105,592518,578428,657757,669369,657656,53.82,0.243,0.247,0.0,1.0,0,0,3.0,72,1,Slider,3,4,4,3,4,3,4,3,Infield shade,Standard,165.0,0.008,-0.261,74.5,6.7,0.352,0.261,89.4,-1,1,0.186,0.814,32,24,33,24,1,4,1.0,1.0,2.0,1.0,2.17,-0.13,-0.13,34.3,5.742759130279933,4.5663958424643205,23.64917940479709,36.197745018448245,36.5702279047166,1,-36.70545005686221,316.8812237039664,3.113200416523471,0.0,323.0,37.21195355309513
FF,2025-09-01,96.5,-1.35,6.24,"Johnson, Bryce",702616,656302,field_out,hit_into_play,,,,,9.0,Jackson Holliday flies out to center fielder Bryce Johnson.,R,L,R,SD,BAL,X,8,fly_ball,3,1,2025,-0.38,1.61,0.43,2.09,,,,0,1,Top,108.42,55.64,,,,,5.615289718589229,-140.13216208529863,-9.099598273481622,-6.313676089379838,33.98761379064254,-9.097159971377328,3.39,1.59,357.0,94.3,27.0,96.3,2382.0,6.5,776494,666023,656811,630105,592518,578428,657757,669369,657656,54.03,0.149,0.194,0.0,1.0,0,0,3.0,1,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,198.0,0.022,-0.439,70.1,6.9,0.328,0.439,94.3,0,0,0.5,0.5,29,21,30,22,1,0,6.0,1.0,6.0,1.0,0.87,0.38,-0.38,55.7,6.517802640930514,1.381467639747319,39.09987295483359,28.89738262283392,24.24289574438439,1,-42.251597861556185,354.4909060584564,3.9503536026663086,0.0,323.0,52.69605949439849
FF,2025-08-30,84.9,-3.35,3.92,"Johnson, Bryce",665019,689690,field_out,hit_into_play,,,,,4.0,Kody Clemens flies out sharply to center fielder Bryce Johnson.,R,L,R,MIN,SD,X,8,fly_ball,0,0,2025,-1.14,1.15,-0.3,2.46,,,,1,9,Bot,116.6,42.12,,,,,9.610622280823314,-123.23533612383804,0.6836463962696023,-13.51925137980062,24.34599941526972,-20.84235047012542,3.61,1.78,388.0,103.8,30.0,86.5,2262.0,7.4,776530,553869,630105,695238,578428,669200,657656,669369,656811,53.07,0.866,1.738,0.0,1.0,0,0,6.0,82,1,4-Seam Fastball,3,12,3,12,12,3,3,12,Infield shade,Standard,238.0,0.0,-0.255,73.3,7.5,3.377,0.255,103.8,-9,-9,0.001,0.001,27,29,27,29,1,3,1.0,1.0,3.0,1.0,2.03,1.14,-1.14,-1.1,13.658423302440267,0.2901985251773155,28.160903668774125,38.822793216981765,31.517602573539865,1,-21.880972765384833,387.38252804023114,4.77085954544374,0.0,323.0,67.99916827440363
FS,2025-08-26,84.6,-0.67,5.58,"Johnson, Bryce",641487,669093,field_out,hit_into_play,,,,,1.0,J.P. Crawford flies out to center fielder Bryce Johnson. Jorge Polanco to 2nd.,R,L,R,SEA,SD,X,8,fly_ball,1,1,2025,-1.05,0.75,-0.73,2.97,,,593871.0,1,8,Bot,111.82,52.84,,,,,1.9977486825045407,-123.36464553266744,-1.3143682451240688,-11.175849815969816,22.20851204212148,-24.409372432273127,3.32,1.55,363.0,95.9,34.0,86.4,1581.0,7.1,776577,666023,656811,630105,592518,593428,657656,669369,665487,53.36,0.18,0.331,0.0,1.0,0,0,3.0,72,3,Split-Finger,6,7,6,7,7,6,6,7,Infield shade,Standard,234.0,-0.047,-0.235,66.7,7.4,0.635,0.235,95.9,-1,-1,0.305,0.305,26,30,27,30,1,3,2.0,1.0,4.0,1.0,2.4,1.05,-1.05,57.1,9.886771111740268,1.5480590218815775,22.80934045706811,47.04903916869546,39.0501422266883,1,-33.79876164450632,361.4230813206288,4.92703618884654,0.0,323.0,51.173132275382606
