pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FS,2025-08-15,88.4,-1.09,6.06,"Johnson, Daniel",621043,687064,field_out,hit_into_play,,,,,14.0,Carlos Correa lines out to center fielder Daniel Johnson.,R,R,R,HOU,BAL,X,8,line_drive,1,2,2025,-1.02,0.48,0.38,1.36,,,,1,7,Bot,148.31,67.75,,,,,5.726907096634252,-128.50536296687267,-6.419324277136324,-12.461802302197144,25.711328319547444,-25.784610812187125,3.55,1.64,330.0,92.2,23.0,88.9,1538.0,6.6,776733,668939,691723,702616,676059,683002,666185,669288,669236,53.91,0.166,0.186,0.0,1.0,0,0,3.0,51,4,Split-Finger,0,4,0,4,4,0,0,4,Standard,Standard,215.0,-0.01,-0.18,75.7,7.9,0.29,0.18,92.2,-4,-4,0.047,0.047,26,30,27,31,3,2,6.0,3.0,6.0,1.0,2.44,1.02,1.02,47.2,13.586239743054245,6.335661989416492,37.87919205127925,41.06268524433808,29.32672493403772,1,57.00390639447814,325.0393124773826,3.3402990763441953,11.202738441502811,320.80445547312974,45.99653247477602
FS,2025-08-15,88.4,-1.09,6.06,"Johnson, Daniel",621043,687064,field_out,hit_into_play,,,,,14.0,Carlos Correa lines out to center fielder Daniel Johnson.,R,R,R,HOU,BAL,X,8,line_drive,1,2,2025,-1.02,0.48,0.38,1.36,,,,1,7,Bot,148.31,67.75,,,,,5.726907096634252,-128.50536296687267,-6.419324277136324,-12.461802302197144,25.711328319547444,-25.784610812187125,3.55,1.64,330.0,92.2,23.0,88.9,1538.0,6.6,776733,668939,691723,702616,676059,683002,666185,669288,669236,53.91,0.166,0.186,0.0,1.0,0,0,3.0,51,4,Split-Finger,0,4,0,4,4,0,0,4,Standard,Standard,215.0,-0.01,-0.18,75.7,7.9,0.29,0.18,92.2,-4,-4,0.047,0.047,26,30,27,31,3,2,6.0,3.0,6.0,1.0,2.44,1.02,1.02,47.2,13.586239743054245,6.335661989416492,37.87919205127925,41.06268524433808,29.32672493403772,1,57.00390639447814,325.0393124773826,3.3402990763441953,0.0,324.0,57.01338013708773
SL,2025-08-15,83.5,-1.25,6.13,"Johnson, Daniel",673237,687064,field_out,hit_into_play,,,,,14.0,Yainer Diaz lines out to center fielder Daniel Johnson.,R,R,R,HOU,BAL,X,8,line_drive,0,0,2025,0.37,0.3,1.01,2.17,,,,1,5,Bot,154.12,78.89,,,,,4.4999641682831895,-121.58121541336968,-3.308979893919908,2.826402764801061,23.753041678029746,-28.743046142590394,3.17,1.49,306.0,93.5,20.0,83.8,2117.0,6.4,776733,668939,691723,702616,676059,683002,666185,669288,669236,54.06,0.343,0.355,0.0,1.0,0,0,4.0,36,1,Slider,0,3,0,3,3,0,0,3,Standard,Standard,153.0,-0.016,-0.255,75.7,7.4,0.536,0.255,93.5,-3,-3,0.154,0.154,26,26,27,27,2,1,6.0,2.0,6.0,1.0,2.96,-0.37,-0.37,46.9,7.38810222442113,9.83542700491834,27.626946479653643,48.78562905051261,31.7081537166162,1,71.52711530490949,297.5228928606304,2.978162178934204,11.202738441502811,320.80445547312974,64.66112898517966
SL,2025-08-15,83.5,-1.25,6.13,"Johnson, Daniel",673237,687064,field_out,hit_into_play,,,,,14.0,Yainer Diaz lines out to center fielder Daniel Johnson.,R,R,R,HOU,BAL,X,8,line_drive,0,0,2025,0.37,0.3,1.01,2.17,,,,1,5,Bot,154.12,78.89,,,,,4.4999641682831895,-121.58121541336968,-3.308979893919908,2.826402764801061,23.753041678029746,-28.743046142590394,3.17,1.49,306.0,93.5,20.0,83.8,2117.0,6.4,776733,668939,691723,702616,676059,683002,666185,669288,669236,54.06,0.343,0.355,0.0,1.0,0,0,4.0,36,1,Slider,0,3,0,3,3,0,0,3,Standard,Standard,153.0,-0.016,-0.255,75.7,7.4,0.536,0.255,93.5,-3,-3,0.154,0.154,26,26,27,27,2,1,6.0,2.0,6.0,1.0,2.96,-0.37,-0.37,46.9,7.38810222442113,9.83542700491834,27.626946479653643,48.78562905051261,31.7081537166162,1,71.52711530490949,297.5228928606304,2.978162178934204,0.0,324.0,76.27034434373213
FF,2025-08-15,94.0,-0.95,6.03,"Johnson, Daniel",602104,687064,field_out,hit_into_play,,,,,6.0,Ramón Urías flies out to center fielder Daniel Johnson.,R,R,R,HOU,BAL,X,8,fly_ball,1,0,2025,-0.08,1.56,0.4,2.63,,,,2,2,Bot,113.99,45.51,,,,,3.702933507180716,-136.7157054195782,-6.513319124611456,-1.904213369008576,33.783622977509225,-11.40362281577501,3.25,1.53,380.0,99.5,27.0,94.1,2350.0,6.6,776733,668939,691723,702616,676059,683002,666185,669288,669236,53.86,0.483,0.805,0.0,1.0,0,0,6.0,15,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,197.0,-0.011,-0.299,65.2,7.8,1.494,0.299,99.5,0,0,0.511,0.511,26,31,27,31,1,0,6.0,2.0,6.0,1.0,1.05,0.08,0.08,50.4,6.706095195377916,-5.40762426217476,27.64838064099637,41.77339412773696,29.11409497438124,1,-28.353577575969915,378.9407270783169,4.163172206116546,11.202738441502811,320.80445547312974,70.31733934831622
FF,2025-08-15,94.0,-0.95,6.03,"Johnson, Daniel",602104,687064,field_out,hit_into_play,,,,,6.0,Ramón Urías flies out to center fielder Daniel Johnson.,R,R,R,HOU,BAL,X,8,fly_ball,1,0,2025,-0.08,1.56,0.4,2.63,,,,2,2,Bot,113.99,45.51,,,,,3.702933507180716,-136.7157054195782,-6.513319124611456,-1.904213369008576,33.783622977509225,-11.40362281577501,3.25,1.53,380.0,99.5,27.0,94.1,2350.0,6.6,776733,668939,691723,702616,676059,683002,666185,669288,669236,53.86,0.483,0.805,0.0,1.0,0,0,6.0,15,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,197.0,-0.011,-0.299,65.2,7.8,1.494,0.299,99.5,0,0,0.511,0.511,26,31,27,31,1,0,6.0,2.0,6.0,1.0,1.05,0.08,0.08,50.4,6.706095195377916,-5.40762426217476,27.64838064099637,41.77339412773696,29.11409497438124,1,-28.353577575969915,378.9407270783169,4.163172206116546,0.0,324.0,61.82563265548238
FF,2025-08-14,94.1,-2.43,5.99,"Johnson, Daniel",593871,608372,field_out,hit_into_play,,,,,2.0,Jorge Polanco flies out to center fielder Daniel Johnson.,R,L,R,BAL,SEA,X,8,fly_ball,2,0,2025,-0.32,1.41,0.08,2.94,,,,1,4,Top,169.36,53.5,,,,,7.20146307746156,-136.89729986659114,-5.3278971261624335,-5.6205402360031975,29.94880315522873,-13.503334149919324,3.29,1.59,375.0,99.6,34.0,93.9,2448.0,6.1,776750,656577,691723,702616,676059,683002,666185,669288,669236,54.35,0.409,0.81,0.0,1.0,0,0,5.0,23,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,208.0,0.019,-0.365,73.3,7.2,1.564,0.365,99.6,0,0,0.527,0.473,35,31,36,32,2,1,6.0,1.0,5.0,2.0,1.17,0.32,-0.32,39.2,9.141863695843927,-10.107149772736843,25.23221031030576,36.86103547602613,30.77203847189016,1,108.91236406285888,358.8357520568976,5.1142843091193075,11.202738441502811,320.80445547312974,104.85013332804148
FF,2025-08-14,94.1,-2.43,5.99,"Johnson, Daniel",593871,608372,field_out,hit_into_play,,,,,2.0,Jorge Polanco flies out to center fielder Daniel Johnson.,R,L,R,BAL,SEA,X,8,fly_ball,2,0,2025,-0.32,1.41,0.08,2.94,,,,1,4,Top,169.36,53.5,,,,,7.20146307746156,-136.89729986659114,-5.3278971261624335,-5.6205402360031975,29.94880315522873,-13.503334149919324,3.29,1.59,375.0,99.6,34.0,93.9,2448.0,6.1,776750,656577,691723,702616,676059,683002,666185,669288,669236,54.35,0.409,0.81,0.0,1.0,0,0,5.0,23,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,208.0,0.019,-0.365,73.3,7.2,1.564,0.365,99.6,0,0,0.527,0.473,35,31,36,32,2,1,6.0,1.0,5.0,2.0,1.17,0.32,-0.32,39.2,9.141863695843927,-10.107149772736843,25.23221031030576,36.86103547602613,30.77203847189016,1,108.91236406285888,358.8357520568976,5.1142843091193075,0.0,324.0,114.3478581659069
SI,2025-08-14,94.7,-2.43,5.94,"Johnson, Daniel",647304,608372,field_out,hit_into_play,,,,,9.0,Josh Naylor flies out to center fielder Daniel Johnson.,R,L,R,BAL,SEA,X,8,fly_ball,2,1,2025,-1.33,0.79,0.31,1.74,,,,2,3,Top,159.85,59.13,,,,,10.087326007757436,-137.4861726132833,-7.0270027147994645,-19.063838852911413,29.92516110637641,-20.7882813526263,3.22,1.5,356.0,95.2,35.0,94.5,2397.0,6.3,776750,656577,691723,702616,676059,683002,666185,669288,669236,54.23,0.106,0.205,0.0,1.0,0,0,3.0,18,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,207.0,0.011,-0.298,71.9,8.0,0.39,0.298,95.2,0,0,0.543,0.457,35,28,36,28,2,1,6.0,1.0,5.0,2.0,1.76,1.33,-1.33,37.9,6.827863967874447,-12.985787541325468,43.79642712526287,30.053790795280257,24.189416191739213,1,85.51259686551961,345.5771922122684,5.015522407160395,11.202738441502811,320.80445547312974,78.33034880902862
SI,2025-08-14,94.7,-2.43,5.94,"Johnson, Daniel",647304,608372,field_out,hit_into_play,,,,,9.0,Josh Naylor flies out to center fielder Daniel Johnson.,R,L,R,BAL,SEA,X,8,fly_ball,2,1,2025,-1.33,0.79,0.31,1.74,,,,2,3,Top,159.85,59.13,,,,,10.087326007757436,-137.4861726132833,-7.0270027147994645,-19.063838852911413,29.92516110637641,-20.7882813526263,3.22,1.5,356.0,95.2,35.0,94.5,2397.0,6.3,776750,656577,691723,702616,676059,683002,666185,669288,669236,54.23,0.106,0.205,0.0,1.0,0,0,3.0,18,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,207.0,0.011,-0.298,71.9,8.0,0.39,0.298,95.2,0,0,0.543,0.457,35,28,36,28,2,1,6.0,1.0,5.0,2.0,1.76,1.33,-1.33,37.9,6.827863967874447,-12.985787541325468,43.79642712526287,30.053790795280257,24.189416191739213,1,85.51259686551961,345.5771922122684,5.015522407160395,0.0,324.0,88.1928537153099
