pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-08-02,91.6,-1.5,5.84,"Keirsey Jr., DaShawn",467793,641927,field_out,hit_into_play,,,,,4.0,Carlos Santana flies out to center fielder DaShawn Keirsey Jr.,R,L,R,CLE,MIN,X,8,fly_ball,1,1,2025,-0.73,1.5,-0.47,2.74,,,,2,3,Bot,138.51,77.87,,,,,4.264661946923326,-133.17941805575393,-5.240383519338252,-9.639348126966512,31.023455011695503,-13.40678427496904,3.44,1.65,303.0,84.5,35.0,92.7,2327.0,7.2,776905,680777,665019,666397,668904,686797,702176,680577,670242,53.3,0.017,0.022,0.0,1.0,0,0,3.0,26,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,215.0,-0.008,-0.245,70.1,7.4,0.037,0.245,88.0,2,2,0.746,0.746,29,39,30,39,2,1,35.0,1.0,7.0,2.0,1.24,0.73,-0.73,27.5,15.051242006690302,8.66330358182886,24.682513681570207,40.231592392738186,27.69780349923912,1,32.749457233157585,301.22495423011287,4.460607559020068,0.0,326.0,41.06494663294255
FF,2025-08-02,91.9,-1.46,5.88,"Keirsey Jr., DaShawn",680757,641927,field_out,hit_into_play,,,,,2.0,Steven Kwan flies out to center fielder DaShawn Keirsey Jr.,R,L,R,CLE,MIN,X,8,fly_ball,1,0,2025,-0.56,1.38,0.13,3.03,672356.0,,,2,2,Bot,140.7,76.59,,,,,5.325028311006012,-133.7786830644834,-4.490510283819364,-7.778578800615137,26.33813502985401,-14.810559538181698,3.15,1.45,306.0,86.8,31.0,94.0,2429.0,7.3,776905,680777,665019,666397,668904,686797,702176,680577,670242,53.22,0.023,0.021,0.0,1.0,0,0,3.0,18,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,221.0,-0.034,-0.306,62.1,5.6,0.035,0.306,88.0,1,1,0.651,0.651,29,27,30,28,2,1,35.0,1.0,7.0,1.0,1.3,0.56,-0.56,34.2,1.215974890026182,-0.6420249829692304,29.16181330231817,28.278443935377457,31.89519391490132,1,38.1265993022395,303.61548449584467,4.121075762257454,0.0,326.0,44.21203579014769
FF,2025-08-02,91.1,-1.48,5.84,"Keirsey Jr., DaShawn",700932,641927,field_out,hit_into_play,,,,,1.0,Kyle Manzardo flies out to center fielder DaShawn Keirsey Jr.,R,L,R,CLE,MIN,X,8,fly_ball,0,2,2025,-0.43,1.21,-0.48,3.28,,682177.0,608070.0,1,1,Bot,143.23,77.7,,,,,3.505873202364888,-132.7033686230289,-3.259737058155808,-5.8252466569089,26.190111066930424,-17.299989539463535,3.16,1.39,304.0,84.8,32.0,93.3,2342.0,7.4,776905,680777,665019,666397,668904,686797,702176,680577,670242,53.13,0.02,0.024,0.0,1.0,0,0,3.0,7,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,216.0,-0.043,-0.155,68.9,7.3,0.041,0.155,88.0,0,0,0.585,0.585,29,24,30,25,1,0,35.0,1.0,7.0,1.0,1.51,0.43,-0.43,28.3,23.20860963076597,6.348942615926508,26.84738671205342,44.5125766681307,30.492964508594163,1,44.42332900721476,300.7367085008359,4.141985184688644,0.0,326.0,51.104462206885465
SI,2025-08-02,92.4,-1.7,5.81,"Keirsey Jr., DaShawn",680757,641927,field_out,hit_into_play,,,,,2.0,Steven Kwan lines out to center fielder DaShawn Keirsey Jr.,R,L,R,CLE,MIN,X,8,line_drive,0,1,2025,-0.93,1.13,0.01,3.12,,,,0,1,Bot,108.88,71.68,,,,,6.517729450528615,-134.52098354123763,-3.626103708175586,-12.660912752167995,25.27853955955383,-17.844575129768323,3.15,1.45,319.0,90.5,26.0,94.5,2376.0,7.2,776905,680777,665019,666397,668904,686797,702176,680577,670242,53.29,0.111,0.146,0.0,1.0,0,0,3.0,4,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,217.0,-0.021,-0.22,63.7,5.7,0.237,0.22,90.5,0,0,0.547,0.547,29,27,30,28,1,0,35.0,1.0,7.0,1.0,1.51,0.93,-0.93,27.9,5.610340612818137,1.2924332224931907,28.50641239935625,30.266784284703498,28.48055498642932,1,-41.32863308626133,316.31146689176666,3.6678302854403166,0.0,326.0,42.44907050299391
FF,2025-07-28,94.5,-1.44,6.31,"Keirsey Jr., DaShawn",680776,680573,double,hit_into_play,,,,,2.0,Jarren Duran doubles (27) on a sharp line drive to center fielder DaShawn Keirsey Jr.,R,L,R,MIN,BOS,X,8,line_drive,2,2,2025,-0.34,1.45,-0.01,3.29,,,,0,5,Top,150.07,36.67,,,,,4.554315481098854,-137.508186396213,-5.453795090304829,-5.378433554962428,30.74725215418059,-12.729677175388789,3.47,1.64,404.0,106.2,20.0,95.4,2243.0,6.8,776961,543877,664034,665019,668904,621043,650489,680577,670242,53.66,0.723,1.033,1.25,1.0,1,1,6.0,38,5,4-Seam Fastball,2,3,3,2,3,2,3,2,Infield shade,Standard,195.0,-0.066,0.743,77.3,7.4,1.753,-0.743,106.2,-1,1,0.356,0.644,24,28,25,29,3,2,6.0,1.0,30.0,1.0,1.1,0.34,-0.34,43.7,11.358481514262712,0.2334120831356916,17.171814769281546,38.97436535299872,33.693440958910706,0,60.92034103542871,399.3804101957519,3.3669467586233943,0.0,326.0,95.37280824412034
FF,2025-07-28,92.0,-1.26,6.29,"Keirsey Jr., DaShawn",647351,680573,single,hit_into_play,,,,,7.0,Abraham Toro singles on a line drive to center fielder DaShawn Keirsey Jr.,R,L,R,MIN,BOS,X,8,line_drive,2,0,2025,-0.66,1.5,-0.32,1.77,,,,0,5,Top,151.93,67.78,,,,,3.839022276153497,-133.73575213879386,-8.947526444608155,-8.748956673661906,28.40776077267011,-12.492243302537508,3.36,1.65,307.0,90.5,20.0,92.8,2177.0,6.8,776961,543877,664034,665019,668904,621043,650489,680577,670242,53.7,0.389,0.35,0.9,1.0,1,0,4.0,35,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shade,Standard,202.0,-0.049,0.32,83.2,8.2,0.471,-0.32,90.5,2,-2,0.761,0.239,24,28,25,29,2,1,6.0,1.0,30.0,1.0,1.2,0.66,-0.66,42.8,21.35829264327713,2.821395474055676,29.78153148162861,42.15253165979168,37.072359589784085,0,61.12073794682053,300.8542095315206,2.886601487424796,0.0,326.0,66.09126557608484
CU,2025-07-28,79.5,-1.08,6.45,"Keirsey Jr., DaShawn",678882,680573,field_out,hit_into_play,,,,,5.0,Ceddanne Rafaela flies out to center fielder DaShawn Keirsey Jr.,R,R,R,MIN,BOS,X,8,fly_ball,2,1,2025,0.31,-1.08,0.01,2.54,,,,2,2,Top,116.73,59.4,,,,,1.8311004445550043,-115.7101693420248,0.2503993659319807,2.382403395948121,22.25140911521282,-42.16281680071141,3.53,1.66,346.0,88.1,33.0,80.0,2617.0,6.7,776961,543877,664034,665019,668904,621043,650489,680577,670242,53.81,0.023,0.03,0.0,1.0,0,0,3.0,11,4,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,21.0,0.01,-0.298,72.3,7.3,0.05,0.298,88.1,0,0,0.54,0.46,24,24,25,25,1,0,6.0,1.0,30.0,1.0,4.7,-0.31,-0.31,55.0,9.541019688575934,-0.6825586846690749,28.77445421625897,34.84050730414344,36.71654981551265,1,-21.609205062906998,345.3245462699535,4.416848541845966,0.0,326.0,28.98958143868826
SI,2025-07-12,94.0,-2.45,4.95,"Keirsey Jr., DaShawn",663698,623437,double,hit_into_play,,,,,5.0,Joey Bart doubles (6) on a sharp line drive to center fielder DaShawn Keirsey Jr.,R,R,R,MIN,PIT,X,8,line_drive,0,1,2025,-1.48,0.0,0.06,2.16,,,,1,9,Top,90.26,60.74,,,,,9.66863083924387,-136.54579427378602,-1.491880142148655,-20.626515227701777,30.24213930583867,-32.09272141570177,3.44,1.57,389.0,113.1,15.0,92.9,2160.0,5.8,777134,680777,664034,665019,668904,686797,650489,680577,663616,54.73,0.743,0.874,1.25,1.0,1,1,6.0,79,2,Sinker,12,4,4,12,4,12,4,12,Standard,Standard,254.0,0.0,0.681,79.4,7.3,1.336,-0.681,113.1,8,-8,0.999,0.001,34,28,34,29,1,3,2.0,3.0,6.0,6.0,2.59,1.48,1.48,9.8,8.095906528811403,2.407673851472013,34.78309520824538,37.36754064021704,36.30934498666956,0,-96.35030937238074,376.87878407234143,2.736931755055547,0.0,326.0,108.95885822104334
SI,2025-07-12,93.6,-2.41,4.96,"Keirsey Jr., DaShawn",665833,623437,single,hit_into_play,,,,,4.0,Oneil Cruz singles on a line drive to center fielder DaShawn Keirsey Jr. Nick Gonzales to 3rd.,R,L,R,MIN,PIT,X,8,line_drive,2,0,2025,-1.44,-0.03,-0.75,2.47,,,693304.0,2,8,Top,155.2,84.9,,,,,7.368167988969409,-136.0948749881435,-0.6371703205463761,-19.47680739116724,29.60316935433909,-32.593415176764914,3.85,1.79,172.0,88.6,10.0,92.6,2168.0,5.7,777134,680777,664034,665019,668904,686797,650489,680577,663616,54.8,0.574,0.528,0.9,1.0,1,0,4.0,72,3,Sinker,12,4,4,12,4,12,4,12,Infield shade,Standard,255.0,0.0,0.264,81.4,8.0,0.625,-0.264,88.6,8,-8,0.999,0.001,34,26,34,27,1,3,2.0,1.0,6.0,1.0,2.63,1.44,-1.44,11.0,7.485460800764973,2.4144338843837385,25.31684019895095,44.51460343517904,33.97388740113046,0,43.69844791102701,166.35638145309383,1.5249735268330649,0.0,326.0,165.5162810498799
SI,2025-07-12,94.4,-2.56,4.88,"Keirsey Jr., DaShawn",693304,623437,single,hit_into_play,,,,,4.0,Nick Gonzales singles on a line drive to center fielder DaShawn Keirsey Jr. Spencer Horwitz scores.,R,R,R,MIN,PIT,X,8,line_drive,1,1,2025,-1.55,0.17,-0.72,2.72,,687462.0,,2,8,Top,123.41,99.42,,,,,8.109148310285986,-137.2734895334848,-0.2769221391789463,-21.34295035731485,30.62036741133194,-30.23217410534664,3.48,1.58,203.0,66.5,23.0,93.1,2262.0,5.6,777134,680777,664034,665019,668904,686797,650489,680577,663616,54.94,0.8,0.72,0.9,1.0,1,0,4.0,71,3,Sinker,12,3,3,12,4,12,4,12,Standard,Standard,251.0,0.0,0.697,75.8,7.1,0.835,-0.697,88.0,9,-9,0.999,0.001,34,26,34,26,1,3,2.0,1.0,6.0,1.0,2.4,1.55,1.55,7.5,11.438942079248951,4.330876828593259,33.84948736918206,29.25907343115499,25.7581125969659,0,-4.126916267919286,202.9580463103584,2.4452163065404062,0.0,326.0,123.11114411638908
