pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FS,2025-09-07,85.6,-2.06,6.23,"Marsh, Brandon",683748,592836,field_out,hit_into_play,,,,,13.0,Victor Mesa Jr. flies out to center fielder Brandon Marsh.,R,L,R,MIA,PHI,X,8,fly_ball,0,2,2025,-0.58,0.26,-0.91,1.96,,687859.0,,1,6,Bot,135.54,76.0,,,,,3.848710232847437,-124.6635589086988,-4.316242829132542,-6.854384929503993,24.460640755364164,-28.81121302197607,3.32,1.51,321.0,95.0,16.0,85.1,1260.0,5.9,776426,665561,547180,681082,664761,607208,596146,669016,592206,54.61,0.654,0.626,0.0,1.0,0,0,4.0,51,4,Split-Finger,4,3,4,3,3,4,4,3,Standard,Standard,229.0,-0.032,-0.173,73.1,8.4,0.83,0.173,95.0,1,1,0.765,0.765,32,23,33,24,3,2,6.0,2.0,6.0,1.0,2.84,0.58,-0.58,37.0,15.175805943858938,-0.098387618640496,24.09897745999309,47.47493888586261,25.96475516140801,1,26.477875837791075,319.90611449473505,2.4630734175755093,5.619674872805291,321.950957840358,20.958194860337386
FS,2025-09-07,86.4,-2.01,6.28,"Marsh, Brandon",689414,592836,field_out,hit_into_play,,,,,8.0,Liam Hicks flies out to center fielder Brandon Marsh.,R,L,R,MIA,PHI,X,8,fly_ball,0,1,2025,-0.96,0.31,-0.07,1.92,,,,1,5,Bot,150.4,49.43,,,,,6.542100850521814,-125.56643002485713,-4.754035672300611,-11.523025238106117,25.8507928868912,-28.157328405195106,3.25,1.55,374.0,98.6,27.0,85.8,1470.0,6.0,776426,665561,547180,681082,664761,607208,596146,669016,592206,54.48,0.483,0.805,0.0,1.0,0,0,6.0,41,2,Split-Finger,4,1,4,1,1,4,4,1,Standard,Standard,225.0,-0.007,-0.216,70.8,6.8,1.494,0.216,98.6,3,3,0.883,0.883,32,26,33,26,3,2,6.0,1.0,6.0,1.0,2.76,0.96,-0.96,39.2,12.90670320869392,-3.242760237723865,34.40337469109691,36.31297286314971,35.088385632393766,1,61.9031111825745,368.84143588528366,4.126320596742659,5.619674872805291,321.950957840358,73.25668661711026
FS,2025-09-07,86.6,-1.78,6.31,"Marsh, Brandon",672640,592836,single,hit_into_play,,,,,1.0,Otto Lopez singles on a line drive to center fielder Brandon Marsh.,R,R,R,MIA,PHI,X,8,line_drive,0,2,2025,-0.96,0.09,-0.57,2.86,,,,2,2,Bot,121.62,95.37,,,,,4.824995475786698,-126.03106630715166,-2.2217873400567543,-11.209430238009466,25.28791528584432,-31.022666807674383,3.42,1.6,265.0,82.9,20.0,86.0,1178.0,5.9,776426,665561,547180,681082,664761,607208,596146,669016,592206,54.61,0.794,0.747,0.9,1.0,1,0,4.0,21,3,Split-Finger,4,1,4,1,1,4,4,1,Standard,Standard,221.0,0.007,0.428,68.6,5.9,0.912,-0.428,88.0,3,3,0.81,0.81,32,26,33,27,2,1,6.0,1.0,6.0,1.0,2.95,0.96,0.96,41.0,1.7068703191201413,6.59659213184639,27.29512697271825,30.32699987709177,29.65917867618788,0,-9.77953402078852,264.81948703661567,2.655245126478342,5.619674872805291,321.950957840358,59.170436796996874
FC,2025-09-07,86.8,-1.88,6.42,"Marsh, Brandon",681715,592836,single,hit_into_play,,,,,6.0,Heriberto Hernández singles on a line drive to center fielder Brandon Marsh.,R,R,R,MIA,PHI,X,8,line_drive,0,0,2025,0.41,1.0,0.61,2.55,,,,2,1,Bot,152.04,67.57,,,,,5.137347420899622,-126.42423834946813,-5.2211252588678985,3.5297403916760834,23.329927416578183,-20.576104689229485,3.32,1.53,287.0,96.0,14.0,87.7,2438.0,6.6,776426,665561,547180,681082,664761,607208,596146,669016,592206,53.91,0.903,0.865,0.9,1.0,1,0,4.0,9,1,Cutter,3,0,3,0,0,3,3,0,Standard,Standard,183.0,0.006,0.328,75.9,7.4,1.108,-0.328,96.0,3,3,0.794,0.794,32,25,33,26,1,0,6.0,1.0,6.0,1.0,2.0,-0.41,-0.41,42.3,16.30909337013747,15.910286385402914,27.40003298372673,43.33628550371832,25.416998229152973,0,57.278069453574126,281.2262839061661,2.20208540334306,5.619674872805291,321.950957840358,65.78061110774706
FC,2025-08-29,86.6,1.99,5.78,"Marsh, Brandon",669397,624133,single,hit_into_play,,,,,2.0,Nick Allen singles on a line drive to center fielder Brandon Marsh. Nacho Alvarez Jr. to 2nd.,R,R,L,PHI,ATL,X,8,line_drive,1,1,2025,-0.3,0.55,-0.17,2.9,,,805373.0,1,4,Top,142.11,80.21,,,,,-4.547689904176409,-126.13965613569007,-1.835178319063466,-2.3001779589324425,24.021883403237208,-26.165562651726507,3.08,1.43,265.0,86.7,21.0,86.9,2113.0,6.3,776552,665561,547180,681082,664761,607208,596146,669016,592206,54.21,0.434,0.391,0.9,1.0,1,0,3.0,28,3,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,178.0,-0.035,0.428,64.2,6.1,0.521,-0.428,88.0,-1,1,0.369,0.631,29,26,30,27,2,1,5.0,1.0,6.0,1.0,2.47,-0.3,0.3,37.4,7.478468070087033,4.723337849354408,27.14938626554073,33.81536466575467,27.33765000560951,0,37.09390114049617,262.39101070383316,2.897096293098962,5.619674872805291,321.950957840358,67.36478473249534
SI,2025-08-29,90.5,2.22,5.71,"Marsh, Brandon",660670,624133,double,hit_into_play,,,,,9.0,Ronald Acuña Jr. doubles (11) on a sharp line drive to center fielder Brandon Marsh.,R,R,L,PHI,ATL,X,8,line_drive,0,0,2025,1.08,0.35,0.77,2.14,,,,0,3,Top,168.37,59.06,,,,,-5.888063703338256,-131.59497132775255,-3.6488658090844,13.806577137938326,30.33001912913277,-27.50998266569128,3.64,1.66,281.0,106.9,12.0,89.8,1993.0,6.1,776552,665561,547180,681082,664761,607208,596146,669016,592206,54.38,0.889,0.89,1.25,1.0,1,1,5.0,18,1,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,139.0,-0.06,0.716,74.7,8.1,1.18,-0.716,106.9,-1,1,0.383,0.617,29,27,30,28,2,1,5.0,1.0,6.0,1.0,2.46,1.08,-1.08,32.2,14.667784986174436,17.12562975785354,37.1926497781521,45.7323691421542,27.29458633025702,0,82.84276283165002,268.51085014654245,2.114535480996698,5.619674872805291,321.950957840358,93.91086425023504
CH,2025-08-29,79.2,2.16,5.69,"Marsh, Brandon",660670,624133,field_out,hit_into_play,,,,,9.0,Ronald Acuña Jr. flies out to center fielder Brandon Marsh.,R,R,L,PHI,ATL,X,8,fly_ball,1,2,2025,0.53,-0.15,0.53,2.05,,,621566.0,1,1,Top,112.98,54.46,,,,,-4.56413875091223,-115.30189186644844,-0.8834858614626825,5.549354868165387,21.8786699255138,-33.54566034625389,3.64,1.66,359.0,95.4,36.0,79.2,1432.0,6.3,776552,665561,547180,681082,664761,607208,596146,669016,592206,54.16,0.106,0.191,0.0,1.0,0,0,3.0,3,4,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,116.0,0.028,-0.179,78.5,8.2,0.361,0.179,95.4,0,0,0.497,0.503,29,27,30,28,1,0,5.0,1.0,6.0,1.0,3.78,0.53,-0.53,35.7,19.11601031391339,-2.343405794066619,36.59724447131988,39.92706213034083,35.2387883938754,1,-30.93904671116874,357.6643334029885,5.148604134131753,5.619674872805291,321.950957840358,51.107585718091045
SI,2025-08-29,92.8,3.71,5.37,"Marsh, Brandon",621566,621381,single,hit_into_play,,,,,14.0,Matt Olson singles on a line drive to center fielder Brandon Marsh.,R,L,L,PHI,ATL,X,8,line_drive,1,0,2025,1.43,0.97,1.21,2.04,,,,2,7,Top,114.89,99.14,,,,,-9.485562725003104,-134.61831414043533,-4.726050711682906,19.5259979830034,32.3117774704088,-19.56206592962016,3.61,1.72,212.0,69.4,24.0,91.9,2486.0,6.2,776552,665561,547180,681082,664761,607208,596146,669016,592206,54.31,0.983,0.886,0.9,1.0,1,0,4.0,53,2,Sinker,1,1,1,1,1,1,1,1,Strategic,Standard,135.0,-0.022,0.29,73.1,7.4,1.028,-0.29,88.0,0,0,0.567,0.433,33,31,34,31,1,3,3.0,1.0,1.0,1.0,1.72,1.43,1.43,29.0,4.286210711355417,-1.9168584699217563,43.03266362133679,25.045382306395226,29.90045990320128,0,-22.393534707079326,210.81396918449886,2.644059553230562,5.619674872805291,321.950957840358,114.61313257414747
SI,2025-08-22,93.0,2.48,6.58,"Marsh, Brandon",671277,621383,field_out,hit_into_play,,,,,12.0,Luis García Jr. flies out to center fielder Brandon Marsh.,R,L,L,PHI,WSH,X,8,fly_ball,0,1,2025,1.24,0.86,1.3,3.21,695578.0,,605137.0,2,6,Top,112.07,90.82,,,,,-5.661921940306732,-135.3130649978269,-4.656314504094482,16.41828189284503,30.732567782162565,-20.788969447378527,3.54,1.66,273.0,78.0,31.0,91.7,2106.0,5.6,776648,592663,547180,681082,664761,607208,596146,669016,592206,54.87,0.123,0.135,0.0,1.0,0,0,3.0,46,2,Sinker,1,3,3,1,3,1,3,1,Standard,Standard,155.0,0.037,-0.237,66.9,6.4,0.188,0.237,88.0,-2,2,0.211,0.789,33,25,34,25,1,2,2.0,2.0,2.0,1.0,1.79,1.24,1.24,50.1,11.132418984733988,6.076480356400841,27.74279495030943,25.279147005328344,24.443217012173584,1,-33.659766688870455,270.91699855573995,3.7128342040896563,5.619674872805291,321.950957840358,64.39984106860166
FC,2025-08-22,87.6,-1.94,6.45,"Marsh, Brandon",682928,592836,single,hit_into_play,,,,,3.0,CJ Abrams singles on a fly ball to center fielder Brandon Marsh.,R,L,R,PHI,WSH,X,8,fly_ball,2,2,2025,0.36,1.16,0.6,3.25,,,,1,1,Top,144.33,98.27,,,,,5.341858957809519,-127.44678473762248,-3.9581014854312953,2.886022506147271,26.03337424617363,-18.907022613087623,3.52,1.57,237.0,69.5,30.0,87.2,2405.0,6.0,776648,592663,547180,681082,664761,607208,596146,669016,592206,54.49,0.883,0.816,0.9,1.0,1,0,4.0,2,5,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,189.0,-0.025,0.442,65.2,6.4,0.953,-0.442,88.0,0,0,0.522,0.478,32,24,33,25,1,0,6.0,1.0,5.0,1.0,1.81,-0.36,0.36,38.9,11.701510573986022,3.2811811575726164,22.885514644761244,31.031058571682543,26.5093590230559,0,44.03627314218934,232.87294099518408,3.2259968776795325,5.619674872805291,321.950957840358,97.00890736247023
