pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CH,2025-09-28,83.5,1.97,5.5,"Melton, Jacob",665861,676467,field_out,hit_into_play,,,,,8.0,Sebastián Rivero flies out to center fielder Jacob Melton.,R,R,L,LAA,HOU,X,8,fly_ball,1,2,2025,0.97,0.29,0.05,1.89,,,,1,7,Bot,129.38,52.85,,,,,-6.389834450920388,-121.59900818249628,-2.5182276527488208,10.847704275029926,21.864676946350684,-29.039444764892348,3.47,1.64,361.0,95.4,32.0,84.5,1405.0,6.7,776135,673237,605170,694728,602104,643289,805904,689200,701358,53.76,0.149,0.252,0.0,1.0,0,0,3.0,62,4,Changeup,1,6,1,6,6,1,1,6,Infield shade,Standard,129.0,-0.006,-0.18,68.8,7.1,0.471,0.18,95.4,-5,-5,0.024,0.024,26,26,27,27,2,2,8.0,4.0,,,2.95,0.97,-0.97,33.1,7.496605986888245,-3.341196718035728,37.17674070841958,37.13548399887402,35.508595578387855,1,9.826916844217966,360.8662241126715,4.649193550891682,0.0,326.0,36.224603221266754
SI,2025-09-28,92.1,-1.7,5.03,"Melton, Jacob",694203,621121,single,hit_into_play,,,,,9.0,Denzer Guzman singles on a line drive to center fielder Jacob Melton. Sebastián Rivero to 2nd.,R,R,R,LAA,HOU,X,8,line_drive,1,0,2025,-0.95,0.11,0.67,1.74,,,665861.0,2,2,Bot,114.06,99.22,,,,,7.998839027435292,-133.93177156456386,-2.7695098837978485,-13.064658418089977,27.23334019610433,-30.433878547458274,3.66,1.75,221.0,71.4,22.0,91.7,2125.0,5.9,776135,673237,605170,694728,602104,643289,805904,689200,701358,54.56,0.963,0.867,0.9,1.0,1,0,4.0,20,2,Sinker,1,1,1,1,1,1,1,1,Infield shade,Standard,244.0,0.021,0.312,70.4,8.4,1.009,-0.312,88.0,0,0,0.524,0.524,31,21,32,21,1,0,17.0,1.0,,,2.57,0.95,0.95,21.6,10.860742989624493,-8.463172274175168,36.95478358022576,39.97053869506877,32.90915375485821,0,-25.181318102542836,219.56070053317498,2.5127562955048264,0.0,326.0,109.37743484087524
ST,2025-09-28,85.2,2.08,5.51,"Melton, Jacob",666176,676467,field_out,hit_into_play,,,,,5.0,Jo Adell flies out sharply to center fielder Jacob Melton.,R,R,L,LAA,HOU,X,8,fly_ball,0,1,2025,-0.41,0.7,0.18,2.83,,,,1,6,Bot,161.81,50.52,,,,,-3.685085405316803,-124.17086668243635,-1.45622754780375,-3.5549495221707668,23.180957510944577,-24.84987303734249,3.66,1.77,377.0,101.7,38.0,86.0,2432.0,6.6,776135,673237,605170,694728,602104,643289,805904,689200,701358,53.91,0.311,0.624,0.0,1.0,0,0,5.0,53,2,Sweeper,1,6,1,6,6,1,1,6,Infield shade,Standard,180.0,-0.007,-0.216,79.6,7.4,1.211,0.216,101.7,-5,-5,0.038,0.038,26,26,27,26,1,2,8.0,1.0,,,2.42,-0.41,0.41,32.8,9.48463906069915,6.819772967337691,36.374805366522295,39.64029993157563,21.33740124635716,1,90.15869739994922,366.06066339220934,5.740947812378668,0.0,326.0,98.6582356839991
SI,2025-09-28,96.3,-1.96,5.67,"Melton, Jacob",666198,681151,single,hit_into_play,,,,,3.0,Carter Kieboom singles on a sharp line drive to center fielder Jacob Melton. Jo Adell scores. Chris Taylor to 2nd.,R,R,R,LAA,HOU,X,8,line_drive,1,2,2025,-1.07,1.05,0.31,3.14,666176.0,,621035.0,1,9,Bot,122.42,71.96,,,,,8.440467622943254,-139.93809428335658,-3.5133583586116286,-15.941452408886905,31.34875990186368,-17.73769212703522,3.51,1.64,276.0,102.7,11.0,96.5,2502.0,6.4,776135,673237,605170,694728,602104,643289,805904,689200,701358,54.06,0.931,0.901,0.9,1.0,1,0,4.0,77,5,Sinker,1,6,1,6,6,2,2,6,Infield shade,Standard,226.0,0.023,0.566,70.3,6.7,1.146,-0.566,102.7,-5,-5,0.016,0.016,28,27,28,28,1,3,2.0,1.0,,,1.41,1.07,1.07,29.4,4.894674621692777,2.670165961533692,22.53161558454968,38.5197540954363,26.1864106037403,0,-6.55345226411007,275.9221851599143,1.8854984844722127,0.0,326.0,50.504804481711204
SI,2025-09-28,97.1,-2.25,5.67,"Melton, Jacob",666176,681151,single,hit_into_play,,,,,5.0,Jo Adell singles on a sharp line drive to center fielder Jacob Melton.,R,R,R,LAA,HOU,X,8,line_drive,0,0,2025,-1.41,0.5,-0.22,2.56,,,,0,9,Bot,116.3,69.24,,,,,8.651132083802999,-141.18931581935468,-3.936432928681557,-20.7911936290706,31.87081049255924,-24.809894718613293,3.66,1.77,252.0,102.5,14.0,97.1,2205.0,6.3,776135,673237,605170,694728,602104,643289,805904,689200,701358,54.19,0.789,0.789,0.9,1.0,1,0,4.0,74,1,Sinker,1,6,1,6,6,1,1,6,Standard,Strategic,228.0,0.008,0.439,77.6,7.4,1.062,-0.439,102.5,-5,-5,0.007,0.007,28,26,28,26,1,3,2.0,1.0,,,1.92,1.41,1.41,29.7,4.474473356502599,9.027769862522264,36.95654645190291,36.0677187469068,21.530851147256687,0,-17.76734561321827,251.37287329753872,2.340444625911188,0.0,326.0,76.71301460641966
SL,2025-09-05,81.5,3.2,5.87,"Melton, Jacob",683227,595345,field_out,hit_into_play,,,,,8.0,Cody Freeman flies out to center fielder Jacob Melton.,R,R,L,TEX,HOU,X,8,fly_ball,1,0,2025,-0.7,0.23,-0.03,1.71,,642133.0,,2,11,Bot,109.96,80.72,,,,,-5.905423496008835,-118.64741831606544,-3.224077656661244,-5.550469270122814,21.53427907720525,-29.56605873034226,3.15,1.42,297.0,88.0,40.0,81.6,2515.0,6.2,776449,673237,572233,514888,621043,665161,666211,689200,660821,54.25,0.006,0.007,0.0,1.0,0,0,3.0,90,2,Slider,3,3,3,3,3,3,3,3,Standard,Standard,287.0,-0.108,-0.308,66.8,7.6,0.012,0.308,88.0,0,0,0.608,0.608,33,24,34,24,1,5,2.0,2.0,4.0,2.0,3.18,-0.7,0.7,35.3,18.181266786891108,-10.423139091248515,32.93668425070024,36.90134849429637,38.95426670110378,1,-38.727494298091585,294.4642273441568,5.193022465999227,0.0,326.0,49.94320545989957
SL,2025-09-05,85.2,-2.67,5.81,"Melton, Jacob",694671,650556,double,hit_into_play,,,,,7.0,Wyatt Langford doubles (24) on a sharp line drive to center fielder Jacob Melton.,R,R,R,TEX,HOU,X,8,line_drive,3,2,2025,0.79,-1.05,-0.39,1.71,,,,2,9,Bot,30.01,85.93,,,,,3.780472008322052,-123.94481311228628,-1.1296573119986348,7.245007347285922,27.891109833701577,-42.86929267571275,3.37,1.58,364.0,104.5,22.0,85.2,3024.0,6.6,776449,673237,572233,514888,621043,665161,666211,689200,660821,53.94,0.743,1.149,1.25,1.0,1,1,6.0,75,7,Slider,3,3,3,3,3,3,3,3,Infield shade,Standard,44.0,0.075,0.513,77.6,7.2,2.018,-0.513,104.5,0,0,0.533,0.533,28,23,28,24,1,4,2.0,2.0,4.0,1.0,4.22,-0.79,-0.79,52.2,9.027449851859911,-16.95635106265214,42.46183360917525,29.863786850908912,36.0632850402197,0,-235.63073760043324,277.4421660416379,3.620520545505711,0.0,326.0,240.5820187396641
KC,2025-08-31,82.8,-1.94,6.32,"Melton, Jacob",545361,686613,field_out,hit_into_play,,,,,9.0,Mike Trout flies out to center fielder Jacob Melton.,R,R,R,HOU,LAA,X,8,fly_ball,0,1,2025,0.55,-1.42,0.49,1.8,,,,1,6,Top,135.6,41.38,,,,,4.481435325897831,-120.43039176068363,-0.9791030518152052,4.329779856988726,26.00773942955384,-45.91829131881895,3.64,1.75,390.0,99.1,29.0,82.8,2535.0,6.6,776510,673237,572233,602104,621043,665161,670541,689200,660821,53.94,0.466,0.827,0.0,1.0,0,0,6.0,39,2,Knuckle Curve,0,1,1,0,1,0,1,0,Standard,Standard,22.0,0.018,-0.216,74.4,8.0,1.563,0.216,99.1,-1,1,0.357,0.643,26,33,27,34,3,2,5.0,1.0,6.0,1.0,4.78,-0.55,-0.55,54.7,15.406600381641164,0.7891505489348198,36.298375506360266,37.97078333497474,28.64905596195977,1,25.25252461135939,389.1815900074831,4.422441757687831,0.0,326.0,68.04118837234549
FF,2025-08-31,90.7,-1.92,5.12,"Melton, Jacob",545361,621121,double,hit_into_play,,,,,7.0,Mike Trout doubles (12) on a sharp fly ball to center fielder Jacob Melton. Yoán Moncada scores.,R,R,R,HOU,LAA,X,8,fly_ball,0,1,2025,-0.75,0.66,-0.69,2.28,,,660162.0,0,8,Top,88.28,40.09,,,,,4.666673114409753,-132.0601904808747,-2.553370733628657,-9.815675484380908,29.845465421366484,-24.175790554560635,3.64,1.75,403.0,102.8,25.0,89.8,2260.0,5.9,776510,673237,572233,602104,621043,665161,670541,689200,660821,54.63,0.823,1.46,1.25,1.0,1,1,6.0,54,2,4-Seam Fastball,0,1,1,0,2,0,2,0,Standard,Standard,235.0,-0.119,0.772,75.0,7.5,2.741,-0.772,102.8,-1,1,0.214,0.786,31,33,32,34,1,3,9.0,1.0,5.0,1.0,2.13,0.75,0.75,19.6,14.287235818712965,-8.194411122389736,42.716218739386846,24.44095597096237,24.1980830747358,0,-92.11759275890051,392.33066296722893,4.007469763265155,0.0,326.0,113.51390992018007
SI,2025-08-31,91.1,-1.88,5.11,"Melton, Jacob",683090,621121,field_out,hit_into_play,,,,,9.0,Matthew Lugo lines out to center fielder Jacob Melton.,R,R,R,HOU,LAA,X,8,line_drive,3,2,2025,-1.18,0.36,0.48,1.69,,,,1,7,Top,144.61,58.3,,,,,8.37380460872829,-132.34411223147106,-3.352770293709704,-15.750409120072929,31.9211939506013,-27.363247682709257,3.46,1.59,352.0,95.3,24.0,89.8,2253.0,5.9,776510,673237,572233,602104,621043,665161,670541,689200,660821,54.64,0.2,0.26,0.0,1.0,0,0,5.0,47,6,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,239.0,0.018,-0.332,77.5,7.8,0.416,0.332,95.3,-1,1,0.324,0.676,31,24,32,24,1,2,9.0,1.0,5.0,1.0,2.42,1.18,1.18,21.4,9.860701684431048,1.2146426021158931,39.02610344310299,44.48302395805453,25.337604160205416,1,47.81222179303873,348.73771153578053,3.585971882796477,0.0,326.0,52.943480039293746
