pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SL,2025-09-28,87.9,1.99,5.63,"Mullins, Cedric",676572,642397,field_out,hit_into_play,,,,,13.0,Eric Wagaman flies out to center fielder Cedric Mullins.,R,R,L,MIA,NYM,X,8,fly_ball,1,2,2025,-0.12,0.06,-0.65,1.06,,681393.0,,0,8,Bot,129.92,100.8,,,,,-6.187625497567508,-127.887185553071,-5.177815689474855,-0.141934749157132,23.65570848979576,-30.72932238386472,3.41,1.56,246.0,72.7,36.0,88.8,2640.0,6.6,776148,682626,624413,643446,677595,596019,607043,656775,665742,53.9,0.351,0.342,0.0,1.0,0,0,3.0,67,5,Slider,4,0,4,0,0,4,4,0,Standard,Standard,325.0,-0.002,-0.191,75.1,7.8,0.432,0.191,88.0,4,4,0.993,0.993,30,27,30,28,1,3,2.0,1.0,,,2.87,-0.12,0.12,42.8,8.39234175168583,-11.69587361975655,42.2844204198402,31.923717615675848,41.66429845224363,1,11.345256012211497,245.7382452245018,3.9432078119203147,5.619674872805291,321.950957840358,76.42748094534458
SL,2025-09-28,87.9,1.99,5.63,"Mullins, Cedric",676572,642397,field_out,hit_into_play,,,,,13.0,Eric Wagaman flies out to center fielder Cedric Mullins.,R,R,L,MIA,NYM,X,8,fly_ball,1,2,2025,-0.12,0.06,-0.65,1.06,,681393.0,,0,8,Bot,129.92,100.8,,,,,-6.187625497567508,-127.887185553071,-5.177815689474855,-0.141934749157132,23.65570848979576,-30.72932238386472,3.41,1.56,246.0,72.7,36.0,88.8,2640.0,6.6,776148,682626,624413,643446,677595,596019,607043,656775,665742,53.9,0.351,0.342,0.0,1.0,0,0,3.0,67,5,Slider,4,0,4,0,0,4,4,0,Standard,Standard,325.0,-0.002,-0.191,75.1,7.8,0.432,0.191,88.0,4,4,0.993,0.993,30,27,30,28,1,3,2.0,1.0,,,2.87,-0.12,0.12,42.8,8.39234175168583,-11.69587361975655,42.2844204198402,31.923717615675848,41.66429845224363,1,11.345256012211497,245.7382452245018,3.9432078119203147,0.0,320.0,75.12338554883459
SL,2025-09-26,90.4,-1.86,5.57,"Mullins, Cedric",682663,687075,field_out,hit_into_play,,,,,12.0,Agustín Ramírez lines out to center fielder Cedric Mullins.,R,R,R,MIA,NYM,X,8,line_drive,0,1,2025,0.07,0.43,0.89,2.77,,,805300.0,2,3,Bot,124.87,69.85,,,,,6.721656589636829,-131.55117861840722,-1.973867211418268,-0.5331781541258457,26.953797646780167,-26.93704795411209,3.14,1.41,320.0,89.9,21.0,91.0,2108.0,6.6,776173,620443,624413,643446,677595,596019,607043,656775,665742,53.93,0.28,0.285,0.0,1.0,0,0,3.0,25,2,Slider,0,2,0,2,2,0,0,2,Standard,Standard,152.0,-0.026,-0.23,76.7,7.7,0.404,0.23,89.9,-2,-2,0.288,0.288,24,23,25,24,2,1,7.0,1.0,,1.0,2.35,-0.07,-0.07,34.3,8.316066887485224,-3.647326525981074,20.2893266817188,48.79971790628623,30.57281139815256,1,-1.3704904678130723,319.99706523010116,2.9994524314431845,5.619674872805291,321.950957840358,7.2581063523207305
SL,2025-09-26,90.4,-1.86,5.57,"Mullins, Cedric",682663,687075,field_out,hit_into_play,,,,,12.0,Agustín Ramírez lines out to center fielder Cedric Mullins.,R,R,R,MIA,NYM,X,8,line_drive,0,1,2025,0.07,0.43,0.89,2.77,,,805300.0,2,3,Bot,124.87,69.85,,,,,6.721656589636829,-131.55117861840722,-1.973867211418268,-0.5331781541258457,26.953797646780167,-26.93704795411209,3.14,1.41,320.0,89.9,21.0,91.0,2108.0,6.6,776173,620443,624413,643446,677595,596019,607043,656775,665742,53.93,0.28,0.285,0.0,1.0,0,0,3.0,25,2,Slider,0,2,0,2,2,0,0,2,Standard,Standard,152.0,-0.026,-0.23,76.7,7.7,0.404,0.23,89.9,-2,-2,0.288,0.288,24,23,25,24,2,1,7.0,1.0,,1.0,2.35,-0.07,-0.07,34.3,8.316066887485224,-3.647326525981074,20.2893266817188,48.79971790628623,30.57281139815256,1,-1.3704904678130723,319.99706523010116,2.9994524314431845,0.0,320.0,1.3704936100693257
CH,2025-09-26,91.4,-2.19,5.56,"Mullins, Cedric",688363,687075,field_out,hit_into_play,,,,,13.0,Graham Pauley lines out to center fielder Cedric Mullins.,R,L,R,MIA,NYM,X,8,line_drive,0,1,2025,-1.22,0.41,-0.86,2.17,,,681715.0,0,3,Bot,143.36,92.5,,,,,5.977250314798594,-132.9645202970163,-3.54161878855739,-15.705117326777344,28.450787131939272,-26.74336106802473,3.46,1.56,269.0,76.5,27.0,91.7,1669.0,6.5,776173,620443,624413,643446,677595,596019,607043,656775,665742,54.0,0.497,0.466,0.0,1.0,0,0,4.0,23,2,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,245.0,-0.04,-0.2,74.6,7.0,0.586,0.2,88.0,-2,-2,0.361,0.361,24,24,25,25,1,0,7.0,1.0,,1.0,2.32,1.22,-1.22,36.9,0.9773144127108072,-10.437953406249866,25.08298169748325,42.716473368182136,36.1943829277329,1,44.98351087596746,265.212148570294,3.224230047335916,5.619674872805291,321.950957840358,69.05652802066251
CH,2025-09-26,91.4,-2.19,5.56,"Mullins, Cedric",688363,687075,field_out,hit_into_play,,,,,13.0,Graham Pauley lines out to center fielder Cedric Mullins.,R,L,R,MIA,NYM,X,8,line_drive,0,1,2025,-1.22,0.41,-0.86,2.17,,,681715.0,0,3,Bot,143.36,92.5,,,,,5.977250314798594,-132.9645202970163,-3.54161878855739,-15.705117326777344,28.450787131939272,-26.74336106802473,3.46,1.56,269.0,76.5,27.0,91.7,1669.0,6.5,776173,620443,624413,643446,677595,596019,607043,656775,665742,54.0,0.497,0.466,0.0,1.0,0,0,4.0,23,2,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,245.0,-0.04,-0.2,74.6,7.0,0.586,0.2,88.0,-2,-2,0.361,0.361,24,24,25,25,1,0,7.0,1.0,,1.0,2.32,1.22,-1.22,36.9,0.9773144127108072,-10.437953406249866,25.08298169748325,42.716473368182136,36.1943829277329,1,44.98351087596746,265.212148570294,3.224230047335916,0.0,320.0,70.888820804213
SI,2025-09-26,96.2,-1.62,5.86,"Mullins, Cedric",805300,623211,field_out,hit_into_play,,,,,5.0,Jakob Marsee flies out to center fielder Cedric Mullins.,R,L,R,MIA,NYM,X,8,fly_ball,3,1,2025,-1.56,0.42,-0.24,2.62,,,,0,7,Bot,131.29,63.17,,,,,7.12560687281284,-139.89615217452595,-3.9254971213759577,-22.162493700615983,32.32086427309592,-25.948477503869867,3.32,1.52,337.0,91.1,33.0,95.2,2298.0,5.8,776173,620443,624413,643446,677595,596019,607043,656775,665742,54.73,0.049,0.072,0.0,1.0,0,0,3.0,55,5,Sinker,6,2,6,2,2,6,6,2,Standard,Standard,236.0,-0.003,-0.439,73.8,7.1,0.123,0.439,91.1,4,4,0.974,0.974,35,24,36,24,1,3,3.0,1.0,2.0,1.0,2.05,1.56,-1.56,32.4,-0.3815148689977882,-15.693108168283365,30.285897430784143,40.275698982201526,32.874368596158405,1,14.628611289225269,336.6823484113011,4.5644489601228955,5.619674872805291,321.950957840358,17.2677388070578
SI,2025-09-26,96.2,-1.62,5.86,"Mullins, Cedric",805300,623211,field_out,hit_into_play,,,,,5.0,Jakob Marsee flies out to center fielder Cedric Mullins.,R,L,R,MIA,NYM,X,8,fly_ball,3,1,2025,-1.56,0.42,-0.24,2.62,,,,0,7,Bot,131.29,63.17,,,,,7.12560687281284,-139.89615217452595,-3.9254971213759577,-22.162493700615983,32.32086427309592,-25.948477503869867,3.32,1.52,337.0,91.1,33.0,95.2,2298.0,5.8,776173,620443,624413,643446,677595,596019,607043,656775,665742,54.73,0.049,0.072,0.0,1.0,0,0,3.0,55,5,Sinker,6,2,6,2,2,6,6,2,Standard,Standard,236.0,-0.003,-0.439,73.8,7.1,0.123,0.439,91.1,4,4,0.974,0.974,35,24,36,24,1,3,3.0,1.0,2.0,1.0,2.05,1.56,-1.56,32.4,-0.3815148689977882,-15.693108168283365,30.285897430784143,40.275698982201526,32.874368596158405,1,14.628611289225269,336.6823484113011,4.5644489601228955,0.0,320.0,22.18776727765302
FF,2025-09-26,95.7,-2.11,5.63,"Mullins, Cedric",805300,687075,field_out,hit_into_play,,,,,5.0,Jakob Marsee flies out sharply to center fielder Cedric Mullins.,R,L,R,MIA,NYM,X,8,fly_ball,1,0,2025,-0.7,1.0,0.14,2.48,,,,0,1,Bot,155.25,44.86,,,,,7.469706134709116,-139.04270767640077,-4.915723517389367,-10.796854619051862,33.177643578688794,-18.22973862682969,3.32,1.52,387.0,101.1,32.0,95.1,1998.0,6.2,776173,620443,624413,643446,683146,596019,607043,656775,665742,54.33,0.509,0.985,0.0,1.0,0,0,6.0,7,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,225.0,-0.022,-0.301,72.2,7.1,1.912,0.301,101.1,-2,-2,0.342,0.342,24,24,25,24,1,0,7.0,1.0,,1.0,1.51,0.7,-0.7,32.3,-4.432604908933631,-20.686795005897835,39.2295424855847,35.2060853557648,32.96714561397553,1,73.8672208666841,379.88502692450584,4.922353025362896,5.619674872805291,321.950957840358,89.52141584466489
FF,2025-09-26,95.7,-2.11,5.63,"Mullins, Cedric",805300,687075,field_out,hit_into_play,,,,,5.0,Jakob Marsee flies out sharply to center fielder Cedric Mullins.,R,L,R,MIA,NYM,X,8,fly_ball,1,0,2025,-0.7,1.0,0.14,2.48,,,,0,1,Bot,155.25,44.86,,,,,7.469706134709116,-139.04270767640077,-4.915723517389367,-10.796854619051862,33.177643578688794,-18.22973862682969,3.32,1.52,387.0,101.1,32.0,95.1,1998.0,6.2,776173,620443,624413,643446,683146,596019,607043,656775,665742,54.33,0.509,0.985,0.0,1.0,0,0,6.0,7,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,225.0,-0.022,-0.301,72.2,7.1,1.912,0.301,101.1,-2,-2,0.342,0.342,24,24,25,24,1,0,7.0,1.0,,1.0,1.51,0.7,-0.7,32.3,-4.432604908933631,-20.686795005897835,39.2295424855847,35.2060853557648,32.96714561397553,1,73.8672208666841,379.88502692450584,4.922353025362896,0.0,320.0,95.09249585701428
