pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CU,2025-07-30,80.4,-1.03,6.39,"Myers, Dane",676475,615698,field_out,hit_into_play,,,,,2.0,Alec Burleson flies out to center fielder Dane Myers.,R,L,R,STL,MIA,X,8,fly_ball,1,1,2025,0.47,-0.41,-0.02,2.89,,,,0,4,Bot,132.19,86.3,,,,,1.3401275819381238,-117.21292603603426,-0.3577037162511183,4.0757368648454895,20.66967993496205,-36.12750481320327,3.49,1.57,281.0,98.4,48.0,80.6,2559.0,6.2,776934,682663,687859,669364,688363,672640,681715,667472,660821,54.33,0.017,0.032,0.0,1.0,0,0,3.0,29,3,Curveball,0,2,0,2,2,0,0,2,Infield shade,Standard,48.0,-0.029,-0.251,76.4,7.5,0.052,0.251,98.4,-2,-2,0.3,0.3,30,26,30,27,2,1,5.0,1.0,6.0,2.0,3.91,-0.47,0.47,48.1,24.57891557485065,-0.7268978842139732,29.93124483048308,32.294784149953685,43.07392948578233,1,16.959026797734783,280.4877740830671,6.694770446545367,5.584770059930724,319.9512624500452,41.069948020762034
SI,2025-07-30,94.8,-1.46,5.85,"Myers, Dane",695336,663969,single,hit_into_play,,,,,5.0,Thomas Saggese singles on a line drive to center fielder Dane Myers.,R,R,R,STL,MIA,X,8,line_drive,0,0,2025,-1.17,0.41,0.14,2.4,,,,2,7,Bot,122.37,77.19,,,,,6.761988800734982,-137.8031552384767,-4.235742229706183,-16.385271920868636,31.29653258360266,-26.19276020126777,3.53,1.64,157.0,104.2,7.0,94.5,2055.0,6.2,776934,682663,687859,669364,688363,672640,681715,667472,660821,54.29,0.626,0.579,0.9,1.0,1,0,4.0,52,1,Sinker,0,2,0,2,2,0,0,2,Standard,Standard,230.0,0.023,0.328,75.5,7.3,0.696,-0.328,104.2,-2,-2,0.145,0.145,27,23,28,23,1,2,4.0,1.0,3.0,4.0,2.14,1.17,1.17,25.2,13.75225435511228,8.105125393563446,35.43355823355972,38.32233276651655,24.70655223371728,0,-3.9535691193792752,156.95021277850594,1.3010905436604427,5.584770059930724,319.9512624500452,163.27988886670386
SL,2025-07-28,90.9,-1.65,5.83,"Myers, Dane",691023,669199,double,hit_into_play,,,,,7.0,Jordan Walker doubles (10) on a sharp fly ball to center fielder Dane Myers. Masyn Winn scores.,R,R,R,STL,MIA,X,8,fly_ball,0,2,2025,0.02,0.14,-0.59,2.0,691026.0,,,2,7,Bot,77.61,46.06,,,,,2.586027876812231,-132.40688185657189,-4.011989322272838,-0.2500225713627678,27.508829999457408,-29.87587012727177,3.81,1.82,394.0,104.7,26.0,90.5,2658.0,5.9,776960,682663,676572,669364,688363,672640,681715,667472,660821,54.55,0.923,1.822,1.25,1.0,1,1,6.0,56,3,Slider,6,0,6,0,0,7,7,0,Standard,Standard,138.0,0.003,0.919,78.7,8.5,3.541,-0.919,104.7,6,6,0.994,0.994,30,23,30,23,1,3,10.0,1.0,4.0,1.0,2.61,-0.02,-0.02,37.6,14.667686432962364,-15.38733336400968,39.42205601669056,32.80748827335323,31.792996976436733,0,-118.07003007251797,375.8928943178824,4.228614750638601,5.584770059930724,319.9512624500452,135.72021136084504
SI,2025-07-28,94.0,1.36,5.17,"Myers, Dane",687363,681006,double,hit_into_play,,,,,5.0,Victor Scott II doubles (13) on a sharp line drive to center fielder Dane Myers.,R,L,L,STL,MIA,X,8,line_drive,2,2,2025,0.94,0.56,0.27,2.0,,,,1,7,Bot,144.1,57.7,,,,,-4.870305427379331,-136.90555656569362,-3.745792286596034,12.890387463209333,29.5656807197374,-24.48603298837041,3.19,1.44,352.0,101.9,19.0,93.9,2228.0,6.1,776960,682663,676572,669364,688363,672640,681715,667472,660821,54.39,0.429,0.543,1.25,1.0,1,1,5.0,50,5,Sinker,2,0,2,0,0,2,2,0,Infield shade,Standard,134.0,0.02,0.669,69.5,6.4,0.878,-0.669,101.9,2,2,0.883,0.883,27,24,28,24,1,2,3.0,1.0,6.0,1.0,2.01,0.94,0.94,25.4,1.4254245376179449,0.2583428357025482,34.479721451370025,28.86317769916483,31.68451003409171,0,46.36878660622181,348.9325660190901,3.085079150168876,5.584770059930724,319.9512624500452,50.03250905370706
CU,2025-07-27,79.3,-1.8,6.04,"Myers, Dane",592885,691587,field_out,hit_into_play,,,,,8.0,Christian Yelich flies out to center fielder Dane Myers.,R,L,R,MIL,MIA,X,8,fly_ball,2,2,2025,0.5,-0.35,0.18,1.81,,,694192.0,2,1,Bot,134.59,38.17,,,,,3.412627491461587,-115.5186344424033,-1.907840848484074,3.935513332055562,19.90532947114442,-35.160230933966304,3.36,1.72,398.0,105.0,27.0,80.1,2745.0,6.6,776978,682663,689414,669364,688363,672640,669065,667472,660821,53.91,0.931,1.84,0.0,1.0,0,0,6.0,10,5,Curveball,0,1,0,1,1,0,0,1,Infield shade,Standard,55.0,-0.024,-0.217,78.8,8.2,3.589,0.217,105.0,-1,-1,0.416,0.416,22,33,22,34,1,0,6.0,1.0,6.0,1.0,3.94,-0.5,0.5,37.8,13.619919967224336,-0.5059762236388541,41.79938197508388,35.960409700857205,33.52808545133672,1,22.758826450463907,397.34875842085836,4.3885210763211475,5.584770059930724,319.9512624500452,79.28001384622264
SI,2025-07-27,93.6,1.28,5.68,"Myers, Dane",663368,806188,single,hit_into_play,,,,,2.0,Blake Perkins singles on a sharp line drive to center fielder Dane Myers. Eric Haase scores. Brice Turang to 3rd. Jackson Chourio to 2nd.,R,R,L,MIL,MIA,X,8,line_drive,3,2,2025,1.3,0.58,-0.05,2.95,606992.0,668930.0,694192.0,1,9,Bot,144.16,49.37,,,,,-6.24121109671579,-136.2504127411447,-2.607594910023931,17.561518531606573,28.510665525708813,-24.52640483168477,3.45,1.62,373.0,100.2,20.0,93.2,2335.0,5.9,776978,663743,689414,669364,676466,672640,691594,667472,669065,54.61,0.363,0.453,0.9,1.0,1,0,5.0,76,6,Sinker,2,2,2,2,2,3,3,2,Strategic,Strategic,149.0,0.171,0.416,72.8,7.0,0.723,-0.416,100.2,0,0,0.829,0.829,27,28,27,29,1,0,5.0,2.0,8.0,2.0,2.01,1.3,-1.3,32.5,6.648962151093721,5.7444457836628215,24.23256989270706,37.35642405174261,21.830007059370097,0,46.57695660985699,370.08051436540603,3.1830528796748307,5.584770059930724,319.9512624500452,64.7557044262331
CH,2025-07-27,85.9,1.39,5.71,"Myers, Dane",606992,806188,single,hit_into_play,,,,,9.0,Eric Haase singles on a fly ball to center fielder Dane Myers.,R,R,L,MIL,MIA,X,8,fly_ball,1,0,2025,1.21,0.3,0.54,1.55,,,,1,9,Bot,121.72,98.08,,,,,-4.410225966597008,-125.03084569028316,-4.178729676016599,13.561702864905335,25.69401518587028,-28.33541662953613,3.25,1.53,253.0,74.5,26.0,85.2,1776.0,5.9,776978,663743,689414,669364,676466,672640,691594,667472,669065,54.63,0.757,0.728,0.9,1.0,1,0,4.0,73,2,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,121.0,0.055,0.376,71.2,7.5,0.882,-0.376,88.0,0,0,0.577,0.577,27,32,27,33,1,3,5.0,4.0,8.0,,2.79,1.21,-1.21,32.3,12.591027680113552,0.2080267546163183,35.26274168198254,44.03826182648324,35.57616159479023,0,-9.336883119084225,252.8276539732562,3.038885924146073,5.584770059930724,319.9512624500452,68.76215927776023
ST,2025-07-27,80.4,-1.14,5.86,"Myers, Dane",683734,678368,field_out,hit_into_play,,,,,5.0,Andrew Vaughn flies out to center fielder Dane Myers.,R,R,R,MIL,MIA,X,8,fly_ball,0,1,2025,1.19,0.25,-0.01,2.07,,,592885.0,0,6,Bot,128.0,55.4,,,,,0.2430024996288802,-117.11597663469884,-2.2025114066123286,10.9001381083995,22.507155634380897,-29.630000902955825,3.26,1.53,380.0,106.0,20.0,80.2,2874.0,6.2,776978,682663,689414,669364,688363,672640,669065,667472,660821,54.34,0.723,1.033,0.0,1.0,0,0,6.0,48,2,Sweeper,1,2,1,2,2,1,1,2,Standard,Standard,79.0,-0.059,-0.2,74.7,7.0,1.753,0.2,106.0,-1,-1,0.451,0.451,25,27,25,27,1,2,7.0,1.0,2.0,1.0,3.27,-1.19,-1.19,44.6,5.531832920016556,-2.004422284247969,33.5262670847587,35.31427870775406,32.45730478385062,1,6.861063781519316,379.9380552192501,3.3608114125758504,5.584770059930724,319.9512624500452,60.000368602195266
FF,2025-07-26,94.8,-0.67,5.57,"Myers, Dane",668930,676083,double,hit_into_play,,,,,6.0,Brice Turang doubles (17) on a sharp line drive to center fielder Dane Myers. Isaac Collins scores.,R,L,R,MIL,MIA,X,8,line_drive,2,1,2025,-0.22,1.46,0.52,2.28,,686555.0,,2,4,Bot,150.74,89.39,,,,,3.655739879738736,-137.9468050561131,-6.234744126971804,-3.674510749558164,31.53934803533477,-12.33545968928075,3.54,1.63,280.0,105.2,13.0,95.5,2394.0,6.7,776996,663743,676572,669364,691594,672640,669065,667472,681715,53.76,0.866,0.867,1.25,1.0,1,1,4.0,35,4,4-Seam Fastball,2,2,2,2,2,3,3,2,Standard,Strategic,206.0,0.135,0.909,75.9,7.2,1.155,-0.909,105.2,0,0,0.542,0.542,29,25,29,26,2,1,6.0,1.0,6.0,1.0,1.08,0.22,-0.22,51.8,13.57229991691774,1.0756974947837543,36.03234065497732,28.35409734191689,35.82836616448776,0,63.42156800604025,272.72276163102924,2.240770390504967,5.584770059930724,319.9512624500452,74.67011775985685
CU,2025-07-26,83.7,-1.36,6.01,"Myers, Dane",668930,663969,field_out,hit_into_play,,,,,8.0,Brice Turang lines out sharply to center fielder Dane Myers.,R,L,R,MIL,MIA,X,8,line_drive,0,1,2025,0.5,-0.87,0.18,1.53,,,,1,9,Bot,118.35,58.1,,,,,2.5924199615123507,-121.86330230291324,-2.163612461317757,4.428628570869306,25.49659619943285,-40.6174593631978,3.54,1.63,349.0,104.7,17.0,84.3,2610.0,6.8,776996,663743,676572,669364,688363,672640,691594,667472,669065,53.72,0.54,0.664,0.0,1.0,0,0,5.0,75,2,Curveball,4,7,4,7,7,4,4,7,Standard,Standard,40.0,-0.012,-0.216,72.6,7.1,1.039,0.216,104.7,-3,-3,0.017,0.017,27,25,28,26,2,3,5.0,1.0,4.0,1.0,4.14,-0.5,0.5,38.1,4.853986268495971,4.875000895703408,38.82408322929834,33.014744788392974,36.95908222528758,1,-17.58077563986896,348.5569054371188,2.8561547967947454,5.584770059930724,319.9512624500452,36.80931021186653
