pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CH,2025-06-16,90.7,-1.33,5.84,"Stowers, Kyle",681082,645261,double,hit_into_play,,,,,8.0,Bryson Stott doubles (7) on a sharp line drive to center fielder Kyle Stowers.,R,L,R,MIA,PHI,X,8,line_drive,0,1,2025,-1.55,0.11,0.02,1.94,,,,2,4,Top,115.71,23.49,,,,,6.655861118081953,-131.88118447523502,-4.011036811671189,-19.51224080716532,30.537206205702,-30.12954094295377,3.35,1.59,386.0,107.3,20.0,89.8,2064.0,6.0,777483,689414,676572,669364,681393,672640,681715,669065,660821,54.5,0.777,1.119,1.25,1.0,1,1,6.0,29,2,Changeup,1,2,2,1,2,1,2,1,Standard,Standard,243.0,-0.024,0.624,73.8,7.4,1.906,-0.624,107.3,-1,1,0.41,0.59,29,27,30,28,2,1,6.0,1.0,6.0,1.0,2.68,1.55,-1.55,33.3,6.6411223203154455,3.481850259372765,34.29568497981873,31.771900693457173,31.312712273709806,0,-21.411427574293864,385.40569633728916,3.400697579969883,0.0,325.0,64.08820001187442
SI,2025-06-16,96.6,-1.46,5.85,"Stowers, Kyle",805249,645261,field_out,hit_into_play,,,,,5.0,Otto Kemp lines out sharply to center fielder Kyle Stowers.,R,R,R,MIA,PHI,X,8,line_drive,0,0,2025,-1.41,0.7,0.01,2.66,,,,1,4,Top,133.69,48.61,,,,,7.072972765694762,-140.46757484382337,-4.474063518431468,-20.25170798409076,32.03761425626261,-22.09472158772613,3.32,1.51,372.0,102.1,20.0,95.9,2272.0,5.9,777483,689414,676572,669364,681393,672640,681715,669065,660821,54.56,0.503,0.639,0.0,1.0,0,0,5.0,28,1,Sinker,1,2,2,1,2,1,2,1,Standard,Standard,231.0,0.016,-0.255,79.0,7.5,1.034,0.255,102.1,-1,1,0.394,0.606,29,25,30,26,2,1,6.0,1.0,6.0,1.0,1.75,1.41,1.41,27.9,8.950891998887094,0.2391352454806116,31.52719197741586,31.78604163909265,27.996957092068094,1,20.52488144581136,371.43334427812937,3.2412473422738683,0.0,325.0,50.767373570196646
FC,2025-06-16,83.3,-1.1,6.18,"Stowers, Kyle",805249,678368,field_out,hit_into_play,,,,,6.0,Otto Kemp flies out to center fielder Kyle Stowers.,R,R,R,MIA,PHI,X,8,fly_ball,2,1,2025,0.43,0.98,0.76,2.68,,,,2,8,Top,115.71,94.79,,,,,3.378918755078068,-121.3153064080016,-3.539877562099877,3.643288795008585,22.408756044641923,-21.984320759034773,3.32,1.51,262.0,85.2,46.0,82.7,2592.0,5.7,777483,689414,676572,669364,681393,672640,681715,669065,660821,54.81,0.014,0.021,0.0,1.0,0,0,3.0,60,4,Cutter,1,3,3,1,3,1,3,1,Standard,Standard,128.0,0.006,-0.298,79.1,7.9,0.032,0.298,88.0,-2,2,0.15,0.85,25,25,25,26,2,3,3.0,1.0,3.0,1.0,2.28,-0.43,-0.43,51.3,20.826799904422625,-7.494874627959916,27.932822820072165,39.051627150080094,38.53248984825162,1,-24.477130565543636,260.8541164698716,5.620838543268881,0.0,325.0,68.65729600401889
FC,2025-06-16,81.1,-1.07,6.24,"Stowers, Kyle",592206,678368,field_out,hit_into_play,,,,,7.0,Nick Castellanos flies out to center fielder Kyle Stowers.,R,R,R,MIA,PHI,X,8,fly_ball,2,1,2025,0.86,0.39,-0.68,1.91,,,,0,8,Top,141.42,96.82,,,,,-0.7370583755912701,-118.1779537844043,-3.7757973232958806,8.167111785883323,22.7723532534524,-28.00813214903938,3.87,1.88,258.0,94.2,50.0,80.0,2523.0,5.5,777483,689414,676572,669364,681393,672640,681715,669065,660821,54.99,0.009,0.01,0.0,1.0,0,0,3.0,58,4,Cutter,1,3,3,1,3,1,3,1,Standard,Standard,110.0,0.011,-0.306,75.4,8.0,0.015,0.306,94.2,-2,2,0.13,0.87,25,33,25,33,2,3,3.0,1.0,3.0,2.0,3.07,-0.86,-0.86,48.0,20.51499874591333,-13.088664220910095,49.57008630709564,26.80064464647853,43.38316241544677,1,40.193193875340285,254.84996991582972,6.607244813283199,0.0,325.0,80.84874491734975
FC,2025-06-16,84.2,-1.12,6.06,"Stowers, Kyle",596146,678368,field_out,hit_into_play,,,,,5.0,Max Kepler flies out to center fielder Kyle Stowers.,R,L,R,MIA,PHI,X,8,fly_ball,1,2,2025,0.75,0.79,-0.07,2.33,,,592206.0,0,6,Top,114.67,78.1,,,,,0.9363681271698128,-122.63883157699163,-3.861085075991269,7.408956309917828,23.35649635133515,-23.69222930666233,3.44,1.65,302.0,96.4,44.0,83.9,2506.0,6.0,777483,689414,676572,669364,681393,672640,681715,669065,660821,54.53,0.017,0.025,0.0,1.0,0,0,3.0,43,4,Cutter,1,2,2,1,2,1,2,1,Infield shade,Standard,134.0,0.035,-0.164,74.3,7.1,0.047,0.164,96.4,-1,1,0.296,0.704,25,32,25,32,1,2,3.0,1.0,3.0,1.0,2.41,-0.75,0.75,51.9,10.187368853632892,-3.08411788554913,32.96895119036818,37.67715918228426,36.32754689363641,1,-26.908441509339873,300.79882941184866,6.1356608664795385,0.0,325.0,36.19061870565861
FF,2025-06-11,94.8,-1.71,5.87,"Stowers, Kyle",693304,669199,field_out,hit_into_play,,,,,2.0,Nick Gonzales lines out to center fielder Kyle Stowers.,R,R,R,PIT,MIA,X,8,line_drive,0,0,2025,-0.49,1.29,0.01,3.15,,,,0,6,Bot,119.98,76.02,,,,,5.5879211973337215,-137.91810688078905,-4.347846839318841,-7.514815884321546,29.34303840869629,-14.903993409561355,3.45,1.57,307.0,94.7,19.0,95.0,2499.0,6.3,777552,689414,676572,669364,681393,672640,660821,669065,681715,54.19,0.394,0.41,0.0,1.0,0,0,4.0,50,1,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,213.0,-0.012,-0.259,70.5,7.3,0.591,0.259,94.7,2,2,0.852,0.852,30,26,30,26,1,2,19.0,1.0,4.0,2.0,1.24,0.49,0.49,39.8,10.3834082793309,6.176801528075939,29.95633151394884,35.37155595755186,26.093002422645142,1,-13.647680487908138,306.6964962585976,2.875765931596788,0.0,325.0,22.831500868571023
FF,2025-05-26,97.1,2.62,5.9,"Stowers, Kyle",593428,677960,field_out,hit_into_play,,,,,5.0,Xander Bogaerts flies out to center fielder Kyle Stowers.,R,R,L,SD,MIA,X,8,fly_ball,3,1,2025,0.76,1.31,0.18,2.85,,,,1,6,Bot,156.28,90.67,,,,,-8.184783627225846,-141.06844726056238,-5.528057654623138,12.064772634219494,34.85901542462684,-13.575432736982284,3.56,1.64,320.0,99.4,42.0,96.0,2289.0,6.0,777756,663743,670223,682927,681393,672640,676572,669065,660821,54.54,0.06,0.109,0.0,1.0,0,0,3.0,46,5,4-Seam Fastball,2,3,2,3,3,2,2,3,Standard,Standard,142.0,-0.028,-0.42,76.7,6.9,0.205,0.42,99.4,-1,-1,0.347,0.347,25,32,26,33,3,2,6.0,1.0,6.0,1.0,1.13,0.76,-0.76,45.2,4.00341411318067,3.719119772596361,29.039944148741064,38.50223085931656,31.98517546745572,1,88.22032197371976,307.59904874829056,6.094521417671991,0.0,325.0,89.9200662455892
CH,2025-05-26,86.3,3.11,5.73,"Stowers, Kyle",593428,677960,field_out,hit_into_play,,,,,5.0,Xander Bogaerts flies out to center fielder Kyle Stowers.,R,R,L,SD,MIA,X,8,fly_ball,1,0,2025,0.95,0.57,-0.07,2.87,,701538.0,592518.0,2,1,Bot,149.86,55.47,,,,,-9.404510641596609,-125.34945912414764,-1.7156204308855822,11.91922416472726,25.306080917655912,-26.070072086665217,3.56,1.64,359.0,98.0,31.0,85.6,1716.0,5.9,777756,663743,670223,682927,681393,672640,676572,669065,660821,54.58,0.343,0.611,0.0,1.0,0,0,5.0,12,2,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,132.0,-0.044,-0.308,78.2,6.9,1.174,0.308,98.0,-2,-2,0.338,0.338,25,32,26,33,1,0,6.0,1.0,6.0,1.0,2.51,0.95,-0.95,40.9,5.596828235533371,0.0345201609139671,28.82023023445741,36.22792045061152,32.083953220571885,1,60.5617180899843,353.8548831116921,4.641911159882718,0.0,325.0,67.0844689730801
FF,2025-05-26,98.0,2.93,5.83,"Stowers, Kyle",657757,677960,field_out,hit_into_play,,,,,4.0,Gavin Sheets flies out to center fielder Kyle Stowers.,R,L,L,SD,MIA,X,8,fly_ball,2,1,2025,0.8,1.35,-0.4,2.58,,701538.0,592518.0,1,1,Bot,91.1,103.73,,,,,-10.734084177062815,-142.1561949363223,-6.344262814227048,13.340579241020164,33.01679377121522,-12.517045996042263,3.45,1.63,254.0,93.9,48.0,96.9,2401.0,5.9,777756,663743,670223,682927,681393,672640,676572,669065,660821,54.61,0.003,0.003,0.0,1.0,0,0,3.0,11,4,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,146.0,-0.046,-0.277,76.9,7.9,0.003,0.277,93.9,-2,-2,0.384,0.384,25,29,26,29,1,0,6.0,1.0,6.0,1.0,1.04,0.8,0.8,44.4,9.027141853894989,-4.436509395591777,20.27938471196643,45.57991511927281,31.42692932096984,1,-86.67295098562441,238.75468491203173,6.391204107917679,0.0,325.0,122.27205243709365
SI,2025-05-24,93.6,-1.48,6.32,"Stowers, Kyle",687263,615698,double,hit_into_play,,,,,4.0,Zach Neto doubles (10) on a line drive to center fielder Kyle Stowers.,R,R,R,LAA,MIA,X,8,line_drive,1,2,2025,-1.47,1.17,-0.34,2.57,,,,0,4,Bot,93.16,74.61,,,,,6.161329682044444,-135.90698369435486,-6.422641384924238,-19.595970144873096,33.188697682060074,-16.411537981187,3.28,1.58,318.0,99.2,21.0,92.8,2005.0,6.2,777781,689414,670223,682927,681393,672640,676572,669065,660821,54.28,0.326,0.405,1.25,1.0,1,1,5.0,29,4,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,224.0,0.082,0.786,71.8,6.5,0.653,-0.786,99.2,-1,-1,0.421,0.421,30,24,30,24,2,1,6.0,1.0,6.0,1.0,1.47,1.47,1.47,39.8,15.92049382375841,3.411666223832796,33.41599240191191,26.75363435223509,31.210287562405554,0,-80.27218915426481,307.7017641294601,3.2976861026916775,0.0,325.0,82.11487877267372
