pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SL,2025-09-28,88.6,-0.43,6.47,"Taylor, Tyrone",640459,592773,double,hit_into_play,,,,,2.0,Brian Navarreto doubles (2) on a sharp fly ball to center fielder Tyrone Taylor. Eric Wagaman scores.,R,R,R,MIA,NYM,X,8,fly_ball,0,0,2025,0.41,0.05,0.12,2.98,,676572.0,,2,4,Bot,102.92,36.42,,,,,0.4885621541563267,-129.02513607698324,-2.546076443092878,4.480713091705563,27.806960344582794,-31.251565567313204,3.37,1.53,405.0,105.8,23.0,88.0,2568.0,5.9,776148,682626,624413,643446,677595,596019,607043,621438,665742,54.56,0.886,1.605,1.25,1.0,1,1,6.0,32,1,Slider,1,0,1,0,0,2,2,0,Standard,Standard,49.0,0.107,0.904,77.3,7.7,3.043,-0.904,105.8,1,1,0.677,0.677,33,30,34,31,1,1,3.0,7.0,,,2.85,-0.41,-0.41,50.3,14.466056275293504,-2.0013174042306314,24.178598078547186,37.2455776572496,29.717326302736048,0,-55.76584777008904,401.14233162617387,3.8177936113686117,5.637127279242574,322.9508055355144,99.41951567622486
SL,2025-09-28,89.8,-1.87,4.93,"Taylor, Tyrone",805300,621242,field_out,hit_into_play,,,,,4.0,Jakob Marsee flies out sharply to center fielder Tyrone Taylor.,R,L,R,MIA,NYM,X,8,fly_ball,2,2,2025,0.29,0.33,-0.3,2.57,,,,0,5,Bot,164.06,48.99,,,,,3.299795576428219,-130.75048864710004,-0.5436200764524223,2.684978269078407,27.66269995145696,-28.51789656661784,3.32,1.53,381.0,103.4,37.0,91.1,2347.0,7.1,776148,682626,624413,643446,677595,596019,607043,621438,665742,53.42,0.449,0.895,0.0,1.0,0,0,6.0,42,7,Slider,4,0,4,0,0,4,4,0,Strategic,Standard,170.0,-0.005,-0.233,75.5,6.8,1.73,0.233,103.4,4,4,0.937,0.937,31,24,31,24,1,2,1.0,1.0,,,2.5,-0.29,0.29,19.7,8.044912260065079,-3.904100636638754,29.200905164735488,41.07412590272525,39.27428710354127,1,95.47251808897994,368.84413820711507,5.706036755261562,5.637127279242574,322.9508055355144,100.8791129304994
SI,2025-09-28,97.2,-1.51,5.96,"Taylor, Tyrone",669364,623211,field_out,hit_into_play,,,,,5.0,Xavier Edwards flies out to center fielder Tyrone Taylor.,R,L,R,MIA,NYM,X,8,fly_ball,0,0,2025,-1.69,0.5,-0.12,2.29,,,,1,3,Bot,104.49,46.37,,,,,7.523075350207517,-141.19274711205227,-5.34236379876483,-24.37532995326814,34.020581119222285,-24.35763346902192,3.22,1.47,380.0,99.5,26.0,95.8,2268.0,5.7,776148,682626,624413,643446,677595,596019,607043,621438,665742,54.79,0.474,0.758,0.0,1.0,0,0,6.0,21,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,234.0,-0.017,-0.255,69.1,6.3,1.362,0.255,99.5,0,0,0.529,0.529,35,25,36,26,1,1,2.0,1.0,,,1.93,1.69,-1.69,38.1,4.032387092392079,3.4662452293241586,33.070477029199125,33.56515087715289,27.942483593425514,1,-51.869378098219244,376.443312619183,4.023041410381515,5.637127279242574,322.9508055355144,78.53945807569836
SI,2025-09-28,84.0,-3.94,1.27,"Taylor, Tyrone",669364,643511,single,hit_into_play,,,,,3.0,Xavier Edwards singles on a line drive to center fielder Tyrone Taylor. Javier Sanoja scores.,R,L,R,MIA,NYM,X,8,line_drive,0,1,2025,-0.22,-0.86,0.64,3.05,691594.0,,,2,4,Bot,103.63,90.43,,,,,10.939639386922384,-121.1646040516155,12.240494340023396,-4.302929370914709,23.53802851303677,-43.446347894656014,3.22,1.47,208.0,76.0,18.0,83.1,1993.0,6.2,776148,682626,624413,643446,677595,596019,607043,621438,665742,54.32,0.946,0.859,0.9,1.0,1,0,4.0,34,2,Sinker,3,0,3,0,0,4,4,0,Standard,Strategic,332.0,0.048,0.774,,,1.017,-0.774,88.0,3,3,0.864,0.864,34,25,35,26,1,2,1.0,1.0,,,4.14,0.22,-0.22,-59.1,,,,,,0,-41.19564142495109,203.87966825455365,2.224990050543376,5.637127279242574,322.9508055355144,127.95016200803305
ST,2025-09-28,87.7,-0.63,6.49,"Taylor, Tyrone",676572,592773,double,hit_into_play,,,,,4.0,Eric Wagaman doubles (28) on a line drive to center fielder Tyrone Taylor. Connor Norby scores.,R,R,R,MIA,NYM,X,8,line_drive,1,1,2025,0.66,-0.12,-0.46,2.52,,,681393.0,1,4,Bot,94.39,48.17,,,,,-0.9560313034993672,-127.65448243275306,-3.109993483540976,7.308789850564301,30.443175237865187,-32.98727879523282,3.41,1.56,374.0,106.7,18.0,86.7,2504.0,6.0,776148,682626,624413,643446,677595,596019,607043,621438,665742,54.47,0.626,0.789,1.25,1.0,1,1,6.0,30,3,Sweeper,0,0,0,0,0,1,1,0,Standard,Standard,52.0,0.147,0.812,81.6,7.0,1.256,-0.812,106.7,0,0,0.562,0.562,33,27,34,28,1,1,3.0,1.0,,,3.12,-0.66,-0.66,51.4,9.409966912708228,-6.072246633100575,25.195987532941224,33.15521120436013,34.11555603998943,0,-75.7155936375454,366.25557863343744,3.066904001586119,5.637127279242574,322.9508055355144,92.16055866599002
FC,2025-09-28,88.4,2.84,5.69,"Taylor, Tyrone",805300,548384,field_out,hit_into_play,,,,,2.0,Jakob Marsee lines out sharply to center fielder Tyrone Taylor.,R,L,L,MIA,NYM,X,8,line_drive,0,1,2025,0.31,0.79,0.06,2.99,,,682663.0,2,3,Bot,102.53,64.52,,,,,-7.32496221377472,-128.5875406906144,-2.127810689147492,4.984512528745142,26.37325105308239,-23.14647619142912,3.32,1.53,339.0,102.1,17.0,87.2,2678.0,5.5,776148,682626,624413,643446,677595,596019,607043,621438,665742,54.96,0.437,0.504,0.0,1.0,0,0,5.0,23,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,155.0,-0.026,-0.23,73.3,6.1,0.769,0.23,102.1,0,0,0.526,0.526,37,24,37,24,1,1,1.0,1.0,,,2.12,0.31,0.31,38.9,10.08782762712372,13.524949703216649,23.51599571113569,38.70482342742165,27.95075325499205,1,-57.18512070160879,334.1419787610387,2.788435405162699,5.637127279242574,322.9508055355144,63.81126232516698
SI,2025-09-27,94.7,-1.02,6.45,"Taylor, Tyrone",669364,605280,single,hit_into_play,,,,,5.0,Xavier Edwards singles on a line drive to center fielder Tyrone Taylor. Heriberto Hernández to 2nd.,R,L,R,MIA,NYM,X,8,line_drive,1,1,2025,-1.18,0.16,-0.17,2.48,,,681715.0,2,3,Bot,132.51,102.63,,,,,4.8077284477339335,-137.68684584213167,-4.95752733329732,-16.072583400195917,32.9990252936214,-29.168097014613725,3.23,1.49,201.0,102.6,9.0,93.5,2086.0,5.8,776161,682626,624413,643446,677595,596019,607043,621438,665742,54.7,0.749,0.711,0.9,1.0,1,0,4.0,23,3,Sinker,0,2,0,2,2,0,0,2,Standard,Standard,241.0,0.024,0.361,68.0,6.2,0.889,-0.361,102.6,-2,-2,0.288,0.288,32,25,32,26,2,1,3.0,1.0,,1.0,2.4,1.18,-1.18,44.2,7.029235420535627,7.579302105853787,31.40171156669509,33.65760597690316,26.343113441043226,0,14.859789001025376,200.44996051594774,1.5812455313606262,5.637127279242574,322.9508055355144,122.84752549295541
FF,2025-09-25,96.1,-3.58,5.17,"Taylor, Tyrone",608348,690997,field_out,hit_into_play,,,,,8.0,Carson Kelly flies out to center fielder Tyrone Taylor.,R,R,R,CHC,NYM,X,8,fly_ball,3,2,2025,-0.81,0.92,0.06,1.58,,,,2,4,Bot,166.26,71.59,,,,,11.46700554560605,-139.41058329445326,-5.970940369487158,-13.179050338810072,32.84482254415289,-18.94892614737573,3.38,1.64,331.0,88.8,28.0,96.1,2288.0,6.5,776187,620443,624413,682668,683146,596019,607043,621438,665742,53.96,0.057,0.082,0.0,1.0,0,0,3.0,34,6,4-Seam Fastball,1,6,1,6,6,1,1,6,Standard,Standard,238.0,-0.004,-0.329,84.3,7.2,0.138,0.329,88.8,-5,-5,0.061,0.061,23,30,24,31,2,1,5.0,1.0,,2.0,1.57,0.81,0.81,27.1,1.0180083164684872,5.83622216775813,40.59363482821102,40.39953281833011,34.71881247610127,1,101.56269706833976,315.03336103372396,3.8492784965446365,5.637127279242574,322.9508055355144,96.25175773357017
SL,2025-09-25,74.6,-3.73,1.29,"Taylor, Tyrone",673548,643511,field_out,hit_into_play,,,,,12.0,Seiya Suzuki flies out to center fielder Tyrone Taylor.,R,R,R,CHC,NYM,X,8,fly_ball,2,2,2025,0.83,1.18,0.75,3.38,,,,2,8,Bot,112.42,62.24,,,,,7.647749688958652,-107.92341073011596,9.433255478271947,5.096551467281175,19.368915213633567,-24.950635437012703,3.22,1.38,341.0,87.1,29.0,73.6,2434.0,6.0,776187,620443,624413,682668,683146,596019,607043,621438,665742,54.55,0.043,0.042,0.0,1.0,0,0,3.0,66,8,Slider,5,8,5,8,8,5,5,8,Strategic,Standard,114.0,-0.008,-0.224,57.4,7.1,0.07,0.224,88.0,-3,-3,0.039,0.039,34,30,35,31,1,3,2.0,1.0,2.0,1.0,2.97,-0.83,-0.83,-58.5,9.456455480239754,-5.962965640119206,22.96369056563039,46.63600458312482,33.96672037624359,1,-32.44059503768839,339.4533956135963,3.8977121429582415,5.637127279242574,322.9508055355144,41.49998091723066
SI,2025-09-25,94.5,-3.88,5.17,"Taylor, Tyrone",664023,690997,double,hit_into_play,,,,,5.0,Ian Happ doubles (32) on a line drive to center fielder Tyrone Taylor.,R,L,R,CHC,NYM,X,8,line_drive,3,1,2025,-1.17,0.42,0.19,2.35,,,,2,1,Bot,86.24,67.24,,,,,13.189454858877616,-136.9308969002587,-2.5662184868256546,-17.58226847693278,30.358069006211394,-26.43995382235344,3.61,1.66,341.0,99.2,22.0,94.4,2252.0,6.5,776187,620443,624413,682668,683146,596019,607043,621438,665742,54.0,0.354,0.461,1.25,1.0,1,1,5.0,9,5,Sinker,0,2,0,2,2,0,0,2,Infield shade,Standard,233.0,0.022,0.427,72.1,6.2,0.755,-0.427,99.2,-2,-2,0.304,0.304,23,30,24,31,1,0,5.0,1.0,,1.0,2.15,1.17,-1.17,26.6,-0.4941999696602838,7.563600953658244,36.59139845514126,33.21616137171478,28.22383283778516,0,-97.69050128026667,326.7071562724181,3.4421771246138677,5.637127279242574,322.9508055355144,103.3958848049116
