pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SL,2025-09-24,87.4,-2.02,5.21,"Tolbert, Tyler",694384,663568,field_out,hit_into_play,,,,,7.0,Nolan Schanuel lines out to center fielder Tyler Tolbert.,R,L,R,LAA,KC,X,8,line_drive,2,2,2025,0.08,-0.15,-0.29,2.18,,,,0,1,Bot,107.05,80.55,,,,,4.0000469832912895,-127.28765485319818,-0.8533378263420912,-0.0111424438011533,26.68493208695425,-33.85924866719888,3.57,1.7,299.0,96.9,17.0,87.3,2581.0,6.2,776197,571912,686469,663697,672580,677951,545341,686475,695506,54.29,0.526,0.541,0.0,1.0,0,0,4.0,4,6,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,57.0,-0.021,-0.233,68.5,6.2,0.76,0.233,96.9,0,0,0.547,0.547,28,23,28,23,1,0,6.0,1.0,,1.0,3.14,-0.08,0.08,31.7,0.1025122626103591,6.212703058755606,41.61465989654359,32.610572971383945,25.39548466581747,1,-46.10050484762987,295.4246832151871,2.653233207573279,-5.5498652470561565,317.95156705973244,46.38765857166382
FC,2025-09-23,89.6,1.72,5.99,"Tolbert, Tyler",621493,666142,field_out,hit_into_play,,,,,8.0,Taylor Ward flies out to center fielder Tyler Tolbert. Nolan Schanuel to 2nd.,R,R,L,LAA,KC,X,8,fly_ball,0,0,2025,-0.01,0.61,0.1,1.61,,,694384.0,0,4,Bot,115.61,51.72,,,,,-3.9780153388881567,-130.45973149731373,-6.143992935844765,0.6918500095704202,25.56598778691104,-24.152455039849,3.35,1.61,365.0,98.5,34.0,89.6,2669.0,6.1,776207,521692,686469,624428,672580,677951,545341,686475,573262,54.38,0.234,0.45,0.0,1.0,0,0,5.0,30,1,Cutter,0,2,0,2,2,0,0,2,Standard,Standard,138.0,-0.025,-0.242,72.9,7.7,0.871,0.242,98.5,-2,-2,0.347,0.347,27,31,28,32,2,1,6.0,2.0,5.0,1.0,2.21,-0.01,0.01,30.1,7.789865546090495,-8.32906610072466,38.32892173694184,37.502296268574426,38.72193932189134,1,-24.378400355925745,364.1849716779733,5.058605310354413,-5.5498652470561565,317.95156705973244,49.92035092965503
ST,2025-09-23,81.5,-2.94,4.35,"Tolbert, Tyler",666176,670167,field_out,hit_into_play,,,,,9.0,Jo Adell flies out sharply to center fielder Tyler Tolbert.,R,R,R,LAA,KC,X,8,fly_ball,1,1,2025,1.48,0.33,0.28,2.33,,,,2,6,Bot,94.36,57.57,,,,,4.383553340928472,-118.64417612517092,1.4487713169946277,13.02396822591312,24.403673247682303,-29.56674139655759,3.65,1.77,358.0,104.6,41.0,81.4,2662.0,6.4,776207,521692,686469,624428,672580,677951,545341,686475,573262,54.11,0.349,0.686,0.0,1.0,0,0,5.0,51,3,Sweeper,2,3,2,3,3,2,2,3,Infield shade,Standard,72.0,-0.019,-0.245,79.5,8.3,1.334,0.245,104.6,-1,-1,0.319,0.319,31,26,31,26,1,2,2.0,2.0,2.0,1.0,3.12,-1.48,-1.48,4.6,8.271647889753902,-15.15036928564523,34.13556030572347,38.925036270396696,33.94626573842606,1,-77.17170752699565,349.58336281546326,6.286159101019331,-5.5498652470561565,317.95156705973244,78.29596920854098
CH,2025-09-18,89.9,-1.04,5.88,"Tolbert, Tyler",593871,664199,field_out,hit_into_play,,,,,4.0,Jorge Polanco flies out to center fielder Tyler Tolbert.,R,L,R,KC,SEA,X,8,fly_ball,0,2,2025,-1.13,0.13,-0.53,2.71,,,647304.0,2,9,Top,133.07,77.19,,,,,3.657197102995828,-130.92696316613538,-2.209528596826087,-13.778483179104931,25.64628836679577,-30.39378614763744,3.35,1.64,347.0,93.9,38.0,90.2,1998.0,6.3,776272,571912,686469,663697,672580,677951,624428,686475,695506,54.23,0.063,0.1,0.0,1.0,0,0,3.0,60,3,Changeup,0,2,2,0,2,0,2,0,Infield shade,Standard,230.0,0.008,-0.174,73.6,7.0,0.188,0.174,93.9,-2,2,0.079,0.921,32,31,32,32,1,3,2.0,1.0,2.0,1.0,2.67,1.13,-1.13,38.4,5.247593113806163,-4.718048889012544,26.262886477190044,43.20409055698178,25.512558320058226,1,21.880306249568015,346.30947460100646,5.305794612628199,-5.5498652470561565,317.95156705973244,39.453583214375584
SI,2025-09-17,97.6,2.89,5.06,"Tolbert, Tyler",641598,672582,sac_fly,hit_into_play,,,,,8.0,Mitch Garver out on a sacrifice fly to center fielder Tyler Tolbert. Eugenio Suárez scores.,R,R,L,KC,SEA,X,8,fly_ball,0,0,2025,1.34,0.28,-0.2,2.0,553993.0,,,1,7,Top,144.17,77.21,,,,,-11.19054928501852,-141.6816218964808,-3.325875547711931,20.584843801839497,30.78753127964968,-27.82464636638243,3.48,1.61,307.0,84.4,30.0,96.3,1906.0,5.6,776289,521692,686469,624428,672580,677951,573262,686475,695506,54.93,0.04,0.04,0.0,1.0,0,0,3.0,53,1,Sinker,3,2,2,3,3,3,3,3,Strategic,Standard,120.0,-0.036,-0.124,70.7,7.2,0.065,0.124,88.0,1,-1,0.603,0.397,25,34,26,34,1,2,4.0,4.0,4.0,3.0,2.11,1.34,-1.34,22.2,6.320350397789063,11.73382117592336,35.98255336306252,33.91248247699233,24.45435790182226,1,46.988486912896725,303.3827320360151,3.8952877888069586,-5.5498652470561565,317.95156705973244,54.52090793110032
CU,2025-09-14,82.0,1.19,6.47,"Tolbert, Tyler",669016,702070,field_out,hit_into_play,,,,,8.0,Brandon Marsh lines out to center fielder Tyler Tolbert.,R,L,L,PHI,KC,X,8,line_drive,1,1,2025,-0.37,-0.73,-0.26,2.03,,,,2,7,Bot,88.78,72.7,,,,,-2.551822110395452,-119.38483973608908,-2.062707301785992,-3.0214820156539983,23.16205320130121,-38.98492102500332,3.2,1.54,327.0,93.6,23.0,81.9,2355.0,6.2,776334,695600,686469,663697,672580,677951,545341,686475,695506,54.29,0.163,0.199,0.0,1.0,0,0,3.0,58,3,Curveball,2,8,2,8,8,2,2,8,Standard,Standard,345.0,-0.001,-0.245,69.2,7.0,0.317,0.245,93.6,-6,-6,0.008,0.008,25,27,26,28,3,2,5.0,1.0,6.0,1.0,4.12,-0.37,-0.37,59.6,6.402392805276649,0.4118020437116458,37.64156282151707,41.51955308279808,25.65459826880776,1,-91.59551767581718,313.90963849760817,3.3893635389502,-5.5498652470561565,317.95156705973244,86.14053336491749
CH,2025-09-13,90.8,-1.0,6.02,"Tolbert, Tyler",805249,664199,single,hit_into_play,,,,,1.0,Otto Kemp singles on a sharp line drive to center fielder Tyler Tolbert.,R,R,R,PHI,KC,X,8,line_drive,1,1,2025,-1.1,0.43,-0.37,2.83,,,,1,7,Bot,103.78,74.14,,,,,3.95864297263428,-132.24736755568568,-3.0009747046500843,-13.767459512627582,28.68474536910464,-26.67715445821206,3.38,1.52,251.0,100.2,12.0,91.0,2042.0,6.4,776342,521692,686469,663697,672580,677951,624428,686475,545341,54.1,0.94,0.909,0.9,1.0,1,0,4.0,65,3,Changeup,8,5,8,5,5,8,8,5,Strategic,Standard,233.0,0.005,0.426,78.6,7.0,1.154,-0.426,100.2,3,3,0.941,0.941,32,25,32,26,1,3,1.0,1.0,3.0,1.0,2.33,1.1,1.1,36.4,6.957088648836131,-1.4051364110248143,31.271852944378026,27.808695587407104,24.7730980214668,0,-43.107512029081924,247.2705854052652,1.992915660190414,-5.5498652470561565,317.95156705973244,80.03985257009502
SI,2025-09-13,92.4,2.77,5.13,"Tolbert, Tyler",681082,669674,field_out,hit_into_play,,,,,2.0,Bryson Stott flies out sharply to center fielder Tyler Tolbert.,R,L,L,PHI,KC,X,8,fly_ball,1,0,2025,1.59,0.13,0.06,2.8,,,805249.0,1,7,Bot,113.41,42.09,,,,,-10.259268938049273,-134.12006905359004,-0.3541979684398294,21.48177142813579,30.329403420246663,-30.76578512570067,3.25,1.55,388.0,102.1,35.0,91.2,2211.0,5.8,776342,521692,686469,663697,672580,677951,624428,686475,545341,54.69,0.434,0.856,0.0,1.0,0,0,6.0,66,2,Sinker,8,5,8,5,5,8,8,5,Standard,Standard,115.0,-0.006,-0.29,72.1,6.7,1.647,0.29,102.1,3,3,0.946,0.946,29,27,30,28,1,3,1.0,1.0,3.0,1.0,2.56,1.59,1.59,15.8,9.553187128870244,3.245737910001582,27.45787365436512,33.05312571001599,33.519200019041314,1,-29.748770675792112,386.85786878811075,5.373868124421472,-5.5498652470561565,317.95156705973244,73.0319480900737
CH,2025-09-10,89.3,-1.73,6.01,"Tolbert, Tyler",671655,668674,field_out,hit_into_play,,,,,4.0,George Valera flies out to center fielder Tyler Tolbert.,R,L,R,CLE,KC,X,8,fly_ball,2,1,2025,-1.49,0.71,-0.57,2.14,,,,1,7,Bot,138.76,51.46,,,,,5.991766881827759,-129.79144836119238,-4.995313366027266,-18.085035788216864,27.87487903020181,-23.24432987999125,3.3,1.5,365.0,97.1,26.0,89.3,1867.0,6.4,776382,521692,686469,624428,672580,677951,679845,686475,545341,54.06,0.317,0.487,0.0,1.0,0,0,5.0,59,4,Changeup,3,4,3,4,4,3,3,4,Standard,Standard,233.0,-0.035,-0.299,69.6,7.0,0.856,0.299,97.1,-1,-1,0.305,0.305,30,24,30,25,1,3,6.0,3.0,3.0,1.0,2.16,1.49,-1.49,41.4,6.045506258571577,-2.4028424574152307,22.870034028844778,43.855139880418456,38.63112607169906,1,33.02992002400546,363.50244068397643,3.9282400101354606,-5.5498652470561565,317.95156705973244,59.69323177289926
FF,2025-08-31,93.0,-1.26,6.44,"Tolbert, Tyler",690993,608379,double,hit_into_play,,,,,8.0,Colt Keith doubles (21) on a sharp line drive to center fielder Tyler Tolbert. Jake Rogers scores.,R,L,R,KC,DET,X,8,line_drive,2,1,2025,-0.61,1.28,-0.09,1.93,668670.0,,,2,5,Top,146.23,50.89,,,,,4.344607818580725,-135.2223400783617,-8.720115023788804,-8.342461380535903,26.786396084048427,-14.744364592392907,3.35,1.55,369.0,106.1,18.0,94.1,2136.0,6.7,776512,571912,686469,686681,672580,677951,679845,686475,545341,53.76,0.591,0.748,1.25,1.0,1,1,6.0,35,4,4-Seam Fastball,0,2,2,0,3,0,3,0,Standard,Standard,210.0,-0.085,0.808,74.4,7.2,1.201,-0.808,106.1,-2,2,0.246,0.754,33,23,34,24,3,2,8.0,1.0,5.0,1.0,1.33,0.61,-0.61,51.2,10.193214835603872,-6.0682870925561385,39.89684806102572,36.17925469984002,28.32818235616532,0,51.59090543373471,365.3756676032593,3.050330364931284,-5.5498652470561565,317.95156705973244,74.257073645258
FF,2025-08-31,93.7,-1.04,6.5,"Tolbert, Tyler",668670,608379,triple,hit_into_play,,,,,6.0,Jake Rogers triples (2) on a sharp fly ball to center fielder Tyler Tolbert. Spencer Torkelson scores. Zach McKinstry scores.,R,R,R,KC,DET,X,8,fly_ball,2,2,2025,-0.8,1.28,0.38,2.84,679529.0,,656716.0,1,5,Top,127.68,32.87,,,,,5.504869081331672,-136.33404948552416,-6.6487216383355365,-11.20181992501611,27.33421016816624,-14.95709158479218,3.45,1.57,409.0,103.8,28.0,94.9,1979.0,6.8,776512,571912,686469,686681,672580,677951,679845,686475,545341,53.72,0.823,1.622,1.6,1.0,1,2,6.0,33,5,4-Seam Fastball,0,0,0,0,2,0,2,0,Standard,Standard,203.0,-0.215,1.046,72.5,7.6,3.163,-1.046,103.8,0,0,0.412,0.588,33,30,34,30,2,1,8.0,5.0,5.0,3.0,1.3,0.8,0.8,50.3,19.757515402879378,6.7186980595335895,27.44488274281176,43.78104776441336,28.4464266629673,0,5.587991080009813,408.96182505912424,4.484448886973142,-5.5498652470561565,317.95156705973244,91.68925184926651
SI,2025-08-31,93.2,-1.46,6.24,"Tolbert, Tyler",656716,608379,single,hit_into_play,,,,,6.0,Zach McKinstry singles on a line drive to center fielder Tyler Tolbert. Spencer Torkelson to 3rd.,R,L,R,KC,DET,X,8,line_drive,1,2,2025,-0.86,1.05,0.68,2.18,,,679529.0,1,5,Top,104.31,104.13,,,,,7.428039472585944,-135.51948464274773,-7.043191167541087,-12.155256137682416,27.695318984906457,-17.83988062744827,3.3,1.51,210.0,70.5,24.0,94.1,2102.0,6.7,776512,571912,686469,686681,672580,677951,679845,686475,545341,53.81,0.989,0.89,0.9,1.0,1,0,4.0,32,4,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,211.0,-0.085,0.484,67.5,6.1,1.022,-0.484,88.0,0,0,0.497,0.503,33,30,34,30,2,1,8.0,1.0,5.0,1.0,1.56,0.86,-0.86,46.0,-3.916344233820776,4.549549318998994,47.70102571578464,27.540939742874343,23.88069692531769,0,-45.94941651980179,204.91132502009197,2.683805835985823,-5.5498652470561565,317.95156705973244,120.04257604458388
FF,2025-08-31,94.4,-1.46,6.38,"Tolbert, Tyler",682985,608379,field_out,hit_into_play,,,,,3.0,Riley Greene flies out to center fielder Tyler Tolbert.,R,L,R,KC,DET,X,8,fly_ball,2,2,2025,-0.88,1.42,0.47,3.04,,,,2,4,Top,127.64,64.96,,,,,7.029994891833941,-137.2531177475752,-6.220110426375878,-12.60472181547236,29.637973686625187,-13.069033070583147,3.58,1.67,333.0,88.6,39.0,95.2,2241.0,6.7,776512,571912,686469,686681,672580,677951,679845,686475,545341,53.76,0.003,0.004,0.0,1.0,0,0,3.0,26,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,205.0,0.013,-0.224,80.0,6.9,0.01,0.224,88.6,0,0,0.546,0.454,33,24,34,25,2,1,8.0,1.0,5.0,1.0,1.14,0.88,-0.88,46.8,16.72814399194575,-6.323478848705257,43.127925274821536,23.05862394702373,30.8537649030575,1,5.5446516817093965,332.9538358958018,5.119912636432251,-5.5498652470561565,317.95156705973244,18.658948955189373
SL,2025-08-31,86.2,1.28,5.66,"Tolbert, Tyler",668670,663738,double,hit_into_play,,,,,7.0,Jake Rogers doubles (4) on a sharp fly ball to center fielder Tyler Tolbert.,R,R,L,KC,DET,X,8,fly_ball,1,1,2025,-0.11,0.25,-0.45,1.97,,,,0,7,Top,88.71,74.81,,,,,-3.9160278944894142,-125.64031869641224,-3.1947346162081875,-0.4857418678978965,21.124118731145305,-29.09052331095326,3.45,1.57,321.0,100.4,44.0,87.4,2251.0,6.6,776512,571912,686469,686681,672580,677951,679845,686475,545341,53.89,0.057,0.108,1.25,1.0,1,1,3.0,49,3,Slider,0,4,4,0,4,0,4,0,Strategic,Standard,157.0,-0.014,0.724,73.2,7.8,0.205,-0.724,100.4,-4,4,0.053,0.947,28,30,29,30,1,2,4.0,5.0,5.0,3.0,2.76,-0.11,0.11,36.8,16.02519732120045,-6.069995826401243,32.10405491145232,34.51619017764756,38.65935263678897,0,-91.48845218081105,307.68630635366185,6.387791785017563,-5.5498652470561565,317.95156705973244,86.54950202938284
FF,2025-08-31,92.6,-1.51,6.53,"Tolbert, Tyler",656716,608379,field_out,hit_into_play,,,,,7.0,Zach McKinstry lines out sharply to center fielder Tyler Tolbert.,R,L,R,KC,DET,X,8,line_drive,1,2,2025,-0.5,1.35,-0.45,2.0,,,682985.0,2,2,Top,127.49,80.14,,,,,3.8017862552737904,-134.68389317716122,-8.788753595134638,-6.824591301335257,26.628895142387023,-14.093758337614638,3.3,1.51,296.0,101.8,13.0,93.4,2133.0,6.6,776512,571912,686469,686681,672580,677951,679845,686475,545341,53.91,0.897,0.88,0.0,1.0,0,0,4.0,11,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,202.0,0.024,-0.184,68.7,7.3,1.145,0.184,101.8,0,0,0.526,0.474,33,30,34,30,1,0,8.0,1.0,5.0,1.0,1.29,0.5,-0.5,53.3,14.113283833378024,4.239641506756669,34.10408384744049,41.19216713431278,25.678307708895662,1,5.186031925830303,295.95456589291587,2.1736112209572354,-5.5498652470561565,317.95156705973244,24.47708210632389
FF,2025-08-31,91.7,-1.33,6.53,"Tolbert, Tyler",679529,608379,field_out,hit_into_play,,,,,5.0,Spencer Torkelson flies out sharply to center fielder Tyler Tolbert.,R,R,R,KC,DET,X,8,fly_ball,0,0,2025,-0.46,1.57,0.19,2.43,,,682985.0,0,2,Top,102.41,68.43,,,,,4.901729945860231,-133.27672211580904,-7.972668565327519,-6.539929816256292,27.492407197095787,-11.942526788666306,3.58,1.66,329.0,100.8,46.0,92.6,2210.0,6.8,776512,571912,686469,686681,672580,677951,679845,686475,545341,53.67,0.02,0.029,0.0,1.0,0,0,3.0,9,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,201.0,0.035,-0.242,75.7,8.1,0.058,0.242,100.8,0,0,0.462,0.538,33,25,34,26,1,0,8.0,1.0,5.0,1.0,1.14,0.46,0.46,51.7,15.902651999252583,-7.827870421337243,35.77594551247139,40.19833050509395,33.23774582651863,1,-57.41020904965518,323.95226175607246,6.63884391068442,-5.5498652470561565,317.95156705973244,52.20635589813231
FF,2025-08-31,93.3,-1.45,6.38,"Tolbert, Tyler",682985,608379,single,hit_into_play,,,,,6.0,Riley Greene singles on a fly ball to center fielder Tyler Tolbert.,R,L,R,KC,DET,X,8,fly_ball,0,1,2025,-0.37,1.41,0.71,2.71,,,,0,2,Top,117.42,110.04,,,,,6.417131954505432,-135.6688020010407,-6.8270007160977055,-6.032897715898941,30.727195782563,-13.399737416767351,3.58,1.67,204.0,64.8,28.0,93.8,2258.0,6.7,776512,571912,686469,686681,672580,677951,679845,686475,545341,53.79,0.906,0.817,0.9,1.0,1,0,4.0,8,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,205.0,-0.038,0.478,75.7,6.5,0.955,-0.478,88.0,0,0,0.5,0.5,33,24,34,25,1,0,8.0,1.0,5.0,1.0,1.22,0.37,-0.37,47.3,1.696839889924464,-0.0226732920632865,49.37658872403688,22.26301299704355,28.012624432982044,0,-18.42153912716945,203.16654964877011,2.8392609144520873,-5.5498652470561565,317.95156705973244,115.5044596996623
ST,2025-08-26,81.0,-2.83,5.53,"Tolbert, Tyler",691019,547179,single,hit_into_play,,,,,13.0,Kyle Teel singles on a line drive to center fielder Tyler Tolbert. Brooks Baldwin scores. Mike Tauchman to 3rd. Miguel Vargas to 2nd.,R,L,R,CWS,KC,X,8,line_drive,0,0,2025,0.94,0.01,-0.18,1.09,681460.0,643565.0,678246.0,0,6,Bot,124.0,82.65,,,,,4.0853437591150366,-117.86155961770612,-3.217396608852475,7.827280072825321,24.315594674047023,-31.68665065255012,3.54,1.61,252.0,90.2,18.0,79.9,2505.0,5.7,776583,521692,686469,663697,672580,677951,679845,686475,545341,54.78,0.606,0.589,0.9,1.0,1,0,4.0,40,1,Sweeper,1,0,1,0,0,2,2,0,Strategic,Standard,55.0,0.053,0.428,66.0,7.3,0.752,-0.428,90.2,1,1,0.879,0.879,33,23,33,23,3,2,5.0,2.0,7.0,1.0,3.49,-0.94,0.94,30.9,12.592159252021345,10.050452583365168,47.315854039553145,37.93246849712483,31.39628426724245,0,-3.0947328759572317,251.98099656209487,2.6126165460747597,-5.5498652470561565,317.95156705973244,66.01623926537611
CH,2025-08-26,82.3,-2.14,5.79,"Tolbert, Tyler",691019,547179,single,hit_into_play,,,,,4.0,Kyle Teel singles on a line drive to center fielder Tyler Tolbert.,R,L,R,CWS,KC,X,8,line_drive,1,0,2025,-1.54,0.45,-0.55,2.36,,,,0,4,Bot,115.85,78.96,,,,,6.541213426715203,-119.700422883187,-2.088121209169173,-16.045666577526173,23.65583003162732,-27.62214144849816,3.54,1.61,232.0,94.1,14.0,81.6,2042.0,5.9,776583,521692,686469,663697,672580,677951,679845,686475,545341,54.61,0.971,0.939,0.9,1.0,1,0,4.0,25,2,Changeup,1,0,1,0,0,1,1,0,Infield shade,Standard,239.0,0.033,0.397,64.7,6.9,1.187,-0.397,94.1,1,1,0.69,0.69,33,23,33,23,2,1,5.0,2.0,7.0,1.0,2.92,1.54,-1.54,35.9,12.408311100425117,11.36561208790958,32.20872445179392,44.91670385279416,29.044871375255585,0,-18.54942542491463,231.25725678647478,2.161758339513947,-5.5498652470561565,317.95156705973244,87.66351577807971
CH,2025-08-26,82.1,-2.05,5.81,"Tolbert, Tyler",643565,547179,single,hit_into_play,,,,,7.0,Mike Tauchman singles on a line drive to center fielder Tyler Tolbert.,R,L,R,CWS,KC,X,8,line_drive,1,2,2025,-1.54,0.77,-0.61,1.69,,,,2,3,Bot,151.84,86.69,,,,,6.222633010438196,-119.37457030089648,-4.239884838433483,-15.97031603507466,22.89830969661548,-24.153435770652138,3.63,1.71,239.0,76.0,23.0,81.6,2039.0,6.0,776583,521692,686469,663697,672580,677951,679845,686475,545341,54.49,0.9,0.834,0.9,1.0,1,0,4.0,20,5,Changeup,1,0,1,0,0,1,1,0,Infield shade,Standard,244.0,0.012,0.406,69.5,7.9,0.983,-0.406,88.0,1,1,0.638,0.638,33,34,33,35,2,1,5.0,2.0,7.0,1.0,2.61,1.54,-1.54,37.8,19.235716162704023,-3.844551854431428,35.73318809558575,46.08857002637182,35.545776158148875,0,55.06796193841801,232.5693865665663,2.7745844138415694,-5.5498652470561565,317.95156705973244,104.71216604796031
SI,2025-08-26,95.3,-0.55,6.12,"Tolbert, Tyler",643565,664199,field_out,hit_into_play,,,,,7.0,Mike Tauchman lines out sharply to center fielder Tyler Tolbert.,R,L,R,CWS,KC,X,8,line_drive,2,1,2025,-1.09,1.2,-0.37,2.16,,,,2,7,Bot,100.97,66.92,,,,,2.957773323778435,-138.65408468114256,-7.468644917594239,-14.77448142715892,31.706225871291647,-15.17305440961682,3.63,1.71,334.0,104.0,16.0,95.4,2426.0,6.4,776583,521692,686469,663697,672580,677951,679845,686475,545341,54.08,0.574,0.647,0.0,1.0,0,0,5.0,50,4,Sinker,4,0,4,0,0,4,4,0,Standard,Standard,208.0,-0.001,-0.298,69.5,7.5,0.955,0.298,104.0,4,4,0.969,0.969,32,34,32,35,1,3,3.0,2.0,3.0,1.0,1.31,1.09,-1.09,50.1,7.259663200444314,2.498579032915464,34.66191611849756,42.22992678713164,26.29554562988012,1,-61.122149245521975,328.3596852106058,2.683037264143974,-5.5498652470561565,317.95156705973244,56.53855031965959
SI,2025-08-21,91.2,-2.52,5.41,"Tolbert, Tyler",694671,547179,field_out,hit_into_play,,,,,5.0,Wyatt Langford flies out sharply to center fielder Tyler Tolbert.,R,R,R,KC,TEX,X,8,fly_ball,2,1,2025,-1.58,0.32,-0.26,2.75,,683227.0,641680.0,2,4,Top,122.13,74.69,,,,,9.054490106176535,-132.58439325416907,-1.4987105834898342,-20.59179832231894,27.07319371192341,-28.22359199096035,3.57,1.7,309.0,104.3,50.0,90.9,2220.0,6.1,776657,571912,686469,663697,672580,677951,679845,686475,545341,54.41,0.026,0.036,0.0,1.0,0,0,3.0,33,4,Sinker,2,1,1,2,1,2,1,2,Strategic,Standard,243.0,0.055,-0.285,76.2,6.8,0.065,0.285,104.3,1,-1,0.635,0.365,33,23,33,24,3,2,5.0,1.0,5.0,1.0,2.41,1.58,1.58,32.5,17.767259648886576,-1.861195651327612,29.37897921853779,33.21429819914165,32.087148489295714,1,-8.22341744844342,308.89055570779215,7.3099255823250475,-5.5498652470561565,317.95156705973244,9.447211657072872
CU,2025-08-21,82.5,-2.25,5.54,"Tolbert, Tyler",592626,547179,single,hit_into_play,,,,,13.0,Joc Pederson singles on a sharp line drive to center fielder Tyler Tolbert. Wyatt Langford scores. Corey Seager to 2nd.,R,L,R,KC,TEX,X,8,line_drive,0,2,2025,0.6,-1.01,-0.85,2.25,,694671.0,608369.0,2,3,Top,135.6,86.31,,,,,2.005968806149529,-120.23119430774864,0.9016015574747418,5.529365687764966,20.349176821628024,-42.42381071426051,3.55,1.66,294.0,104.1,13.0,82.6,2514.0,6.0,776657,571912,686469,663697,672580,677951,679845,686475,545341,54.53,0.903,0.892,0.9,1.0,1,0,4.0,22,3,Curveball,1,0,0,1,1,1,1,1,Infield shade,Standard,35.0,-0.117,0.648,72.1,7.6,1.164,-0.648,104.1,1,-1,0.623,0.377,33,33,33,33,2,1,5.0,2.0,5.0,1.0,4.32,-0.6,0.6,34.2,-1.448124413674735,1.960613149590656,27.78479325646264,40.91985044132037,25.571912457462293,0,26.622225176987275,292.79217395044185,2.219026013043574,-5.5498652470561565,317.95156705973244,40.841626606694376
