pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-08-06,93.8,-2.41,5.44,"Vierling, Matt",668904,656427,field_out,hit_into_play,,,,,6.0,Royce Lewis flies out sharply to center fielder Matt Vierling.,R,R,R,DET,MIN,X,8,fly_ball,0,0,2025,-0.6,1.32,0.3,2.52,,807712.0,,1,5,Top,150.49,36.61,,,,,8.362277093230723,-136.3750111781199,-4.784409789147217,-9.166897018793843,27.25579320248422,-14.804513894385586,3.52,1.66,405.0,103.5,35.0,94.5,2263.0,6.5,776859,693307,679529,650402,690993,656716,682985,663837,681481,53.98,0.597,1.188,0.0,1.0,0,0,6.0,41,1,4-Seam Fastball,4,6,6,4,6,4,6,4,Standard,Standard,211.0,0.026,-0.263,78.5,8.2,2.318,0.263,103.5,-2,2,0.224,0.776,29,26,30,26,3,2,5.0,1.0,6.0,2.0,1.26,0.6,0.6,29.3,10.458374641993654,-1.1770753159150151,30.666707712904373,37.57722971830724,24.63558774617917,1,62.06493966250406,400.2161206956683,5.4466155160299,-5.602222466368008,320.9511101452016,104.21989602825677
FF,2025-08-06,92.4,-2.47,5.26,"Vierling, Matt",680777,656427,double,hit_into_play,,,,,3.0,Ryan Jeffers doubles (22) on a sharp line drive to center fielder Matt Vierling. Matt Wallner scores.,R,R,R,DET,MIN,X,8,line_drive,2,1,2025,-0.74,1.24,0.38,2.86,,,670242.0,0,5,Top,156.0,32.0,,,,,8.91487184974939,-134.30948390716904,-3.058175873721501,-10.740416965187665,26.78709184872052,-16.591189866832988,3.31,1.57,365.0,105.8,19.0,93.3,2360.0,6.7,776859,693307,679529,650402,690993,656716,682985,663837,681481,53.77,0.671,0.889,1.25,1.0,1,1,6.0,38,4,4-Seam Fastball,4,4,4,4,5,4,5,4,Standard,Standard,204.0,-0.163,0.694,75.4,7.1,1.445,-0.694,105.8,0,0,0.453,0.547,29,28,30,28,3,2,5.0,1.0,6.0,2.0,1.41,0.74,0.74,25.9,6.3034228813652025,9.615129450199904,23.30040205748605,39.04855448359679,24.469023852996536,0,66.02262394076843,358.97912631234686,3.198693276618079,-5.602222466368008,320.9511101452016,81.09407275784432
FF,2025-08-06,91.2,-2.63,5.37,"Vierling, Matt",681508,656427,field_out,hit_into_play,,,,,2.0,Mickey Gasper flies out to center fielder Matt Vierling.,R,L,R,DET,MIN,X,8,fly_ball,2,1,2025,-0.26,1.1,0.26,2.72,,,666397.0,1,4,Top,111.17,86.51,,,,,7.864634544517977,-132.7236421834553,-3.2387601141731763,-4.527070783084519,24.26354483483773,-18.552369109691863,3.24,1.5,283.0,92.3,45.0,92.1,2300.0,6.5,776859,693307,679529,650402,690993,656716,682985,663837,681481,54.02,0.006,0.008,0.0,1.0,0,0,3.0,31,4,4-Seam Fastball,4,4,4,4,4,4,4,4,Infield shade,Standard,214.0,0.034,-0.297,69.5,6.2,0.014,0.297,92.3,0,0,0.497,0.503,29,29,30,30,2,1,5.0,5.0,6.0,2.0,1.6,0.26,-0.26,26.9,10.947842621759072,-1.9386737101059053,27.01917806331592,33.697421232165766,26.722169260027226,1,-35.7942279471532,280.7272221314977,5.9815345021364585,-5.602222466368008,320.9511101452016,50.294317391637364
SL,2025-08-06,85.3,-2.64,5.33,"Vierling, Matt",666397,656427,single,hit_into_play,,,,,7.0,Edouard Julien singles on a sharp line drive to center fielder Matt Vierling. Brooks Lee to 3rd.,R,L,R,DET,MIN,X,8,line_drive,0,1,2025,0.46,0.13,-0.29,1.97,,,686797.0,0,2,Top,138.33,86.18,,,,,4.601976710800984,-124.24357084844657,-1.891742941127424,3.909239028294056,24.40233351766333,-30.61622931112426,3.38,1.66,126.0,103.8,7.0,85.6,2499.0,6.4,776859,693307,679529,650402,690993,656716,682985,663837,681481,54.1,0.626,0.579,0.9,1.0,1,0,4.0,11,2,Slider,0,2,2,0,2,0,2,0,Infield shade,Strategic,129.0,-0.066,0.512,71.9,7.2,0.696,-0.512,103.8,-2,2,0.267,0.733,29,26,30,26,1,0,5.0,2.0,6.0,2.0,2.99,-0.46,0.46,25.2,3.5130549550314245,17.20867278416158,44.845426039259294,40.445074094645385,23.98070526224184,0,14.416781693770686,125.17250658828463,1.297088410067327,-5.602222466368008,320.9511101452016,196.79944648870358
FF,2025-08-06,92.8,-2.53,5.35,"Vierling, Matt",702176,656427,single,hit_into_play,,,,,3.0,Alan Roden singles on a line drive to center fielder Matt Vierling.,R,L,R,DET,MIN,X,8,line_drive,1,1,2025,-0.36,1.24,0.5,3.51,,,,0,1,Top,143.47,83.63,,,,,8.551976312379098,-134.99888821501077,-1.713644462388951,-6.023464999696237,24.61568151428549,-16.738860692889997,3.46,1.63,290.0,89.4,21.0,93.6,2316.0,6.4,776859,693307,679529,650402,690993,656716,682985,663837,681481,54.07,0.306,0.289,0.9,1.0,1,0,3.0,1,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,207.0,-0.036,0.447,60.9,5.6,0.413,-0.447,89.4,0,0,0.5,0.5,29,25,30,26,1,0,5.0,2.0,6.0,2.0,1.38,0.36,-0.36,28.2,8.659478251081632,6.002020901041772,18.8883555917696,31.38736859158502,31.6326611305146,0,45.104671109836104,286.4708862067374,2.9834495533711394,-5.602222466368008,320.9511101452016,61.31944959794672
CH,2025-08-06,83.6,1.57,5.55,"Vierling, Matt",686797,663947,field_out,hit_into_play,,,,,9.0,Brooks Lee lines out to center fielder Matt Vierling.,R,R,L,DET,MIN,X,8,line_drive,0,2,2025,1.45,0.46,0.78,1.8,,807712.0,,2,5,Top,108.64,87.51,,,,,-4.687299941425189,-121.57368738509211,-2.99349394337973,15.310957272665023,28.904204356345435,-27.185016507392483,3.35,1.55,282.0,88.1,18.0,83.0,1655.0,6.4,776859,693307,679529,650402,690993,656716,682985,663837,681481,54.08,0.726,0.677,0.0,1.0,0,0,4.0,42,3,Changeup,4,6,6,4,6,4,6,4,Standard,Standard,105.0,0.027,-0.194,68.2,7.8,0.841,0.194,88.1,-2,2,0.25,0.75,29,24,29,24,1,2,3.0,1.0,3.0,2.0,2.86,1.45,-1.45,34.4,10.72816314902862,-4.36210980188112,29.539560443063944,48.34425112382486,31.991772941393283,1,-42.2406427606225,278.8184500695201,2.5550603871156015,-5.602222466368008,320.9511101452016,55.83488951105182
CH,2025-08-06,86.9,-2.38,5.5,"Vierling, Matt",680777,592454,single,hit_into_play,,,,,9.0,Ryan Jeffers singles on a sharp line drive to center fielder Matt Vierling.,R,R,R,DET,MIN,X,8,line_drive,1,0,2025,-1.01,-0.1,0.62,2.01,,,,2,6,Top,151.12,107.12,,,,,9.285614868302645,-126.20568468721812,-1.93093933328,-12.711402383098584,27.33961112496685,-33.050999251663434,3.31,1.57,181.0,100.7,9.0,87.0,1153.0,6.6,776859,693307,679529,650402,690993,656716,682985,663837,681481,53.92,0.657,0.606,0.9,1.0,1,0,4.0,50,2,Changeup,4,8,8,4,8,4,8,4,Standard,Standard,254.0,-0.003,0.29,67.2,7.3,0.734,-0.29,100.7,-4,4,0.085,0.915,35,28,36,28,1,3,2.0,1.0,4.0,2.0,3.15,1.01,1.01,32.0,4.816328748342621,12.410785437760028,26.29521692952837,41.951724837338425,27.432883379604096,0,49.118401614477804,174.2078718739164,1.5560563403941539,-5.602222466368008,320.9511101452016,156.61393513394785
CU,2025-08-05,78.6,-2.02,5.99,"Vierling, Matt",665019,663978,double,hit_into_play,,,,,7.0,Kody Clemens doubles (9) on a line drive to center fielder Matt Vierling.,R,L,R,DET,MIN,X,8,line_drive,0,1,2025,0.42,-0.85,-0.3,1.67,,,,2,3,Top,151.51,98.86,,,,,2.965064574084346,-114.34802699963862,-0.8863320730426669,3.099892454703347,23.022695194117468,-39.65192212537257,3.6,1.69,271.0,101.7,13.0,78.7,2029.0,6.6,776861,668670,679529,656716,690993,595879,663330,663837,672761,53.91,0.897,0.88,1.25,1.0,1,1,4.0,21,2,Curveball,0,3,3,0,3,0,3,0,Standard,Standard,25.0,-0.014,0.624,73.4,7.4,1.145,-0.624,101.7,-3,3,0.217,0.783,29,29,29,29,2,1,6.0,1.0,6.0,1.0,4.57,-0.42,0.42,47.7,10.816745167829188,2.74058351819906,30.78229216848434,39.72768911914672,35.46178186880577,0,68.79375033033205,262.1229099401423,2.1716382673697043,-5.602222466368008,320.9511101452016,94.84470416282544
CH,2025-08-05,85.0,-2.33,5.83,"Vierling, Matt",670242,663978,field_out,hit_into_play,,,,,13.0,Matt Wallner lines out sharply to center fielder Matt Vierling.,R,L,R,DET,MIN,X,8,line_drive,2,2,2025,-1.28,0.08,-0.97,1.68,,,,0,3,Top,99.07,55.69,,,,,5.8031556647007845,-123.71311102716464,-3.5909855715415464,-14.261975349553008,24.868006870548257,-30.7919178875122,3.77,1.77,360.0,102.0,18.0,85.8,1917.0,6.8,776861,668670,679529,656716,690993,595879,663330,663837,672761,53.71,0.423,0.503,0.0,1.0,0,0,5.0,19,7,Changeup,0,3,3,0,3,0,3,0,Infield shade,Standard,250.0,0.013,-0.233,74.8,7.8,0.779,0.233,102.0,-3,3,0.195,0.805,29,27,29,28,2,1,6.0,1.0,6.0,1.0,3.07,1.28,-1.28,39.0,1.2165320498338748,-1.3983650106768908,23.984764553625457,52.9808364727545,33.4347195341751,1,-65.42321188140812,354.00537191845035,2.9371748621879696,-5.602222466368008,320.9511101452016,68.34570210312273
FF,2025-08-05,93.0,-1.88,5.99,"Vierling, Matt",663616,663978,single,hit_into_play,,,,,3.0,Trevor Larnach singles on a line drive to center fielder Matt Vierling.,R,L,R,DET,MIN,X,8,line_drive,0,2,2025,-0.88,1.5,0.34,3.63,,,,0,2,Top,110.5,90.82,,,,,7.730982383789602,-135.24499009002827,-3.587892252140761,-12.53717133188233,29.502685595329368,-13.175189983482568,3.75,1.72,208.0,88.1,12.0,94.1,2164.0,7.0,776861,668670,679529,656716,690993,595879,663330,663837,672761,53.54,0.709,0.679,0.9,1.0,1,0,4.0,11,3,4-Seam Fastball,0,3,3,0,3,0,3,0,Infield shade,Standard,210.0,-0.021,0.533,62.6,5.4,0.817,-0.533,88.1,-3,3,0.212,0.788,29,28,29,28,1,0,6.0,1.0,6.0,4.0,1.14,0.88,-0.88,48.0,6.752487408423744,12.163686403259138,28.12362643624189,31.83470134776765,23.21339872707526,0,-28.607428343838343,206.02333616256232,1.7750398173846815,-5.602222466368008,320.9511101452016,117.20764791629176
