pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-06-22,93.3,-2.79,6.09,"Barrero, José",680574,571945,field_out,hit_into_play,,,,,5.0,Matt McLain lines out sharply to center fielder José Barrero.,R,R,R,STL,CIN,X,8,line_drive,3,2,2025,-0.49,1.1,-0.18,2.05,,,,2,5,Top,117.66,75.57,,,,,7.800828444404555,-135.63660692498033,-7.1038565492582775,-7.652153271611235,27.24946507514092,-17.242043825888796,3.11,1.37,308.0,106.7,14.0,93.7,2366.0,6.4,777407,650968,575929,695336,571448,691026,676475,676480,691023,54.13,0.751,0.784,0.0,1.0,0,0,5.0,36,6,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,221.0,0.008,-0.329,70.3,6.6,1.102,0.329,106.7,-2,2,0.269,0.731,36,25,37,26,3,2,7.0,1.0,6.0,1.0,1.51,0.49,0.49,35.4,8.634577046282349,3.5467579562246496,36.21640900625349,33.34856399490998,32.07521073421148
CU,2025-06-22,73.8,-2.01,6.72,"Barrero, José",670770,571945,sac_fly,hit_into_play,,,,,5.0,TJ Friedl out on a sacrifice fly to center fielder José Barrero. Jake Fraley scores.,R,L,R,STL,CIN,X,8,fly_ball,2,2,2025,0.78,-1.5,-0.15,2.63,641584.0,,,1,5,Top,123.12,52.58,,,,,2.3927835520145737,-107.26932377183498,1.7355094580852592,5.459027512367422,22.272050170509765,-44.23590841324516,3.27,1.51,361.0,96.5,36.0,73.0,2641.0,6.2,777407,650968,575929,695336,571448,691026,676475,676480,691023,54.32,0.206,0.397,0.0,1.0,0,0,3.0,35,5,Curveball,1,2,2,1,3,1,3,1,Strategic,Standard,30.0,-0.029,-0.04,69.8,6.2,0.753,0.04,96.5,-1,1,0.298,0.702,36,29,37,30,3,2,7.0,1.0,6.0,1.0,5.77,-0.78,0.78,50.7,9.460175535532528,1.2515047076082495,21.415830481490755,36.7238039228731,47.70077933047671
FF,2025-06-22,91.4,-2.12,6.54,"Barrero, José",641584,571945,double,hit_into_play,,,,,8.0,Jake Fraley doubles (4) on a line drive to center fielder José Barrero. Jose Trevino scores.,R,L,R,STL,CIN,X,8,line_drive,0,0,2025,-0.4,1.12,0.18,2.09,,624431.0,,1,5,Top,172.08,44.35,,,,,6.628093072506063,-132.94244639189574,-7.820769213516554,-6.064259223296966,25.03738409502514,-17.38934958404417,3.34,1.59,371.0,98.8,22.0,91.6,2071.0,6.1,777407,650968,575929,695336,571448,691026,676475,676480,691023,54.36,0.354,0.461,1.25,1.0,1,1,5.0,34,1,4-Seam Fastball,1,1,1,1,2,1,2,1,Standard,Standard,216.0,-0.139,0.815,74.7,7.3,0.755,-0.815,98.8,0,0,0.473,0.527,36,30,37,30,2,1,7.0,1.0,6.0,1.0,1.58,0.4,-0.4,44.5,6.681093569104644,-8.238933239443723,44.8496516990954,33.34565299053939,29.11978009408645
FF,2025-06-22,92.9,-2.71,6.21,"Barrero, José",666181,571945,field_out,hit_into_play,,,,,6.0,Will Benson flies out to center fielder José Barrero.,R,L,R,STL,CIN,X,8,fly_ball,2,2,2025,-0.77,0.99,0.47,2.92,,,,0,5,Top,145.22,57.63,,,,,9.780202818626757,-134.9832901044413,-4.865895252110133,-11.393105532068011,25.252704254662817,-19.182580742001413,3.78,1.79,353.0,93.9,35.0,92.9,2155.0,6.1,777407,650968,575929,695336,571448,691026,676475,676480,691023,54.43,0.063,0.109,0.0,1.0,0,0,3.0,32,6,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shade,Standard,226.0,0.03,-0.233,71.4,7.2,0.207,0.233,93.9,0,0,0.5,0.5,36,27,37,27,2,1,7.0,1.0,6.0,1.0,1.63,0.77,-0.77,32.6,8.305689076941563,-2.172400655677768,33.277638009853604,34.25810439831905,25.29006412201406
SI,2025-06-22,91.7,-2.79,6.13,"Barrero, José",666158,571945,field_out,hit_into_play,,,,,6.0,Gavin Lux lines out to center fielder José Barrero.,R,L,R,STL,CIN,X,8,line_drive,2,1,2025,-1.31,0.67,0.41,2.2,,,,1,4,Top,135.46,66.97,,,,,10.84442958175381,-133.06045751544522,-5.489325106366762,-17.88145241954777,27.801582092923027,-23.168399833742505,3.26,1.54,329.0,90.6,25.0,91.2,2096.0,6.1,777407,650968,575929,695336,571448,691026,676475,676480,691023,54.43,0.12,0.151,0.0,1.0,0,0,3.0,27,4,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,226.0,0.019,-0.299,75.2,7.5,0.24,0.299,90.6,0,0,0.527,0.473,36,27,37,28,2,1,7.0,1.0,6.0,1.0,2.05,1.31,-1.31,35.0,10.482157483502805,7.309818665443617,38.07265162690679,29.45206084221124,32.70581690965024
SL,2025-06-22,91.1,-1.93,5.92,"Barrero, José",670770,700669,single,hit_into_play,,,,,5.0,TJ Friedl singles on a line drive to center fielder José Barrero.,R,L,R,STL,CIN,X,8,line_drive,2,2,2025,0.11,0.45,-0.19,2.49,,,,0,8,Top,136.27,72.37,,,,,4.141920873747877,-132.690265044805,-3.737168627462768,0.510908619813853,25.906493642121887,-26.305156509143284,3.27,1.51,277.0,95.5,15.0,91.7,2406.0,6.4,777407,650968,575929,695336,571448,691026,676475,676480,691023,54.1,0.871,0.832,0.9,1.0,1,0,4.0,53,5,Slider,1,4,4,1,4,1,4,1,Infield shade,Standard,182.0,-0.009,0.465,71.2,6.4,1.076,-0.465,95.5,-3,3,0.065,0.935,25,29,25,30,1,3,23.0,1.0,20.0,1.0,2.27,-0.11,0.11,46.2,7.964137833577138,-0.8673772449953236,25.933526070640703,36.283255726770285,38.10632082088665
SI,2025-06-08,90.3,-2.31,5.85,"Barrero, José",669257,700241,single,hit_into_play,,,,,4.0,Will Smith singles on a sharp line drive to center fielder José Barrero. Max Muncy to 2nd.,R,R,R,STL,LAD,X,8,line_drive,1,1,2025,-1.08,0.48,-0.58,2.45,,,571970.0,0,2,Top,147.67,79.38,,,,,6.67359937734938,-131.3898127170076,-3.603385641035797,-13.854393911568538,26.128291675143444,-26.01809014524737,3.4,1.53,246.0,100.6,12.0,91.6,2262.0,6.9,777582,686780,575929,680977,571448,691026,663457,676480,676475,53.59,0.949,0.915,0.9,1.0,1,0,4.0,10,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,218.0,-0.055,0.478,67.4,6.4,1.161,-0.478,100.6,0,0,0.462,0.538,24,30,25,30,1,0,35.0,1.0,11.0,1.0,2.3,1.08,1.08,34.6,-2.412412585053419,11.54981343114929,33.912103705270944,29.2826569171115,24.927983516825485
CU,2025-06-08,80.1,-2.52,6.06,"Barrero, José",571970,700241,single,hit_into_play,,,,,4.0,Max Muncy singles on a sharp line drive to center fielder José Barrero.,R,L,R,STL,LAD,X,8,line_drive,0,1,2025,0.81,-1.26,-0.45,2.03,,,,0,2,Top,125.89,73.82,,,,,3.067957110580524,-116.62335430800616,0.2570384495336746,6.666918678216985,23.988602939672116,-43.84647719147798,3.13,1.54,191.0,107.6,11.0,80.2,2666.0,6.6,777582,686780,575929,680977,571448,691026,663457,676480,676475,53.93,0.957,0.974,0.9,1.0,1,0,5.0,9,2,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,43.0,-0.038,0.478,73.0,6.8,1.287,-0.478,107.6,0,0,0.5,0.5,24,34,25,35,1,0,35.0,1.0,11.0,1.0,4.83,-0.81,0.81,37.0,15.112653868520995,14.032331624006366,33.686153519575235,43.45694305094014,34.53851046829118
SI,2025-06-08,94.4,-2.58,5.89,"Barrero, José",660271,700241,double,hit_into_play,,,,,4.0,Shohei Ohtani doubles (10) on a sharp line drive to center fielder José Barrero.,R,L,R,STL,LAD,X,8,line_drive,0,0,2025,-1.36,0.28,-0.69,2.79,,,,0,1,Top,95.51,56.24,,,,,7.966374851297811,-137.29899298486123,-3.002076858155046,-18.95328606602513,30.306342110982307,-28.18350553219863,3.6,1.68,361.0,106.5,19.0,94.7,2315.0,6.5,777582,686780,575929,680977,571448,691026,663457,676480,676475,54.03,0.66,0.876,1.25,1.0,1,1,6.0,1,1,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,230.0,-0.06,0.716,75.6,7.9,1.447,-0.716,106.5,0,0,0.5,0.5,24,30,25,31,1,0,35.0,1.0,11.0,1.0,2.28,1.36,-1.36,29.6,13.579165273223406,8.100016640863512,31.593544577397104,46.82475397518721,20.77922080461065
SL,2025-05-21,82.7,1.95,5.63,"Barrero, José",700242,667463,sac_fly,hit_into_play,,,,,4.0,Trey Sweeney out on a sacrifice fly to center fielder José Barrero. Spencer Torkelson scores.,R,L,L,STL,DET,X,8,fly_ball,0,0,2025,-0.27,-0.33,-0.49,2.51,679529.0,690993.0,,1,8,Top,117.1,71.17,,,,,-4.997055755988412,-120.4845349441764,-0.05172648705277,-1.8214969804435135,20.747882375998543,-35.59596916745271,3.64,1.66,318.0,89.9,34.0,82.4,2772.0,5.8,777827,671056,676475,669357,571448,691026,680977,676480,691023,54.73,0.029,0.038,0.0,1.0,0,0,3.0,62,1,Slider,1,3,3,1,4,1,4,1,Strategic,Standard,322.0,-0.015,-0.194,71.6,7.7,0.062,0.194,89.9,-2,2,0.084,0.916,30,25,31,25,1,3,2.0,1.0,4.0,1.0,3.62,-0.27,-0.27,27.3,9.305877458455026,-3.353542933074745,24.1344408643964,44.78614114957713,36.55484044064363
