pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-06-11,91.7,1.1,4.84,"Brown, Seth",687263,676664,single,hit_into_play,,,,,9.0,Zach Neto singles on a sharp line drive to center fielder Seth Brown. Kevin Newman to 2nd.,R,R,L,LAA,ATH,X,8,line_drive,1,1,2025,0.93,0.82,0.47,1.85,,,621028.0,0,6,Bot,147.93,77.37,,,,,-3.61623200981676,-133.4622677186431,-3.418742446372038,11.887328503559772,30.808604788398476,-21.845964359342563,3.28,1.52,225.0,105.5,12.0,91.5,1718.0,6.3,777542,680862,691016,649966,691777,680474,668709,664913,671732,54.2,0.903,0.897,0.9,1.0,1,0,4.0,44,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,128.0,0.075,0.478,73.7,6.6,1.186,-0.478,105.5,-3,-3,0.197,0.197,29,24,29,24,3,2,5.0,1.0,6.0,2.0,1.9,0.93,-0.93,26.7,5.990022589970775,13.14311846679692,40.79555479056502,34.42708169439642,26.44373188158405
FF,2025-06-11,91.5,1.21,5.01,"Brown, Seth",621028,676664,single,hit_into_play,,,,,5.0,Kevin Newman singles on a line drive to center fielder Seth Brown.,R,R,L,LAA,ATH,X,8,line_drive,0,0,2025,0.93,0.86,-0.22,2.11,,,,0,6,Bot,150.63,74.73,,,,,-5.608652559264696,-133.17298452229528,-3.3250149806135685,12.235674451537468,27.40533437544718,-21.443449097391174,3.21,1.53,253.0,96.4,14.0,91.7,1819.0,6.3,777542,680862,691016,649966,691777,680474,668709,664913,671732,54.19,0.903,0.865,0.9,1.0,1,0,4.0,43,1,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,126.0,0.046,0.439,66.7,6.0,1.108,-0.439,96.4,-3,-3,0.151,0.151,29,31,29,32,2,1,5.0,1.0,6.0,4.0,1.85,0.93,-0.93,29.1,-5.070300805259659,2.8881711301398494,37.375926145856745,32.75688787157004,25.506535353615824
SI,2025-06-11,89.7,1.41,4.6,"Brown, Seth",624585,676664,field_out,hit_into_play,,,,,6.0,Jorge Soler lines out sharply to center fielder Seth Brown.,R,R,L,LAA,ATH,X,8,line_drive,0,0,2025,1.1,0.53,0.33,2.77,,,545361.0,2,4,Bot,109.61,57.41,,,,,-5.069010610895269,-130.6048462169237,0.3657816758025738,13.668401690219245,28.51292494899485,-26.439120319699693,3.71,1.79,353.0,109.1,15.0,90.8,1678.0,7.0,777542,680862,691016,649966,691777,680474,668709,664913,671732,53.48,0.674,0.754,0.0,1.0,0,0,6.0,33,1,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,125.0,-0.023,-0.272,75.6,7.1,1.129,0.272,109.1,-3,-3,0.177,0.177,29,33,29,33,2,1,5.0,1.0,6.0,2.0,2.31,1.1,-1.1,25.5,4.81455814443548,6.352551014031918,32.85413898233068,40.77797031585658,23.583867943329917
FF,2025-06-11,94.0,-2.37,5.81,"Brown, Seth",621028,674370,single,hit_into_play,,,,,1.0,Kevin Newman singles on a line drive to center fielder Seth Brown. Luis Rengifo to 3rd.,R,R,R,LAA,ATH,X,8,line_drive,1,1,2025,-1.08,1.16,-0.81,3.28,,,650859.0,2,6,Bot,117.38,107.48,,,,,6.462726976760641,-136.6820947527564,-3.3669435366195914,-15.032176713495206,33.21259032091902,-17.12871738417789,3.21,1.53,159.0,73.8,14.0,93.6,2361.0,6.3,777542,680862,691016,649966,691777,680474,668709,664913,671732,54.16,0.429,0.386,0.9,1.0,1,0,4.0,52,3,4-Seam Fastball,6,3,6,3,3,6,6,3,Standard,Standard,227.0,0.009,0.361,63.1,5.5,0.439,-0.361,88.0,3,3,0.909,0.909,29,31,30,32,1,2,8.0,1.0,6.0,4.0,1.44,1.08,1.08,31.7,1.0476431363271037,-0.6700112912920503,27.59685199999208,25.683003366110945,26.10070269967694
SI,2025-06-11,90.7,1.18,4.92,"Brown, Seth",545361,676664,single,hit_into_play,,,,,13.0,Mike Trout singles on a sharp line drive to center fielder Seth Brown.,R,R,L,LAA,ATH,X,8,line_drive,3,2,2025,1.34,0.39,-0.12,1.56,,,,2,1,Bot,106.42,55.79,,,,,-6.11862028990729,-132.0093520035146,-3.3282222485658077,16.957142075657664,28.363045353600647,-27.04513086859265,3.68,1.74,281.0,111.1,10.0,90.7,1816.0,6.3,777542,680862,691016,649966,691777,680474,668709,664913,671732,54.21,0.909,0.908,0.9,1.0,1,0,5.0,9,6,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,121.0,0.014,0.26,78.4,7.3,1.186,-0.26,111.1,-1,-1,0.402,0.402,29,33,29,34,1,0,5.0,1.0,6.0,2.0,2.38,1.34,-1.34,25.9,3.845370115735825,3.761013300737552,46.61425269156378,32.63963508225846,23.831481042687443
FF,2025-06-11,94.5,-2.51,5.84,"Brown, Seth",650859,674370,single,hit_into_play,,,,,4.0,Luis Rengifo singles on a sharp line drive to center fielder Seth Brown.,R,L,R,LAA,ATH,X,8,line_drive,0,0,2025,-0.94,1.09,-0.64,2.65,,,,2,6,Bot,141.19,100.39,,,,,6.947265304665122,-137.2833099817217,-4.9737947840002255,-13.463070061537636,33.05516593455329,-17.51925728881237,3.24,1.55,164.0,102.2,9.0,94.0,2365.0,6.3,777542,680862,691016,649966,691777,680474,668709,664913,671732,54.19,0.754,0.712,0.9,1.0,1,0,4.0,51,1,4-Seam Fastball,6,3,6,3,3,6,6,3,Standard,Standard,229.0,0.004,0.328,69.9,7.2,0.883,-0.328,102.2,3,3,0.905,0.905,29,28,30,28,1,2,8.0,1.0,6.0,2.0,1.49,0.94,-0.94,28.7,7.9163036388254335,8.907058466650492,28.009989461991744,42.63155081539941,26.027844050724404
FF,2025-06-11,94.5,-2.53,5.76,"Brown, Seth",518595,674370,sac_fly,hit_into_play,,,,,4.0,Travis d'Arnaud out on a sacrifice fly to center fielder Seth Brown. Taylor Ward scores.,R,R,R,LAA,ATH,X,8,fly_ball,1,2,2025,-0.88,1.41,-0.47,2.31,621493.0,,624585.0,1,6,Bot,137.36,48.69,,,,,7.304997518105869,-137.31792338188166,-6.397717666060403,-12.787085050590406,32.30155816464089,-13.070998692498891,3.51,1.59,372.0,99.7,36.0,94.1,2520.0,6.3,777542,680862,691016,649966,691777,680474,668709,664913,671732,54.2,0.337,0.643,0.0,1.0,0,0,5.0,49,4,4-Seam Fastball,3,3,3,3,3,4,4,3,Standard,Standard,227.0,0.049,-0.052,68.3,7.4,1.257,0.052,99.7,0,0,0.673,0.673,29,36,30,36,1,2,8.0,1.0,6.0,4.0,1.16,0.88,0.88,29.8,11.980657608843302,-3.5356744245172167,36.90881604165772,33.32400402870295,32.69082240414849
FF,2025-06-07,92.9,2.31,6.02,"Brown, Seth",668939,663687,field_out,hit_into_play,,,,,6.0,Adley Rutschman flies out to center fielder Seth Brown.,R,R,L,ATH,BAL,X,8,fly_ball,2,0,2025,0.9,1.36,0.41,2.34,,,,0,9,Top,118.27,71.36,,,,,-6.85006770126714,-135.00882978032027,-6.589298064711139,12.516896144444647,31.90853927366227,-14.321867328444586,3.45,1.6,318.0,86.0,27.0,93.1,2350.0,6.7,777599,680862,691016,680474,669722,805779,668709,664913,671732,53.84,0.1,0.132,0.0,1.0,0,0,3.0,77,3,4-Seam Fastball,4,7,7,4,7,4,7,4,Standard,Standard,152.0,0.003,-0.378,71.1,7.4,0.211,0.378,88.0,-3,3,0.031,0.969,28,27,29,27,2,4,3.0,1.0,3.0,1.0,1.31,0.9,-0.9,53.4,13.148983059012508,-4.959846275724333,34.187554352286234,39.95489949196963,29.0336601785998
SI,2025-06-07,95.4,-1.92,6.06,"Brown, Seth",602104,622663,single,hit_into_play,,,,,1.0,Ramón Urías singles on a sharp line drive to center fielder Seth Brown.,R,R,R,ATH,BAL,X,8,line_drive,0,1,2025,-0.98,1.12,-0.44,3.05,,,,1,2,Top,104.78,83.18,,,,,6.11252006063314,-138.72423165392206,-4.776640454110204,-14.056965960161714,33.04725773522829,-16.82821388965584,3.24,1.57,164.0,101.3,9.0,95.4,2168.0,6.5,777599,680862,691016,680474,669722,805779,668709,664913,671732,54.05,0.657,0.606,0.9,1.0,1,0,4.0,17,2,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,214.0,-0.023,0.454,67.0,6.9,0.734,-0.454,101.3,3,-3,0.808,0.192,31,31,31,31,1,0,5.0,1.0,6.0,1.0,1.4,0.98,0.98,42.3,16.179471201243754,8.96521791344284,20.986734227360134,32.00702157702874,25.020077391751457
FF,2025-06-07,94.4,1.81,6.2,"Brown, Seth",668939,663687,field_out,hit_into_play,,,,,5.0,Adley Rutschman flies out to center fielder Seth Brown.,R,R,L,ATH,BAL,X,8,fly_ball,1,2,2025,0.93,1.49,-0.16,2.65,666185.0,,702616.0,2,6,Top,126.24,191.55,,,,,-7.229157075393693,-137.12763104580014,-6.849618175273615,13.43573782965553,33.46261053887946,-12.011215744273324,3.45,1.6,316.0,87.4,35.0,94.4,2408.0,6.6,777599,680862,691016,680474,669722,805779,668709,664913,671732,53.87,0.026,0.041,0.0,1.0,0,0,3.0,57,4,4-Seam Fastball,4,6,6,4,6,4,6,4,Standard,Standard,152.0,0.037,-0.189,69.3,6.8,0.064,0.189,88.0,-2,2,0.211,0.789,28,27,29,27,1,3,3.0,1.0,3.0,1.0,1.1,0.93,-0.93,61.6,4.159321991244786,-2.105927319112371,39.51114522384861,33.674868865264386,24.018487215156785
