pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2025-09-01,83.0,-1.06,6.42,"Carlson, Dylan",669369,680694,single,hit_into_play,,,,,8.0,Bryce Johnson singles on a line drive to center fielder Dylan Carlson. Gavin Sheets scores. Jake Cronenworth to 3rd.,R,L,R,SD,BAL,X,8,line_drive,0,1,2025,0.35,-1.23,0.04,2.03,657757.0,630105.0,,1,2,Bot,137.48,96.13,,,,,1.81549641471721,-120.8613118888232,-1.0933840720432784,3.0194006265465,26.114266355735747,-44.17992152449882,3.45,1.62,157.0,99.2,9.0,82.5,2706.0,6.2,776494,656577,691723,702616,656896,683002,687637,666185,669236,54.32,0.611,0.564,0.9,1.0,1,0,4.0,17,2,Curveball,0,2,0,2,2,1,1,2,Standard,Standard,32.0,0.081,0.535,65.8,7.3,0.685,-0.535,99.2,-2,-2,0.428,0.428,28,29,29,30,1,0,6.0,1.0,8.0,5.0,4.57,-0.35,0.35,59.5,6.673785487333126,3.019563699577977,41.52403924427309,34.96301869840891,27.280071393845574
FF,2025-08-06,94.0,2.1,5.83,"Carlson, Dylan",642215,669432,single,hit_into_play,,,,,4.0,Weston Wilson singles on a line drive to center fielder Dylan Carlson. Otto Kemp to 2nd.,R,R,L,PHI,BAL,X,8,line_drive,0,1,2025,1.03,1.09,-0.57,2.35,,,805249.0,2,6,Bot,134.97,97.67,,,,,-9.25516641981457,-136.56756900699108,-5.759983060289484,14.88477539386484,28.738825371671727,-17.367821327944064,3.67,1.63,190.0,77.0,15.0,94.6,2475.0,6.6,776851,656577,691723,702616,676059,683002,681297,666185,669236,53.86,0.709,0.675,0.9,1.0,1,0,4.0,51,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,125.0,0.025,0.388,76.4,7.3,0.807,-0.388,88.0,-3,-3,0.122,0.122,27,30,28,31,3,2,5.0,2.0,7.0,4.0,1.48,1.03,-1.03,21.1,8.683253371886924,8.897531396022252,39.53075212181184,30.225209919138283,22.70292377279828
CH,2025-08-06,87.0,2.06,5.7,"Carlson, Dylan",607208,669432,single,hit_into_play,,,,,9.0,Trea Turner singles on a line drive to center fielder Dylan Carlson. Weston Wilson scores. Rafael Marchán to 2nd.,R,R,L,PHI,BAL,X,8,line_drive,0,1,2025,1.11,0.13,0.66,1.74,642215.0,,665561.0,0,5,Bot,117.59,87.98,,,,,-5.743482649385068,-126.6845619360144,-3.69053256265214,13.159091410821766,23.73637857720295,-30.246402746457527,3.49,1.68,259.0,78.5,23.0,88.7,1435.0,7.1,776851,656577,691723,702616,676059,683002,681297,666185,669236,53.39,0.709,0.651,0.9,1.0,1,0,4.0,41,2,Changeup,0,4,0,4,4,1,1,4,Standard,Standard,111.0,0.07,0.479,71.2,7.8,0.802,-0.479,88.0,-4,-4,0.223,0.223,27,32,28,32,3,2,5.0,1.0,7.0,2.0,2.86,1.11,-1.11,22.9,8.808546779869394,0.045703563451914,32.05365894029152,45.79487001926789,31.407820510359077
FC,2025-08-05,87.4,-1.86,6.49,"Carlson, Dylan",592663,665152,single,hit_into_play,,,,,14.0,J.T. Realmuto singles on a line drive to center fielder Dylan Carlson.,R,R,R,PHI,BAL,X,8,line_drive,2,1,2025,0.58,0.56,0.91,2.07,,,,1,5,Bot,121.2,87.08,,,,,5.450574542700901,-127.12785758987576,-5.650224507003231,5.307369270593133,24.602530714990912,-25.21379495934946,3.69,1.7,212.0,81.8,19.0,87.3,2398.0,6.1,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.36,0.957,0.895,0.9,1.0,1,0,4.0,41,4,Cutter,4,0,4,0,0,4,4,0,Standard,Standard,166.0,0.006,0.371,70.9,8.0,1.085,-0.371,88.0,4,4,0.932,0.932,29,34,29,34,3,2,6.0,1.0,7.0,3.0,2.42,-0.58,-0.58,49.6,15.24659799785432,-2.258285302174124,38.14028692247332,46.74359395210988,29.62178264763169
FC,2025-08-05,87.8,-2.12,6.44,"Carlson, Dylan",681082,665152,triple,hit_into_play,,,,,6.0,Bryson Stott triples (3) on a sharp fly ball to center fielder Dylan Carlson. Max Kepler scores.,R,L,R,PHI,BAL,X,8,fly_ball,1,1,2025,0.31,0.65,0.31,2.25,,596146.0,,1,4,Bot,180.98,59.08,,,,,5.202962785413439,-127.75947001090648,-5.344633376410443,2.386115838886729,25.78350481097896,-24.211182081749406,3.33,1.54,362.0,102.4,38.0,87.4,2397.0,6.0,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.54,0.311,0.624,1.6,1.0,1,2,5.0,33,3,Cutter,3,0,3,0,0,4,4,0,Infield shade,Standard,181.0,0.058,1.055,77.6,7.8,1.211,-1.055,102.4,3,3,0.878,0.878,29,27,29,28,2,1,6.0,1.0,7.0,3.0,2.31,-0.31,0.31,45.0,15.83958576420338,-17.443941219160823,32.296342649698744,28.04984896049202,39.78115559037643
CU,2025-08-05,79.1,-1.98,6.42,"Carlson, Dylan",547180,665152,field_out,hit_into_play,,,,,7.0,Bryce Harper flies out to center fielder Dylan Carlson.,R,L,R,PHI,BAL,X,8,fly_ball,0,0,2025,0.46,-1.13,-0.41,1.58,681082.0,607208.0,656941.0,2,2,Bot,152.76,72.13,,,,,2.551865443682623,-115.21727227897664,-1.6379639722221668,3.5581377054654344,22.30431272559657,-42.122352549861,3.25,1.55,321.0,90.3,37.0,78.8,2819.0,6.1,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.4,0.031,0.05,0.0,1.0,0,0,3.0,20,1,Curveball,3,0,3,0,0,3,3,0,Infield shade,Standard,34.0,-0.035,-0.259,74.1,8.2,0.09,0.259,90.3,3,3,0.84,0.84,29,32,29,33,2,1,6.0,1.0,7.0,1.0,4.78,-0.46,0.46,53.4,15.042727805697275,-6.993318973272704,34.815387730525046,43.67731887417072,38.10044789435121
FF,2025-08-05,94.7,-1.96,6.4,"Carlson, Dylan",592663,665152,field_out,hit_into_play,,,,,9.0,J.T. Realmuto lines out sharply to center fielder Dylan Carlson.,R,R,R,PHI,BAL,X,8,line_drive,3,2,2025,-0.69,1.41,0.49,2.15,,,,0,2,Bot,117.77,59.57,,,,,7.904695086497677,-137.4643635196074,-8.478060567520494,-10.670684225419024,33.47604372893675,-12.527149324339124,3.69,1.7,347.0,100.0,20.0,93.9,2357.0,6.2,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.31,0.363,0.453,0.0,1.0,0,0,5.0,12,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,213.0,-0.023,-0.345,70.2,8.0,0.723,0.345,100.0,0,0,0.55,0.55,29,34,29,34,1,0,6.0,1.0,7.0,3.0,1.16,0.69,0.69,43.7,17.762323670679244,2.8010318610343954,36.57597442617542,42.03309702925717,28.87648769466687
FF,2025-08-04,91.1,1.7,6.0,"Carlson, Dylan",607208,700249,field_out,hit_into_play,,,,,5.0,Trea Turner lines out sharply to center fielder Dylan Carlson.,R,R,L,PHI,BAL,X,8,line_drive,3,2,2025,0.91,1.47,-0.13,2.49,,,624641.0,1,3,Bot,148.49,63.79,,,,,-6.536124591550736,-132.4181319756872,-6.013491978020424,12.186743167958756,30.725990300821536,-13.776922408801246,3.5,1.69,368.0,105.7,18.0,90.4,2360.0,6.1,776877,668939,691723,702616,676059,683002,681297,666185,669236,54.4,0.591,0.748,0.0,1.0,0,0,6.0,24,7,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,137.0,-0.033,-0.319,69.6,6.8,1.201,0.319,105.7,-2,-2,0.321,0.321,25,32,25,32,2,1,50.0,1.0,6.0,1.0,1.3,0.91,-0.91,40.8,9.087011132857231,10.518435391713412,34.301190276172164,34.40038156344076,22.71629134507332
CH,2025-08-04,83.3,1.78,5.96,"Carlson, Dylan",624641,700249,single,hit_into_play,,,,,14.0,Edmundo Sosa singles on a line drive to center fielder Dylan Carlson.,R,R,L,PHI,BAL,X,8,line_drive,0,2,2025,1.1,-0.09,1.32,0.87,,,,0,3,Bot,106.74,83.91,,,,,-3.214811529487086,-121.21157157777148,-4.948015112087984,11.483519428583282,26.753955031041265,-32.23476799808196,3.41,1.59,243.0,78.5,17.0,82.6,1316.0,6.1,776877,668939,691723,702616,676059,683002,681297,666185,669236,54.41,0.966,0.887,0.9,1.0,1,0,4.0,22,3,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,127.0,0.044,0.533,62.2,9.0,1.062,-0.533,88.0,-2,-2,0.317,0.317,25,29,25,29,1,0,50.0,1.0,6.0,1.0,3.41,1.1,-1.1,37.2,8.49237039519156,-11.11280059774704,30.75600916041389,50.976874435843534,29.16500388281127
FF,2025-08-04,95.2,-1.29,6.18,"Carlson, Dylan",665561,660730,field_out,hit_into_play,,,,,1.0,Rafael Marchán flies out to center fielder Dylan Carlson.,R,L,R,PHI,BAL,X,8,fly_ball,1,1,2025,-0.69,1.73,-0.35,2.89,,,656941.0,2,8,Bot,123.86,96.3,,,,,4.039811496431977,-138.46173901927662,-6.87955947026429,-9.798743778410866,33.1274183987174,-8.556243946264079,3.13,1.37,258.0,90.8,52.0,95.4,2517.0,6.6,776877,668939,691723,702616,676059,683002,681297,666185,669236,53.89,0.006,0.005,0.0,1.0,0,0,3.0,68,3,4-Seam Fastball,13,3,13,3,3,13,13,3,Infield shade,Standard,203.0,0.0,-0.257,67.5,7.6,0.006,0.257,90.8,10,10,0.999,0.999,27,26,27,26,1,0,89.0,5.0,,2.0,0.8,0.69,-0.69,48.0,-5.02833821014252,-15.923298160767038,29.85822161470394,40.44636547371421,31.161611693049803
