pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-09-11,83.3,-2.02,5.5,"Dubón, Mauricio",662139,664299,triple,hit_into_play,,,,,7.0,Daulton Varsho triples (2) on a sharp fly ball to center fielder Mauricio Dubón.,R,L,R,TOR,HOU,X,8,fly_ball,1,0,2025,-1.11,0.33,-0.53,2.05,,,,0,4,Bot,174.58,56.48,,,,,5.619421387257925,-121.28103193608264,-2.1477418227276197,-12.074530468636825,23.550353380984514,-28.677079423940267,3.4,1.55,372.0,101.0,24.0,83.3,2115.0,6.3,776369,673237,572233,514888,621043,665161,666211,643289,660821,54.25,0.577,0.875,1.6,1.0,1,2,6.0,29,2,Changeup,3,0,3,0,0,3,3,0,Infield shade,Standard,251.0,0.043,0.88,73.4,8.3,1.544,-0.88,101.0,3,3,0.868,0.868,28,28,28,29,2,1,7.0,1.0,6.0,1.0,2.95,1.11,-1.11,31.9,12.088185594565202,2.3950481446455143,25.84144964729179,41.3294810746027,27.70697917920545
CH,2025-09-11,84.5,-1.84,5.43,"Dubón, Mauricio",665489,664299,single,hit_into_play,,,,,14.0,Vladimir Guerrero Jr. singles on a line drive to center fielder Mauricio Dubón.,R,R,R,TOR,HOU,X,8,line_drive,1,0,2025,-0.79,0.54,1.09,2.05,,,,1,3,Bot,152.98,83.32,,,,,8.425685424934088,-122.835181371847,-2.6477788975437404,-9.594653804762588,22.037253903172825,-26.323222751788705,3.66,1.65,239.0,80.4,17.0,84.9,1950.0,6.4,776369,673237,572233,514888,621043,665161,666211,643289,660821,54.1,0.971,0.898,0.9,1.0,1,0,4.0,21,2,Changeup,3,0,3,0,0,3,3,0,Standard,Standard,266.0,0.012,0.376,78.8,8.0,1.083,-0.376,88.0,3,3,0.837,0.837,28,26,28,26,2,1,7.0,1.0,6.0,1.0,2.63,0.79,0.79,33.9,1.5144763091008695,-2.560344411975964,30.427210662083056,48.344820184869626,35.5279362536932
FF,2025-09-11,93.2,-1.61,5.52,"Dubón, Mauricio",662139,664299,field_out,hit_into_play,,,,,8.0,Daulton Varsho flies out to center fielder Mauricio Dubón.,R,L,R,TOR,HOU,X,8,fly_ball,0,1,2025,-0.6,1.42,0.19,1.87,,680718.0,,2,1,Bot,125.86,75.4,,,,,5.927470728004989,-135.55510093183105,-6.738390091359849,-8.660353828090454,30.177717553233773,-13.349686754996515,3.4,1.55,346.0,94.5,32.0,93.0,2475.0,6.2,776369,673237,572233,514888,621043,665161,666211,643289,660821,54.25,0.149,0.252,0.0,1.0,0,0,3.0,9,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,201.0,-0.024,-0.25,77.5,8.2,0.471,0.25,94.5,2,2,0.73,0.73,28,28,28,29,1,0,7.0,1.0,6.0,1.0,1.21,0.6,-0.6,35.4,8.449524493197318,-3.384564805271803,36.78723297401795,33.375803883658264,25.477374522275053
KC,2025-09-11,80.3,-1.69,5.12,"Dubón, Mauricio",665489,621121,field_out,hit_into_play,,,,,7.0,Vladimir Guerrero Jr. flies out to center fielder Mauricio Dubón. George Springer to 3rd.,R,R,R,TOR,HOU,X,8,fly_ball,0,2,2025,1.39,-0.93,-0.31,1.68,,543807.0,664770.0,0,8,Bot,115.6,59.77,,,,,0.442496090959974,-116.94898341352074,0.8797909074311383,12.556158993774853,24.50201701745433,-41.03989537766852,3.66,1.65,345.0,99.5,34.0,79.8,2930.0,6.1,776369,673237,572233,514888,621043,665161,666211,643289,660821,54.37,0.409,0.81,0.0,1.0,0,0,5.0,56,3,Knuckle Curve,4,0,4,0,0,4,4,0,Standard,Standard,60.0,0.0,-0.157,79.2,7.8,1.564,0.157,99.5,4,4,0.993,0.993,31,26,32,26,1,3,6.0,1.0,17.0,1.0,4.49,-1.39,-1.39,29.3,4.236444915030628,-18.975325922928217,37.38823285525232,31.59069022857396,38.68020554696599
FF,2025-09-11,92.7,-1.75,5.56,"Dubón, Mauricio",680718,664299,double,hit_into_play,,,,,3.0,Addison Barger doubles (29) on a fly ball to center fielder Mauricio Dubón. Nathan Lukes scores.,R,L,R,TOR,HOU,X,8,fly_ball,1,1,2025,-0.64,1.52,0.66,3.75,664770.0,,,1,1,Bot,156.11,119.57,,,,,7.512671225847755,-134.72525763629363,-2.0615384204711207,-9.522642844303764,33.312631500757064,-13.564846598561594,3.72,1.7,175.0,92.9,62.0,91.7,2264.0,6.0,776369,673237,572233,514888,621043,665161,666211,643289,660821,54.45,0.009,0.011,1.25,1.0,1,1,3.0,7,3,4-Seam Fastball,1,0,1,0,0,2,2,0,Strategic,Standard,206.0,0.06,0.594,72.8,6.8,0.017,-0.594,92.9,1,1,0.693,0.693,28,25,28,26,1,0,7.0,1.0,6.0,2.0,1.17,0.64,-0.64,33.3,16.41417525453617,-2.077905798056488,21.31884342675512,24.957119514636343,31.88426250344208
CH,2025-09-11,84.1,-1.79,5.24,"Dubón, Mauricio",623168,621121,field_out,hit_into_play,,,,,5.0,Tyler Heineman lines out to center fielder Mauricio Dubón.,R,L,R,TOR,HOU,X,8,line_drive,0,1,2025,-0.82,-0.13,-0.18,2.58,,,,1,7,Bot,125.66,88.73,,,,,5.267303858986603,-122.49709997564374,0.3534997885711519,-9.257094688618457,21.63508771628565,-33.705098663431016,3.18,1.47,276.0,82.8,22.0,83.4,1496.0,5.5,776369,673237,572233,514888,621043,665161,666211,643289,660821,54.96,0.571,0.532,0.0,1.0,0,0,4.0,49,2,Changeup,4,0,4,0,0,4,4,0,Standard,Standard,241.0,-0.002,-0.216,67.7,6.6,0.689,0.216,88.0,4,4,0.971,0.971,31,34,32,34,1,2,6.0,2.0,17.0,2.0,3.31,0.82,-0.82,23.2,3.631156414086021,0.420292570180696,25.776981438684636,38.71965524346996,31.283612164415885
FF,2025-09-04,92.9,-1.68,5.7,"Dubón, Mauricio",663757,664299,single,hit_into_play,,,,,5.0,Trent Grisham singles on a sharp line drive to center fielder Mauricio Dubón.,R,L,R,HOU,NYY,X,8,line_drive,0,0,2025,-0.43,1.53,-0.11,2.92,,,,1,5,Top,150.2,88.31,,,,,4.939919380368647,-135.0656235159841,-4.569842536917209,-6.442732699283609,34.049316641891444,-12.72801876208641,3.6,1.68,174.0,103.0,11.0,91.8,2247.0,6.1,776464,673237,572233,602104,621043,665161,670541,643289,701358,54.44,0.931,0.901,0.9,1.0,1,0,4.0,36,1,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,204.0,-0.026,0.415,71.0,7.6,1.146,-0.415,103.0,-1,1,0.379,0.621,28,28,28,29,3,2,6.0,1.0,7.0,1.0,1.15,0.43,-0.43,35.6,24.35094000670397,7.079643784853388,28.61345412638505,41.07861237818588,19.657704134869103
FF,2025-09-04,94.4,-1.91,5.63,"Dubón, Mauricio",592450,664299,field_out,hit_into_play,,,,,2.0,Aaron Judge lines out sharply to center fielder Mauricio Dubón.,R,R,R,HOU,NYY,X,8,line_drive,1,2,2025,-0.56,1.47,0.22,3.35,,,,1,3,Top,149.76,45.99,,,,,6.782040417236344,-137.21012826960057,-3.430927792458037,-8.65380309616858,34.76550607494051,-13.196033500757215,4.04,1.82,382.0,111.8,20.0,94.0,2493.0,6.4,776464,673237,572233,602104,621043,665161,670541,643289,701358,54.07,0.966,1.721,0.0,1.0,0,0,6.0,20,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shade,Standard,204.0,0.016,-0.18,83.2,7.5,3.228,0.18,111.8,-1,1,0.404,0.596,28,33,28,33,2,1,6.0,1.0,7.0,1.0,1.13,0.56,0.56,30.3,4.380622554285887,10.078484513379992,34.82733766256421,45.0901421865785,25.29567103565614
FF,2025-09-04,93.1,-1.81,5.63,"Dubón, Mauricio",700250,664299,field_out,hit_into_play,,,,,12.0,Ben Rice flies out to center fielder Mauricio Dubón.,R,L,R,HOU,NYY,X,8,fly_ball,0,2,2025,-0.28,1.7,0.03,3.95,,,,1,1,Top,96.41,60.94,,,,,5.306411828290399,-135.48119980046306,-2.1930723409141,-4.671461564386063,33.39404316337725,-11.17564030758284,3.61,1.7,350.0,93.2,30.0,92.4,2461.0,6.1,776464,673237,572233,602104,621043,665161,670541,643289,701358,54.36,0.12,0.187,0.0,1.0,0,0,3.0,2,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,202.0,0.015,-0.163,66.0,6.2,0.328,0.163,93.2,0,0,0.522,0.478,28,26,28,26,1,0,6.0,1.0,7.0,1.0,0.96,0.28,-0.28,29.8,12.734010030420942,5.127222154672617,18.160480167141905,38.38438238337373,17.0163341799692
SI,2025-09-02,94.1,0.63,6.17,"Dubón, Mauricio",663757,664285,field_out,hit_into_play,,,,,6.0,Trent Grisham flies out to center fielder Mauricio Dubón.,R,L,L,HOU,NYY,X,8,fly_ball,2,0,2025,1.41,0.62,0.51,2.33,,,,0,4,Top,162.63,59.83,,,,,-3.420688669844809,-136.8791739073233,-5.518056849409023,18.41555193381028,35.40993179053716,-23.25744481564284,3.56,1.68,356.0,95.9,35.0,92.6,2205.0,5.8,776489,663967,572233,602104,621043,665161,514888,643289,701358,54.67,0.163,0.296,0.0,1.0,0,0,3.0,26,3,Sinker,0,2,2,0,2,0,2,0,Standard,Standard,143.0,0.017,-0.378,75.9,7.8,0.571,0.378,95.9,-2,2,0.262,0.738,31,28,32,29,2,1,6.0,2.0,5.0,1.0,1.99,1.41,1.41,43.7,34.16096116887876,6.056524728576158,27.327895885375437,34.323740437775136,26.14989910293813
