pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SV,2025-09-10,83.3,1.88,4.77,"Eaton, Nate",701762,690986,field_out,hit_into_play,,,,,4.0,Nick Kurtz flies out to center fielder Nate Eaton.,R,L,L,ATH,BOS,X,8,fly_ball,2,2,2025,-1.12,-0.64,-0.62,2.52,,,,0,8,Bot,128.25,49.45,,,,,-3.5340614709785285,-121.11163311475136,2.66337375698289,-10.033419294703402,27.650715459198118,-39.278135598813485,3.7,1.72,370.0,95.4,29.0,82.5,2246.0,6.2,776379,657136,663993,666152,608324,596115,680776,681987,686765,54.29,0.226,0.383,0.0,1.0,0,0,5.0,66,5,Slurve,4,3,4,3,3,4,4,3,Infield shade,Standard,312.0,-0.013,-0.233,77.2,8.2,0.699,0.233,95.4,1,1,0.871,0.871,23,22,24,22,1,3,92.0,1.0,10.0,2.0,3.98,-1.12,-1.12,24.2,18.25567747435705,-5.385903706969764,36.63430441877758,44.570506970172126,27.808094664011985
FC,2025-09-10,87.7,2.01,4.86,"Eaton, Nate",805779,690986,field_out,hit_into_play,,,,,2.0,Jacob Wilson flies out to center fielder Nate Eaton.,R,R,L,ATH,BOS,X,8,fly_ball,0,1,2025,0.06,0.39,-0.22,2.87,,,668709.0,2,6,Bot,146.25,88.75,,,,,-5.516412025075911,-127.68306253875411,0.5196202007911551,1.7608431805800826,26.35769652087485,-28.20838490685481,3.25,1.57,319.0,93.8,40.0,87.8,2074.0,6.3,776379,657136,663993,666152,608324,596115,680776,681987,686765,54.16,0.031,0.043,0.0,1.0,0,0,3.0,55,2,Cutter,4,3,4,3,3,4,4,3,Standard,Standard,143.0,-0.022,-0.23,69.4,5.9,0.082,0.23,93.8,1,1,0.722,0.722,23,23,24,23,1,3,92.0,1.0,10.0,2.0,2.57,0.06,-0.06,28.0,8.1634159164635,-2.6920713461781984,30.678693661699928,32.522454068817886,33.98157496516197
FC,2025-09-10,87.5,2.98,5.74,"Eaton, Nate",687231,801139,field_out,hit_into_play,,,,,5.0,Darell Hernaiz flies out to center fielder Nate Eaton.,R,R,L,ATH,BOS,X,8,fly_ball,0,1,2025,-0.05,0.39,0.16,2.78,,,667670.0,2,1,Bot,135.65,76.77,,,,,-6.826603453391729,-127.30331127477714,-1.771245729499996,0.917878749659008,27.625793266803463,-27.804538735990267,3.64,1.69,305.0,89.5,44.0,88.9,2387.0,7.3,776379,657136,663993,666152,608324,596115,680776,681987,686765,53.19,0.006,0.006,0.0,1.0,0,0,3.0,9,2,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,208.0,-0.02,-0.23,76.7,7.5,0.006,0.23,89.5,1,1,0.628,0.628,22,23,23,24,1,0,5.0,1.0,8.0,2.0,2.6,-0.05,0.05,32.7,10.34964900481718,-9.325257471153323,28.089406842509685,38.497232222484,32.691372502600885
FF,2025-09-10,95.2,1.92,4.94,"Eaton, Nate",680869,690986,field_out,hit_into_play,,,,,5.0,Zack Gelof flies out to center fielder Nate Eaton.,R,R,L,ATH,BOS,X,8,fly_ball,2,2,2025,1.27,1.23,0.23,2.26,,,,0,6,Bot,132.36,95.14,,,,,-7.294340519919031,-138.36366797860657,-4.134152588114596,17.916716325799648,31.76454717873746,-15.70975399985506,3.43,1.52,260.0,97.6,54.0,95.4,2320.0,6.5,776379,657136,663993,666152,608324,596115,680776,681987,686765,53.96,0.003,0.003,0.0,1.0,0,0,3.0,52,5,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,128.0,-0.021,-0.233,75.1,7.9,0.003,0.233,97.6,1,1,0.746,0.746,23,25,24,26,1,2,92.0,1.0,10.0,2.0,1.3,1.27,-1.27,30.4,24.574749459351928,2.058030138480043,38.46590628577777,39.91117163406384,30.177412366425397
SL,2025-09-10,88.0,1.17,6.48,"Eaton, Nate",701762,458677,single,hit_into_play,,,,,5.0,Nick Kurtz singles on a line drive to center fielder Nate Eaton.,R,L,L,ATH,BOS,X,8,line_drive,1,1,2025,-0.08,0.21,-0.06,2.59,,,,0,4,Bot,112.36,75.56,,,,,-2.816951111020911,-128.13113211735617,-3.733666797376376,-0.2114968317180472,28.345782681647652,-29.243357230294013,3.7,1.72,200.0,100.0,12.0,87.3,2450.0,6.0,776379,657136,663993,666152,608324,596115,680776,681987,686765,54.53,0.94,0.909,0.9,1.0,1,0,4.0,36,3,Slider,2,3,2,3,3,2,2,3,Infield shade,Standard,215.0,0.049,0.447,78.6,7.4,1.154,-0.447,100.0,-1,-1,0.421,0.421,37,22,38,22,1,1,4.0,1.0,2.0,2.0,2.74,-0.08,-0.08,49.8,9.67716270536766,12.657641139436352,35.18925599755572,37.47989194377733,20.147151892687027
FC,2025-08-28,86.1,1.99,6.41,"Eaton, Nate",666185,676979,field_out,hit_into_play,,,,,5.0,Dylan Carlson flies out to center fielder Nate Eaton.,R,R,L,BAL,BOS,X,8,fly_ball,2,2,2025,-0.47,0.06,0.25,2.29,,,,2,2,Bot,97.8,88.95,,,,,-3.1969387069788744,-125.46248111003048,-3.74493968575832,-4.366196280380601,23.45471370571961,-30.992625743889903,3.53,1.68,283.0,81.9,41.0,87.0,2566.0,6.6,776564,665966,663853,678882,608324,596115,691373,681987,701350,53.87,0.011,0.011,0.0,1.0,0,0,3.0,17,7,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,278.0,-0.011,-0.224,54.2,7.6,0.014,0.224,88.0,-1,-1,0.394,0.394,26,26,26,27,1,0,5.0,1.0,5.0,4.0,2.98,-0.47,0.47,42.8,23.050965296036395,-14.123090982734816,40.943901307976525,36.88473751786472,38.36254263579097
SI,2025-08-28,95.1,1.83,5.69,"Eaton, Nate",669236,571927,field_out,hit_into_play,,,,,2.0,Jeremiah Jackson flies out sharply to center fielder Nate Eaton.,R,R,L,BAL,BOS,X,8,fly_ball,2,0,2025,1.22,1.1,0.19,2.8,,,656577.0,2,9,Bot,115.88,50.14,,,,,-7.070510260688304,-138.3682810367834,-4.454405365482047,17.228582831850495,28.619550417107284,-17.15463700939097,3.3,1.55,369.0,105.1,37.0,95.7,2295.0,6.5,776564,665966,663853,678882,608324,596115,691373,681987,701350,54.05,0.606,1.223,0.0,1.0,0,0,6.0,73,3,Sinker,2,3,2,3,3,2,2,3,Standard,Standard,119.0,-0.096,-0.355,76.8,7.8,2.374,0.355,105.1,-1,-1,0.096,0.096,34,25,34,25,1,4,3.0,1.0,2.0,1.0,1.4,1.22,-1.22,32.5,19.2146625400384,-1.046134208886473,29.13358236028516,44.87045137778555,27.37565305401015
FF,2025-08-28,97.5,1.82,6.41,"Eaton, Nate",669236,676979,single,hit_into_play,,,,,2.0,Jeremiah Jackson singles on a sharp line drive to center fielder Nate Eaton.,R,R,L,BAL,BOS,X,8,line_drive,2,2,2025,0.59,1.22,0.02,3.13,,,,1,1,Bot,166.87,68.41,,,,,-6.207364782147574,-141.71291390339968,-6.105829920607274,9.354353018766115,33.187777802026126,-14.586816378803332,3.3,1.55,283.0,105.0,15.0,97.8,2375.0,6.6,776564,665966,663853,678882,608324,596115,691373,681987,701350,53.9,0.671,0.734,0.9,1.0,1,0,5.0,6,6,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,146.0,0.026,0.442,71.2,6.4,1.065,-0.442,105.0,-1,-1,0.419,0.419,26,25,26,25,1,0,5.0,1.0,5.0,1.0,1.19,0.59,-0.59,34.2,8.103482172408354,11.743911377415962,26.15092762720643,40.32568184336803,19.884959946427504
CU,2025-08-28,79.3,1.57,5.81,"Eaton, Nate",702616,571927,field_out,hit_into_play,,,,,4.0,Jackson Holliday lines out to center fielder Nate Eaton.,R,L,L,BAL,BOS,X,8,line_drive,0,1,2025,-0.9,-0.85,-0.65,2.37,,,656577.0,1,9,Bot,105.1,78.13,,,,,-3.2100740750704837,-115.53117740753612,0.8232164657615668,-7.468097074767318,21.089957635549016,-40.13454126422998,3.41,1.6,305.0,89.7,22.0,79.9,2360.0,6.6,776564,665966,663853,678882,608324,596115,691373,681987,701350,53.88,0.169,0.171,0.0,1.0,0,0,3.0,72,2,Curveball,2,3,2,3,3,2,2,3,Infield shade,Standard,322.0,-0.11,-0.215,66.6,6.8,0.272,0.215,89.7,-1,-1,0.206,0.206,34,21,34,22,1,4,3.0,1.0,2.0,1.0,4.46,-0.9,-0.9,44.6,9.477718225704187,9.524449265077353,23.75613959740514,42.49988917063179,30.54296124140752
SI,2025-08-24,93.8,-2.21,5.08,"Eaton, Nate",676609,669160,sac_fly,hit_into_play,,,,,6.0,José Caballero out on a sacrifice fly to center fielder Nate Eaton. Giancarlo Stanton scores. Ryan McMahon to 2nd.,R,R,R,NYY,BOS,X,8,fly_ball,1,1,2025,-1.24,1.04,0.33,2.57,519317.0,,641857.0,1,4,Bot,137.42,50.26,,,,,9.356791400623344,-136.27415246286662,-3.024377822862964,-17.56998846998956,31.87377226550776,-18.807680689475013,3.15,1.47,368.0,97.3,25.0,94.0,2370.0,6.6,776616,665966,663853,678882,608324,596115,680776,681987,691373,53.88,0.303,0.437,0.0,1.0,0,0,5.0,31,3,Sinker,3,0,3,0,0,4,4,0,Standard,Standard,236.0,0.017,-0.11,70.4,6.9,0.754,0.11,97.3,3,3,0.898,0.898,27,28,28,29,2,1,6.0,1.0,6.0,1.0,1.58,1.24,1.24,26.0,9.05017532321751,3.619238320703354,28.4979424105206,37.59522671086448,32.07127911750872
