pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2025-09-15,79.7,4.01,4.39,"Fletcher, Dominic",683002,656457,field_out,hit_into_play,,,,,6.0,Gunnar Henderson flies out sharply to center fielder Dominic Fletcher.,R,L,L,CWS,BAL,X,8,fly_ball,0,1,2025,-1.28,0.03,0.41,2.71,,,,2,1,Top,156.29,51.08,,,,,-5.4416053830055855,-115.86280405795858,2.9938915578647807,-10.383981140039536,22.914278452924016,-32.70469543317549,3.65,1.74,372.0,105.7,37.0,78.7,2442.0,5.8,776314,691019,672820,805367,678554,695657,643217,666150,643565,54.74,0.671,1.349,0.0,1.0,0,0,6.0,3,2,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,294.0,0.01,-0.218,76.2,6.6,2.642,0.218,105.7,0,0,0.537,0.463,31,24,32,24,1,0,2.0,1.0,2.0,1.0,3.58,-1.28,-1.28,-1.3,10.203505954337384,-3.145890241510675,28.61717429020192,28.211804064897063,41.135628820699054
FF,2025-09-15,95.6,-1.92,6.38,"Fletcher, Dominic",641933,680732,field_out,hit_into_play,,,,,12.0,Tyler O'Neill lines out to center fielder Dominic Fletcher.,R,R,R,CWS,BAL,X,8,line_drive,2,2,2025,-0.27,1.69,0.6,3.26,,,,0,2,Top,153.0,61.95,,,,,7.388220072333113,-138.94299025669093,-6.556904167015678,-5.067096344055199,29.80160931008273,-8.898892278971202,3.12,1.32,346.0,99.7,20.0,97.6,2636.0,7.4,776314,691019,672820,805367,678554,695657,643217,666150,643565,53.1,0.363,0.453,0.0,1.0,0,0,5.0,10,5,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,196.0,0.024,-0.233,71.7,6.8,0.723,0.233,99.7,1,-1,0.608,0.392,25,30,26,30,1,0,5.0,2.0,6.0,2.0,0.8,0.27,0.27,50.8,3.6300757064742233,5.177963458308128,25.18887334184588,39.51986791238845,24.06594610271976
FC,2025-09-14,92.9,-2.52,5.76,"Fletcher, Dominic",666310,672782,double,hit_into_play,,,,,8.0,Bo Naylor doubles (19) on a sharp line drive to center fielder Dominic Fletcher. Steven Kwan scores. José Ramírez scores.,R,L,R,CLE,CWS,X,8,line_drive,0,0,2025,-0.07,0.64,-0.14,1.83,,680757.0,608070.0,2,4,Bot,104.54,60.0,,,,,6.282452872047151,-135.07733659409996,-5.686828148663643,-2.214920275208577,29.44745467784596,-23.31611679028361,3.21,1.47,349.0,107.2,16.0,93.3,2660.0,6.6,776331,691019,672820,805367,678246,695657,683770,666150,643565,53.9,0.626,0.716,1.25,1.0,1,1,5.0,29,1,Cutter,0,1,0,1,1,2,2,1,Standard,Standard,197.0,0.263,0.994,74.4,7.4,1.098,-0.994,107.2,-1,-1,0.414,0.414,25,25,26,25,2,1,5.0,1.0,6.0,2.0,2.01,0.07,-0.07,33.1,1.151332124228121,7.275255028885645,39.56727213493326,39.57309664642216,23.515493733807624
FC,2025-09-14,92.0,-2.26,5.78,"Fletcher, Dominic",692216,672782,field_out,hit_into_play,,,,,13.0,C.J. Kayfus flies out to center fielder Dominic Fletcher.,R,L,R,CLE,CWS,X,8,fly_ball,2,1,2025,0.28,0.96,-0.01,1.47,,,,1,3,Bot,97.87,68.89,,,,,5.121227235426231,-133.8344528821926,-7.208040086325081,2.286015954685586,28.95300607857935,-19.26435773959172,3.46,1.6,330.0,91.4,27.0,92.5,2698.0,6.6,776331,691019,672820,805367,678246,695657,683770,666150,643565,53.88,0.111,0.156,0.0,1.0,0,0,3.0,18,4,Cutter,0,0,0,0,0,0,0,0,Infield shade,Standard,199.0,-0.017,-0.299,74.4,7.3,0.259,0.299,91.4,0,0,0.529,0.529,25,23,26,24,1,0,5.0,1.0,6.0,2.0,1.73,-0.28,0.28,41.0,17.370001021259114,0.4316240722544217,44.94700568979158,30.46755962245821,29.077252222677103
FF,2025-09-14,93.9,-1.96,5.07,"Fletcher, Dominic",672356,682790,field_out,hit_into_play,,,,,9.0,Gabriel Arias lines out to center fielder Dominic Fletcher.,R,R,R,CLE,CWS,X,8,line_drive,1,1,2025,-0.61,1.25,0.34,1.69,608070.0,,666310.0,2,8,Bot,139.17,96.58,,,,,7.366732430989176,-136.48761528378444,-5.874840166517232,-9.14417257619334,28.38703693032776,-15.380559463659685,3.44,1.5,286.0,92.7,16.0,95.0,2268.0,6.9,776331,691019,672820,805367,678246,695657,683770,666150,643565,53.63,0.8,0.744,0.0,1.0,0,0,4.0,61,3,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,224.0,-0.029,-0.245,74.4,8.1,0.951,0.245,92.7,1,1,0.871,0.871,23,25,23,25,1,3,4.0,1.0,2.0,2.0,1.33,0.61,0.61,29.6,23.41587221767608,10.937272032048917,21.913429076836135,48.38463626362957,27.63528351473731
CH,2025-09-14,88.0,-2.16,5.12,"Fletcher, Dominic",700932,682790,field_out,hit_into_play,,,,,1.0,Kyle Manzardo lines out to center fielder Dominic Fletcher.,R,L,R,CLE,CWS,X,8,line_drive,0,2,2025,-1.21,0.67,-0.62,2.84,,608070.0,,1,8,Bot,93.18,76.61,,,,,6.316705280279558,-128.0290313410868,-0.8209121914403982,-14.649223313107871,26.38025811950493,-24.79953803265189,3.22,1.4,353.0,96.0,24.0,88.6,1711.0,6.7,776331,691019,672820,805367,678246,695657,683770,666150,643565,53.84,0.254,0.352,0.0,1.0,0,0,5.0,59,3,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,243.0,-0.02,-0.173,68.0,6.9,0.591,0.173,96.0,1,1,0.884,0.884,23,24,23,25,1,3,4.0,1.0,2.0,2.0,2.27,1.21,-1.21,29.1,18.17408909910628,9.093910324265767,33.055708716211186,46.249327966431736,30.648626562726143
FC,2025-09-14,93.4,-2.16,5.41,"Fletcher, Dominic",680757,672782,field_out,hit_into_play,,,,,5.0,Steven Kwan lines out to center fielder Dominic Fletcher.,R,L,R,CLE,CWS,X,8,line_drive,1,2,2025,-0.06,0.89,0.18,2.34,,,,0,1,Bot,111.07,75.93,,,,,6.183657376854163,-135.902421845085,-4.116028567772188,-2.147609931610506,30.440867716100183,-20.38095389983764,3.22,1.46,308.0,93.6,18.0,93.6,2614.0,6.5,776331,691019,672820,805367,678246,695657,683770,666150,643565,54.01,0.5,0.477,0.0,1.0,0,0,4.0,4,5,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,196.0,-0.021,-0.19,64.4,6.1,0.649,0.19,93.6,0,0,0.547,0.547,25,27,26,28,1,0,5.0,1.0,6.0,2.0,1.72,0.06,-0.06,33.6,-2.2758123888376645,-1.5478722049596552,40.30145426172551,29.21480282401332,27.518363596249284
FF,2025-09-14,88.4,4.22,4.92,"Fletcher, Dominic",680757,685126,field_out,hit_into_play,,,,,2.0,Steven Kwan flies out to center fielder Dominic Fletcher.,R,L,L,CLE,CWS,X,8,fly_ball,2,1,2025,0.98,1.22,0.23,2.86,,,,0,6,Bot,114.4,62.36,,,,,-11.836498038085576,-128.08049413611275,-1.366312827004715,13.344126193999656,29.04014126199426,-18.762683885809373,3.22,1.46,339.0,90.9,30.0,88.5,2032.0,6.8,776331,691019,672820,805367,678246,695657,683770,666150,643565,53.67,0.06,0.08,0.0,1.0,0,0,3.0,41,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,132.0,-0.033,-0.306,65.8,5.9,0.139,0.306,90.9,0,0,0.574,0.574,27,27,27,28,1,2,3.0,1.0,2.0,2.0,1.75,0.98,0.98,30.5,7.962624058857759,-8.366415084031273,29.189456296452583,28.375531850437877,35.55501281867471
CU,2025-09-05,80.3,-1.71,5.64,"Fletcher, Dominic",650402,681343,field_out,hit_into_play,,,,,5.0,Gleyber Torres lines out to center fielder Dominic Fletcher.,R,R,R,DET,CWS,X,8,line_drive,0,0,2025,0.4,-0.88,0.26,2.29,,,,2,5,Bot,143.53,78.22,,,,,3.625693421482896,-116.834967797949,0.9986059000209916,2.879765596771809,23.29802627675959,-40.63179980639976,3.22,1.52,304.0,83.7,29.0,80.6,2030.0,6.7,776452,691019,678554,805367,682868,695657,643217,666150,683770,53.85,0.066,0.079,0.0,1.0,0,0,3.0,43,1,Curveball,4,4,4,4,4,4,4,4,Standard,Standard,37.0,-0.014,-0.261,64.1,7.2,0.132,0.261,88.0,0,0,0.514,0.514,25,28,25,29,3,2,6.0,2.0,6.0,1.0,4.43,-0.4,-0.4,37.9,10.209730512481432,0.4635804368509205,33.53305998394897,38.84337736012993,34.14843659581697
FF,2025-09-05,96.5,-1.73,5.58,"Fletcher, Dominic",650402,681343,field_out,hit_into_play,,,,,2.0,Gleyber Torres flies out to center fielder Dominic Fletcher.,R,R,R,DET,CWS,X,8,fly_ball,3,2,2025,-0.46,1.4,-0.24,3.15,,,,1,3,Bot,164.63,51.43,,,,,5.047503022083971,-140.49310888327318,-4.174168067098986,-7.250383492943761,30.260680585380825,-12.858817973649796,3.22,1.52,377.0,96.6,28.0,97.6,2199.0,6.8,776452,691019,678554,805367,682868,695657,643217,666150,683770,53.71,0.286,0.453,0.0,1.0,0,0,5.0,23,7,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,215.0,-0.017,-0.332,66.3,6.5,0.829,0.332,96.6,0,0,0.529,0.529,25,28,25,29,2,1,6.0,2.0,6.0,1.0,1.04,0.46,0.46,35.8,13.544229786133767,8.45971725223413,26.408835288788183,33.179701142742346,29.3338154098354
