pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-07-04,88.5,3.45,5.69,"Haggerty, Sam",657757,676395,single,hit_into_play,,,,,8.0,Gavin Sheets singles on a fly ball to center fielder Sam Haggerty. Jackson Merrill to 3rd. Manny Machado to 2nd.,R,L,L,SD,TEX,X,8,fly_ball,0,0,2025,-0.51,0.06,-0.14,1.64,,701538.0,592518.0,1,10,Bot,145.96,105.9,,,,,-7.779259776637917,-128.63289142574715,-3.88785919825736,-3.753845264692016,29.921468607310285,-30.771792549234902,3.38,1.59,238.0,69.8,29.0,88.8,2347.0,6.8,777239,543309,677649,543760,669701,608369,696030,664059,666969,53.7,0.897,0.816,0.9,1.0,1,0,4.0,82,1,Slider,2,2,2,2,2,2,2,2,Standard,Standard,187.0,0.126,0.479,73.7,8.4,0.958,-0.479,88.0,0,0,0.703,0.703,29,29,29,29,1,4,4.0,2.0,1.0,1.0,2.88,-0.51,-0.51,29.4,12.404130338331012,-18.718344253842947,31.264495437014634,41.29807148676351,45.33653342956467
SL,2025-07-01,89.8,-1.38,5.51,"Haggerty, Sam",683002,594798,single,hit_into_play,,,,,5.0,Gunnar Henderson singles on a line drive to center fielder Sam Haggerty.,R,L,R,TEX,BAL,X,8,line_drive,0,0,2025,0.36,0.33,-0.23,2.73,,,,1,4,Top,139.65,75.17,,,,,2.115840766658184,-130.93069810115904,-1.6654851139886384,3.732321043972458,26.08635591683998,-28.2823283778054,3.65,1.7,192.0,111.6,8.0,90.6,2579.0,6.5,777282,641680,669701,543760,677649,608369,696030,664059,666969,53.98,0.814,0.801,0.9,1.0,1,0,5.0,28,1,Slider,3,0,0,3,0,3,0,3,Infield shade,Strategic,138.0,-0.024,0.415,77.5,7.1,1.025,-0.415,111.6,3,-3,0.845,0.155,37,24,37,24,2,1,6.0,1.0,6.0,1.0,2.48,-0.36,0.36,31.7,10.15785284705262,6.468422287463885,22.004551649172534,38.15659788103402,32.82718204031945
FF,2025-07-01,93.9,1.64,5.95,"Haggerty, Sam",683002,656641,field_out,hit_into_play,,,,,4.0,Gunnar Henderson lines out to center fielder Sam Haggerty.,R,L,L,TEX,BAL,X,8,line_drive,0,0,2025,1.06,1.51,-0.66,2.96,,,,1,8,Top,118.86,76.14,,,,,-8.325186580148218,-136.2903878570038,-5.300977785762105,15.174977978949702,33.2543638826623,-12.443199353072,3.65,1.7,306.0,98.3,16.0,93.9,2260.0,6.7,777282,641680,669701,543760,677649,608369,696030,664059,666969,53.84,0.629,0.642,0.0,1.0,0,0,4.0,67,1,4-Seam Fastball,7,2,2,7,2,7,2,7,Infield shade,Standard,145.0,0.003,-0.255,75.1,7.6,0.883,0.255,98.3,5,-5,0.991,0.009,29,24,29,24,1,3,2.0,1.0,5.0,1.0,1.12,1.06,1.06,48.5,12.608479702476597,2.663431662482567,22.248105752722275,44.67432449457582,29.630038703980127
CH,2025-07-01,90.7,-1.17,5.46,"Haggerty, Sam",683002,594798,field_out,hit_into_play,,,,,8.0,Gunnar Henderson flies out to center fielder Sam Haggerty.,R,L,R,TEX,BAL,X,8,fly_ball,1,1,2025,-0.7,0.84,-0.03,1.93,,,,2,1,Top,144.47,58.39,,,,,4.390867644331396,-131.9027645148737,-4.694154893890678,-9.078766670360135,29.65264829004285,-21.579032337513205,3.65,1.7,351.0,95.8,31.0,91.1,1653.0,6.7,777282,641680,669701,543760,677649,608369,696030,664059,666969,53.81,0.2,0.365,0.0,1.0,0,0,5.0,3,3,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,234.0,0.01,-0.245,73.4,7.9,0.712,0.245,95.8,0,0,0.537,0.463,37,24,37,24,1,0,6.0,1.0,6.0,1.0,1.95,0.7,-0.7,37.1,7.513470497055279,-2.3012104984624364,34.495347657048065,34.49940236700312,33.55663175347925
SI,2025-06-30,87.5,4.42,4.11,"Haggerty, Sam",676679,571948,single,hit_into_play,,,,,7.0,"Orioles challenged (tag play), call on the field was overturned: Luis Vázquez singles on a line drive to center fielder Sam Haggerty. Ryan O'Hearn scores. Luis Vázquez to 2nd.",R,R,L,TEX,BAL,X,8,line_drive,2,0,2025,1.56,-0.25,-0.45,1.55,,656811.0,,1,11,Top,106.42,89.55,,,,,-15.007788103886682,-126.52675249863208,0.6028723727961343,19.930109509061715,26.975699996306584,-35.269140328952204,3.37,1.53,212.0,106.3,10.0,87.5,1975.0,6.7,777292,641680,669701,543760,673962,608369,696030,664059,666969,53.75,0.849,0.841,0.9,1.0,1,0,4.0,87,3,Sinker,6,6,6,6,7,6,7,6,Standard,Standard,104.0,-0.283,0.465,81.9,7.6,1.068,-0.465,106.3,0,0,0.615,0.385,34,25,34,26,1,0,2.0,6.0,4.0,10.0,3.28,1.56,-1.56,-6.4,0.9289374652273008,14.75167013986236,42.80797896165758,35.12822146392985,26.484812291864724
FC,2025-06-03,85.7,-1.58,5.42,"Haggerty, Sam",666018,641816,single,hit_into_play,,,,,4.0,Jonathan Aranda singles on a sharp line drive to center fielder Sam Haggerty. Yandy Díaz to 3rd.,R,L,R,TB,TEX,X,8,line_drive,1,2,2025,0.21,0.61,-0.38,2.26,,,650490.0,1,6,Bot,142.65,109.61,,,,,2.4231543701114813,-124.984239466122,-2.5383304664585933,1.8300115540984556,21.632481003799555,-25.43865190990091,3.32,1.6,132.0,108.1,8.0,86.6,2358.0,6.5,777662,543309,669394,543760,673962,608369,694671,664059,696030,54.05,0.711,0.687,0.9,1.0,1,0,4.0,42,4,Cutter,1,0,1,0,0,1,1,0,Infield shade,Standard,182.0,0.059,0.484,75.4,7.5,0.881,-0.484,108.1,1,1,0.748,0.748,30,27,31,27,3,2,6.0,2.0,7.0,1.0,2.44,-0.21,0.21,36.4,10.760018238518724,7.386961221014354,36.48619048032873,41.56708419780594,29.02070558275116
FF,2025-05-24,97.2,-2.08,5.68,"Haggerty, Sam",643217,683004,field_out,hit_into_play,,,,,11.0,Andrew Benintendi flies out sharply to center fielder Sam Haggerty.,R,L,R,CWS,TEX,X,8,fly_ball,1,1,2025,-0.98,1.41,-0.26,3.57,,,805367.0,2,3,Bot,146.55,50.68,,,,,7.159250706514855,-141.3236739982773,-3.387134508685339,-14.720545674359611,31.877632078379037,-12.677510750229766,3.28,1.56,370.0,102.0,29.0,98.0,2490.0,6.8,777792,641680,669394,543760,673962,669701,694671,664059,666969,53.75,0.691,1.308,0.0,1.0,0,0,6.0,27,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,208.0,-0.028,-0.257,66.7,6.1,2.521,0.257,102.0,-1,-1,0.399,0.399,25,30,25,31,2,1,6.0,1.0,6.0,1.0,1.0,0.98,-0.98,43.0,15.135513682644314,6.154234608629538,18.387576514503365,33.18868900400524,32.20151224815327
SI,2025-05-24,97.0,-2.24,5.51,"Haggerty, Sam",678246,683004,field_out,hit_into_play,,,,,7.0,Miguel Vargas flies out to center fielder Sam Haggerty.,R,R,R,CWS,TEX,X,8,fly_ball,1,0,2025,-1.47,1.22,-0.48,1.7,,,805367.0,1,3,Bot,156.01,63.19,,,,,8.184679231669092,-140.86035754467892,-7.547826735885707,-21.440827655477992,31.563884704260428,-14.321999124045336,3.4,1.6,344.0,97.6,30.0,98.3,2472.0,7.1,777792,641680,669394,543760,673962,669701,694671,664059,666969,53.38,0.394,0.687,0.0,1.0,0,0,6.0,26,2,Sinker,0,1,0,1,1,0,0,1,Infield shade,Standard,213.0,-0.034,-0.29,76.8,8.1,1.305,0.29,97.6,-1,-1,0.433,0.433,25,25,25,26,2,1,6.0,1.0,6.0,1.0,1.21,1.47,1.47,38.8,6.707882321365969,-2.201704739551732,46.30428342581107,31.98711968548441,34.13563911669525
SL,2025-05-23,83.9,-2.34,5.78,"Haggerty, Sam",673357,641816,single,hit_into_play,,,,,14.0,Luis Robert Jr. singles on a fly ball to center fielder Sam Haggerty. Mike Tauchman scores. Miguel Vargas to 3rd.,R,R,R,CWS,TEX,X,8,fly_ball,1,2,2025,0.16,0.21,0.96,2.04,643565.0,,678246.0,2,3,Bot,128.62,109.4,,,,,7.364102430171922,-122.10230820705372,-2.745380971497334,0.3547604836393898,21.04868599565429,-29.710425988637795,3.83,1.79,226.0,69.2,29.0,85.1,2479.0,6.8,777805,641680,669394,543760,673962,669701,694671,664059,666969,53.73,0.949,0.854,0.9,1.0,1,0,4.0,25,4,Slider,2,0,2,0,0,3,3,0,Standard,Standard,118.0,0.076,0.705,71.2,8.4,0.983,-0.705,88.0,2,2,0.772,0.772,30,27,31,28,2,1,6.0,2.0,5.0,1.0,2.99,-0.16,-0.16,43.8,14.967807826646714,-10.606882721618389,36.97185949357831,46.00833078992923,35.19708129505989
FS,2025-05-23,86.3,-1.7,5.76,"Haggerty, Sam",643217,641816,sac_fly,hit_into_play,,,,,13.0,Andrew Benintendi out on a sacrifice fly to center fielder Sam Haggerty. Josh Rojas scores. Mike Tauchman to 3rd.,R,L,R,CWS,TEX,X,8,fly_ball,1,2,2025,-1.65,0.44,-0.07,1.41,668942.0,643565.0,678246.0,1,3,Bot,110.61,59.31,,,,,7.264489542103088,-125.45731037823718,-5.01828387755633,-18.921698866488736,24.954944780855296,-26.746941992745995,3.28,1.56,348.0,99.1,31.0,86.7,1758.0,6.6,777805,641680,669394,543760,673962,669701,694671,664059,666969,53.95,0.377,0.705,0.0,1.0,0,0,6.0,24,4,Split-Finger,1,0,1,0,0,2,2,0,Standard,Standard,230.0,0.013,-0.075,70.7,7.6,1.358,0.075,99.1,1,1,0.759,0.759,30,30,31,31,2,1,6.0,19.0,5.0,1.0,2.63,1.65,-1.65,37.5,15.81301362529883,-2.375970655510536,42.45458246835784,28.81842230837312,35.807586524588444
