pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-09-07,85.3,1.48,6.21,"Hernández, Enrique",656896,477132,double,hit_into_play,,,,,5.0,Emmanuel Rivera doubles (4) on a sharp line drive to center fielder Enrique Hernández. Gunnar Henderson scores.,R,R,L,BAL,LAD,X,8,line_drive,0,0,2025,-0.39,0.64,-0.03,2.45,,,683002.0,2,6,Bot,82.63,64.1,,,,,-2.766855632451596,-124.09932913464549,-3.7919840857400895,-3.4455581855074917,26.958479064129858,-25.023051705394757,3.42,1.65,325.0,102.2,18.0,85.3,2494.0,6.5,776427,666163,518692,808975,500743,605141,624424,571771,669743,54.04,0.423,0.503,1.25,1.0,1,1,5.0,49,1,Slider,0,4,0,4,4,1,1,4,Standard,Standard,219.0,0.062,0.918,72.6,7.3,0.779,-0.918,102.2,-4,-4,0.068,0.068,37,29,37,29,3,2,5.0,1.0,6.0,2.0,2.52,-0.39,0.39,57.9,12.232738244096852,-3.118893236112394,32.7459402105476,34.43805798716257,36.106228551625534
FF,2025-09-07,88.8,1.84,6.1,"Hernández, Enrique",676679,477132,field_out,hit_into_play,,,,,7.0,Luis Vázquez lines out to center fielder Enrique Hernández.,R,R,L,BAL,LAD,X,8,line_drive,2,0,2025,-0.06,1.71,-0.41,1.95,,,,1,3,Bot,144.63,77.81,,,,,-5.381562271449593,-129.0977330875242,-7.680096635112131,0.5459242494932163,28.0109607929723,-11.5939830186039,3.48,1.61,305.0,87.3,24.0,88.7,2400.0,6.4,776427,666163,518692,808975,500743,605141,624424,571771,669743,54.1,0.14,0.126,0.0,1.0,0,0,3.0,23,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,174.0,-0.016,-0.365,77.3,7.5,0.193,0.365,88.0,-3,-3,0.201,0.201,37,25,37,26,1,0,5.0,4.0,6.0,11.0,1.19,-0.06,0.06,52.7,3.77993430184576,12.308495127197322,38.13322720410239,31.35931363358697,27.09871976744053
SL,2025-09-07,86.7,1.65,6.24,"Hernández, Enrique",656577,477132,field_out,hit_into_play,,,,,1.0,Alex Jackson flies out to center fielder Enrique Hernández.,R,R,L,BAL,LAD,X,8,fly_ball,0,2,2025,-0.68,0.68,-0.32,2.98,,,,1,2,Bot,103.48,68.86,,,,,-3.324594649270974,-126.17737117908676,-2.928979636622355,-6.466498513819387,28.472179064640105,-24.52907277062624,3.52,1.67,327.0,92.5,39.0,86.6,2601.0,6.5,776427,666163,518692,808975,500743,605141,624424,571771,669743,54.03,0.04,0.072,0.0,1.0,0,0,3.0,14,3,Slider,0,1,0,1,1,0,0,1,Standard,Standard,220.0,-0.018,-0.163,78.6,7.5,0.13,0.163,92.5,-1,-1,0.412,0.412,37,29,37,30,1,0,5.0,1.0,6.0,4.0,2.38,-0.68,0.68,60.4,10.294836354426856,-9.717071639429747,26.992488508633457,32.26824495851462,34.66082591565284
FF,2025-09-07,97.4,1.92,5.49,"Hernández, Enrique",622761,680736,field_out,hit_into_play,,,,,2.0,Jorge Mateo flies out to center fielder Enrique Hernández.,R,R,L,BAL,LAD,X,8,fly_ball,2,2,2025,0.61,1.31,-0.15,3.15,,,691723.0,0,7,Bot,141.46,65.06,,,,,-6.819381877133338,-141.57203551776567,-3.586176695933692,9.95901945733212,39.03315646508933,-14.142328160370765,3.51,1.66,335.0,98.9,38.0,95.1,2522.0,5.5,776427,666163,518692,808975,500743,605141,624424,571771,669743,55.03,0.163,0.314,0.0,1.0,0,0,3.0,58,5,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,146.0,-0.06,-0.2,66.9,7.5,0.607,0.2,98.9,-2,-2,0.276,0.276,24,30,25,30,1,2,4.0,93.0,6.0,7.0,1.14,0.61,-0.61,36.2,18.763716812882592,1.9784161982310635,25.84578607592604,35.51310408393288,22.9373839076498
SI,2025-09-07,100.7,-1.74,5.96,"Hernández, Enrique",666185,683618,field_out,hit_into_play,,,,,4.0,Dylan Carlson flies out sharply to center fielder Enrique Hernández.,R,L,R,BAL,LAD,X,8,fly_ball,2,0,2025,-1.04,1.41,-0.42,2.56,656577.0,,,2,6,Bot,129.47,46.2,,,,,6.199150933748282,-146.39128303442874,-7.489980109999252,-16.458049987478002,35.99316485212821,-10.357933098444487,3.56,1.67,378.0,101.9,29.0,101.3,2477.0,6.8,776427,666163,518692,808975,500743,605141,624424,571771,669743,53.73,0.691,1.308,0.0,1.0,0,0,6.0,51,3,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,212.0,-0.05,-0.329,77.0,7.4,2.521,0.329,101.9,-2,-2,0.226,0.226,23,26,23,27,1,2,3.0,4.0,6.0,2.0,0.85,1.04,-1.04,40.8,11.02809948392678,-3.437040418971148,28.81343696480542,41.5954636443378,28.18724008732064
SI,2025-09-07,101.1,-1.7,5.98,"Hernández, Enrique",656577,683618,double,hit_into_play,,,,,8.0,Alex Jackson doubles (8) on a sharp line drive to center fielder Enrique Hernández. Emmanuel Rivera scores.,R,R,R,BAL,LAD,X,8,line_drive,2,1,2025,-0.99,1.32,0.14,1.92,,656896.0,,2,6,Bot,96.35,54.87,,,,,7.529097195875135,-146.79892241773905,-9.147228193683302,-16.220823841929356,37.4986249098728,-11.07992844302668,3.52,1.67,331.0,107.9,15.0,101.4,2367.0,6.7,776427,666163,518692,808975,500743,605141,624424,571771,669743,53.76,0.677,0.723,1.25,1.0,1,1,5.0,50,4,Sinker,1,4,1,4,4,2,2,4,Standard,Standard,210.0,0.092,0.909,76.8,7.8,1.061,-0.909,107.9,-3,-3,0.13,0.13,23,29,23,30,1,2,3.0,1.0,6.0,4.0,0.94,0.99,0.99,40.1,10.692119515484476,1.1873219705483888,34.2710956497792,37.97331094335517,29.4580265745658
FF,2025-06-28,96.0,-0.47,6.24,"Hernández, Enrique",671221,676508,single,hit_into_play,,,,,11.0,Drew Waters singles on a line drive to center fielder Enrique Hernández.,R,L,R,KC,LAD,X,8,line_drive,2,2,2025,-0.16,1.3,-0.01,3.7,,,,2,6,Bot,142.19,95.94,,,,,1.5766624947591703,-139.87895043691,-4.080153506845187,-2.4815827975220626,29.15151571605927,-14.418850706473028,3.5,1.64,238.0,90.5,18.0,95.7,2277.0,5.9,777319,687221,518692,808975,571970,605141,624424,571771,681624,54.63,0.557,0.529,0.9,1.0,1,0,4.0,53,5,4-Seam Fastball,6,0,6,0,0,6,6,0,Strategic,Standard,199.0,0.001,0.365,70.5,5.9,0.687,-0.365,90.5,6,6,0.986,0.986,26,26,26,27,3,2,6.0,2.0,6.0,1.0,1.16,0.16,-0.16,45.9,10.940553119512469,8.964462307647372,30.369286285390555,35.58087445676277,26.01955401499262
EP,2025-06-28,55.2,-1.19,6.69,"Hernández, Enrique",670231,500743,field_out,hit_into_play,,,,,5.0,John Rave flies out to center fielder Enrique Hernández.,R,L,R,KC,LAD,X,8,fly_ball,2,0,2025,-0.25,1.6,0.08,2.23,,,677951.0,2,8,Bot,106.53,68.61,,,,,2.1886609446431264,-80.40759083176083,0.7516340642997299,-1.3622104883342554,10.17107883273972,-25.508334068499696,3.41,1.59,327.0,88.9,29.0,53.6,1549.0,4.5,777319,687221,518692,669242,571970,808975,624424,571771,681624,55.95,0.06,0.079,0.0,1.0,0,0,3.0,73,3,Eephus,9,1,9,1,1,9,9,1,Infield shade,Standard,214.0,0.0,-0.355,73.9,6.9,0.129,0.355,88.9,8,8,0.999,0.999,36,27,36,28,1,0,46.0,1.0,6.0,2.0,5.85,0.25,-0.25,41.6,10.051795246434711,3.7391005483165753,30.784208955413007,34.16349871446596,36.12120719479292
EP,2025-06-28,48.8,-1.02,6.47,"Hernández, Enrique",686475,500743,field_out,hit_into_play,,,,,2.0,Tyler Tolbert lines out to center fielder Enrique Hernández.,R,R,R,KC,LAD,X,8,line_drive,1,1,2025,-0.42,1.34,-0.05,3.03,,,,0,8,Bot,114.15,63.25,,,,,1.6977478992854236,-70.73501937803535,4.652892877335124,-1.608130907630254,8.442967076649273,-28.467628965676248,3.32,1.51,338.0,95.6,24.0,46.5,1407.0,3.9,777319,687221,518692,669242,571970,808975,624424,571771,681624,56.59,0.254,0.352,0.0,1.0,0,0,5.0,70,3,Eephus,9,1,9,1,1,9,9,1,Standard,Standard,221.0,0.0,-0.251,,,0.591,0.251,95.6,8,8,0.999,0.999,36,27,36,27,1,0,46.0,1.0,6.0,9.0,8.34,0.42,0.42,28.5,,,,,
CU,2025-06-14,71.4,1.45,6.2,"Hernández, Enrique",642086,477132,field_out,hit_into_play,,,,,13.0,Dominic Smith flies out to center fielder Enrique Hernández.,R,L,L,LAD,SF,X,8,fly_ball,0,1,2025,-0.83,-1.14,-0.29,1.13,,,,1,7,Top,130.46,83.4,,,,,-2.025999865654693,-103.97933265430407,-0.4411284087728906,-5.581133503508138,19.42189816898315,-40.53423410578992,3.25,1.54,287.0,83.5,39.0,71.5,2357.0,6.6,777506,669257,687221,808975,571970,500743,624424,571771,681624,53.95,0.014,0.022,0.0,1.0,0,0,3.0,57,2,Curveball,10,0,0,10,0,10,0,10,Strategic,Standard,332.0,0.0,-0.216,59.2,7.1,0.035,0.216,88.0,10,-10,0.999,0.001,37,30,37,30,3,2,6.0,1.0,6.0,1.0,5.65,-0.83,-0.83,58.1,15.512453969021248,-6.317346129862225,40.57295714643454,36.974297353406925,46.52321970611564
