pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-17,95.4,1.43,6.12,"Isbel, Kyle",647304,666142,field_out,hit_into_play,,,,,12.0,Josh Naylor flies out to center fielder Kyle Isbel.,R,L,L,KC,SEA,X,8,fly_ball,0,0,2025,1.22,1.35,0.27,3.68,,,,0,2,Top,126.04,52.89,,,,,-5.76772625009358,-138.8140968925691,-3.817787691730136,17.046905729358915,31.8106581499682,-14.056756605702445,3.26,1.56,362.0,94.0,33.0,95.0,2557.0,6.1,776289,521692,686469,624428,672580,677951,573262,664728,695506,54.4,0.114,0.193,0.0,1.0,0,0,3.0,12,1,4-Seam Fastball,3,2,2,3,2,3,2,3,Strategic,Standard,130.0,0.024,-0.259,67.6,6.6,0.361,0.259,94.0,1,-1,0.608,0.392,27,28,28,28,1,0,104.0,1.0,6.0,1.0,1.16,1.22,1.22,38.0,5.844027792951752,2.674156447411207,20.59868273923978,30.96152304247134,17.383297226605073
SI,2025-09-16,90.2,-1.43,6.6,"Isbel, Kyle",645302,608379,triple,hit_into_play,,,,,7.0,Victor Robles triples (1) on a fly ball to center fielder Kyle Isbel. Dominic Canzone scores.,R,R,R,KC,SEA,X,8,fly_ball,0,1,2025,-0.95,1.34,-0.3,1.98,,,686527.0,2,3,Top,88.56,53.82,,,,,4.83489701924244,-131.0910231661085,-8.429250199512936,-11.90662961970022,25.808506230433817,-15.174890723414808,3.18,1.51,369.0,95.1,25.0,91.0,2077.0,6.7,776302,695600,686469,663697,672580,677951,573262,664728,695506,53.82,0.223,0.315,1.6,1.0,1,2,5.0,26,2,Sinker,0,6,6,0,7,0,7,0,Standard,Standard,202.0,-0.025,1.382,78.7,7.3,0.535,-1.382,95.1,-6,6,0.059,0.941,33,28,34,28,2,1,11.0,2.0,5.0,1.0,1.45,0.95,0.95,51.6,0.7459731201503911,-7.047791700745206,40.8961830811436,36.755996392229136,23.279776729126898
FF,2025-09-16,93.8,0.82,6.04,"Isbel, Kyle",553993,663738,field_out,hit_into_play,,,,,2.0,Eugenio Suárez flies out to center fielder Kyle Isbel.,R,R,L,KC,SEA,X,8,fly_ball,1,2,2025,0.9,1.28,0.23,3.16,,,,0,5,Top,156.05,73.02,,,,,-3.5444924220330227,-136.54997529205133,-4.558902933568601,12.053499805284424,30.85675994179068,-15.338298264856313,3.46,1.6,320.0,89.8,39.0,93.8,2274.0,6.3,776302,695600,686469,663697,672580,677951,573262,664728,695506,54.2,0.011,0.018,0.0,1.0,0,0,3.0,43,4,4-Seam Fastball,1,9,9,1,9,1,9,1,Strategic,Standard,157.0,0.001,-0.19,67.1,6.6,0.03,0.19,89.8,-8,8,0.01,0.99,28,33,29,34,1,2,4.0,2.0,2.0,1.0,1.31,0.9,-0.9,42.1,13.615975118698705,10.833099515585458,32.9904103147831,32.85928097198625,29.155784209094005
FF,2025-09-16,93.2,2.09,5.72,"Isbel, Kyle",668227,669674,field_out,hit_into_play,,,,,2.0,Randy Arozarena flies out sharply to center fielder Kyle Isbel.,R,R,L,KC,SEA,X,8,fly_ball,3,1,2025,0.65,1.4,-0.15,3.08,,641487.0,,2,7,Top,112.01,43.24,,,,,-7.110511080649904,-135.49862194736795,-4.059928318923621,9.524643486185912,29.22667882076933,-14.274209207743286,3.41,1.7,386.0,103.2,34.0,92.6,2415.0,5.9,776302,695600,686469,663697,672580,677951,573262,664728,695506,54.58,0.583,1.181,0.0,1.0,0,0,6.0,65,5,4-Seam Fastball,3,10,10,3,10,3,10,3,Strategic,Standard,140.0,0.002,-0.341,74.3,7.3,2.286,0.341,103.2,-7,7,0.007,0.993,29,30,30,30,1,4,3.0,2.0,7.0,1.0,1.23,0.65,-0.65,41.9,16.534545155296467,6.277609695064441,21.13332403892616,29.781006581534577,28.08640726225198
SI,2025-09-16,93.9,-0.65,6.11,"Isbel, Kyle",647304,664199,field_out,hit_into_play,,,,,1.0,Josh Naylor flies out to center fielder Kyle Isbel.,R,L,R,KC,SEA,X,8,fly_ball,3,2,2025,-1.18,0.87,-0.67,3.27,,,,2,8,Top,86.93,61.75,,,,,2.538004900021195,-136.84708003123765,-3.624207148340155,-15.4482328081671,28.273591342564124,-20.610307124337044,3.28,1.58,353.0,98.5,40.0,94.0,2291.0,6.1,776302,695600,686469,663697,672580,677951,573262,664728,695506,54.36,0.086,0.156,0.0,1.0,0,0,3.0,72,6,Sinker,3,10,10,3,10,3,10,3,Infield shade,Standard,211.0,0.0,-0.329,69.8,7.2,0.303,0.329,98.5,-7,7,0.004,0.996,32,28,32,28,1,4,3.0,2.0,2.0,1.0,1.69,1.18,-1.18,44.6,3.579781418493502,1.0199435983222855,25.59388114560597,41.4069105706849,20.541769671555464
CH,2025-09-16,85.0,-2.48,6.2,"Isbel, Kyle",663728,679883,field_out,hit_into_play,,,,,13.0,Cal Raleigh flies out to center fielder Kyle Isbel.,R,L,R,KC,SEA,X,8,fly_ball,2,2,2025,-1.17,0.46,-1.23,2.44,,,668227.0,0,6,Top,136.61,82.77,,,,,5.305079894506521,-123.79429839368215,-3.491224445602944,-13.039268876332534,22.54505036017585,-27.00683467700708,3.6,1.71,319.0,84.9,29.0,85.9,2032.0,6.7,776302,695600,686469,663697,672580,677951,573262,664728,695506,53.85,0.046,0.053,0.0,1.0,0,0,3.0,51,5,Changeup,1,10,10,1,10,1,10,1,Infield shade,Standard,230.0,0.0,-0.2,61.5,8.1,0.092,0.2,88.0,-9,9,0.003,0.997,23,28,24,29,1,3,2.0,2.0,3.0,1.0,2.67,1.17,-1.17,49.8,12.003654676238584,1.6694030252095544,23.658584047548093,49.08935267492831,30.522732554456567
FF,2025-09-13,92.7,-1.78,5.99,"Isbel, Kyle",681082,686701,single,hit_into_play,,,,,1.0,Bryson Stott singles on a line drive to center fielder Kyle Isbel.,R,L,R,PHI,KC,X,8,line_drive,0,2,2025,-0.75,1.6,-0.79,3.33,,,,1,4,Bot,119.51,77.62,,,,,4.162361665686117,-134.8999053718829,-4.504687546222938,-10.058935802184545,28.532961158450583,-11.80309854967684,3.25,1.55,256.0,99.1,13.0,92.4,2270.0,6.1,776342,521692,686469,663697,672580,677951,624428,664728,573262,54.43,0.94,0.906,0.9,1.0,1,0,4.0,37,3,4-Seam Fastball,3,4,3,4,4,3,3,4,Infield shade,Standard,215.0,0.034,0.507,67.1,6.8,1.155,-0.507,99.1,-1,-1,0.391,0.391,25,27,25,28,2,1,5.0,1.0,,1.0,1.04,0.75,-0.75,51.3,1.9112264206446872,7.066479629206263,23.226790633871925,41.32591405286803,23.702551007576165
ST,2025-09-13,83.5,-1.76,6.2,"Isbel, Kyle",596146,686701,field_out,hit_into_play,,,,,7.0,Max Kepler flies out to center fielder Kyle Isbel.,R,L,R,PHI,KC,X,8,fly_ball,1,1,2025,1.17,-0.43,-0.29,1.86,,669016.0,,2,1,Bot,108.81,107.82,,,,,1.0876151884813474,-121.65910437394166,-2.6723325091851056,11.32412415847988,25.663894057731884,-36.13537961865249,3.43,1.64,233.0,85.5,51.0,83.5,2848.0,6.4,776342,521692,686469,663697,672580,677951,624428,664728,573262,54.1,0.009,0.008,0.0,1.0,0,0,3.0,14,3,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,46.0,-0.034,-0.265,70.6,7.9,0.009,0.265,88.0,-1,-1,0.426,0.426,25,32,25,32,1,0,5.0,1.0,,2.0,3.72,-1.17,1.17,54.8,9.2927080206928,-13.3548337701186,33.21701775326566,43.145864509489,36.23537335594328
FF,2025-09-13,95.7,-1.7,6.09,"Isbel, Kyle",669016,686701,double,hit_into_play,,,,,1.0,Brandon Marsh doubles (23) on a fly ball to center fielder Kyle Isbel. Harrison Bader scores. Kyle Schwarber scores.,R,L,R,PHI,KC,X,8,fly_ball,0,1,2025,-0.83,1.59,-0.32,3.21,,664056.0,656941.0,2,1,Bot,45.04,94.22,,,,,5.514958496565546,-139.21971713753064,-5.543141685249796,-12.074043154186867,32.95919703549553,-10.483369612244225,3.2,1.52,338.0,94.8,29.0,95.5,2477.0,6.3,776342,521692,686469,663697,672580,677951,624428,664728,573262,54.2,0.226,0.383,1.25,1.0,1,1,5.0,13,2,4-Seam Fastball,0,3,0,3,3,2,2,3,Standard,Standard,207.0,0.175,1.042,69.9,6.1,0.699,-1.042,94.8,-3,-3,0.251,0.251,25,27,25,28,1,0,5.0,1.0,,1.0,0.91,0.83,-0.83,48.2,-1.1080908095879596,15.36562405813522,30.999023376782556,41.34615991302966,18.14569365275534
SL,2025-09-13,87.5,2.92,5.24,"Isbel, Kyle",592206,672582,sac_fly,hit_into_play,,,,,9.0,Nick Castellanos out on a sacrifice fly to center fielder Kyle Isbel. Bryce Harper scores. J.T. Realmuto to 3rd.,R,R,L,PHI,KC,X,8,fly_ball,1,2,2025,-0.34,-0.33,0.77,1.79,547180.0,592663.0,,1,5,Bot,110.95,56.23,,,,,-4.419568766017441,-127.399839185116,-1.5021582647854292,-2.8239721640887754,26.01704782879145,-35.661082127304546,3.92,1.87,356.0,92.4,29.0,86.4,2606.0,5.5,776342,521692,686469,663697,672580,677951,624428,664728,573262,54.95,0.111,0.154,0.0,1.0,0,0,3.0,47,5,Slider,4,4,4,4,4,5,5,4,Strategic,Standard,311.0,0.024,-0.065,63.5,8.6,0.257,0.065,92.4,0,0,0.681,0.681,25,33,26,33,1,0,3.0,2.0,4.0,1.0,3.3,-0.34,0.34,22.8,13.047961988303149,-5.947816098860067,41.67832207816935,45.00181514551407,26.81968242634708
