pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2025-09-17,86.0,-3.01,5.62,"Jones, Nolan",679529,668909,field_out,hit_into_play,,,,,5.0,Spencer Torkelson flies out sharply to center fielder Nolan Jones.,R,R,R,DET,CLE,X,8,fly_ball,2,0,2025,1.05,0.21,0.0,2.46,,,,0,4,Bot,102.24,44.36,,,,,5.03759836523773,-125.18602348779255,-1.6624012149362333,9.892105060852655,27.04798047909723,-29.820494833633123,3.58,1.67,387.0,103.6,22.0,86.4,2321.0,6.7,776296,666310,700932,677587,608070,672356,680757,666134,692216,53.83,0.743,1.149,0.0,1.0,0,0,6.0,29,3,Sweeper,0,1,0,1,1,0,0,1,Strategic,Standard,49.0,-0.03,-0.378,75.9,7.5,2.018,0.378,103.6,-1,-1,0.421,0.421,25,25,26,26,2,1,6.0,1.0,6.0,1.0,2.89,-1.05,-1.05,27.5,5.581107765463019,-3.98420956457888,38.13968117141936,37.35853333207137,28.293402917082695
SI,2025-09-14,94.4,-1.98,5.53,"Jones, Nolan",678246,677944,double,hit_into_play,,,,,2.0,Miguel Vargas doubles (31) on a fly ball to center fielder Nolan Jones. Lenyn Sosa scores.,R,R,R,CLE,CWS,X,8,fly_ball,3,2,2025,-1.49,0.77,0.16,2.88,,,672820.0,2,4,Top,83.5,65.11,,,,,8.912742633968787,-137.06334751908668,-2.846895418261727,-20.768895768298787,33.42782302124319,-22.02963766584599,3.38,1.59,391.0,99.1,27.0,94.3,2484.0,6.6,776331,666310,700932,677587,682177,672356,680757,666134,692216,53.91,0.483,0.805,1.25,1.0,1,1,6.0,23,9,Sinker,0,0,0,0,1,0,1,0,Standard,Standard,234.0,-0.145,0.895,68.4,7.7,1.494,-0.895,99.1,0,0,0.531,0.469,26,25,26,26,2,1,6.0,1.0,6.0,1.0,1.82,1.49,1.49,29.1,15.335042058330483,-6.815121859363719,33.04100775871581,39.44504196720719,35.50123500946554
FF,2025-09-14,95.3,-1.79,5.86,"Jones, Nolan",643565,677944,field_out,hit_into_play,,,,,5.0,Mike Tauchman flies out to center fielder Nolan Jones.,R,L,R,CLE,CWS,X,8,fly_ball,3,2,2025,-0.86,1.27,0.0,2.7,,,,2,3,Top,124.31,55.95,,,,,6.613833460465827,-138.5207949738554,-5.433653849248172,-12.62775034671249,34.558604401446566,-14.81805486304568,3.54,1.65,354.0,94.9,25.0,94.6,2373.0,6.2,776331,666310,700932,677587,682177,672356,680757,666134,692216,54.3,0.223,0.315,0.0,1.0,0,0,5.0,16,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,219.0,0.011,-0.329,74.9,7.1,0.535,0.329,94.9,0,0,0.543,0.457,26,34,26,35,2,1,6.0,1.0,6.0,1.0,1.27,0.86,-0.86,40.2,21.30845303614728,6.763745759562914,31.555022435328866,37.77951106710722,30.837470492033816
CU,2025-09-11,82.2,-2.83,6.22,"Jones, Nolan",521692,668909,field_out,hit_into_play,,,,,9.0,Salvador Perez flies out to center fielder Nolan Jones.,R,R,R,CLE,KC,X,8,fly_ball,0,2,2025,1.18,-0.77,0.72,2.08,,,672580.0,1,6,Top,123.25,86.17,,,,,5.804763234816191,-119.6574507519728,-1.2952573617086267,10.072041451278812,24.70813249538612,-39.53971669982542,3.69,1.7,347.0,93.6,23.0,82.7,2497.0,6.7,776370,666310,700932,682177,608070,677587,680757,666134,692216,53.76,0.163,0.199,0.0,1.0,0,0,3.0,41,3,Curveball,1,2,2,1,2,1,2,1,Strategic,Standard,40.0,0.03,-0.168,73.2,7.9,0.317,0.168,93.6,-1,1,0.331,0.669,25,35,26,35,3,2,6.0,1.0,6.0,1.0,4.16,-1.18,-1.18,39.4,10.19319271698826,-7.873621605976411,31.236472953503903,44.792551872402,32.77023161802337
FC,2025-09-11,92.2,-3.06,5.65,"Jones, Nolan",695506,668909,field_out,hit_into_play,,,,,11.0,Jac Caglianone flies out to center fielder Nolan Jones.,R,L,R,CLE,KC,X,8,fly_ball,3,1,2025,-0.22,0.48,-0.46,3.61,,,672580.0,2,1,Top,110.54,75.87,,,,,7.169575212069137,-134.0788235448582,-0.3696401990199758,-4.250706841564098,30.25869909749369,-26.512119333554985,3.38,1.58,355.0,97.8,36.0,93.1,2356.0,7.0,776370,666310,700932,682177,608070,677587,680757,666134,692216,53.52,0.186,0.34,0.0,1.0,0,0,5.0,6,5,Cutter,0,2,2,0,2,0,2,0,Infield shade,Standard,213.0,0.017,-0.389,78.1,7.5,0.666,0.389,97.8,-2,2,0.325,0.675,25,22,26,22,1,0,6.0,1.0,6.0,1.0,2.21,0.22,-0.22,27.5,10.08852333737307,-0.993312892519708,16.175703672268238,43.24963190511737,31.939158261036468
FF,2025-09-07,92.7,1.03,5.68,"Jones, Nolan",664040,800048,field_out,hit_into_play,,,,,2.0,Brandon Lowe flies out to center fielder Nolan Jones.,R,L,L,TB,CLE,X,8,fly_ball,0,1,2025,0.14,1.36,0.21,3.13,,,650490.0,2,3,Bot,162.96,103.04,,,,,-2.385830859651739,-135.01123530671478,-3.6965416565290847,2.194056161143394,30.37311286941409,-14.943122996355852,3.26,1.47,,101.5,57.0,,2112.0,6.5,776421,595978,700932,677587,682177,672356,680757,666134,671655,54.03,0.014,0.02,0.0,1.0,0,0,3.0,25,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,150.0,-0.026,-0.23,74.6,6.8,0.031,0.23,101.5,0,0,0.526,0.526,24,30,25,31,2,1,6.0,1.0,6.0,2.0,1.29,0.14,0.14,44.2,18.36767748593652,-5.565406119341947,29.970884459107975,31.655245200230038,37.92434411396963
ST,2025-09-06,84.0,-1.9,6.1,"Jones, Nolan",691406,676440,field_out,hit_into_play,,,,,5.0,Junior Caminero flies out sharply to center fielder Nolan Jones.,R,R,R,TB,CLE,X,8,fly_ball,0,1,2025,1.18,-0.27,-0.12,2.72,,,,2,4,Bot,106.43,50.57,,,,,1.7828996468139129,-122.4091508733763,-0.9833758392920668,11.715437496306416,21.127690835855432,-34.8963730658004,3.5,1.59,369.0,104.7,32.0,85.1,2671.0,6.6,776438,666310,692216,682177,608070,672356,680757,666134,671655,53.89,0.851,1.703,0.0,1.0,0,0,6.0,31,2,Sweeper,0,2,0,2,2,0,0,2,Strategic,Strategic,49.0,-0.013,-0.218,72.9,7.9,3.345,0.218,104.7,-2,-2,0.252,0.252,26,21,26,22,2,1,6.0,1.0,6.0,1.0,3.45,-1.18,-1.18,53.4,8.371895033852221,5.236645546937569,25.72891689696,36.67515843741704,37.46497308541795
FF,2025-09-02,97.2,-2.44,5.8,"Jones, Nolan",596115,671922,double,hit_into_play,,,,,6.0,Trevor Story doubles (24) on a sharp line drive to center fielder Nolan Jones. Alex Bregman scores. Jarren Duran scores.,R,R,R,BOS,CLE,X,8,line_drive,0,0,2025,-0.77,1.42,0.51,2.73,608324.0,680776.0,,2,8,Bot,170.63,70.86,,,,,9.86075103378452,-141.18234707704758,-6.0595739068995895,-12.538117224163289,32.0802640707576,-12.00127181025624,3.47,1.61,281.0,100.6,14.0,99.0,2293.0,7.4,776493,595978,700932,682657,608070,677587,680757,666134,678877,53.11,0.794,0.791,1.25,1.0,1,1,4.0,74,1,4-Seam Fastball,9,7,9,7,7,11,11,7,Standard,Standard,215.0,0.045,0.862,66.4,7.2,1.051,-0.862,100.6,2,2,0.944,0.944,26,32,26,33,1,4,3.0,1.0,3.0,1.0,1.01,0.77,0.77,37.6,8.85228955750962,4.075100898341431,23.22939630209233,45.80135331392246,27.148714520833742
FF,2025-09-02,94.1,-2.32,6.13,"Jones, Nolan",678882,683769,force_out,hit_into_play,,,,,2.0,"Ceddanne Rafaela pops into a force out, center fielder Nolan Jones to shortstop Brayan Rocchio. David Hamilton out at 2nd. Ceddanne Rafaela to 1st.",R,R,R,BOS,CLE,X,8,popup,0,1,2025,-0.75,1.15,-0.2,3.46,,,666152.0,0,8,Bot,143.2,123.31,,,,,7.228891480405391,-136.94075682609483,-3.840257426519812,-10.961125229182493,28.520723627485165,-17.003137277186795,3.55,1.67,165.0,93.0,62.0,95.3,2236.0,6.8,776493,595978,700932,682657,608070,677587,680757,666134,678877,53.67,0.009,0.011,0.0,1.0,0,0,3.0,69,2,4-Seam Fastball,7,7,7,7,7,7,7,7,Standard,Standard,208.0,-0.063,-0.2,71.9,7.0,0.017,0.2,93.0,0,0,0.669,0.669,27,24,27,25,1,3,3.0,1.0,4.0,1.0,1.41,0.75,0.75,31.0,12.22539898966352,-7.158940282149966,24.13597583572672,33.15254029358255,32.86508246966297
SL,2025-09-02,84.7,-1.57,6.12,"Jones, Nolan",681987,663671,single,hit_into_play,,,,,8.0,Nate Eaton singles on a line drive to center fielder Nolan Jones.,R,R,R,BOS,CLE,X,8,line_drive,1,1,2025,-0.23,0.83,0.27,1.79,,,,2,6,Bot,127.8,108.46,,,,,4.750947900600042,-123.18319433576292,-5.432481362598812,-3.25089031143543,24.43981749409714,-22.826893516260863,3.47,1.66,165.0,76.8,14.0,84.8,2413.0,6.4,776493,595978,700932,682657,608070,677587,680757,666134,678877,54.1,0.597,0.544,0.9,1.0,1,0,4.0,54,3,Slider,7,7,7,7,7,7,7,7,Standard,Standard,155.0,0.019,0.344,77.1,8.2,0.664,-0.344,88.0,0,0,0.517,0.517,28,28,28,29,1,0,6.0,1.0,,1.0,2.35,0.23,0.23,52.8,15.09994245171644,-22.419003669634456,35.637220376970795,38.2187346473817,44.965642617342425
