pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2025-08-14,76.1,-1.56,5.91,"Martin, Austin",650402,641927,field_out,hit_into_play,,,,,4.0,Gleyber Torres flies out to center fielder Austin Martin.,R,R,R,MIN,DET,X,8,fly_ball,2,2,2025,1.28,-0.03,-0.34,2.17,,,690993.0,0,6,Top,134.56,106.01,,,,,0.2572111394142623,-110.85463597500195,-0.7053358851269161,10.464908247293414,20.71412171623347,-32.49357572118543,3.24,1.5,235.0,81.3,46.0,77.2,2174.0,7.1,776744,680777,666397,807712,668904,686797,702176,668885,663616,53.4,0.026,0.028,0.0,1.0,0,0,3.0,42,5,Sweeper,3,3,3,3,3,3,3,3,Standard,Standard,62.0,0.049,-0.2,67.9,7.2,0.038,0.2,88.0,0,0,0.447,0.553,29,28,30,29,3,2,5.0,1.0,6.0,1.0,3.97,-1.28,-1.28,29.2,11.590054115196308,-17.698403992441598,42.126577779208176,29.583620446152302,36.36612940773034
FF,2025-08-14,89.0,-1.62,5.89,"Martin, Austin",690993,641927,single,hit_into_play,,,,,11.0,Colt Keith singles on a line drive to center fielder Austin Martin. Javier Báez scores.,R,L,R,MIN,DET,X,8,line_drive,1,1,2025,-0.51,1.29,-0.88,2.96,,595879.0,,0,6,Top,151.98,77.74,,,,,2.93964162022587,-129.58674856850584,-3.917424775648975,-6.380387729037466,27.798565229130997,-17.061722285332483,3.33,1.55,260.0,83.2,17.0,90.6,2226.0,7.3,776744,680777,666397,807712,668904,686797,702176,668885,663616,53.19,0.974,0.922,0.9,1.0,1,0,4.0,41,3,4-Seam Fastball,3,2,2,3,3,3,3,3,Infield shade,Standard,218.0,-0.12,0.542,69.6,6.8,1.141,-0.542,88.0,1,-1,0.567,0.433,29,23,30,24,3,2,5.0,1.0,6.0,1.0,1.59,0.51,-0.51,32.6,3.248530996457431,-4.336333493864442,21.78950840683001,45.92600140538241,30.60069065034135
FS,2025-08-14,88.4,-2.38,5.49,"Martin, Austin",690993,663485,field_out,hit_into_play,,,,,7.0,Colt Keith flies out to center fielder Austin Martin.,R,L,R,MIN,DET,X,8,fly_ball,1,0,2025,-1.46,-0.08,-0.4,1.82,656716.0,,595879.0,2,10,Top,140.31,90.28,,,,,7.7892855704541795,-128.4859254818876,-2.619121306354842,-17.85557124591381,29.456831825721363,-32.69550671882149,3.33,1.55,273.0,81.6,43.0,87.0,1565.0,5.7,776744,680777,666397,807712,668904,680837,702176,668885,663616,54.77,0.009,0.009,0.0,1.0,0,0,3.0,72,2,Split-Finger,3,3,3,3,3,3,3,3,Infield shade,Standard,247.0,0.136,-0.282,73.1,7.3,0.013,0.282,88.0,0,0,0.671,0.329,27,23,28,24,1,4,2.0,1.0,3.0,1.0,3.03,1.46,-1.46,20.5,14.048614803379852,-7.162755538363713,34.72747700272473,39.57891302833531,37.98531998631722
SL,2025-08-14,83.9,-3.8,5.15,"Martin, Austin",690993,543859,field_out,hit_into_play,,,,,8.0,Colt Keith flies out sharply to center fielder Austin Martin.,R,L,R,MIN,DET,X,8,fly_ball,2,2,2025,0.14,-0.38,-0.26,1.92,,,,1,8,Top,119.82,51.02,,,,,7.894253722325693,-121.9613402566057,-0.2964525113232429,-0.1904349662662828,24.361090555126783,-36.17595575708765,3.33,1.55,365.0,100.3,36.0,83.6,2224.0,6.2,776744,680777,666397,807712,668904,686797,702176,668885,663616,54.3,0.337,0.643,0.0,1.0,0,0,5.0,56,5,Slider,3,3,3,3,3,3,3,3,Infield shade,Standard,64.0,0.034,-0.228,71.0,7.5,1.257,0.228,100.3,0,0,0.546,0.454,35,23,36,24,1,3,4.0,1.0,2.0,1.0,3.63,-0.14,0.14,10.0,15.148108600340624,-7.009735925554468,34.47305334702968,40.133728987235614,37.98623116753189
FS,2025-08-14,88.1,-2.58,5.59,"Martin, Austin",682985,663485,field_out,hit_into_play,,,,,8.0,Riley Greene lines out to center fielder Austin Martin.,R,L,R,MIN,DET,X,8,line_drive,2,2,2025,-1.18,-0.06,-0.11,1.75,,,,1,9,Top,94.01,68.53,,,,,8.329092624201627,-128.31587699638132,-3.254271335996628,-14.599029900942446,19.178226089423664,-32.50902358075322,3.62,1.72,333.0,98.1,22.0,88.1,1548.0,5.6,776744,680777,666397,807712,668904,686797,702176,668885,663616,54.88,0.351,0.447,0.0,1.0,0,0,5.0,62,5,Split-Finger,3,3,3,3,3,3,3,3,Infield shade,Standard,247.0,0.044,-0.228,,,0.724,0.228,98.1,0,0,0.558,0.442,27,24,28,25,1,3,2.0,1.0,3.0,1.0,2.93,1.18,-1.18,21.7,,,,,
FS,2025-08-14,88.3,-2.37,5.62,"Martin, Austin",681481,663485,field_out,hit_into_play,,,,,8.0,Kerry Carpenter lines out sharply to center fielder Austin Martin.,R,L,R,MIN,DET,X,8,line_drive,0,0,2025,-1.18,0.04,0.16,1.54,,,,0,9,Top,144.74,67.95,,,,,8.512632058475587,-128.22341822086716,-3.832869054639808,-14.828251286066036,28.511742981597365,-31.102761356650998,3.42,1.6,329.0,105.0,19.0,87.0,1646.0,5.8,776744,680777,666397,807712,668904,686797,702176,668885,663616,54.74,0.56,0.724,0.0,1.0,0,0,6.0,61,1,Split-Finger,3,3,3,3,3,3,3,3,Infield shade,Standard,245.0,0.058,-0.259,75.3,7.6,1.17,0.259,105.0,0,0,0.5,0.5,27,27,28,28,1,3,2.0,1.0,3.0,1.0,2.92,1.18,-1.18,22.6,13.93198944010682,2.9232637852641288,44.52785225124957,35.93310830661088,22.31686189242788
FS,2025-08-12,87.8,-2.36,5.62,"Martin, Austin",665862,663485,triple,hit_into_play,,,,,7.0,Jazz Chisholm Jr. triples (1) on a sharp line drive to center fielder Austin Martin.,R,L,R,NYY,MIN,X,8,line_drive,2,1,2025,-1.0,-0.27,-0.32,2.22,,,,0,8,Bot,147.24,49.28,,,,,6.931507305095211,-127.74772547941994,-1.560490871558759,-12.402142842437929,26.348134867136103,-35.01302775243786,3.73,1.7,374.0,110.3,20.0,87.1,1505.0,5.8,776774,681508,666397,807712,668904,680837,702176,668885,665019,54.66,0.909,1.506,1.6,1.0,1,2,6.0,71,4,Split-Finger,8,1,8,1,1,8,8,1,Infield shade,Standard,253.0,0.0,0.876,76.3,8.1,2.768,-0.876,110.3,7,7,0.999,0.999,27,27,28,27,1,4,2.0,1.0,2.0,1.0,3.23,1.0,-1.0,21.8,12.375826838847225,3.8906626443688888,35.34786167305274,38.49317483238069,25.895079217764543
SI,2025-08-10,95.3,-2.48,4.94,"Martin, Austin",672580,623437,double,hit_into_play,,,,,9.0,Maikel Garcia doubles (31) on a sharp line drive to center fielder Austin Martin.,R,R,R,MIN,KC,X,8,line_drive,0,0,2025,-1.52,0.14,0.38,2.25,,,,2,9,Top,165.68,65.34,,,,,10.82465014942286,-138.39319922732113,-1.7180376395915062,-21.980241021158243,29.83271721469054,-30.23346766232192,3.57,1.66,310.0,104.2,13.0,94.5,2271.0,5.9,776796,681508,665019,807712,680837,686797,702176,668885,663616,54.62,0.903,0.892,1.25,1.0,1,1,4.0,69,1,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,255.0,-0.072,0.58,72.1,7.7,1.164,-0.58,104.2,0,0,0.602,0.398,34,25,34,25,1,4,1.0,1.0,3.0,1.0,2.38,1.52,1.52,10.0,5.327808167149774,5.953348952101141,26.235997320929524,40.40757468808829,28.406743041468182
SL,2025-08-10,85.8,1.91,5.8,"Martin, Austin",573262,681892,field_out,hit_into_play,,,,,4.0,Mike Yastrzemski flies out to center fielder Austin Martin.,R,L,L,MIN,KC,X,8,fly_ball,1,0,2025,-0.39,0.03,-0.43,2.47,670231.0,,,2,4,Top,82.33,67.35,,,,,-4.814223528287534,-124.9690798357222,-1.7519045343150927,-3.2163598182774336,23.37850690630602,-31.70658648039655,3.43,1.59,343.0,96.2,38.0,87.3,2390.0,7.1,776796,681508,665019,807712,680837,686797,702176,668885,663616,53.44,0.069,0.116,0.0,1.0,0,0,3.0,31,2,Slider,2,1,1,2,1,2,1,2,Infield shade,Standard,252.0,0.046,-0.306,71.4,7.5,0.228,0.306,96.2,1,-1,0.644,0.356,28,34,29,35,1,2,4.0,1.0,2.0,1.0,3.04,-0.39,-0.39,36.9,9.780871717460265,6.830393494060683,24.93183655981484,38.999219038590695,30.519433018760505
FS,2025-08-10,82.2,-1.22,6.19,"Martin, Austin",624428,621139,single,hit_into_play,,,,,13.0,Adam Frazier singles on a line drive to center fielder Austin Martin.,R,L,R,MIN,KC,X,8,line_drive,1,2,2025,-0.6,-0.19,-0.4,1.24,,,,0,8,Top,149.68,86.5,,,,,3.000799129621843,-119.53803109497872,-4.185028490220709,-6.306500861742849,26.51840805664805,-33.3198840751019,3.27,1.47,203.0,82.8,14.0,81.4,1065.0,6.1,776796,681508,665019,807712,680837,686797,702176,668885,663616,54.39,0.883,0.862,0.9,1.0,1,0,4.0,58,4,Split-Finger,2,3,3,2,3,2,3,2,Infield shade,Standard,243.0,-0.033,0.508,59.8,7.5,1.064,-0.508,88.0,-1,1,0.247,0.753,31,33,31,34,1,3,2.0,1.0,1.0,1.0,3.61,0.6,-0.6,46.0,15.044664147444644,-0.7010861843097694,49.854973262061804,34.98586516597736,28.163218476950803
