pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
ST,2025-09-28,80.3,-2.53,5.7,"Baldwin, Brooks",691781,686563,field_out,hit_into_play,,,,,4.0,Brady House flies out to left fielder Brooks Baldwin.,R,R,R,WSH,CWS,X,7,fly_ball,1,1,2025,1.35,0.08,-0.72,2.78,,,,0,9,Bot,90.84,97.63,,,,,1.4604476197019751,-117.00218416127764,0.0973749780399855,12.053698070748526,22.83370887135632,-31.67832781979148,3.63,1.62,267.0,96.2,52.0,80.2,2585.0,6.2,776143,691019,678554,672820,678246,805367,681460,572191,666150,54.28,0.014,0.021,0.0,1.0,0,0,3.0,66,3,Sweeper,0,8,0,8,8,0,0,8,Standard,Standard,64.0,0.0,-0.251,76.5,7.6,0.032,0.251,96.2,-8,-8,0.001,0.001,24,22,25,22,1,2,4.0,1.0,,,3.46,-1.35,-1.35,20.3,19.04189463305857,-16.741204149604023,33.22901231505866,25.644015626479604,40.86095333343384,1,-86.76263901927777,252.50988984673552,6.9382389697793165,-133.70319977066862,274.1321841212459,51.6811363395634
FF,2025-09-27,97.5,-2.28,6.29,"Baldwin, Brooks",605137,680732,field_error,hit_into_play,,,,,4.0,Josh Bell reaches on a fielding error by left fielder Brooks Baldwin. Josh Bell to 2nd.,R,L,R,WSH,CWS,X,7,line_drive,3,2,2025,-0.48,1.7,-0.54,3.05,,,,1,4,Bot,74.68,58.02,,,,,5.842510773861264,-141.757274587101,-7.14252343072381,-7.867708334186288,33.65770589639818,-7.867817987495056,3.78,1.79,371.0,100.6,22.0,98.3,2688.0,6.9,776160,691019,672820,805367,678246,695657,681460,656537,666150,53.65,0.486,0.677,0.9,1.0,0,0,5.0,29,7,4-Seam Fastball,0,4,0,4,4,0,0,4,Infield shade,Standard,205.0,0.031,0.385,75.3,7.6,1.14,-0.385,100.6,-4,-4,0.114,0.114,25,32,26,33,1,1,6.0,1.0,,1.0,0.71,0.48,-0.48,42.6,6.711048539355757,11.431739132210415,25.34191537677468,44.54614640432269,19.50717858664854,0,-126.21529117890314,348.8706067765307,3.4892605943747643,-133.70319977066862,274.1321841212459,75.11258613627024
SI,2025-09-27,87.9,3.96,4.59,"Baldwin, Brooks",695578,656457,single,hit_into_play,,,,,6.0,James Wood singles on a sharp line drive to left fielder Brooks Baldwin.,R,L,L,WSH,CWS,X,7,line_drive,2,1,2025,1.46,0.1,0.56,2.7,,,,0,1,Bot,67.7,115.2,,,,,-11.228845969790708,-127.51511651752276,1.3620412998565936,18.1995261113032,26.30633409145737,-31.618808888701363,3.89,1.77,121.0,111.9,3.0,87.7,2248.0,6.3,776160,691019,672820,805367,678246,695657,681460,656537,666150,54.18,0.637,0.6,0.9,1.0,1,0,4.0,4,4,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,117.0,0.036,0.393,76.1,6.4,0.727,-0.393,111.9,0,0,0.547,0.547,31,22,32,23,1,0,2.0,1.0,,1.0,2.87,1.46,1.46,4.9,-9.793034619638258,18.84386442629874,45.32583829906794,31.80546162239701,20.05552329451153,0,-69.04411831545355,99.36754865670005,0.7746641940831573,-133.70319977066862,274.1321841212459,186.34235864045445
ST,2025-09-27,79.4,2.89,5.6,"Baldwin, Brooks",695578,592155,single,hit_into_play,,,,,5.0,James Wood singles on a sharp line drive to left fielder Brooks Baldwin. Luis García Jr. scores. Jacob Young to 3rd.,R,L,L,WSH,CWS,X,7,line_drive,0,2,2025,-1.38,-0.59,0.09,2.88,671277.0,,696285.0,2,8,Bot,80.37,89.35,,,,,-3.5282649347918107,-115.63052985910689,1.927566731918414,-11.714483517866157,22.095799951277616,-38.062897976793685,3.89,1.77,164.0,110.7,5.0,79.5,2090.0,6.3,776160,691019,672820,805367,678246,695657,681460,656537,666150,54.16,0.7,0.66,0.9,1.0,1,0,4.0,68,3,Sweeper,5,4,5,4,4,6,6,4,Standard,Standard,309.0,0.072,0.712,,,0.807,-0.712,110.7,1,1,0.871,0.871,33,22,33,23,1,4,2.0,1.0,,1.0,4.21,-1.38,-1.38,29.8,,,,,,0,-62.68152421789691,151.54875955190528,1.0561940421898939,-133.70319977066862,274.1321841212459,141.67136047017547
FF,2025-09-26,95.6,-1.04,5.92,"Baldwin, Brooks",605137,673929,single,hit_into_play,,,,,11.0,Josh Bell singles on a line drive to left fielder Brooks Baldwin. CJ Abrams to 2nd.,R,L,R,WSH,CWS,X,7,line_drive,0,2,2025,-0.29,1.64,-0.86,3.51,,,682928.0,0,8,Bot,92.02,115.2,,,,,1.151222531676242,-139.2216219020248,-4.4478804441401545,-4.072983488800379,33.09883055960479,-10.090803140213383,3.78,1.79,141.0,100.3,6.0,96.6,2387.0,7.0,776165,700337,672820,805367,678246,695657,681460,656537,572191,53.53,0.609,0.582,0.9,1.0,1,0,4.0,66,3,4-Seam Fastball,5,8,5,8,8,5,5,8,Infield shade,Standard,197.0,0.086,0.565,70.1,7.0,0.728,-0.565,100.3,-3,-3,0.127,0.127,26,32,27,33,1,3,3.0,2.0,2.0,1.0,0.86,0.29,-0.29,55.6,4.375483025285042,27.361467153157783,21.07195146369417,47.40263412290528,16.02207940209056,0,-52.59951218482376,130.82160111357214,1.1220550404898908,-133.70319977066862,274.1321841212459,164.66854994813576
CU,2025-09-26,85.0,-0.51,5.99,"Baldwin, Brooks",683083,691799,single,hit_into_play,,,,,8.0,Nasim Nuñez singles on a line drive to left fielder Brooks Baldwin.,R,L,R,WSH,CWS,X,7,line_drive,2,2,2025,0.18,-1.47,-0.07,2.09,,,,0,9,Bot,66.96,119.94,,,,,0.6927887209068069,-123.67324851937973,0.2228446648543511,1.7075054072900069,27.46173915818425,-47.376207238474926,3.32,1.56,246.0,97.9,14.0,86.2,2501.0,7.3,776165,686676,672820,805367,678246,695657,681460,656537,572191,53.18,0.909,0.879,0.9,1.0,1,0,4.0,78,5,Curveball,9,10,9,10,10,9,9,10,Standard,Standard,13.0,0.134,0.465,65.6,6.2,1.134,-0.465,97.9,-1,-1,0.194,0.194,23,24,23,25,1,0,3.0,3.0,,1.0,4.65,-0.18,0.18,63.5,-4.967218600458492,22.95090727736611,32.131491115918784,38.97595695412028,20.30762250134642,0,-147.13648641886144,197.14678380412957,2.2424672567577115,-133.70319977066862,274.1321841212459,78.14860876662601
FC,2025-09-06,84.9,1.1,5.56,"Baldwin, Brooks",672761,527048,field_out,hit_into_play,,,,,1.0,Wenceel Pérez flies out to left fielder Brooks Baldwin.,R,R,L,DET,CWS,X,7,fly_ball,2,2,2025,-0.04,0.71,-0.73,2.99,,,,2,4,Bot,57.86,82.69,,,,,-4.196485123352833,-123.63390246026157,-1.101288340648898,0.4718920548145522,25.13590365176539,-24.906356097425768,3.2,1.5,332.0,88.7,33.0,84.5,2206.0,6.1,776435,700337,672820,805367,682868,695657,681460,572191,666150,54.45,0.023,0.03,0.0,1.0,0,0,3.0,33,5,Cutter,6,0,6,0,0,6,6,0,Standard,Standard,171.0,-0.001,-0.224,71.2,6.1,0.051,0.224,88.7,6,6,0.968,0.968,34,25,34,26,3,2,6.0,1.0,6.0,1.0,2.45,-0.04,0.04,47.7,6.229539711866713,-9.247709272178229,30.85654468308657,21.247451797241474,31.913157089652422,1,-167.54106887184125,286.62517377453247,4.44636144164473,-133.70319977066862,274.1321841212459,36.070433540300264
FC,2025-09-06,85.8,1.43,5.26,"Baldwin, Brooks",656716,527048,double,hit_into_play,,,,,5.0,Zach McKinstry doubles (21) on a fly ball to left fielder Brooks Baldwin. Riley Greene scores. Andy Ibáñez to 3rd.,R,L,L,DET,CWS,X,7,fly_ball,3,2,2025,-0.18,0.83,0.19,2.41,682985.0,,628451.0,1,4,Bot,84.59,131.3,,,,,-2.55941425151868,-125.11041054347191,-2.2444176160573592,-1.447449956349529,22.703869645040587,-23.21976485373712,3.26,1.55,214.0,67.8,38.0,86.1,2210.0,6.2,776435,700337,672820,805367,682868,695657,681460,572191,666150,54.33,0.657,0.595,1.25,1.0,1,1,4.0,29,7,Cutter,1,0,1,0,0,2,2,0,Strategic,Standard,157.0,0.099,0.715,64.1,6.2,0.705,-0.715,88.0,1,1,0.752,0.752,34,30,34,30,2,1,6.0,1.0,6.0,1.0,2.23,-0.18,-0.18,41.9,-2.180938520215956,11.909437206061895,37.77591081439333,34.27051800535821,24.00367543419653,0,-111.39931649043166,182.7188886937107,3.854030152127988,-133.70319977066862,274.1321841212459,94.09491904614332
CU,2025-09-06,76.8,1.08,5.52,"Baldwin, Brooks",672761,527048,field_out,hit_into_play,,,,,3.0,Wenceel Pérez lines out sharply to left fielder Brooks Baldwin.,R,R,L,DET,CWS,X,7,line_drive,2,2,2025,-0.51,-0.04,0.29,2.91,,,650402.0,1,3,Bot,59.62,105.88,,,,,-0.7450219992658731,-111.82951876113856,1.534971383548135,-4.156546004343048,20.061314901493706,-33.014161333875606,3.2,1.5,283.0,103.2,17.0,76.7,2460.0,6.2,776435,700337,672820,805367,682868,695657,681460,572191,666150,54.33,0.454,0.543,0.0,1.0,0,0,5.0,21,5,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,287.0,-0.025,-0.222,72.2,6.9,0.844,0.222,103.2,1,1,0.675,0.675,34,25,34,26,2,1,6.0,1.0,6.0,1.0,3.9,-0.51,0.51,46.6,14.376604434013908,-9.11122102862179,23.854097587651506,34.8220663247569,35.92391501483119,1,-164.17163191174137,230.51393726938875,2.8170768266751893,-133.70319977066862,274.1321841212459,53.20598477206022
SI,2025-09-06,88.8,1.14,5.41,"Baldwin, Brooks",656716,527048,field_out,hit_into_play,,,,,6.0,Zach McKinstry flies out to left fielder Brooks Baldwin.,R,L,L,DET,CWS,X,7,fly_ball,0,1,2025,1.33,0.79,0.78,2.28,,,,1,2,Bot,81.9,97.72,,,,,-3.661524520562154,-129.3012059005867,-3.294195912997146,15.733664775730013,25.94736622383236,-22.832867321754662,3.26,1.55,275.0,88.8,44.0,88.7,1940.0,6.1,776435,700337,672820,805367,682868,695657,681460,572191,666150,54.39,0.003,0.003,0.0,1.0,0,0,3.0,14,2,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,134.0,-0.014,-0.216,67.9,6.4,0.003,0.216,88.8,1,1,0.64,0.64,34,30,34,30,1,0,6.0,1.0,6.0,1.0,2.09,1.33,1.33,40.8,12.977028572149004,-4.132042233541283,43.38655079588957,26.60711197458304,28.75022475081613,1,-109.23285597884863,252.3750842985577,5.656905047198589,-133.70319977066862,274.1321841212459,32.74399361691061
