pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SL,2025-09-28,88.1,-2.96,5.63,"Bellinger, Cody",691723,661563,field_out,hit_into_play,,,,,5.0,Coby Mayo flies out to left fielder Cody Bellinger.,R,R,R,NYY,BAL,X,7,fly_ball,2,2,2025,0.81,0.8,-0.21,2.3,,,,2,3,Top,78.51,120.34,,,,,5.010187750022499,-128.2523047693925,-3.7187387460552896,8.005614879219921,24.61318802809179,-22.813671894738885,3.67,1.66,229.0,96.3,57.0,88.8,2670.0,6.5,776140,669224,700250,676609,641857,683011,641355,663757,592450,53.96,0.02,0.02,0.0,1.0,0,0,3.0,17,5,Slider,1,0,0,1,0,1,0,1,Strategic,Strategic,99.0,0.012,-0.224,78.4,7.9,0.028,0.224,96.3,1,-1,0.661,0.339,27,23,27,24,1,0,5.0,1.0,6.0,,2.12,-0.81,-0.81,35.8,15.481141337120915,-24.649168120823912,34.62715236976838,32.40459694290817,41.94765748437271,1,-118.10078626271856,196.1968508517088,7.388566158482982,-127.12763256883245,260.6502734267584,65.08246796082734
SL,2025-09-28,87.9,-2.91,5.8,"Bellinger, Cody",663624,661563,field_out,hit_into_play,,,,,6.0,Ryan Mountcastle flies out to left fielder Cody Bellinger.,R,R,R,NYY,BAL,X,7,fly_ball,1,1,2025,0.84,0.79,0.58,2.94,,,,2,2,Top,97.88,81.99,,,,,6.799993897983776,-127.93586653917738,-2.495426830109696,7.89715288197186,25.788087840965023,-23.18678539799231,3.59,1.74,299.0,82.3,35.0,89.1,2663.0,6.9,776140,669224,700250,676609,641857,683011,641355,663757,592450,53.56,0.026,0.025,0.0,1.0,0,0,3.0,10,3,Slider,1,0,0,1,0,1,0,1,Infield shade,Standard,123.0,0.011,-0.245,83.4,7.8,0.04,0.245,88.0,1,-1,0.649,0.351,27,28,27,28,1,0,5.0,3.0,6.0,,2.15,-0.84,-0.84,38.5,10.3141156729051,-8.171059802339103,27.25336067588215,44.52928417115929,33.91407282473212,1,-68.90944877988461,290.9510059595128,4.3466578701983405,-127.12763256883245,260.6502734267584,65.6314811329535
FF,2025-09-28,95.3,-2.82,5.81,"Bellinger, Cody",641933,661563,field_out,hit_into_play,,,,,3.0,Tyler O'Neill flies out to left fielder Cody Bellinger.,R,R,R,NYY,BAL,X,7,fly_ball,3,1,2025,-0.04,1.37,0.39,2.82,,,,0,2,Top,87.44,92.1,,,,,8.671978198884721,-138.44144281609596,-5.341023724997272,-2.558626334025875,32.99417570702326,-13.546083240030072,3.07,1.32,283.0,96.4,51.0,96.6,2496.0,7.3,776140,669224,700250,676609,641857,683011,641355,663757,592450,53.21,0.009,0.013,0.0,1.0,0,0,3.0,8,5,4-Seam Fastball,1,0,0,1,0,1,0,1,Strategic,Standard,195.0,0.024,-0.439,76.8,7.5,0.018,0.439,96.4,1,-1,0.608,0.392,27,30,27,30,1,0,5.0,1.0,6.0,,1.16,0.04,0.04,44.4,17.82400881362199,-10.937768662771868,30.410543263280616,37.48044415969558,36.73445184934039,1,-95.32150943698551,266.4635244056017,6.857435094288309,-127.12763256883245,260.6502734267584,32.33300721586582
FF,2025-09-28,96.2,-2.76,5.81,"Bellinger, Cody",683002,661563,field_out,hit_into_play,,,,,2.0,Gunnar Henderson lines out to left fielder Cody Bellinger.,R,L,R,NYY,BAL,X,7,line_drive,1,1,2025,-0.08,1.59,0.19,3.59,,,,2,1,Top,68.13,111.67,,,,,8.043428325168652,-139.78988577243666,-3.9068019880507054,-2.890245272051448,32.28047722477624,-10.651686992046251,3.67,1.76,261.0,85.9,21.0,96.4,2537.0,6.5,776140,669224,700250,676609,641857,683011,641355,663757,592450,53.97,0.454,0.409,0.0,1.0,0,0,3.0,3,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,207.0,0.01,-0.245,66.9,5.6,0.516,0.245,88.0,0,0,0.537,0.463,27,24,27,24,1,0,5.0,1.0,6.0,,0.88,0.08,-0.08,37.3,-1.7393175445513298,24.91643745346792,28.089969404563067,30.6620286618524,22.444469399753707,1,-144.0043546681282,217.6780784475459,2.8715311859638852,-127.12763256883245,260.6502734267584,46.16744838247308
CH,2025-09-28,84.5,-2.53,5.14,"Bellinger, Cody",702616,642207,single,hit_into_play,,,,,7.0,Jackson Holliday singles on a line drive to left fielder Cody Bellinger.,R,L,R,NYY,BAL,X,7,line_drive,1,1,2025,-1.5,-0.53,-0.82,1.87,,,,0,8,Top,65.47,124.89,,,,,7.097605876595794,-122.75648450265382,-0.1173157759898915,-16.568399390573624,26.202010804380365,-37.70211215277688,3.37,1.59,238.0,76.3,24.0,85.6,2494.0,7.3,776140,669224,700250,665862,641857,683011,641355,663757,592450,53.24,0.837,0.763,0.9,1.0,1,0,4.0,56,3,Changeup,2,2,2,2,2,2,2,2,Infield shade,Standard,303.0,-0.068,0.447,59.0,7.0,0.904,-0.447,88.0,0,0,0.5,0.5,30,21,31,22,1,3,3.0,1.0,2.0,,3.75,1.5,-1.5,10.2,-8.236376301029043,9.0661130037362,32.63250261612483,44.60741117019283,23.628718165550847,0,-150.577881226312,184.31034069035485,2.8938413790622146,-127.12763256883245,260.6502734267584,79.86050020063888
FF,2025-09-27,99.3,-1.46,6.66,"Bellinger, Cody",694212,693645,field_out,hit_into_play,,,,,11.0,Samuel Basallo flies out to left fielder Cody Bellinger.,R,L,R,NYY,BAL,X,7,fly_ball,0,2,2025,-0.59,1.34,-0.18,4.46,,,,2,7,Top,80.61,78.01,,,,,4.868731824365467,-144.50399418611372,-3.735399020412299,-9.333360138224924,33.011244454254424,-12.759178742392685,3.48,1.64,321.0,93.3,43.0,99.3,2470.0,6.2,776162,700250,502671,676609,641857,683011,641355,663757,592450,54.26,0.003,0.004,0.0,1.0,0,0,3.0,54,5,4-Seam Fastball,6,0,0,6,0,6,0,6,Infield shade,Standard,205.0,0.001,-0.161,64.5,5.8,0.009,0.161,93.3,6,-6,0.993,0.007,24,20,24,21,3,2,6.0,1.0,5.0,,0.97,0.59,-0.59,44.7,5.939786016930056,11.694994726639102,10.94650599935276,35.52536378387761,26.35692365962645,1,-112.0799308295578,300.79742203888907,5.833216362287262,-127.12763256883245,260.6502734267584,42.87454803631956
CU,2025-09-27,84.1,-1.67,6.57,"Bellinger, Cody",681297,693645,field_out,hit_into_play,,,,,2.0,Colton Cowser flies out to left fielder Cody Bellinger.,R,L,R,NYY,BAL,X,7,fly_ball,0,0,2025,0.52,-0.67,-0.02,2.99,,,,1,7,Top,57.26,117.75,,,,,2.7970717141107784,-122.46814298085656,-0.5818462887687452,4.597981431552999,25.13632531604369,-38.97708577411156,3.52,1.68,264.0,89.1,49.0,83.6,2640.0,6.0,776162,700250,502671,676609,641857,683011,641355,663757,592450,54.46,0.011,0.013,0.0,1.0,0,0,3.0,53,1,Curveball,6,0,0,6,0,6,0,6,Infield shade,Standard,37.0,0.002,-0.255,72.7,7.0,0.02,0.255,89.1,6,-6,0.991,0.009,24,25,24,25,3,2,6.0,1.0,5.0,1.0,3.9,-0.52,0.52,51.8,14.627084916982442,10.27898896489446,37.98126101309933,37.07823807541763,34.165516759499816,1,-170.5691331957474,201.49980347596218,6.16102318967257,-127.12763256883245,260.6502734267584,73.38897786533276
FF,2025-09-27,98.0,-2.06,6.32,"Bellinger, Cody",641933,693645,field_out,hit_into_play,,,,,1.0,Tyler O'Neill lines out to left fielder Cody Bellinger.,R,R,R,NYY,BAL,X,7,line_drive,3,1,2025,-0.66,1.17,-0.72,3.09,,683002.0,,1,4,Top,64.68,114.36,,,,,5.165528085126868,-142.64836609021688,-5.997815304940794,-10.2466128084403,31.90600287134137,-15.023272083790928,3.07,1.32,259.0,76.9,27.0,98.4,2340.0,6.5,776162,700250,502671,665862,641857,683011,641355,663757,592450,54.04,0.434,0.417,0.0,1.0,0,0,3.0,25,5,4-Seam Fastball,3,0,0,3,0,3,0,3,Strategic,Standard,206.0,0.032,-0.349,72.4,6.8,0.528,0.349,88.0,3,-3,0.808,0.192,24,30,24,30,2,1,6.0,1.0,5.0,1.0,1.2,0.66,0.66,40.5,13.332932798014298,-0.2566875151048222,32.94795262940843,25.6479253263516,33.01588391736434,1,-151.86927537811258,209.8016282018016,3.2404960130741203,-127.12763256883245,260.6502734267584,56.548506701021964
FF,2025-09-27,98.9,-1.61,6.45,"Bellinger, Cody",683002,693645,double,hit_into_play,,,,,2.0,Gunnar Henderson doubles (34) on a line drive to left fielder Cody Bellinger.,R,L,R,NYY,BAL,X,7,line_drive,0,1,2025,-0.64,1.25,-0.21,3.61,,,,1,4,Top,37.24,92.16,,,,,5.325255988217811,-143.9307929215422,-5.237819342291959,-10.088869875030834,34.41945004935872,-13.825310529212995,3.67,1.76,302.0,99.9,17.0,99.0,2366.0,6.4,776162,700250,502671,665862,641857,683011,641355,663757,592450,54.11,0.477,0.514,1.25,1.0,1,1,4.0,24,2,4-Seam Fastball,3,0,0,3,0,3,0,3,Infield shade,Standard,213.0,-0.037,0.681,70.0,6.1,0.744,-0.681,99.9,3,-3,0.845,0.155,24,24,24,24,2,1,6.0,1.0,5.0,1.0,1.09,0.64,-0.64,41.5,-3.068128479208488,24.29358761725719,20.976282176390782,37.35902547674604,20.41370370344362,0,-193.01901241943003,232.26635753941622,2.7311943026033485,-127.12763256883245,260.6502734267584,71.74482991627657
CU,2025-09-27,85.1,-1.58,6.55,"Bellinger, Cody",702616,693645,field_out,hit_into_play,,,,,4.0,Jackson Holliday lines out to left fielder Cody Bellinger.,R,L,R,NYY,BAL,X,7,line_drive,2,2,2025,0.51,-0.94,-0.39,2.21,,,,2,3,Top,76.05,81.66,,,,,1.750015620090882,-123.9140417440546,-1.976315042529332,4.932285180276415,25.341789309897774,-41.63654604836098,3.37,1.59,316.0,95.3,20.0,85.0,2580.0,6.3,776162,700250,502671,665862,641857,683011,641355,663757,592450,54.25,0.309,0.335,0.0,1.0,0,0,4.0,19,5,Curveball,3,0,0,3,0,3,0,3,Infield shade,Standard,39.0,0.009,-0.224,67.3,6.9,0.512,0.224,95.3,3,-3,0.839,0.161,24,21,24,22,2,1,6.0,1.0,5.0,1.0,4.09,-0.51,0.51,49.8,3.037946440843813,5.820667908920835,28.18929602359164,38.89300293902324,25.417631627821432,1,-123.2003138201929,290.99430007236566,3.033155009348685,-127.12763256883245,260.6502734267584,30.59712054463194
