pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-09-12,94.1,-0.98,6.06,"Canario, Alexander",671277,664294,field_out,hit_into_play,,,,,4.0,Luis García Jr. flies out to left fielder Alexander Canario.,R,L,R,WSH,PIT,X,7,fly_ball,1,2,2025,-1.02,1.45,-0.57,2.86,,,,0,8,Bot,58.28,107.87,,,,,3.358868018536876,-136.8788345531627,-5.76261107772651,-13.54716402827059,34.02060700531601,-12.97361008864838,3.47,1.67,281.0,92.9,51.0,94.2,2321.0,6.6,776351,680779,687462,693304,687478,669707,672744,665833,668804,53.86,0.009,0.011,0.0,1.0,0,0,3.0,63,4,4-Seam Fastball,6,3,6,3,3,6,6,3,Standard,Standard,214.0,-0.003,-0.19,77.2,7.2,0.017,0.19,92.9,3,3,0.975,0.975,29,25,29,25,1,3,3.0,2.0,3.0,1.0,1.16,1.02,-1.02,42.1,0.2514395550667092,0.8078961380510246,23.735970328759286,42.018251373171694,29.73473353399105,1,-167.5440712502723,225.5880852103756,6.610465194851905,-134.38118792290584,263.7379311597569,50.548863256714746
SL,2025-08-24,87.0,-2.19,5.69,"Canario, Alexander",666160,642701,field_out,hit_into_play,,,,,4.0,Mickey Moniak flies out to left fielder Alexander Canario.,R,L,R,PIT,COL,X,7,fly_ball,2,1,2025,0.19,0.3,-0.55,2.44,,,,1,9,Top,58.33,111.68,,,,,3.5241645790650367,-126.77382406275788,-2.3394237744335427,1.5144724173724509,21.85336698119416,-28.62106728727439,3.46,1.64,274.0,85.2,50.0,87.3,2393.0,6.1,776610,680779,687462,693304,643396,669707,672744,669261,668804,54.44,0.011,0.017,0.0,1.0,0,0,3.0,62,4,Slider,4,0,0,4,0,4,0,4,Infield shade,Standard,180.0,0.004,-0.299,71.8,7.9,0.026,0.299,88.0,4,-4,0.995,0.005,29,27,29,27,1,3,4.0,2.0,1.0,2.0,2.66,-0.19,0.19,33.0,4.827150490438464,0.6956740824126222,26.42197528104368,45.40468328470901,25.689540557282218,1,-167.81767754131315,216.59461467137137,5.981627980251099,-134.38118792290584,263.7379311597569,57.79698199323163
FF,2025-08-02,100.1,-2.16,5.6,"Canario, Alexander",687597,694973,single,hit_into_play,,,,,1.0,Jordan Beck singles on a line drive to left fielder Alexander Canario.,R,R,R,COL,PIT,X,7,line_drive,3,2,2025,-0.89,0.9,-0.54,3.43,,,,1,4,Bot,68.02,94.06,,,,,6.739215849987107,-145.82413496747515,-2.873917671908588,-14.263132476388083,30.27024119722657,-18.775255345887786,3.67,1.72,244.0,98.6,15.0,102.7,2487.0,7.4,776904,680779,678894,693304,669707,643396,672744,665833,668804,53.15,0.734,0.723,0.9,1.0,1,0,4.0,28,6,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,237.0,0.034,0.338,73.0,7.2,0.956,-0.338,98.6,-1,-1,0.391,0.391,23,24,23,24,2,1,6.0,1.0,5.0,1.0,1.35,0.89,0.89,26.5,13.12676024341673,-2.228861769945116,28.03334562196865,30.66068974263827,25.184422676489376,0,-117.72120428825994,213.72346165295414,2.4042081756355675,-134.38118792290584,263.7379311597569,52.71624241876095
CU,2025-07-01,77.7,-1.75,5.8,"Canario, Alexander",650968,670280,double,hit_into_play,,,,,14.0,Yohel Pozo doubles (5) on a line drive to left fielder Alexander Canario. José Fermín to 3rd.,R,R,R,PIT,STL,X,7,line_drive,0,1,2025,0.86,-0.7,0.16,1.28,,,665877.0,1,9,Top,55.63,137.22,,,,,2.5293659219708338,-113.12665437903392,-1.4543942790560784,6.81291114562983,22.205418062609787,-38.08128500006268,3.28,1.42,183.0,96.4,10.0,77.6,2492.0,6.4,777288,680779,687462,693304,663647,643396,672744,665833,668804,54.12,0.686,0.659,1.25,1.0,1,1,4.0,64,2,Curveball,1,0,0,1,0,1,0,1,Standard,Standard,42.0,-0.276,0.831,68.6,8.4,0.801,-0.831,96.4,1,-1,0.831,0.169,30,28,31,28,1,0,3.0,3.0,6.0,1.0,4.49,-0.86,-0.86,37.9,9.36672014654446,-20.23439230539758,28.38497699157133,37.2776259114462,47.324729233948965,0,-137.73742751300668,120.48817810100388,1.6398910219041545,-134.38118792290584,263.7379311597569,143.2890648150789
CH,2025-06-20,87.6,-0.85,6.28,"Canario, Alexander",694497,681347,field_out,hit_into_play,,,,,4.0,Evan Carter flies out to left fielder Alexander Canario.,R,L,R,PIT,TEX,X,7,fly_ball,0,1,2025,-1.01,0.88,-0.73,2.5,,543760.0,669394.0,2,1,Top,94.41,123.03,,,,,2.392076292454816,-127.58342866793502,-4.86485820601339,-11.512110441534698,26.21969794685819,-21.735168992049346,3.58,1.64,207.0,81.6,56.0,88.0,1496.0,6.5,777432,663698,687462,693304,669707,643396,672744,665833,624428,53.98,0.034,0.041,0.0,1.0,0,0,3.0,7,2,Changeup,0,2,2,0,2,0,2,0,Standard,Standard,228.0,0.032,-0.235,70.1,7.4,0.053,0.235,88.0,-2,2,0.31,0.69,25,22,26,23,1,0,6.0,1.0,5.0,1.0,2.08,1.01,-1.01,47.4,6.910409676456895,-9.267547144265231,29.08242131534148,39.0902285824772,37.33339886700671,1,-78.87789308865031,191.38254356627056,6.197753653888097,-134.38118792290584,263.7379311597569,91.19165450446621
CU,2025-06-20,84.0,-1.0,6.3,"Canario, Alexander",608369,677952,field_out,hit_into_play,,,,,5.0,Corey Seager flies out to left fielder Alexander Canario.,R,L,R,PIT,TEX,X,7,fly_ball,0,0,2025,0.64,-1.0,0.23,2.72,641680.0,669701.0,664059.0,2,6,Top,76.65,121.95,,,,,1.5711660482546468,-122.3397798011709,0.1027696191134583,6.100020135807867,25.207707354846384,-42.463408085534255,3.43,1.52,229.0,74.7,40.0,83.6,2756.0,6.1,777432,663698,687462,693304,669707,643396,672744,665833,624428,54.41,0.157,0.156,0.0,1.0,0,0,3.0,50,1,Curveball,2,4,4,2,4,2,4,2,Standard,Standard,42.0,0.051,-0.259,69.2,6.0,0.199,0.259,88.0,-2,2,0.197,0.803,25,31,26,31,1,3,6.0,1.0,3.0,1.0,4.24,-0.64,0.64,44.6,6.133708793991668,16.000219912147358,31.93619537061961,32.94010660703175,28.22998986056385,1,-123.30909888520178,192.96597143569,4.419877070187033,-134.38118792290584,263.7379311597569,71.63282375310773
FF,2025-06-20,95.3,-0.88,6.27,"Canario, Alexander",543760,681347,single,hit_into_play,,,,,5.0,Marcus Semien singles on a sharp line drive to left fielder Alexander Canario.,R,R,R,PIT,TEX,X,7,line_drive,3,2,2025,-0.33,1.35,0.05,2.57,,,,1,1,Top,73.5,98.18,,,,,3.20472153832568,-138.66604305825598,-7.1328355731792685,-4.967138414016288,31.878557265280207,-13.42415866676138,3.38,1.66,198.0,103.6,11.0,95.6,2245.0,6.6,777432,663698,687462,693304,669707,643396,672744,665833,624428,53.94,0.917,0.883,0.9,1.0,1,0,4.0,4,8,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,205.0,-0.019,0.338,69.7,7.8,1.123,-0.338,103.6,-2,2,0.323,0.677,25,34,26,35,1,0,6.0,1.0,5.0,1.0,1.17,0.33,0.33,52.6,7.160857609529843,-9.25786225630519,36.55760821821696,31.31252866339227,28.851996375794577,0,-91.17252619201645,175.75997971030287,1.9003805556451048,-134.38118792290584,263.7379311597569,98.01585784870178
FF,2025-06-20,94.7,-0.93,6.27,"Canario, Alexander",608369,681347,field_out,hit_into_play,,,,,11.0,Corey Seager lines out sharply to left fielder Alexander Canario.,R,L,R,PIT,TEX,X,7,line_drive,2,1,2025,-0.66,1.39,-0.97,2.93,,,,0,1,Top,44.1,81.51,,,,,1.379789296974174,-137.7465610972876,-6.091296889915982,-8.713198089145555,34.05659064406276,-13.403181798140738,3.43,1.52,352.0,105.7,21.0,94.5,2238.0,6.4,777432,663698,687462,693304,669707,643396,672744,665833,624428,54.07,0.849,1.322,0.0,1.0,0,0,6.0,3,4,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,205.0,0.017,-0.306,,,2.326,0.306,105.7,-2,2,0.306,0.694,25,31,26,31,1,0,6.0,1.0,5.0,1.0,1.18,0.66,-0.66,49.5,,,,,,1,-201.1741306563277,288.8476573466899,3.5066884229273425,-134.38118792290584,263.7379311597569,71.35681851212904
FF,2025-06-20,95.3,-1.09,6.18,"Canario, Alexander",669701,681347,single,hit_into_play,,,,,9.0,Josh Smith singles on a line drive to left fielder Alexander Canario.,R,L,R,PIT,TEX,X,7,line_drive,0,1,2025,-0.57,1.3,0.38,1.97,,,,0,1,Top,50.95,117.9,,,,,5.135273657939484,-138.53114814301475,-8.315149465432517,-8.46598810401014,30.89044441607282,-13.702989244920454,3.16,1.47,236.0,80.9,21.0,95.2,2170.0,6.3,777432,663698,687462,693304,669707,643396,672744,665833,624428,54.19,0.803,0.723,0.9,1.0,1,0,4.0,1,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,210.0,-0.036,0.478,68.5,6.1,0.861,-0.478,88.0,0,0,0.5,0.5,25,27,26,28,1,0,6.0,5.0,5.0,1.0,1.21,0.57,-0.57,51.5,6.389817218644797,14.45972379886942,38.70921777942278,28.687438049545527,23.75464355372117,0,-160.40213473339026,173.1102399425618,2.7119880244501147,-134.38118792290584,263.7379311597569,94.28927875571708
FF,2025-06-06,93.6,1.16,5.81,"Canario, Alexander",592663,663559,double,hit_into_play,,,,,4.0,J.T. Realmuto doubles (9) on a sharp line drive to left fielder Alexander Canario.,R,R,L,PIT,PHI,X,7,line_drive,3,1,2025,0.5,1.59,-0.28,2.66,,,,0,4,Top,93.68,54.3,,,,,-4.92435759938161,-136.228802862431,-6.013466419505026,7.314201901422711,29.47293691452048,-11.263825648885472,3.66,1.7,321.0,110.0,15.0,95.5,2198.0,7.3,777621,680779,687462,693304,669707,643396,672744,665833,624428,53.16,0.674,0.776,1.25,1.0,1,1,6.0,27,5,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,167.0,-0.075,0.537,77.5,7.0,1.188,-0.537,110.0,0,0,0.5,0.5,28,34,28,34,2,1,6.0,2.0,5.0,1.0,1.01,0.5,-0.5,53.6,14.01788937753172,11.655407531083394,33.43953206048511,31.6114981856994,27.8035257672054,0,-69.10894220087285,313.4724136313695,2.665604982524997,-134.38118792290584,263.7379311597569,82.06086039225151
