pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-09-24,95.8,-1.02,6.15,"Clemens, Kody",641856,671737,field_out,hit_into_play,,,,,7.0,Billy McKinney flies out to left fielder Kody Clemens.,R,L,R,TEX,MIN,X,7,fly_ball,3,2,2025,-0.37,1.59,-0.4,1.72,,,,0,5,Bot,51.75,76.35,,,,,2.480257327677372,-139.22258529150164,-9.63618655579832,-5.339880760538946,32.873287170604,-9.461566581602494,3.13,1.44,353.0,97.5,31.0,95.5,2394.0,6.3,776192,680777,666397,680837,668904,686797,665019,681546,663616,54.22,0.343,0.611,0.0,1.0,0,0,5.0,34,6,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shade,Standard,201.0,-0.029,-0.345,71.5,7.1,1.174,0.345,97.5,0,0,0.565,0.565,24,30,24,31,2,1,7.0,84.0,,1.0,0.91,0.37,-0.37,56.1,8.730402539121595,4.950516247057393,37.802385969699095,41.80635458047677,27.50483716023358,1,-182.55997474776578,302.1272176088992,4.618635371493684,-140.84146883576724,264.8842778576781,55.9237900793798
FF,2025-09-24,95.8,-1.02,6.15,"Clemens, Kody",641856,671737,field_out,hit_into_play,,,,,7.0,Billy McKinney flies out to left fielder Kody Clemens.,R,L,R,TEX,MIN,X,7,fly_ball,3,2,2025,-0.37,1.59,-0.4,1.72,,,,0,5,Bot,51.75,76.35,,,,,2.480257327677372,-139.22258529150164,-9.63618655579832,-5.339880760538946,32.873287170604,-9.461566581602494,3.13,1.44,353.0,97.5,31.0,95.5,2394.0,6.3,776192,680777,666397,680837,668904,686797,665019,681546,663616,54.22,0.343,0.611,0.0,1.0,0,0,5.0,34,6,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shade,Standard,201.0,-0.029,-0.345,71.5,7.1,1.174,0.345,97.5,0,0,0.565,0.565,24,30,24,31,2,1,7.0,84.0,,1.0,0.91,0.37,-0.37,56.1,8.730402539121595,4.950516247057393,37.802385969699095,41.80635458047677,27.50483716023358,1,-182.55997474776578,302.1272176088992,4.618635371493684,-137.555167896266,258.7036447076656,62.538302849130375
FF,2025-09-24,96.7,-0.98,6.17,"Clemens, Kody",680737,671737,double,hit_into_play,,,,,13.0,Michael Helman doubles (4) on a fly ball to left fielder Kody Clemens.,R,R,R,TEX,MIN,X,7,fly_ball,2,1,2025,-0.53,1.49,-1.01,2.49,,,,2,3,Bot,52.07,131.0,,,,,1.131989157335577,-140.61952609257156,-7.588297622873958,-7.306335741713426,35.672305690786295,-10.92375314270753,3.66,1.7,224.0,67.7,39.0,96.4,2367.0,6.4,776192,680777,666397,680837,668904,686797,665019,681546,663616,54.05,0.617,0.581,1.25,1.0,1,1,4.0,19,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,200.0,0.027,0.544,,,0.694,-0.544,88.0,-1,-1,0.384,0.384,24,29,24,29,1,0,7.0,1.0,,1.0,0.98,0.53,0.53,55.7,,,,,,0,-165.08608736928548,151.4020599499909,3.9317669599029856,-140.84146883576724,264.8842778576781,116.04316140593387
FF,2025-09-24,96.7,-0.98,6.17,"Clemens, Kody",680737,671737,double,hit_into_play,,,,,13.0,Michael Helman doubles (4) on a fly ball to left fielder Kody Clemens.,R,R,R,TEX,MIN,X,7,fly_ball,2,1,2025,-0.53,1.49,-1.01,2.49,,,,2,3,Bot,52.07,131.0,,,,,1.131989157335577,-140.61952609257156,-7.588297622873958,-7.306335741713426,35.672305690786295,-10.92375314270753,3.66,1.7,224.0,67.7,39.0,96.4,2367.0,6.4,776192,680777,666397,680837,668904,686797,665019,681546,663616,54.05,0.617,0.581,1.25,1.0,1,1,4.0,19,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,200.0,0.027,0.544,,,0.694,-0.544,88.0,-1,-1,0.384,0.384,24,29,24,29,1,0,7.0,1.0,,1.0,0.98,0.53,0.53,55.7,,,,,,0,-165.08608736928548,151.4020599499909,3.9317669599029856,-137.555167896266,258.7036447076656,110.77717101703912
FF,2025-09-24,95.6,-0.99,5.98,"Clemens, Kody",641680,701519,single,hit_into_play,,,,,13.0,Jonah Heim singles on a line drive to left fielder Kody Clemens. Billy McKinney to 3rd.,R,L,R,TEX,MIN,X,7,line_drive,0,1,2025,-0.54,1.34,-1.05,2.18,,641856.0,,1,7,Bot,58.35,114.6,,,,,1.0477832317302895,-139.11245646033797,-7.350141951580669,-7.207713727271652,33.41909977148429,-13.37965685419587,3.47,1.58,203.0,97.2,10.0,95.1,2553.0,6.2,776192,680777,666397,680837,668904,686797,665019,681546,663616,54.34,0.751,0.704,0.9,1.0,1,0,4.0,50,2,4-Seam Fastball,2,1,2,1,1,2,2,1,Infield shade,Standard,210.0,0.038,0.578,62.5,7.3,0.854,-0.578,97.2,1,1,0.812,0.812,25,30,25,30,1,2,3.0,1.0,2.0,2.0,1.17,0.54,-0.54,41.5,0.036194513362585,17.806661683413875,23.63265621912541,50.24691995628452,19.112176822619727,0,-126.96771135070055,158.39255119596118,1.6517405417810622,-140.84146883576724,264.8842778576781,107.39166166024381
FF,2025-09-24,95.6,-0.99,5.98,"Clemens, Kody",641680,701519,single,hit_into_play,,,,,13.0,Jonah Heim singles on a line drive to left fielder Kody Clemens. Billy McKinney to 3rd.,R,L,R,TEX,MIN,X,7,line_drive,0,1,2025,-0.54,1.34,-1.05,2.18,,641856.0,,1,7,Bot,58.35,114.6,,,,,1.0477832317302895,-139.11245646033797,-7.350141951580669,-7.207713727271652,33.41909977148429,-13.37965685419587,3.47,1.58,203.0,97.2,10.0,95.1,2553.0,6.2,776192,680777,666397,680837,668904,686797,665019,681546,663616,54.34,0.751,0.704,0.9,1.0,1,0,4.0,50,2,4-Seam Fastball,2,1,2,1,1,2,2,1,Infield shade,Standard,210.0,0.038,0.578,62.5,7.3,0.854,-0.578,97.2,1,1,0.812,0.812,25,30,25,30,1,2,3.0,1.0,2.0,2.0,1.17,0.54,-0.54,41.5,0.036194513362585,17.806661683413875,23.63265621912541,50.24691995628452,19.112176822619727,0,-126.96771135070055,158.39255119596118,1.6517405417810622,-137.555167896266,258.7036447076656,100.86827904558571
CH,2025-09-24,86.5,-1.32,5.51,"Clemens, Kody",641856,701519,single,hit_into_play,,,,,11.0,Billy McKinney singles on a line drive to left fielder Kody Clemens. Ezequiel Duran scores. Billy McKinney to 2nd.,R,L,R,TEX,MIN,X,7,line_drive,1,1,2025,-1.15,0.43,-1.17,2.45,,677649.0,,1,7,Bot,98.79,107.98,,,,,2.7214256719468466,-126.01499270886065,-1.9759403596089045,-12.808766823058264,25.14132211293005,-27.380059089864737,3.13,1.44,242.0,87.0,17.0,86.8,1993.0,6.4,776192,680777,666397,680837,668904,686797,665019,681546,663616,54.13,0.929,0.858,0.9,1.0,1,0,4.0,49,3,Changeup,1,1,1,1,1,2,2,1,Infield shade,Standard,234.0,0.188,0.553,65.0,6.8,1.043,-0.553,88.0,0,0,0.624,0.624,25,30,25,31,1,2,3.0,84.0,2.0,1.0,2.6,1.15,-1.15,32.8,9.62554256083284,14.74848238661408,26.226900223415225,52.44383649889166,20.494360222244687,0,-68.45959999975871,232.1148060074433,2.3968588116590754,-140.84146883576724,264.8842778576781,79.45422091705686
CH,2025-09-24,86.5,-1.32,5.51,"Clemens, Kody",641856,701519,single,hit_into_play,,,,,11.0,Billy McKinney singles on a line drive to left fielder Kody Clemens. Ezequiel Duran scores. Billy McKinney to 2nd.,R,L,R,TEX,MIN,X,7,line_drive,1,1,2025,-1.15,0.43,-1.17,2.45,,677649.0,,1,7,Bot,98.79,107.98,,,,,2.7214256719468466,-126.01499270886065,-1.9759403596089045,-12.808766823058264,25.14132211293005,-27.380059089864737,3.13,1.44,242.0,87.0,17.0,86.8,1993.0,6.4,776192,680777,666397,680837,668904,686797,665019,681546,663616,54.13,0.929,0.858,0.9,1.0,1,0,4.0,49,3,Changeup,1,1,1,1,1,2,2,1,Infield shade,Standard,234.0,0.188,0.553,65.0,6.8,1.043,-0.553,88.0,0,0,0.624,0.624,25,30,25,31,1,2,3.0,84.0,2.0,1.0,2.6,1.15,-1.15,32.8,9.62554256083284,14.74848238661408,26.226900223415225,52.44383649889166,20.494360222244687,0,-68.45959999975871,232.1148060074433,2.3968588116590754,-137.555167896266,258.7036447076656,74.03488263222471
CH,2025-09-24,83.1,-1.64,5.75,"Clemens, Kody",642133,689520,field_out,hit_into_play,,,,,7.0,Rowdy Tellez lines out to left fielder Kody Clemens.,R,L,R,TEX,MIN,X,7,line_drive,0,2,2025,-1.43,0.59,-0.79,1.6,,,,0,8,Bot,74.54,97.49,,,,,4.743124118656227,-120.87485357063626,-4.162615879311289,-14.952937217484555,24.692222603304003,-25.76616429759285,3.61,1.62,283.0,86.5,21.0,82.7,1898.0,6.1,776192,680777,666397,680837,668904,686797,665019,681546,663616,54.37,0.434,0.391,0.0,1.0,0,0,3.0,60,3,Changeup,4,2,4,2,2,4,4,2,Infield shade,Standard,239.0,-0.005,-0.165,64.5,7.9,0.521,0.165,88.0,2,2,0.942,0.942,27,30,27,30,1,3,5.0,3.0,4.0,1.0,2.73,1.43,-1.43,34.7,-3.4248847577412427,5.810904696625822,37.10014250313827,43.55454367060961,28.154857151823688,1,-127.54313751677721,252.62966585968573,2.890704086756518,-140.84146883576724,264.8842778576781,18.08372558658669
CH,2025-09-24,83.1,-1.64,5.75,"Clemens, Kody",642133,689520,field_out,hit_into_play,,,,,7.0,Rowdy Tellez lines out to left fielder Kody Clemens.,R,L,R,TEX,MIN,X,7,line_drive,0,2,2025,-1.43,0.59,-0.79,1.6,,,,0,8,Bot,74.54,97.49,,,,,4.743124118656227,-120.87485357063626,-4.162615879311289,-14.952937217484555,24.692222603304003,-25.76616429759285,3.61,1.62,283.0,86.5,21.0,82.7,1898.0,6.1,776192,680777,666397,680837,668904,686797,665019,681546,663616,54.37,0.434,0.391,0.0,1.0,0,0,3.0,60,3,Changeup,4,2,4,2,2,4,4,2,Infield shade,Standard,239.0,-0.005,-0.165,64.5,7.9,0.521,0.165,88.0,2,2,0.942,0.942,27,30,27,30,1,3,5.0,3.0,4.0,1.0,2.73,1.43,-1.43,34.7,-3.4248847577412427,5.810904696625822,37.10014250313827,43.55454367060961,28.154857151823688,1,-127.54313751677721,252.62966585968573,2.890704086756518,-137.555167896266,258.7036447076656,11.710421485391267
