pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CH,2025-07-20,84.5,1.87,5.8,"Duran, Ezequiel",650402,656641,single,hit_into_play,,,,,2.0,Gleyber Torres singles on a line drive to left fielder Ezequiel Duran.,R,R,L,TEX,DET,X,7,line_drive,0,0,2025,1.16,1.06,0.11,2.85,,,,1,5,Top,71.05,100.61,,,,,-6.44386016910457,-122.90559194719968,-2.6268176005078963,13.065129783941064,25.13703034308773,-21.07632548195204,3.22,1.51,239.0,80.6,23.0,84.9,1685.0,6.7,777073,641680,679822,543760,683227,608369,677649,694671,666969,53.83,0.549,0.498,0.9,1.0,1,0,4.0,34,1,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,126.0,-0.026,0.415,77.5,7.7,0.624,-0.415,88.0,-1,1,0.379,0.621,29,28,29,29,3,2,10.0,1.0,5.0,1.0,2.14,1.16,-1.16,52.2,25.709846928317805,-11.18635108783758,29.7322963484986,36.7635872992673,43.95376598984501,0,-116.25560839562874,208.8196195680909,2.9347828236594378,-137.08569633348012,257.8206971148067,53.24470080898077
FF,2025-07-20,93.7,1.67,5.97,"Duran, Ezequiel",672761,656641,single,hit_into_play,,,,,2.0,Wenceel Pérez singles on a sharp line drive to left fielder Ezequiel Duran.,R,R,L,TEX,DET,X,7,line_drive,1,1,2025,0.74,1.43,-0.22,3.17,,,,0,2,Top,59.46,102.46,,,,,-6.596689810145143,-136.3026692654075,-4.684801912691797,10.679008265020816,29.91442942668293,-13.523248184798222,3.17,1.44,210.0,105.4,12.0,94.6,2234.0,6.9,777073,641680,679822,543760,683227,608369,677649,694671,666969,53.65,0.903,0.897,0.9,1.0,1,0,4.0,9,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,152.0,-0.038,0.447,71.6,6.8,1.186,-0.447,105.4,0,0,0.5,0.5,29,25,29,26,1,0,10.0,1.0,5.0,2.0,1.17,0.74,-0.74,46.5,15.652763450651404,-8.055718703898359,24.318794786382565,29.67132980365558,29.2752681422791,0,-119.08212790767534,172.97238742926584,2.0872549104193485,-137.08569633348012,257.8206971148067,86.7373283687945
FF,2025-07-20,94.2,1.72,5.86,"Duran, Ezequiel",679529,656641,field_out,hit_into_play,,,,,3.0,Spencer Torkelson flies out to left fielder Ezequiel Duran.,R,R,L,TEX,DET,X,7,fly_ball,3,1,2025,0.82,1.43,0.43,3.1,,,650402.0,2,1,Top,93.93,90.24,,,,,-5.22205152196998,-136.96887606408814,-4.618746478347463,11.536987860081029,32.833421479053925,-13.386486444681836,3.58,1.68,283.0,99.7,52.0,94.7,2255.0,6.8,777073,641680,679822,543760,683227,608369,677649,694671,666969,53.71,0.014,0.022,0.0,1.0,0,0,3.0,4,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,148.0,0.022,-0.389,75.1,8.2,0.033,0.389,99.7,0,0,0.525,0.475,29,25,29,26,1,0,10.0,1.0,5.0,1.0,1.16,0.82,-0.82,48.9,16.456639605394756,-10.703737607330323,34.42141564103775,42.02075950286902,29.65275628023787,1,-79.19654023055409,271.69267199449865,7.188755158063145,-137.08569633348012,257.8206971148067,59.528027695966394
SL,2025-07-20,86.2,-2.57,6.19,"Duran, Ezequiel",672761,592426,field_out,hit_into_play,,,,,7.0,Wenceel Pérez flies out to left fielder Ezequiel Duran.,R,L,R,TEX,DET,X,7,fly_ball,1,0,2025,-0.19,-0.33,-0.35,1.56,,,,1,6,Top,57.9,80.06,,,,,5.717373082580421,-125.36400838396804,-4.065607438088382,-3.2852542694460705,27.351536086624986,-34.98787876587356,3.17,1.44,338.0,94.5,27.0,86.6,2197.0,6.7,777073,641680,679822,543760,683227,608369,677649,694671,666969,53.77,0.149,0.194,0.0,1.0,0,0,3.0,40,2,Slider,0,1,1,0,1,0,1,0,Infield shade,Standard,32.0,0.018,-0.294,69.8,7.1,0.328,0.294,94.5,-1,1,0.357,0.643,33,25,34,26,1,2,8.0,1.0,2.0,2.0,3.42,0.19,-0.19,46.8,-1.4842493095189566,6.88954984941919,35.68560483216125,39.49841375602213,23.04636636261456,1,-167.6414817866877,293.4967352192587,3.9585341919621966,-137.08569633348012,257.8206971148067,46.972712498777035
CH,2025-07-20,85.0,1.85,5.88,"Duran, Ezequiel",650402,656641,single,hit_into_play,,,,,9.0,Gleyber Torres singles on a line drive to left fielder Ezequiel Duran.,R,R,L,TEX,DET,X,7,line_drive,1,0,2025,1.39,0.45,0.51,1.69,,,,1,1,Top,93.01,91.57,,,,,-5.9467108828888895,-123.567873666862,-4.327031498471484,15.441398567761036,26.809670264878115,-26.89770289175684,3.22,1.51,250.0,76.1,26.0,85.0,1964.0,6.5,777073,641680,679822,543760,683227,608369,677649,694671,666969,53.97,0.606,0.558,0.9,1.0,1,0,4.0,2,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,120.0,-0.025,0.376,67.3,7.8,0.676,-0.376,88.0,0,0,0.522,0.478,29,28,29,29,1,0,10.0,1.0,5.0,1.0,2.74,1.39,-1.39,46.9,10.746623392332369,-8.956768608065827,36.48303004897595,41.63018481332925,38.53650504962278,0,-72.65925479695079,239.20834578323513,3.1015919777828462,-137.08569633348012,257.8206971148067,67.06106166136713
SL,2025-07-20,85.1,-2.27,6.33,"Duran, Ezequiel",679529,592426,field_out,hit_into_play,,,,,2.0,Spencer Torkelson flies out to left fielder Ezequiel Duran.,R,R,R,TEX,DET,X,7,fly_ball,2,1,2025,0.13,-0.4,-0.15,3.11,,,,0,6,Top,40.81,116.46,,,,,4.728024148828817,-123.81250248713194,-0.4255596897753887,0.4174061976267458,25.2700941537516,-36.42574452466862,3.58,1.68,292.0,98.9,48.0,85.5,2307.0,6.6,777073,641680,679822,543760,683227,608369,677649,694671,666969,53.88,0.011,0.012,0.0,1.0,0,0,3.0,39,4,Slider,0,1,1,0,1,0,1,0,Standard,Standard,32.0,0.024,-0.306,73.9,7.8,0.024,0.306,98.9,-1,1,0.333,0.667,33,25,34,26,1,2,8.0,1.0,2.0,1.0,3.55,-0.13,-0.13,55.3,10.740747234047484,-17.59920045372722,30.55222187169188,35.09764967850145,35.66138754338488,1,-209.91939493621825,202.9725292486942,6.728507378888757,-137.08569633348012,257.8206971148067,91.1760339695896
FF,2025-06-27,94.1,3.66,5.56,"Duran, Ezequiel",664238,676395,field_out,hit_into_play,,,,,1.0,Dylan Moore flies out to left fielder Ezequiel Duran.,R,R,L,TEX,SEA,X,7,fly_ball,1,2,2025,0.73,0.93,-0.45,3.32,,,,2,9,Top,50.81,119.67,,,,,-12.33540639095787,-136.42426469843411,-2.1011326122599736,11.943323791301486,32.20029333729068,-20.33174699143993,3.42,1.52,270.0,92.3,48.0,94.2,,6.7,777340,641680,669701,543760,673962,608369,677649,694497,666969,53.78,0.001,0.0,0.0,1.0,0,0,3.0,77,6,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,,0.032,-0.183,73.8,6.8,0.001,0.183,92.3,0,0,0.602,0.398,29,32,29,33,1,1,3.0,1.0,1.0,1.0,1.68,0.73,-0.73,21.5,14.415107258856231,-9.143135218623591,18.91732737136815,33.35904745712256,27.723958852735265,1,-185.88376715682347,195.82447525165958,6.283300073650061,-137.08569633348012,257.8206971148067,78.89729552642851
SI,2025-06-27,94.4,-1.71,5.62,"Duran, Ezequiel",670156,542888,single,hit_into_play,,,,,5.0,"Rangers challenged (tag play), call on the field was upheld: Miles Mastrobuoni singles on a line drive to left fielder Ezequiel Duran. Randy Arozarena scores. Miles Mastrobuoni to 2nd.",R,L,R,TEX,SEA,X,7,line_drive,0,2,2025,-1.19,0.64,-0.13,2.28,,668227.0,,2,12,Top,85.37,114.59,,,,,6.802783559426882,-137.2812951840944,-4.453590394100731,-16.562400712724823,30.553384550018343,-23.282514574890776,3.14,1.4,199.0,87.1,14.0,95.0,,6.7,777340,543309,669701,543760,673962,608369,677649,694497,666969,53.84,0.946,0.889,0.9,1.0,1,0,4.0,101,3,Sinker,6,6,6,6,7,6,7,6,Standard,Standard,,-0.322,0.769,68.2,5.9,1.087,-0.769,88.0,0,0,0.698,0.302,34,29,35,30,1,1,6.0,1.0,1.0,1.0,1.92,1.19,-1.19,34.2,1.3473870250831907,13.928923778078415,31.47861356839956,37.63877965638276,24.46382841744644,0,-85.91049543974287,179.50038098371246,2.013707057904768,-137.08569633348012,257.8206971148067,93.55732523639668
FC,2025-06-27,89.6,-1.6,5.81,"Duran, Ezequiel",670042,542888,field_out,hit_into_play,,,,,2.0,Luke Raley flies out to left fielder Ezequiel Duran.,R,L,R,TEX,SEA,X,7,fly_ball,2,1,2025,0.53,0.58,0.01,3.25,,668227.0,,0,12,Top,65.25,101.91,,,,,2.858636112900269,-130.54541126217782,-1.6068239882431783,5.5165787165450695,26.117440760794672,-25.37067471047292,3.48,1.56,284.0,94.6,49.0,90.4,,6.6,777340,543309,669701,543760,673962,608369,677649,694497,666969,53.92,0.003,0.003,0.0,1.0,0,0,3.0,99,4,Cutter,6,6,6,6,6,6,6,6,Infield shade,Standard,,0.115,-0.316,72.8,6.4,0.004,0.316,94.6,0,0,0.5,0.5,34,30,35,31,1,5,6.0,2.0,1.0,1.0,2.24,-0.53,0.53,40.7,13.458694071375255,13.02173317552198,24.57808049149931,38.37651122250547,25.73416910251381,1,-150.4208126236123,240.89329407364605,6.537720773091709,-137.08569633348012,257.8206971148067,21.549067269588353
CU,2025-06-27,84.8,-2.14,6.35,"Duran, Ezequiel",456781,592426,single,hit_into_play,,,,,11.0,Donovan Solano singles on a line drive to left fielder Ezequiel Duran. Dylan Moore scores.,R,R,R,TEX,SEA,X,7,line_drive,0,0,2025,0.61,-1.07,-0.92,2.5,664238.0,,,1,10,Top,88.28,106.62,,,,,1.6456896992148864,-123.43219004141832,-0.4778103567504875,5.878294014587704,26.052102569951167,-43.21477229464384,3.26,1.46,249.0,82.5,23.0,85.1,,6.6,777340,543309,669701,543760,673962,608369,677649,694497,666969,53.93,0.52,0.506,0.9,1.0,1,0,4.0,83,1,Curveball,5,5,5,5,6,5,6,5,Strategic,Standard,,-0.134,0.461,65.5,6.6,0.644,-0.461,88.0,0,0,0.492,0.508,33,37,34,38,1,1,3.0,1.0,2.0,1.0,4.26,-0.61,-0.61,49.6,11.16800072730586,-4.520511270476009,37.729306627898815,26.752345118205177,27.43671696660424,0,-93.51725623138208,230.77158141104383,3.0010637222521783,-137.08569633348012,257.8206971148067,51.2821960653564
