pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FS,2025-09-20,82.5,-0.7,6.09,"Hays, Austin",691718,641793,field_out,hit_into_play,,,,,4.0,Pete Crow-Armstrong flies out to left fielder Austin Hays.,R,L,R,CIN,CHC,X,7,fly_ball,0,1,2025,-0.94,-0.41,-0.56,1.95,,,,2,4,Top,59.79,125.52,,,,,2.155848209921289,-120.12857638377724,-2.049402741954925,-9.51034788077266,25.74216979816382,-35.89286779011718,3.02,1.38,245.0,82.9,49.0,81.8,1195.0,6.0,776254,663886,668715,680574,663647,682829,669720,670770,666181,54.46,0.009,0.008,0.0,1.0,0,0,3.0,30,2,Split-Finger,2,1,1,2,1,2,1,2,Infield shade,Standard,257.0,0.013,-0.218,71.6,7.2,0.013,0.218,88.0,1,-1,0.677,0.323,29,23,30,23,2,1,5.0,1.0,6.0,1.0,3.78,0.94,-0.94,37.2,8.001836814774034,4.872563440093089,35.75489476906134,40.473483993997846,38.42019095604687,1,-164.1103805027937,181.91421882642453,5.736655371706485,-134.83517842264538,264.62893768394525,87.7425904137336
FF,2025-09-20,91.8,-0.32,6.29,"Hays, Austin",621020,641793,field_out,hit_into_play,,,,,5.0,Dansby Swanson lines out to left fielder Austin Hays.,R,R,R,CIN,CHC,X,7,line_drive,0,1,2025,-0.68,1.45,0.27,2.29,,,,1,4,Top,70.59,84.59,,,,,2.966613047125751,-133.4927220529038,-7.412118492360594,-8.725017333745576,28.286751189395467,-13.385121979087124,3.56,1.63,315.0,87.8,26.0,91.9,2076.0,6.4,776254,663886,668715,680574,663647,682829,669720,670770,666181,54.14,0.1,0.115,0.0,1.0,0,0,3.0,29,2,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,207.0,0.02,-0.216,72.6,7.8,0.177,0.216,88.0,1,-1,0.657,0.343,29,31,30,31,2,1,5.0,1.0,6.0,1.0,1.25,0.68,0.68,44.2,24.582245693591087,-3.583518422956905,35.2841880439608,38.661524433058375,38.65369015685882,1,-136.84474315246817,283.72260444232325,3.561439046250653,-134.83517842264538,264.62893768394525,19.19912656042812
SI,2025-09-20,91.1,-0.66,6.1,"Hays, Austin",807713,641793,field_out,hit_into_play,,,,,11.0,Matt Shaw flies out to left fielder Austin Hays.,R,R,R,CIN,CHC,X,7,fly_ball,2,1,2025,-1.28,1.1,-0.33,3.44,,,,1,2,Top,56.39,103.57,,,,,3.579427000409158,-132.54882702238945,-3.1219522984548536,-15.819272106428595,29.775292699977687,-18.760536392483782,3.17,1.46,292.0,80.7,35.0,90.8,2105.0,6.2,776254,663886,668715,680574,663647,682829,669720,670770,666181,54.27,0.037,0.048,0.0,1.0,0,0,3.0,10,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,215.0,0.017,-0.299,70.9,6.7,0.071,0.299,88.0,0,0,0.523,0.477,29,23,30,24,1,0,5.0,1.0,6.0,3.0,1.66,1.28,1.28,38.1,19.431215446627323,-8.760042040392428,18.165305422455543,29.484308472031262,35.53891569771504,1,-172.0023433815108,235.96439110863494,4.263821790390985,-134.83517842264538,264.62893768394525,46.93670612055822
FF,2025-09-19,94.1,3.87,5.49,"Hays, Austin",457759,666157,single,hit_into_play,,,,,3.0,Justin Turner singles on a line drive to left fielder Austin Hays. Carson Kelly to 2nd.,R,R,L,CIN,CHC,X,7,line_drive,0,1,2025,1.22,0.65,0.58,3.34,,,608348.0,2,5,Top,69.69,120.93,,,,,-11.169836846549329,-136.61019921786624,-1.3058546338965262,17.673730272192568,29.44547233205012,-23.87919703645053,3.4,1.56,143.0,78.9,13.0,93.8,2156.0,6.2,776267,624431,668715,680574,663647,682829,669720,670770,682622,54.31,0.529,0.517,0.9,1.0,1,0,4.0,40,2,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,115.0,-0.02,0.388,66.7,6.5,0.611,-0.388,88.0,-1,1,0.382,0.618,27,40,27,41,3,2,5.0,2.0,6.0,2.0,1.93,1.22,-1.22,14.9,13.079278896144904,-14.314498208537849,24.72763036569748,38.24510120978943,45.22419606901407,0,-83.6002246662728,116.01725059554167,1.7261928661371335,-134.83517842264538,264.62893768394525,157.19559162291802
CU,2025-09-19,81.3,3.97,5.55,"Hays, Austin",664023,666157,double,hit_into_play,,,,,6.0,Ian Happ doubles (29) on a sharp line drive to left fielder Austin Hays. Nico Hoerner scores.,R,R,L,CIN,CHC,X,7,line_drive,0,0,2025,-0.72,-0.17,0.52,2.64,,,663538.0,1,3,Top,79.26,65.72,,,,,-6.3425817047612725,-118.33249927440256,0.3819966825126093,-5.573089728409129,22.206220765871752,-34.04357821709105,3.6,1.65,377.0,107.8,21.0,81.1,2642.0,6.1,776267,624431,668715,680574,663647,682829,669720,670770,682622,54.41,0.886,1.423,1.25,1.0,1,1,6.0,20,1,Curveball,1,1,1,1,2,1,2,1,Standard,Standard,291.0,-0.133,0.791,76.4,7.3,2.568,-0.791,107.8,0,0,0.497,0.503,27,30,27,31,2,1,5.0,1.0,6.0,1.0,3.61,-0.72,0.72,15.9,-11.966671922305895,-19.098870918396784,36.338380428800754,41.40227507630293,32.72283089460086,0,-123.98561556526114,356.0288852507662,3.5742952840203275,-134.83517842264538,264.62893768394525,92.04163964974741
FF,2025-09-19,95.9,-1.5,5.55,"Hays, Austin",664023,641941,field_out,hit_into_play,,,,,5.0,Ian Happ flies out to left fielder Austin Hays.,R,L,R,CIN,CHC,X,7,fly_ball,2,2,2025,-0.63,1.56,-0.08,2.95,,807713.0,,2,9,Top,109.8,106.34,,,,,5.270118639496059,-139.4359434360063,-4.803769993153921,-9.44679109001422,32.72018781243163,-10.988579854536868,3.6,1.65,237.0,91.3,55.0,96.8,2591.0,7.0,776267,624431,668715,680574,663647,682829,669720,670770,682622,53.53,0.009,0.009,0.0,1.0,0,0,3.0,74,6,4-Seam Fastball,7,4,4,7,4,7,4,7,Infield shade,Standard,202.0,0.012,-0.221,72.2,6.5,0.011,0.221,91.3,3,-3,0.988,0.012,34,30,34,31,1,4,2.0,1.0,1.0,1.0,0.93,0.63,-0.63,42.5,14.770710001565792,-0.897044274372502,31.090365934362005,34.29145560807282,35.19339449608957,1,-39.700123041505314,233.6512363127774,6.845785142941,-134.83517842264538,264.62893768394525,100.05147047701918
FF,2025-09-19,93.4,-1.28,6.23,"Hays, Austin",663538,607259,field_out,hit_into_play,,,,,4.0,Nico Hoerner flies out to left fielder Austin Hays.,R,R,R,CIN,CHC,X,7,fly_ball,1,0,2025,-0.85,1.44,-0.79,2.18,,,,0,7,Top,97.02,72.07,,,,,3.100699302528682,-135.89487093122372,-7.8278973200744755,-11.22601323653774,28.29786142887553,-12.79198675630743,3.35,1.56,323.0,88.0,35.0,93.1,2256.0,6.0,776267,624431,668715,680574,663647,682829,669720,670770,682622,54.49,0.026,0.032,0.0,1.0,0,0,3.0,57,2,4-Seam Fastball,7,4,4,7,4,7,4,7,Standard,Standard,198.0,0.022,-0.301,70.7,7.7,0.051,0.301,88.0,3,-3,0.902,0.098,34,28,35,28,1,3,6.0,1.0,2.0,1.0,1.16,0.85,0.85,60.4,12.664429522710837,-12.595161424669469,40.798135329988,28.050730280526025,26.71673276888716,1,-70.91432229666273,315.11927724784636,4.642001101807797,-134.83517842264538,264.62893768394525,81.45643152726868
ST,2025-09-19,86.9,-1.92,5.78,"Hays, Austin",621020,683175,field_out,hit_into_play,,,,,8.0,Dansby Swanson lines out to left fielder Austin Hays.,R,R,R,CIN,CHC,X,7,line_drive,0,0,2025,1.29,0.3,0.18,1.7,,608348.0,457759.0,2,5,Top,87.34,84.83,,,,,2.380358553183069,-126.50121064202052,-4.151708766667452,13.264398278050168,27.475783607950568,-28.26935394760501,3.55,1.63,300.0,87.1,23.0,86.1,2323.0,5.9,776267,624431,668715,680574,663647,682829,669720,670770,682622,54.62,0.214,0.205,0.0,1.0,0,0,3.0,41,1,Sweeper,3,4,4,3,4,3,4,3,Standard,Standard,59.0,0.045,-0.283,69.3,7.9,0.29,0.283,88.0,-1,1,0.362,0.638,24,31,24,31,1,2,4.0,1.0,4.0,1.0,2.73,-1.29,-1.29,33.4,22.12040715400223,1.0539539727976397,39.707496650784485,37.88705714960217,36.02480549808056,1,-95.46981832525906,284.4037865235659,3.1617724933702847,-134.83517842264538,264.62893768394525,44.05310683966275
FF,2025-09-18,99.9,-1.33,6.17,"Hays, Austin",683737,668881,field_out,hit_into_play,,,,,5.0,Michael Busch flies out to left fielder Austin Hays.,R,L,R,CIN,CHC,X,7,fly_ball,2,0,2025,-0.56,1.55,0.01,2.23,,,,0,4,Top,78.63,67.43,,,,,5.034423876103288,-145.19511676920857,-9.164125371573068,-9.071268719917384,33.32244039288896,-8.308133041270796,3.31,1.55,346.0,96.7,36.0,100.5,2342.0,6.6,776282,663886,668715,680574,701398,682829,669720,670770,666181,53.86,0.206,0.397,0.0,1.0,0,0,3.0,21,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,216.0,0.027,-0.378,71.5,6.8,0.753,0.378,96.7,0,0,0.5,0.5,25,27,26,28,2,1,5.0,1.0,6.0,1.0,0.74,0.56,-0.56,40.6,6.077168033690164,8.166446206698991,41.52171931279357,33.77461974085773,26.64682061002579,1,-116.50803866788524,325.7942248195363,5.2177894680643195,-134.83517842264538,264.62893768394525,63.851988238188845
SL,2025-09-17,83.2,-1.47,5.18,"Hays, Austin",695336,663903,field_out,hit_into_play,,,,,5.0,Thomas Saggese flies out to left fielder Austin Hays.,R,R,R,STL,CIN,X,7,fly_ball,0,0,2025,0.37,-0.15,0.09,2.18,,,,1,2,Bot,58.97,102.91,,,,,2.893024242389563,-121.32548518339074,-0.2089815477304917,3.139565124702845,21.01369058747372,-33.815838673382146,3.45,1.59,289.0,81.4,30.0,84.9,2420.0,7.0,776283,624431,668715,680574,701398,682829,669720,666181,682622,53.48,0.094,0.107,0.0,1.0,0,0,3.0,13,1,Slider,1,0,1,0,0,1,1,0,Standard,Standard,83.0,-0.014,-0.255,76.2,7.8,0.154,0.255,88.0,1,1,0.64,0.64,28,23,29,23,1,0,5.0,1.0,6.0,2.0,3.4,-0.37,-0.37,25.2,24.8715484367915,-20.526651083612894,35.52419136661706,34.82332640615596,44.97148666460788,1,-165.22627192697058,237.11026773447577,3.760250667433906,-134.83517842264538,264.62893768394525,40.99872876293205
