pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CH,2025-05-11,86.9,-1.3,5.48,"India, Jonathan",666152,607625,field_out,hit_into_play,,,,,7.0,David Hamilton flies out to left fielder Jonathan India.,R,L,R,KC,BOS,X,7,fly_ball,2,1,2025,-1.15,0.33,-0.47,1.62,,,,1,5,Top,63.32,119.51,,,,,4.321793014613943,-126.49760450690236,-3.744252435210632,-13.255232278998667,24.331897318105813,-28.1252050283288,3.33,1.49,251.0,80.0,47.0,86.5,1631.0,5.9,777965,571912,521692,686681,672580,677951,663697,664728,671221,54.62,0.031,0.028,0.0,1.0,0,0,3.0,31,4,Changeup,1,1,1,1,1,1,1,1,Standard,Standard,241.0,0.021,-0.299,70.2,7.5,0.04,0.299,88.0,0,0,0.53,0.47,35,27,36,28,2,1,5.0,7.0,19.0,1.0,2.68,1.15,-1.15,30.3,6.876921980047826,1.338805538091281,34.9381912646438,43.59494039907584,30.55931787297311,1,-155.40897521614545,197.10162460585528,5.3689893724906455,-137.08569633348012,257.8206971148067,63.423562777245735
FF,2025-05-11,97.0,-3.35,5.62,"India, Jonathan",666152,674444,field_out,hit_into_play,,,,,5.0,David Hamilton flies out to left fielder Jonathan India.,R,L,R,KC,BOS,X,7,fly_ball,2,2,2025,-0.55,1.1,-0.16,2.52,,,,2,7,Top,76.78,100.17,,,,,9.838860663364892,-140.9171976810793,-5.257087585053599,-9.622482885693,33.47001430765006,-16.508220522003,3.33,1.49,275.0,78.8,38.0,97.3,2303.0,6.7,777965,571912,521692,686681,672580,677951,663697,664728,671221,53.82,0.034,0.036,0.0,1.0,0,0,3.0,46,5,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,214.0,0.008,-0.224,69.1,7.2,0.058,0.224,88.0,-2,2,0.201,0.799,26,27,26,28,1,2,2.0,7.0,1.0,1.0,1.34,0.55,-0.55,30.6,0.6033000204682692,2.121025841616269,31.542288757581616,40.57153594502954,24.04011180471584,1,-122.15927759155512,246.37798379382312,4.464845198140656,-137.08569633348012,257.8206971148067,18.807808607211655
FF,2025-05-09,94.1,-1.52,5.82,"India, Jonathan",677800,547179,field_out,hit_into_play,,,,,4.0,Wilyer Abreu flies out to left fielder Jonathan India.,R,L,R,KC,BOS,X,7,fly_ball,1,0,2025,-0.98,1.33,-0.39,2.54,,,,0,7,Top,52.25,95.63,,,,,5.054805922858485,-136.82476391101827,-5.691863411947163,-13.392324195946369,30.50302223206537,-14.427637971123325,3.25,1.54,314.0,92.4,34.0,93.4,2324.0,5.9,777990,666023,521692,686681,672580,677951,663697,664728,592192,54.58,0.066,0.11,0.0,1.0,0,0,3.0,45,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,225.0,0.039,-0.301,77.5,6.7,0.206,0.301,92.4,0,0,0.5,0.5,33,26,33,26,3,2,5.0,1.0,5.0,1.0,1.25,0.98,-0.98,44.1,0.7399381391548457,6.576190292452532,32.17899010973212,38.64932131993068,22.75926611150108,1,-182.27071662403964,255.68219699728616,4.7500093235378875,-137.08569633348012,257.8206971148067,45.235597060400465
FF,2025-05-09,93.7,-1.61,5.79,"India, Jonathan",678882,547179,double,hit_into_play,,,,,4.0,Ceddanne Rafaela doubles (5) on a sharp fly ball to left fielder Jonathan India.,R,R,R,KC,BOS,X,7,fly_ball,3,1,2025,-0.81,1.42,-0.7,2.91,,,,0,6,Top,42.0,87.0,,,,,4.106149572355086,-136.3160403811835,-4.809299720476569,-10.955202068243846,29.7984718497844,-13.560501239678452,3.57,1.69,367.0,106.4,22.0,93.1,2190.0,5.9,777990,666023,521692,686681,672580,677951,663697,664728,592192,54.56,0.843,1.419,1.25,1.0,1,1,6.0,37,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,225.0,-0.094,0.537,74.3,7.2,2.62,-0.537,106.4,0,0,0.5,0.5,33,24,33,25,2,1,5.0,1.0,5.0,1.0,1.17,0.81,0.81,42.4,18.083252191505952,-4.270615241050851,34.55139903844107,27.07968292214069,33.17390545862626,0,-220.14510502016913,293.6411632173846,3.684517036577643,-137.08569633348012,257.8206971148067,90.45424900571759
FC,2025-05-09,89.4,-1.45,5.87,"India, Jonathan",608324,547179,field_out,hit_into_play,,,,,2.0,Alex Bregman lines out to left fielder Jonathan India.,R,R,R,KC,BOS,X,7,line_drive,3,1,2025,0.23,0.42,0.06,2.83,,,646240.0,1,4,Top,49.14,88.84,,,,,3.223509292147833,-130.18533383076507,-2.388720554409874,1.9502178913834085,26.01127606398633,-27.133462566242976,3.36,1.61,331.0,96.2,20.0,89.0,2430.0,5.9,777990,666023,521692,686681,672580,677951,663697,664728,592192,54.6,0.329,0.388,0.0,1.0,0,0,4.0,23,5,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,198.0,0.034,-0.407,73.4,7.2,0.601,0.407,96.2,0,0,0.497,0.503,33,31,33,31,2,1,5.0,1.0,5.0,1.0,2.42,-0.23,-0.23,42.4,16.507092372129406,-5.647507828370092,21.91241894886988,33.528308392088924,34.15835309372454,1,-189.2810839372923,271.5394469750642,3.060666424927049,-137.08569633348012,257.8206971148067,53.96816269654273
FF,2025-05-09,94.1,-1.58,6.01,"India, Jonathan",647351,547179,field_out,hit_into_play,,,,,7.0,Abraham Toro lines out to left fielder Jonathan India.,R,L,R,KC,BOS,X,7,line_drive,0,1,2025,-1.1,1.2,-0.44,1.77,,,,0,3,Top,68.45,99.5,,,,,5.339924552031257,-136.8401987179745,-7.886319947366078,-14.99691965975562,29.95041424818456,-15.551991477274855,3.34,1.65,286.0,96.3,17.0,93.4,2285.0,5.9,777990,666023,521692,686681,672580,677951,663697,664728,592192,54.63,0.52,0.507,0.0,1.0,0,0,4.0,14,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,221.0,0.025,-0.22,69.3,7.5,0.694,0.22,96.3,0,0,0.5,0.5,33,28,33,29,1,0,5.0,1.0,5.0,3.0,1.38,1.1,-1.1,49.6,-3.740837156944409,1.2647088584453554,38.49141428691132,40.258561285205005,24.285170770865435,1,-142.89673530008727,247.74285668930352,2.63765484915675,-137.08569633348012,257.8206971148067,11.633187074629761
ST,2025-05-08,83.9,2.39,5.48,"India, Jonathan",683734,663460,field_out,hit_into_play,,,,,4.0,Andrew Vaughn flies out to left fielder Jonathan India.,R,R,L,KC,CWS,X,7,fly_ball,2,2,2025,-0.82,-0.15,-0.58,2.6,,700337.0,673357.0,0,7,Top,75.7,99.18,,,,,-5.295178856711208,-122.19725371287778,0.029102290085099,-7.199928564242828,23.081652799713947,-33.92953003938582,3.31,1.56,277.0,98.4,48.0,84.5,1266.0,6.5,778008,666023,686469,686681,672580,677951,663697,671221,592669,53.98,0.017,0.032,0.0,1.0,0,0,3.0,53,5,Sweeper,6,0,0,6,0,6,0,6,Standard,Standard,239.0,0.017,-0.23,74.0,7.7,0.052,0.23,98.4,6,-6,0.959,0.041,27,27,28,27,3,2,5.0,1.0,5.0,1.0,3.37,-0.82,0.82,32.1,9.495429670125455,-16.445848864081785,28.22035404485396,31.6284973086563,42.60640712559951,1,-124.22783929973873,247.5811865690087,6.694770446545367,-137.08569633348012,257.8206971148067,16.436911623466287
FF,2025-05-08,91.4,2.08,5.7,"India, Jonathan",673357,663460,single,hit_into_play,,,,,5.0,Luis Robert Jr. singles on a line drive to left fielder Jonathan India. Edgar Quero to 2nd.,R,R,L,KC,CWS,X,7,line_drive,0,0,2025,0.39,1.42,0.04,2.76,,,700337.0,0,7,Top,90.41,89.91,,,,,-6.030902819892418,-132.95752487883072,-4.649254606770159,5.827258030267575,26.730978348618056,-14.550408824202002,3.84,1.82,286.0,93.8,19.0,92.5,2450.0,6.8,778008,666023,686469,686681,672580,677951,663697,671221,592669,53.68,0.414,0.424,0.9,1.0,1,0,4.0,52,1,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,159.0,-0.018,0.47,80.4,7.9,0.599,-0.47,93.8,6,-6,0.977,0.023,27,27,28,28,3,2,5.0,1.0,5.0,1.0,1.3,0.39,-0.39,40.8,10.59459365392417,0.6979288896076022,38.28554464450367,34.51861077214233,26.420868717438783,0,-87.92826697376451,272.1481579342223,2.849646205268174,-137.08569633348012,257.8206971148067,51.20282213694201
CH,2025-05-08,84.6,2.3,5.6,"India, Jonathan",678246,663460,field_out,hit_into_play,,,,,14.0,Miguel Vargas flies out to left fielder Jonathan India.,R,R,L,KC,CWS,X,7,fly_ball,2,1,2025,1.03,0.09,1.05,2.29,,,,0,4,Top,90.22,106.89,,,,,-4.984884683781901,-123.16387652740164,-1.6164533408773083,11.419863308435042,22.299976240934,-31.184198048823045,3.39,1.63,247.0,70.9,37.0,85.2,1686.0,6.5,778008,666023,686469,686681,672580,677951,663697,671221,592669,54.02,0.58,0.567,0.0,1.0,0,0,3.0,25,4,Changeup,2,0,0,2,0,2,0,2,Strategic,Standard,114.0,0.026,-0.306,69.1,8.2,0.683,0.306,88.0,2,-2,0.738,0.262,27,25,28,26,2,1,5.0,1.0,5.0,1.0,3.07,1.03,-1.03,36.5,22.780165280240027,-10.528662081983082,29.65338527965146,48.74372847123751,43.597211162797166,1,-88.78613655204234,230.49082835584173,3.9375049427741438,-137.08569633348012,257.8206971148067,55.49566831260735
SL,2025-05-08,88.8,-3.07,5.88,"India, Jonathan",665155,674444,field_out,hit_into_play,,,,,4.0,Nick Maton lines out to left fielder Jonathan India.,R,L,R,KC,CWS,X,7,line_drive,1,2,2025,0.31,0.06,-0.41,2.23,,,,0,9,Top,80.94,97.69,,,,,5.909446716197176,-129.35326993085187,-3.0948780490331083,2.332779368024628,25.480616262656607,-31.067446321522453,3.4,1.64,276.0,93.9,17.0,89.6,2255.0,6.6,778008,666023,686469,686681,624415,672580,663697,671221,592669,53.89,0.614,0.583,0.0,1.0,0,0,4.0,71,4,Slider,10,0,0,10,0,10,0,10,Strategic,Standard,123.0,0.0,-0.19,69.3,6.1,0.776,0.19,93.9,10,-10,0.999,0.001,26,28,26,28,1,0,3.0,1.0,1.0,,2.81,-0.31,0.31,34.2,6.148059809386977,13.755097790097498,38.85282483270462,38.67195542344117,27.044592649258604,1,-111.62832109139238,252.41853721610264,2.5753902637224195,-137.08569633348012,257.8206971148067,26.02424419243771
