pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CH,2025-07-20,83.1,2.56,5.96,"Joe, Connor",620443,671096,single,hit_into_play,,,,,9.0,Luis Torrens singles on a line drive to left fielder Connor Joe. Jeff McNeil to 2nd.,R,R,L,NYM,CIN,X,7,line_drive,1,0,2025,1.29,0.98,0.52,1.94,,,643446.0,2,6,Bot,98.53,103.29,,,,,-7.235499353969707,-120.8599212968574,-4.685271722470587,14.051219449098662,22.881473291868183,-21.838563738984185,3.47,1.54,250.0,78.5,21.0,83.6,2056.0,6.6,777087,663886,668715,680574,669289,682829,656582,670770,682622,53.95,0.963,0.872,0.9,1.0,1,0,4.0,47,2,Changeup,2,1,2,1,1,2,2,1,Infield shade,Standard,136.0,0.018,0.312,70.6,8.0,1.028,-0.312,88.0,1,1,0.722,0.722,26,29,26,29,3,2,11.0,1.0,6.0,3.0,2.32,1.29,-1.29,46.4,16.35306470545334,-2.4833374535368566,33.59451158802649,45.51245851401334,36.2213235315994,0,-68.1014094969271,240.54562566077115,2.6355673179816543,-135.28916892238493,265.5199442081336,71.67922714091112
CH,2025-07-20,83.1,2.56,5.96,"Joe, Connor",620443,671096,single,hit_into_play,,,,,9.0,Luis Torrens singles on a line drive to left fielder Connor Joe. Jeff McNeil to 2nd.,R,R,L,NYM,CIN,X,7,line_drive,1,0,2025,1.29,0.98,0.52,1.94,,,643446.0,2,6,Bot,98.53,103.29,,,,,-7.235499353969707,-120.8599212968574,-4.685271722470587,14.051219449098662,22.881473291868183,-21.838563738984185,3.47,1.54,250.0,78.5,21.0,83.6,2056.0,6.6,777087,663886,668715,680574,669289,682829,656582,670770,682622,53.95,0.963,0.872,0.9,1.0,1,0,4.0,47,2,Changeup,2,1,2,1,1,2,2,1,Infield shade,Standard,136.0,0.018,0.312,70.6,8.0,1.028,-0.312,88.0,1,1,0.722,0.722,26,29,26,29,3,2,11.0,1.0,6.0,3.0,2.32,1.29,-1.29,46.4,16.35306470545334,-2.4833374535368566,33.59451158802649,45.51245851401334,36.2213235315994,0,-68.1014094969271,240.54562566077115,2.6355673179816543,-135.74315942212448,266.410950732322,72.41837732233398
FC,2025-07-20,88.3,2.37,5.98,"Joe, Connor",682668,671096,double,hit_into_play,,,,,7.0,Luisangel Acuña doubles (7) on a sharp line drive to left fielder Connor Joe. Brett Baty scores.,R,R,L,NYM,CIN,X,7,line_drive,1,1,2025,-0.07,0.77,-0.7,1.61,,683146.0,,1,5,Bot,47.06,82.82,,,,,-7.341894969958438,-128.47879243158093,-6.229735949046281,0.6413101693553245,24.126504779706536,-22.5888885842173,3.32,1.55,345.0,108.2,17.0,88.8,2671.0,6.4,777087,663886,668715,680574,669289,682829,656582,670770,682622,54.11,0.649,0.798,1.25,1.0,1,1,6.0,38,3,Cutter,1,1,1,1,1,2,2,1,Standard,Standard,191.0,0.14,0.828,,,1.259,-0.828,108.2,0,0,0.593,0.593,26,23,26,23,2,1,11.0,7.0,6.0,1.0,2.13,-0.07,0.07,49.4,,,,,,0,-193.75003424947525,285.45739476903935,2.9474281660064356,-135.28916892238493,265.5199442081336,61.76710054438974
FC,2025-07-20,88.3,2.37,5.98,"Joe, Connor",682668,671096,double,hit_into_play,,,,,7.0,Luisangel Acuña doubles (7) on a sharp line drive to left fielder Connor Joe. Brett Baty scores.,R,R,L,NYM,CIN,X,7,line_drive,1,1,2025,-0.07,0.77,-0.7,1.61,,683146.0,,1,5,Bot,47.06,82.82,,,,,-7.341894969958438,-128.47879243158093,-6.229735949046281,0.6413101693553245,24.126504779706536,-22.5888885842173,3.32,1.55,345.0,108.2,17.0,88.8,2671.0,6.4,777087,663886,668715,680574,669289,682829,656582,670770,682622,54.11,0.649,0.798,1.25,1.0,1,1,6.0,38,3,Cutter,1,1,1,1,1,2,2,1,Standard,Standard,191.0,0.14,0.828,,,1.259,-0.828,108.2,0,0,0.593,0.593,26,23,26,23,2,1,11.0,7.0,6.0,1.0,2.13,-0.07,0.07,49.4,,,,,,0,-193.75003424947525,285.45739476903935,2.9474281660064356,-135.74315942212448,266.410950732322,61.053784138902856
FC,2025-07-20,87.3,2.6,6.03,"Joe, Connor",683146,671096,single,hit_into_play,,,,,8.0,Brett Baty singles on a line drive to left fielder Connor Joe.,R,L,L,NYM,CIN,X,7,line_drive,0,1,2025,-0.24,0.53,0.06,2.34,,,,0,5,Bot,97.66,107.44,,,,,-5.603636074060854,-127.1571919613602,-3.8679429852048473,-1.625273505291709,23.81896531486576,-25.840493827125645,3.79,1.74,241.0,95.7,14.0,87.6,2540.0,6.2,777087,663886,668715,680574,669289,682829,656582,670770,682622,54.28,0.903,0.865,0.9,1.0,1,0,4.0,36,2,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,208.0,0.047,0.478,73.8,7.2,1.108,-0.478,95.7,0,0,0.565,0.565,26,25,26,26,2,1,11.0,1.0,6.0,1.0,2.43,-0.24,-0.24,47.2,-2.1473668649432605,10.802395880650224,35.01285947358233,38.09789543613226,23.562678583041976,0,-70.43949406901062,230.47619763286147,2.1957142579416145,-135.28916892238493,265.5199442081336,73.71258035518947
FC,2025-07-20,87.3,2.6,6.03,"Joe, Connor",683146,671096,single,hit_into_play,,,,,8.0,Brett Baty singles on a line drive to left fielder Connor Joe.,R,L,L,NYM,CIN,X,7,line_drive,0,1,2025,-0.24,0.53,0.06,2.34,,,,0,5,Bot,97.66,107.44,,,,,-5.603636074060854,-127.1571919613602,-3.8679429852048473,-1.625273505291709,23.81896531486576,-25.840493827125645,3.79,1.74,241.0,95.7,14.0,87.6,2540.0,6.2,777087,663886,668715,680574,669289,682829,656582,670770,682622,54.28,0.903,0.865,0.9,1.0,1,0,4.0,36,2,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,208.0,0.047,0.478,73.8,7.2,1.108,-0.478,95.7,0,0,0.565,0.565,26,25,26,26,2,1,11.0,1.0,6.0,1.0,2.43,-0.24,-0.24,47.2,-2.1473668649432605,10.802395880650224,35.01285947358233,38.09789543613226,23.562678583041976,0,-70.43949406901062,230.47619763286147,2.1957142579416145,-135.74315942212448,266.410950732322,74.5377433846147
CU,2025-07-20,82.7,2.78,6.14,"Joe, Connor",596019,671096,field_out,hit_into_play,,,,,5.0,Francisco Lindor flies out to left fielder Connor Joe.,R,R,L,NYM,CIN,X,7,fly_ball,0,1,2025,-0.7,-0.05,0.11,2.41,,,,1,1,Bot,91.47,83.68,,,,,-4.724956000637826,-120.37831387808376,-1.890592617262372,-5.86408268799882,23.571350336306804,-32.50371778909457,3.46,1.55,299.0,84.9,37.0,82.6,2888.0,6.2,777087,663886,668715,680574,669289,682829,656582,670770,682622,54.29,0.003,0.003,0.0,1.0,0,0,3.0,7,2,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,309.0,-0.017,-0.216,77.2,8.0,0.003,0.216,88.0,-1,-1,0.419,0.419,26,31,26,32,1,0,11.0,1.0,6.0,1.0,3.38,-0.7,0.7,48.7,8.447793463042565,-5.429158304772376,33.85378674565952,32.86744000191816,33.45544245861748,1,-84.93644785971505,286.68240236361544,4.697990771619398,-135.28916892238493,265.5199442081336,54.619100629702416
CU,2025-07-20,82.7,2.78,6.14,"Joe, Connor",596019,671096,field_out,hit_into_play,,,,,5.0,Francisco Lindor flies out to left fielder Connor Joe.,R,R,L,NYM,CIN,X,7,fly_ball,0,1,2025,-0.7,-0.05,0.11,2.41,,,,1,1,Bot,91.47,83.68,,,,,-4.724956000637826,-120.37831387808376,-1.890592617262372,-5.86408268799882,23.571350336306804,-32.50371778909457,3.46,1.55,299.0,84.9,37.0,82.6,2888.0,6.2,777087,663886,668715,680574,669289,682829,656582,670770,682622,54.29,0.003,0.003,0.0,1.0,0,0,3.0,7,2,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,309.0,-0.017,-0.216,77.2,8.0,0.003,0.216,88.0,-1,-1,0.419,0.419,26,31,26,32,1,0,11.0,1.0,6.0,1.0,3.38,-0.7,0.7,48.7,8.447793463042565,-5.429158304772376,33.85378674565952,32.86744000191816,33.45544245861748,1,-84.93644785971505,286.68240236361544,4.697990771619398,-135.74315942212448,266.410950732322,54.70149624119743
FF,2025-07-10,93.5,1.65,5.02,"Joe, Connor",691594,594580,field_out,hit_into_play,,,,,4.0,Javier Sanoja flies out to left fielder Connor Joe.,R,R,L,CIN,MIA,X,7,fly_ball,3,2,2025,0.75,1.04,-0.75,2.38,,672640.0,,2,9,Top,56.9,113.73,,,,,-7.6520969624838,-135.9405185440983,-3.2681498597322007,10.947366412232272,30.08671512608065,-18.712866987466143,3.31,1.48,271.0,80.0,37.0,91.3,2657.0,5.0,777168,624431,668715,680574,669289,682829,656582,670770,666181,55.47,0.026,0.023,0.0,1.0,0,0,3.0,68,7,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,115.0,0.001,-0.277,68.1,7.0,0.035,0.277,88.0,6,-6,0.999,0.001,33,22,33,23,1,0,4.0,2.0,8.0,1.0,1.57,0.75,-0.75,21.3,11.188699534507302,-4.6036007917023465,27.797722557343125,27.08001151498147,30.28517977579225,1,-170.6373430162129,210.53241358129944,4.431524255165349,-135.28916892238493,265.5199442081336,65.36912066262325
FF,2025-07-10,93.5,1.65,5.02,"Joe, Connor",691594,594580,field_out,hit_into_play,,,,,4.0,Javier Sanoja flies out to left fielder Connor Joe.,R,R,L,CIN,MIA,X,7,fly_ball,3,2,2025,0.75,1.04,-0.75,2.38,,672640.0,,2,9,Top,56.9,113.73,,,,,-7.6520969624838,-135.9405185440983,-3.2681498597322007,10.947366412232272,30.08671512608065,-18.712866987466143,3.31,1.48,271.0,80.0,37.0,91.3,2657.0,5.0,777168,624431,668715,680574,669289,682829,656582,670770,666181,55.47,0.026,0.023,0.0,1.0,0,0,3.0,68,7,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,115.0,0.001,-0.277,68.1,7.0,0.035,0.277,88.0,6,-6,0.999,0.001,33,22,33,23,1,0,4.0,2.0,8.0,1.0,1.57,0.75,-0.75,21.3,11.188699534507302,-4.6036007917023465,27.797722557343125,27.08001151498147,30.28517977579225,1,-170.6373430162129,210.53241358129944,4.431524255165349,-135.74315942212448,266.410950732322,65.87878993148068
