pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-09-28,95.3,-1.21,6.26,"Kemp, Otto",680777,642152,double,hit_into_play,,,,,4.0,Ryan Jeffers doubles (26) on a sharp line drive to left fielder Otto Kemp. Austin Martin scores.,R,R,R,PHI,MIN,X,7,line_drive,2,1,2025,-1.26,1.09,-0.38,2.21,,,668885.0,2,6,Top,33.12,98.11,,,,,4.996648961774612,-138.492114771964,-7.412528640852353,-17.300939912181747,32.711230057797124,-16.604850732849975,3.36,1.61,337.0,100.4,22.0,95.0,2153.0,6.3,776141,665561,547180,642215,664761,681082,805249,596146,592206,54.17,0.429,0.581,1.25,1.0,1,1,5.0,36,4,4-Seam Fastball,0,0,0,0,1,0,1,0,Standard,Standard,223.0,-0.191,0.88,75.4,8.1,0.967,-0.88,100.4,0,0,0.539,0.461,33,28,34,28,1,2,1.0,1.0,,,1.43,1.26,1.26,35.1,21.448753088892328,-15.55063694039728,29.95571298601469,31.728826539531696,34.88731309655663,0,-228.372730759931,247.82028941402694,3.4825331924832534,-136.65114042160357,268.19296378069873,93.95688370227273
FF,2025-08-01,96.0,-1.55,5.89,"Kemp, Otto",681481,689147,field_out,hit_into_play,,,,,13.0,Kerry Carpenter flies out to left fielder Otto Kemp.,R,L,R,PHI,DET,X,7,fly_ball,1,1,2025,-1.03,1.48,-0.44,1.43,,,,1,8,Top,64.17,141.97,,,,,5.270819420008751,-139.45784761426924,-9.561909886029532,-14.659415450683747,31.676266706309736,-10.816225675639272,3.35,1.62,210.0,78.2,56.0,96.1,2382.0,6.5,776913,592663,642215,681082,624641,607208,805249,664056,592206,54.01,0.046,0.044,0.0,1.0,0,0,3.0,58,3,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,226.0,0.016,-0.244,74.3,8.1,0.06,0.244,88.0,-1,1,0.269,0.731,24,27,24,28,1,0,7.0,2.0,4.0,1.0,1.0,1.03,-1.03,36.7,12.873872236152277,-0.4310858269950622,41.82999124315511,44.394142309983295,24.87464774092976,1,-154.6083840797705,142.1135024276095,5.9420624023455275,-136.65114042160357,268.19296378069873,127.35184794451905
FS,2025-08-01,98.8,-2.28,5.96,"Kemp, Otto",682985,661395,field_out,hit_into_play,,,,,7.0,Riley Greene lines out to left fielder Otto Kemp.,R,L,R,PHI,DET,X,7,line_drive,0,0,2025,-1.12,0.32,-0.4,2.07,,,,2,9,Top,61.31,106.62,,,,,7.698803868646744,-143.57526500018494,-5.87243435762414,-17.20175600749416,32.756952987539385,-26.59117362053848,3.6,1.73,280.0,92.0,21.0,98.5,1948.0,6.2,776913,592663,642215,681082,624641,607208,805249,664056,592206,54.31,0.277,0.288,0.0,1.0,0,0,3.0,69,1,Split-Finger,5,4,4,5,4,5,4,5,Infield shade,Standard,235.0,0.035,-0.261,84.8,7.6,0.419,0.261,92.0,1,-1,0.965,0.035,27,24,27,25,1,3,4.0,2.0,2.0,1.0,2.02,1.12,-1.12,29.9,-5.285090932813746,20.196504644211668,48.38599994541913,41.16093486968649,23.133342902833487,1,-160.49384125081795,229.43784979936777,3.066701787730389,-136.65114042160357,268.19296378069873,45.50201360970056
CH,2025-07-13,84.7,2.23,5.74,"Kemp, Otto",665487,650911,single,hit_into_play,,,,,9.0,Fernando Tatis Jr. singles on a sharp line drive to left fielder Otto Kemp.,R,R,L,SD,PHI,X,7,line_drive,3,2,2025,1.38,0.07,0.61,2.15,,,,2,5,Bot,80.2,114.59,,,,,-6.619477406161529,-122.98302181677872,-1.9873807645802253,15.349107607386294,30.80386636071733,-31.20720564934628,3.85,1.85,240.0,101.2,15.0,84.5,2007.0,6.9,777117,592663,547180,681082,624641,607208,805249,669016,592206,53.6,0.686,0.685,0.9,1.0,1,0,4.0,40,6,Changeup,0,1,0,1,1,0,0,1,Standard,Standard,108.0,0.02,0.26,74.9,8.0,0.903,-0.26,101.2,-1,-1,0.349,0.349,28,26,29,26,3,2,6.0,1.0,9.0,5.0,3.19,1.38,-1.38,25.8,18.95013555787256,-7.091577947515296,30.387413169466303,44.681196775369735,39.865886089436415,0,-114.09981099237544,211.1426842954882,2.463687151717844,-136.65114042160357,268.19296378069873,61.34571581101816
SI,2025-07-13,96.4,-1.76,5.64,"Kemp, Otto",592518,689147,single,hit_into_play,,,,,4.0,Manny Machado singles on a line drive to left fielder Otto Kemp.,R,R,R,SD,PHI,X,7,line_drive,0,1,2025,-1.58,0.99,-0.71,2.92,,,,1,8,Bot,78.09,115.55,,,,,6.396063870420323,-140.21236525091456,-3.864626032173736,-22.312033857657905,33.73284023035601,-18.51756944169336,3.74,1.68,240.0,97.6,14.0,96.3,2307.0,6.4,777117,592663,547180,681082,624641,607208,805249,669016,592206,54.12,0.909,0.879,0.9,1.0,1,0,4.0,64,2,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,226.0,0.07,0.454,74.6,7.7,1.134,-0.454,97.6,-1,-1,0.235,0.235,24,32,24,33,1,3,6.0,1.0,6.0,5.0,1.48,1.58,1.58,31.0,3.8663220018913713,-7.242473011596017,29.65962990053152,29.70041983324749,32.086348852946394,0,-119.18994204981611,208.31168405579527,2.236087644433652,-136.65114042160357,268.19296378069873,62.37516420877021
SI,2025-07-12,93.3,3.47,5.22,"Kemp, Otto",701538,621381,field_out,hit_into_play,,,,,5.0,Jackson Merrill flies out to left fielder Otto Kemp.,R,L,L,SD,PHI,X,7,fly_ball,0,1,2025,1.32,0.85,-0.21,2.95,,,,1,8,Bot,56.36,86.06,,,,,-12.28084161062949,-135.2752260762454,-1.833255474810848,18.998324232075333,32.20415107248242,-21.62788922243996,3.56,1.67,328.0,98.2,37.0,92.4,2462.0,6.1,777126,592663,547180,681082,624641,607208,805249,669016,592206,54.35,0.171,0.331,0.0,1.0,0,0,3.0,69,2,Sinker,5,4,5,4,4,5,5,4,Standard,Standard,129.0,-0.009,-0.216,71.5,7.2,0.651,0.216,98.2,1,1,0.858,0.858,33,22,34,22,1,3,4.0,1.0,1.0,1.0,1.81,1.32,1.32,26.2,7.645232345769762,9.222420466678782,33.79287025847752,39.76754138248732,26.00262433535452,1,-171.9178447519996,279.3353802435835,5.422432335801369,-136.65114042160357,268.19296378069873,36.985049397830196
FS,2025-07-08,87.7,-1.82,6.54,"Kemp, Otto",573262,592836,field_out,hit_into_play,,,,,7.0,Mike Yastrzemski flies out to left fielder Otto Kemp.,R,L,R,SF,PHI,X,7,fly_ball,1,1,2025,-0.71,0.23,-0.46,1.48,,,,1,4,Bot,74.43,137.57,,,,,4.757133049781759,-127.54154143531524,-6.5074731255624405,-8.771015309474425,28.751915858595755,-28.39536924012231,3.39,1.58,201.0,78.2,55.0,87.0,1385.0,6.1,777186,665561,547180,624641,664761,607208,805249,679032,592206,54.38,0.057,0.06,0.0,1.0,0,0,3.0,30,3,Split-Finger,1,0,1,0,0,1,1,0,Standard,Standard,221.0,-0.015,-0.244,63.8,8.1,0.079,0.244,88.0,1,1,0.67,0.67,32,34,33,35,2,1,6.0,1.0,11.0,3.0,2.76,0.71,-0.71,41.5,13.161078853777832,-5.075881625354536,34.269751888640826,38.80968045987265,32.11392119739111,1,-129.2845824812989,153.9041803611462,5.871957564690012,-136.65114042160357,268.19296378069873,114.5259454945003
FC,2025-07-08,87.4,-1.7,6.57,"Kemp, Otto",642715,592836,field_out,hit_into_play,,,,,5.0,Willy Adames flies out to left fielder Otto Kemp.,R,R,R,SF,PHI,X,7,fly_ball,3,2,2025,0.32,1.13,-0.01,2.69,,,646240.0,1,1,Bot,77.44,72.68,,,,,3.3939824243561274,-127.41055820799282,-5.627860509955178,2.991583778881086,21.81090579738515,-18.880978026847004,3.52,1.73,356.0,95.7,40.0,87.6,2455.0,6.0,777186,665561,547180,624641,664761,607208,805249,679032,592206,54.54,0.071,0.134,0.0,1.0,0,0,3.0,6,8,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,187.0,-0.028,-0.319,70.6,8.2,0.253,0.319,95.7,0,0,0.55,0.55,32,29,33,30,1,0,6.0,1.0,11.0,1.0,1.8,-0.32,-0.32,38.0,25.415812244137182,-5.757382252115147,35.09608590325111,36.64106798486051,33.872661533970955,1,-127.04920376208128,332.5575135573111,5.641415449251897,-136.65114042160357,268.19296378069873,65.07681964846998
FC,2025-07-05,85.6,2.19,5.82,"Kemp, Otto",669720,624133,double,hit_into_play,,,,,4.0,Austin Hays doubles (9) on a line drive to left fielder Otto Kemp. Santiago Espinal to 3rd.,R,R,L,PHI,CIN,X,7,line_drive,3,2,2025,-0.5,0.22,-0.62,2.3,,,669289.0,1,4,Top,52.51,126.85,,,,,-5.592075999790167,-124.49103860651876,-2.450206841062016,-4.070398799162011,25.932543177773905,-29.568584672468543,3.19,1.43,253.0,96.0,18.0,85.4,2106.0,6.3,777233,592663,547180,624641,664761,607208,805249,679032,592206,54.24,0.457,0.481,1.25,1.0,1,1,4.0,25,7,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,187.0,-0.104,0.728,71.7,7.1,0.69,-0.728,96.0,0,0,0.497,0.503,29,29,30,30,2,1,6.0,1.0,6.0,1.0,2.9,-0.5,0.5,34.1,14.378266523256649,-10.815446907337522,29.96153362447933,32.62317226898452,37.43344637092953,0,-180.73525000276956,177.04171657108495,2.7719198838370533,-136.65114042160357,268.19296378069873,101.25195595855112
CU,2025-07-05,73.9,2.14,5.88,"Kemp, Otto",682829,624133,field_out,hit_into_play,,,,,7.0,Elly De La Cruz flies out to left fielder Otto Kemp.,R,R,L,PHI,CIN,X,7,fly_ball,2,2,2025,-0.99,-0.75,-0.68,2.09,,,669289.0,0,4,Top,57.21,82.55,,,,,-4.018217373506968,-107.547582195227,0.9411095007230006,-6.843481077579654,20.91172577032249,-38.35035560249325,3.51,1.65,329.0,91.7,37.0,73.6,2147.0,6.3,777233,592663,547180,624641,664761,607208,805249,679032,592206,54.17,0.034,0.052,0.0,1.0,0,0,3.0,24,5,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,307.0,0.041,-0.2,,,0.102,0.2,91.7,0,0,0.456,0.544,29,23,30,23,2,1,6.0,1.0,6.0,1.0,4.96,-0.99,0.99,39.3,,,,,,1,-167.06323154565828,283.427021763137,5.068193905331352,-136.65114042160357,268.19296378069873,34.014288308740184
