pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
ST,2025-09-17,84.5,2.4,5.48,"Kepler, Max",669242,666200,field_out,hit_into_play,,,,,7.0,Tommy Edman flies out to left fielder Max Kepler.,R,R,L,LAD,PHI,X,7,fly_ball,1,1,2025,-0.78,-0.09,-0.53,1.58,,,,0,4,Bot,41.88,98.57,,,,,-5.224021371239982,-122.97132224829691,-2.5650609826995625,-6.937565783195074,23.50065283010952,-32.7597995486459,3.37,1.53,322.0,89.2,36.0,83.7,2393.0,5.7,776280,592663,547180,642215,805249,681082,596146,664056,592206,54.84,0.023,0.033,0.0,1.0,0,0,3.0,28,3,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,324.0,-0.014,-0.251,72.8,8.0,0.058,0.251,89.2,2,2,0.793,0.793,27,30,28,30,2,1,6.0,1.0,7.0,2.0,3.27,-0.78,0.78,26.4,27.21298689651641,-4.776731068602596,31.622226766926826,31.87262697630972,35.97995034966313,1,-206.80580263392082,246.8103725473056,4.81883153074116,-135.74315942212448,266.410950732322,73.71622565917225
FF,2025-09-17,97.9,2.21,5.79,"Kepler, Max",660271,666200,field_out,hit_into_play,,,,,11.0,Shohei Ohtani lines out to left fielder Max Kepler.,R,L,L,LAD,PHI,X,7,line_drive,0,2,2025,1.24,1.39,-0.9,3.11,681624.0,,666163.0,2,2,Bot,78.85,62.23,,,,,-11.113693825918752,-142.12781329028934,-4.906820644359719,19.2878390659277,31.18110449417444,-12.338618207077127,3.54,1.63,358.0,97.1,23.0,97.0,2267.0,5.8,776280,592663,547180,642215,805249,681082,596146,664056,592206,54.69,0.3,0.405,0.0,1.0,0,0,5.0,16,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,126.0,-0.033,-0.183,65.6,7.4,0.655,0.183,97.1,2,2,0.754,0.754,27,30,28,31,2,1,6.0,1.0,7.0,1.0,0.99,1.24,1.24,32.7,8.05302795267685,10.145675071193129,26.70646267463218,53.11955270439502,19.849875905439788,1,-115.94705318759203,338.7038246862791,3.512122017319402,-135.74315942212448,266.410950732322,74.95428904720278
SI,2025-09-17,95.7,2.38,5.68,"Kepler, Max",669242,666200,field_out,hit_into_play,,,,,6.0,Tommy Edman lines out to left fielder Max Kepler.,R,R,L,LAD,PHI,X,7,line_drive,0,0,2025,1.44,0.47,0.56,2.38,,,,0,2,Bot,80.1,97.3,,,,,-7.990346484661486,-139.12661792080672,-4.132434850106149,20.437451035223752,30.703684487146543,-25.3389278438982,3.37,1.53,278.0,83.4,22.0,95.4,2064.0,6.1,776280,592663,547180,642215,805249,681082,596146,664056,592206,54.38,0.571,0.532,0.0,1.0,0,0,4.0,11,1,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,127.0,-0.02,-0.259,75.5,7.7,0.689,0.259,88.0,1,1,0.66,0.66,27,30,28,30,1,0,6.0,1.0,7.0,2.0,2.02,1.44,-1.44,33.7,9.85886599043996,-7.460541804220759,24.619264682346653,45.44714857131599,30.38853438832448,1,-113.8379739570548,253.62357083944883,2.9124108264112523,-135.74315942212448,266.410950732322,25.36442853256815
ST,2025-09-17,87.2,-1.87,5.53,"Kepler, Max",605141,689147,field_out,hit_into_play,,,,,4.0,Mookie Betts flies out to left fielder Max Kepler.,R,R,R,LAD,PHI,X,7,fly_ball,3,2,2025,1.21,0.0,-0.46,2.62,,,,0,8,Bot,77.75,71.87,,,,,0.8826168979125638,-126.97103339941,-0.8235104838722315,12.920791473119362,26.253346539937244,-32.2507215057363,3.19,1.54,336.0,96.7,40.0,86.6,2816.0,5.9,776280,592663,547180,642215,805249,681082,596146,664056,592206,54.58,0.111,0.214,0.0,1.0,0,0,3.0,57,9,Sweeper,4,0,4,0,0,4,4,0,Standard,Standard,57.0,-0.001,-0.345,65.1,6.7,0.398,0.345,96.7,4,4,0.989,0.989,24,32,24,33,1,3,2.0,1.0,4.0,1.0,3.0,-1.21,-1.21,28.7,9.283478396488617,-10.486913171113976,35.758779377955534,29.73522080352731,36.33143387582826,1,-118.56602666146149,314.3852689324257,5.699681065385049,-135.74315942212448,266.410950732322,50.95673749998363
FF,2025-09-08,92.2,-1.81,5.12,"Kepler, Max",596019,605400,field_out,hit_into_play,,,,,8.0,Francisco Lindor flies out to left fielder Max Kepler.,R,L,R,PHI,NYM,X,7,fly_ball,2,1,2025,-0.92,1.22,-0.19,2.03,,,,0,3,Top,58.78,79.95,,,,,6.188777720603141,-134.17166146288426,-4.726188011534763,-12.46479172678563,29.329831055112315,-16.62473362111419,3.37,1.48,338.0,97.8,41.0,93.2,2181.0,6.9,776405,592663,547180,681082,805249,624641,596146,664056,592206,53.59,0.103,0.195,0.0,1.0,0,0,3.0,19,4,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,231.0,0.026,-0.306,73.1,7.6,0.366,0.306,97.8,1,-1,0.617,0.383,32,31,32,32,2,1,5.0,1.0,6.0,1.0,1.46,0.92,-0.92,19.0,9.730046601819115,3.98834480197536,38.48856673953431,36.18474867169299,28.146441920999585,1,-165.8689903685969,294.50208494016186,5.881468503315143,-135.74315942212448,266.410950732322,41.19074545693858
KC,2025-09-08,88.7,-2.49,6.14,"Kepler, Max",607043,661395,field_out,hit_into_play,,,,,5.0,Brandon Nimmo lines out to left fielder Max Kepler.,R,L,R,PHI,NYM,X,7,line_drive,0,2,2025,0.6,-0.66,0.11,2.63,,,677595.0,0,9,Top,55.15,124.32,,,,,5.089202102373668,-129.09726314221808,-1.1244988702235077,5.600217899207162,26.95503239370748,-39.549765116931,3.54,1.64,256.0,81.7,28.0,88.5,2708.0,6.1,776405,592663,547180,681082,805249,624641,596146,664056,592206,54.35,0.106,0.101,0.0,1.0,0,0,3.0,64,3,Knuckle Curve,1,0,0,1,0,1,0,1,Standard,Standard,55.0,0.104,-0.147,65.2,6.4,0.158,0.147,88.0,1,-1,0.727,0.273,27,32,27,32,1,3,2.0,1.0,3.0,1.0,3.56,-0.6,0.6,33.5,-2.4948257222459684,23.980002401568058,25.24011428326411,37.21219645204879,18.02819972722444,1,-176.34294437896037,185.57792424682114,3.5494752178193116,-135.74315942212448,266.410950732322,90.45618115611008
FC,2025-09-07,85.3,-1.83,6.34,"Kepler, Max",691185,592836,field_out,hit_into_play,,,,,1.0,Maximo Acosta lines out to left fielder Max Kepler.,R,R,R,MIA,PHI,X,7,line_drive,1,1,2025,0.4,0.79,-0.32,2.81,,,687859.0,0,6,Bot,47.8,83.87,,,,,2.724354526854437,-124.2628140180155,-3.6252179732861824,3.70167314056583,23.234989360971763,-23.445164627961645,3.3,1.59,354.0,101.1,21.0,85.1,2437.0,5.9,776426,665561,547180,681082,664761,607208,596146,669016,592206,54.56,0.423,0.547,0.0,1.0,0,0,5.0,50,3,Cutter,4,3,4,3,3,4,4,3,Standard,Standard,179.0,-0.029,-0.234,69.9,7.1,0.887,0.234,101.1,1,1,0.777,0.777,32,22,33,23,3,2,6.0,1.0,6.0,1.0,2.32,-0.4,-0.4,41.5,18.91300144185404,-3.501339957342247,21.61866082364709,28.870508056692987,39.86290873988316,1,-198.7564734753144,292.93662156114357,3.358736408575052,-135.74315942212448,266.410950732322,68.36877182519032
FC,2025-09-07,87.4,-2.0,6.32,"Kepler, Max",689414,592836,field_out,hit_into_play,,,,,2.0,Liam Hicks flies out to left fielder Max Kepler.,R,L,R,MIA,PHI,X,7,fly_ball,0,0,2025,0.13,1.17,-0.1,2.99,,,672640.0,2,2,Bot,71.4,117.76,,,,,4.253451368962681,-127.26401859282608,-4.286236795129303,0.624164007754211,24.85936328953456,-18.74576484558324,3.25,1.55,256.0,79.4,45.0,86.8,2352.0,5.8,776426,665561,547180,681082,664761,607208,596146,669016,592206,54.75,0.04,0.036,0.0,1.0,0,0,3.0,22,1,Cutter,4,1,4,1,1,4,4,1,Standard,Standard,198.0,-0.012,-0.272,61.9,6.0,0.048,0.272,88.0,3,3,0.817,0.817,32,26,33,26,2,1,6.0,1.0,6.0,1.0,1.8,-0.13,0.13,38.2,17.926152491894314,10.208451221084516,23.58412059577332,36.58065731499506,25.71633771492825,1,-142.63632631641687,212.58146300878786,5.154902218899293,-135.74315942212448,266.410950732322,54.26904733280918
SI,2025-09-07,91.7,-1.79,6.38,"Kepler, Max",805300,592836,single,hit_into_play,,,,,13.0,Jakob Marsee singles on a line drive to left fielder Max Kepler.,R,L,R,MIA,PHI,X,7,line_drive,1,0,2025,-1.26,1.02,-0.89,2.47,,,,1,1,Bot,48.21,111.38,,,,,4.987591001937672,-133.38542954393589,-6.239817577291546,-16.129218832076145,27.87150199332445,-18.8661652385738,3.39,1.55,224.0,93.2,12.0,91.5,1854.0,6.1,776426,665561,547180,681082,664761,607208,596146,669016,592206,54.35,0.846,0.822,0.9,1.0,1,0,4.0,5,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,216.0,0.024,0.376,68.8,6.3,0.997,-0.376,93.2,0,0,0.526,0.526,32,24,33,24,1,0,6.0,1.0,6.0,1.0,1.69,1.26,-1.26,45.2,3.967196828222727,25.790493666866904,33.16866365528232,48.199322686111984,17.515679607058278,0,-148.7899871345122,167.44413912858133,1.8665615362589942,-135.74315942212448,266.410950732322,99.82309107800175
SL,2025-09-07,87.4,2.0,6.06,"Kepler, Max",676572,641835,single,hit_into_play,,,,,7.0,Eric Wagaman singles on a line drive to left fielder Max Kepler.,R,R,L,MIA,PHI,X,7,line_drive,2,2,2025,-0.11,0.36,-0.45,2.08,,,,0,8,Bot,84.31,79.07,,,,,-5.746105477400523,-127.17949344984196,-4.224653156508693,0.0056321630300895,26.968611133700072,-27.54870571215949,3.56,1.67,279.0,95.5,15.0,88.3,2124.0,6.9,776426,665561,547180,681082,664761,624641,596146,669016,592206,53.58,0.871,0.832,0.9,1.0,1,0,4.0,67,5,Slider,5,3,5,3,3,5,5,3,Standard,Standard,156.0,0.009,0.465,79.6,7.3,1.076,-0.465,95.5,2,2,0.942,0.942,33,27,33,28,1,0,2.0,1.0,5.0,2.0,2.63,-0.11,0.11,39.5,6.700490499784499,-1.403936670707662,29.414402773065504,32.0311623948122,33.2939397776893,0,-90.96435697829928,263.7545938169126,2.333411580142657,-135.74315942212448,266.410950732322,44.8575231189281
