pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
ST,2025-05-30,79.0,-2.42,5.65,"Kjerstad, Heston",678246,621107,single,hit_into_play,,,,,5.0,Miguel Vargas singles on a line drive to left fielder Heston Kjerstad.,R,R,R,BAL,CWS,X,7,line_drive,0,0,2025,1.17,0.33,0.06,2.24,,,,1,7,Top,57.64,122.88,,,,,3.223488968865317,-115.01721772635726,-1.1636743879614762,9.559359505682128,24.370861891723337,-29.251472805982445,3.44,1.62,253.0,75.3,30.0,78.7,2339.0,6.4,777720,668939,663624,702616,602104,683002,677008,666185,656811,54.12,0.406,0.386,0.9,1.0,1,0,3.0,46,1,Sweeper,2,0,0,2,0,2,0,2,Standard,Standard,79.0,-0.039,0.415,69.5,8.0,0.464,-0.415,88.0,2,-2,0.857,0.143,31,25,31,26,3,2,6.0,2.0,6.0,1.0,3.36,-1.17,-1.17,24.5,26.21486201108677,-22.086890659180582,33.61458173720401,38.07495005110597,48.99246542345941,0,-169.1501613971112,188.14149701576002,3.4860797851166487,-137.55912142108266,269.9749768290755,87.71950880575737
FF,2025-05-30,92.1,-2.41,5.46,"Kjerstad, Heston",641943,621107,field_out,hit_into_play,,,,,8.0,Joshua Palacios flies out to left fielder Heston Kjerstad.,R,L,R,BAL,CWS,X,7,fly_ball,1,1,2025,-0.59,0.75,0.13,2.17,,,,2,5,Top,59.6,79.57,,,,,7.751614783357708,-133.9370199903185,-4.173133332003011,-8.742700145927355,27.66451322986142,-22.390457145624733,3.54,1.66,338.0,93.5,32.0,92.3,2165.0,6.3,777720,668939,663624,702616,602104,683002,677008,666185,656811,54.16,0.189,0.341,0.0,1.0,0,0,3.0,30,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,231.0,0.014,-0.245,74.2,7.2,0.624,0.245,93.5,0,0,0.551,0.449,31,29,31,30,2,1,6.0,3.0,6.0,1.0,1.93,0.59,-0.59,21.7,3.9470628098007055,5.460969652573018,38.8997178195828,37.84503327727154,21.983071607765552,1,-163.91044617064907,295.59662656420613,4.558199152147933,-137.55912142108266,269.9749768290755,36.75406441751484
ST,2025-05-30,79.0,-2.44,5.59,"Kjerstad, Heston",678246,621107,field_out,hit_into_play,,,,,8.0,Miguel Vargas flies out to left fielder Heston Kjerstad.,R,R,R,BAL,CWS,X,7,fly_ball,1,1,2025,1.32,0.36,0.15,1.92,,,,2,4,Top,78.72,90.94,,,,,3.162227080701821,-114.97901688411469,-1.7969257565962933,10.999505994603954,23.34877040326713,-28.894839421835417,3.44,1.62,292.0,81.8,37.0,78.7,2398.0,6.3,777720,668939,663624,702616,602104,683002,677008,666185,656811,54.21,0.017,0.02,0.0,1.0,0,0,3.0,23,3,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,75.0,0.013,-0.245,70.2,7.6,0.033,0.245,88.0,0,0,0.546,0.454,31,25,31,26,2,1,6.0,2.0,6.0,1.0,3.32,-1.32,-1.32,23.9,19.58683987015345,-13.41980771475965,37.10415873962843,37.55967561271437,47.20122090743112,1,-116.500996189726,267.75271779535956,4.529377574519128,-137.55912142108266,269.9749768290755,21.17505781509067
CU,2025-05-30,78.7,-2.46,5.51,"Kjerstad, Heston",672820,621107,single,hit_into_play,,,,,8.0,Lenyn Sosa singles on a line drive to left fielder Heston Kjerstad.,R,R,R,BAL,CWS,X,7,line_drive,0,0,2025,1.34,-0.45,0.11,1.57,,,,1,3,Top,77.98,108.62,,,,,3.094297889036348,-114.53450336725606,-0.8039681022790726,11.058941231149069,23.767974503006823,-36.16195334459497,3.31,1.61,175.0,80.2,14.0,78.5,2318.0,6.4,777720,668939,663624,702616,602104,683002,677008,666185,656811,54.09,0.757,0.695,0.9,1.0,1,0,4.0,16,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,81.0,-0.028,0.415,76.6,7.9,0.819,-0.415,88.0,0,0,0.525,0.475,31,25,31,25,1,0,6.0,2.0,6.0,1.0,4.17,-1.34,-1.34,24.7,18.90131434507697,-8.206706951045957,37.09126330310609,38.458047752074165,42.55654923469926,0,-81.85101850236661,154.67841080811905,1.8687049213684297,-137.55912142108266,269.9749768290755,128.0495641032293
CU,2025-05-26,81.9,-2.69,5.32,"Kjerstad, Heston",687363,450203,field_out,hit_into_play,,,,,7.0,Victor Scott II lines out to left fielder Heston Kjerstad.,R,L,R,BAL,STL,X,7,line_drive,0,2,2025,1.62,-0.36,-0.34,1.84,,,,0,3,Top,69.06,98.64,,,,,2.14957868826246,-119.29158044613816,-0.5669800817240371,14.96394341472081,24.711961720264505,-35.70514319081939,3.1,1.42,286.0,94.1,20.0,81.3,3243.0,6.0,777771,668974,663624,702616,656896,683002,677008,666185,656811,54.48,0.306,0.335,0.0,1.0,0,0,4.0,17,3,Curveball,1,0,0,1,0,1,0,1,Infield shade,Standard,67.0,0.026,-0.165,66.0,5.9,0.528,0.165,94.1,1,-1,0.617,0.383,41,24,42,24,1,0,9.0,1.0,6.0,1.0,3.77,-1.62,1.62,20.2,1.7341434853400437,11.898722534568853,35.713523600227965,35.90810105371414,31.18241868038464,1,-140.8181063407541,248.9302330505559,2.996488586520833,-137.55912142108266,269.9749768290755,21.295591642642506
CU,2025-05-26,82.1,-2.8,5.39,"Kjerstad, Heston",691023,450203,field_out,hit_into_play,,,,,4.0,Jordan Walker flies out to left fielder Heston Kjerstad.,R,R,R,BAL,STL,X,7,fly_ball,1,2,2025,1.52,-0.83,-0.55,2.82,,,,1,2,Top,101.08,95.81,,,,,2.132295809395432,-119.54232842863269,2.31341475055842,14.14316420333398,23.37349183135188,-40.79599725105168,3.95,1.85,264.0,90.7,47.0,81.6,3299.0,5.9,777771,668974,663624,702616,656896,683002,677008,666185,656811,54.57,0.006,0.008,0.0,1.0,0,0,3.0,11,4,Curveball,1,0,0,1,0,1,0,1,Standard,Standard,66.0,0.017,-0.18,77.4,8.1,0.012,0.18,90.7,1,-1,0.632,0.368,41,23,42,23,1,0,9.0,1.0,6.0,1.0,4.21,-1.52,-1.52,19.8,9.048519610987103,-16.027235692153834,34.60054573205983,30.586140558252485,35.33270091288266,1,-61.01676639134713,256.8520084000586,6.078392282219129,-137.55912142108266,269.9749768290755,77.65915537711606
FF,2025-05-24,92.3,1.96,5.74,"Kjerstad, Heston",680776,669432,field_out,hit_into_play,,,,,4.0,Jarren Duran flies out to left fielder Heston Kjerstad.,R,L,L,BOS,BAL,X,7,fly_ball,2,0,2025,0.89,1.15,-0.53,2.47,,,,0,1,Bot,59.82,101.51,,,,,-8.32836899427165,-134.0613716407682,-4.937282207246699,12.60604952342007,32.11183649514936,-17.427828044048958,3.53,1.71,291.0,93.3,41.0,92.4,2322.0,6.7,777790,668974,656811,602104,656896,683002,677008,622761,666185,53.83,0.014,0.022,0.0,1.0,0,0,3.0,4,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,129.0,-0.021,-0.378,78.9,7.3,0.038,0.378,93.3,0,0,0.547,0.547,27,28,28,29,1,0,,0.0,25.0,1.0,1.56,0.89,0.89,25.5,2.537851251519504,6.016923847612192,24.88105845067149,46.35398226708604,30.820535237312946,1,-163.29706642548317,240.8631729775877,5.613819423015649,-137.55912142108266,269.9749768290755,38.85793273627721
FC,2025-05-21,89.7,-2.5,5.72,"Kjerstad, Heston",668930,608372,field_out,hit_into_play,,,,,2.0,Brice Turang flies out sharply to left fielder Heston Kjerstad.,R,L,R,MIL,BAL,X,7,fly_ball,3,2,2025,0.09,0.4,0.02,3.0,,,,1,3,Bot,68.18,67.06,,,,,6.04032772717064,-130.5256009585543,-1.554834968428907,-0.2459892749025319,28.695792311593085,-27.541951236755573,3.46,1.61,356.0,100.3,24.0,89.5,2435.0,6.3,777826,668939,656811,702616,656896,683002,677008,656775,666185,54.23,0.523,0.786,0.0,1.0,0,0,6.0,21,6,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,189.0,-0.017,-0.332,72.3,6.6,1.381,0.332,100.3,0,0,0.529,0.529,35,25,36,26,2,1,6.0,1.0,6.0,1.0,2.45,-0.09,0.09,39.4,4.631254420975601,10.406691726414014,26.359443692438507,34.28328784247157,30.33417498929836,1,-142.34831971872478,326.30193973259753,3.7688610812760954,-137.55912142108266,269.9749768290755,56.530196977092565
FF,2025-05-21,96.9,-0.66,6.51,"Kjerstad, Heston",694192,641329,single,hit_into_play,,,,,2.0,"Jackson Chourio singles on a line drive to left fielder Heston Kjerstad. Isaac Collins scores. Jackson Chourio out at 2nd on the throw, left fielder Heston Kjerstad to third baseman Ramón Urías to second baseman Jackson Holliday.",R,R,R,MIL,BAL,X,7,line_drive,2,1,2025,-0.31,1.52,-0.26,2.93,,686555.0,,1,10,Bot,83.91,116.72,,,,,1.7759870188662437,-140.89922225868006,-7.422254544020634,-4.524532921393623,36.41137884689813,-10.43879429656095,3.48,1.64,186.0,97.3,11.0,96.4,2426.0,6.4,777826,668939,656896,702616,602104,683002,677008,656775,656811,54.13,0.869,0.832,0.9,1.0,1,0,4.0,82,4,4-Seam Fastball,3,4,3,4,4,4,4,4,Standard,Standard,198.0,0.255,0.523,71.9,7.5,1.032,-0.523,97.3,-1,-1,0.278,0.278,30,21,31,21,1,4,1.0,1.0,3.0,1.0,0.94,0.31,0.31,54.7,7.46789408302727,-8.627547348608873,27.93229927048211,35.24411387080765,28.398567731269285,0,-84.37477281988649,165.76156886200295,1.7964608570621083,-137.55912142108266,269.9749768290755,117.00003989847636
SI,2025-05-21,95.3,0.13,6.92,"Kjerstad, Heston",606992,642585,field_out,hit_into_play,,,,,1.0,Eric Haase flies out to left fielder Heston Kjerstad in foul territory.,R,R,R,MIL,BAL,X,7,fly_ball,1,0,2025,-0.58,1.77,-0.57,2.77,,,686217.0,1,9,Bot,30.71,112.66,,,,,-0.5519888164108153,-138.50769624183883,-9.225908767154348,-7.309060467912466,33.0436379712077,-7.586252543828831,3.24,1.5,321.0,105.3,52.0,95.6,2367.0,6.7,777826,668939,656896,702616,602104,683002,677008,656775,656811,53.84,0.023,0.039,0.0,1.0,0,0,3.0,72,2,Sinker,2,3,2,3,3,2,2,3,Standard,Standard,190.0,-0.11,-0.29,74.6,7.4,0.07,0.29,105.3,-1,-1,0.206,0.206,30,32,30,33,1,3,1.0,4.0,3.0,5.0,0.76,0.58,0.58,65.9,20.58179793777288,-18.413592895064664,33.22204169130414,31.11002011536636,36.45325956573989,1,-238.13303134113116,215.25254791589308,7.589709258904726,-137.55912142108266,269.9749768290755,114.49740426212435
