pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CU,2025-09-27,75.6,2.07,6.04,"Marsh, Brandon",676812,624133,field_out,hit_into_play,,,,,8.0,Carson McCusker flies out sharply to left fielder Brandon Marsh.,R,R,L,PHI,MIN,X,7,fly_ball,2,1,2025,-0.7,-0.9,0.03,1.94,,,,0,2,Top,83.58,58.71,,,,,-3.008215336468669,-110.01082885375382,0.2247080424858238,-5.056453616230319,21.50648473358287,-39.69563390044146,3.97,1.89,361.0,100.7,40.0,75.1,2178.0,6.1,776163,592663,547180,681082,664761,624641,669016,664056,592206,54.36,0.177,0.353,0.0,1.0,0,0,5.0,10,4,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,311.0,0.02,-0.306,80.3,8.5,0.669,0.306,100.7,-1,1,0.392,0.608,29,27,30,27,1,0,6.0,2.0,,1.0,4.92,-0.7,0.7,41.4,23.951278797529312,-17.01969266160073,42.92692144201249,42.418596470670025,39.759817460125646,1,-103.66893638407777,345.79437767117327,5.9328095554251155,-132.1112354242081,259.28289853881506,91.06701047227062
CU,2025-09-27,75.6,2.18,5.94,"Marsh, Brandon",668904,624133,double,hit_into_play,,,,,13.0,Royce Lewis doubles (18) on a line drive to left fielder Brandon Marsh. Austin Martin to 3rd.,R,R,L,PHI,MIN,X,7,line_drive,0,1,2025,-0.91,-0.78,-0.4,1.43,,,668885.0,1,1,Top,49.44,123.85,,,,,-3.764488673728029,-109.99453389056175,-0.8549992916728295,-6.633918546621645,21.035395592919897,-38.53196546757229,3.53,1.71,208.0,78.8,18.0,75.5,2138.0,6.4,776163,592663,547180,681082,664761,624641,669016,664056,592206,54.08,0.986,0.9,1.25,1.0,1,1,4.0,4,2,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,316.0,-0.075,0.831,73.7,8.8,1.065,-0.831,88.0,-1,1,0.397,0.603,29,26,30,26,1,0,6.0,1.0,,1.0,4.79,-0.91,0.91,42.8,16.658118869651894,-31.8563803244473,34.99615870728769,31.0167710852946,43.16750544786734,0,-148.59576259944077,145.5448361759724,2.301103164676114,-132.1112354242081,259.28289853881506,114.92643936990684
FF,2025-09-27,95.1,-0.67,6.05,"Marsh, Brandon",665019,676661,field_out,hit_into_play,,,,,4.0,Kody Clemens flies out to left fielder Brandon Marsh.,R,L,R,PHI,MIN,X,7,fly_ball,0,0,2025,-0.32,1.58,-0.34,2.81,,,,0,6,Top,60.04,98.09,,,,,1.5936676894306652,-138.3957557005125,-6.445590255089725,-4.467264734907669,30.674557043425928,-10.674248096254876,3.59,1.71,299.0,97.4,51.0,95.9,2572.0,6.7,776163,592663,547180,681082,664761,624641,669016,664056,592206,53.78,0.009,0.01,0.0,1.0,0,0,3.0,41,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,197.0,0.01,-0.259,77.6,7.4,0.013,0.259,97.4,-3,3,0.128,0.872,26,29,26,29,1,2,3.0,1.0,,1.0,0.94,0.32,-0.32,52.1,10.550172401023444,1.4512043353116029,23.039871340490546,41.17747848400339,28.925967136344788,1,-163.41335075890825,250.39384336230395,6.928011176030639,-132.1112354242081,259.28289853881506,32.53978682102772
CH,2025-09-26,87.6,-1.88,4.95,"Marsh, Brandon",681546,605400,field_out,hit_into_play,,,,,4.0,James Outman flies out to left fielder Brandon Marsh.,R,L,R,PHI,MIN,X,7,fly_ball,2,0,2025,-1.1,0.75,-0.61,2.57,,,,2,8,Top,81.9,121.04,,,,,5.419521920883917,-127.51107705981866,-1.167439413205163,-13.089542867259617,26.626111897348405,-23.932935315714065,3.39,1.59,224.0,96.3,58.0,88.8,1636.0,7.0,776176,592663,547180,681082,664761,624641,669016,664056,592206,53.46,0.026,0.029,0.0,1.0,0,0,3.0,56,3,Changeup,3,1,1,3,1,3,1,3,Standard,Standard,253.0,0.013,-0.363,77.7,7.6,0.037,0.363,96.3,2,-2,0.929,0.071,32,28,32,28,3,2,6.0,1.0,,1.0,2.22,1.1,-1.1,16.7,15.86244145027188,1.7838805375692113,35.73094247527116,42.72602696100085,32.261624491966664,1,-109.96844661635983,195.14850947108158,7.4706213790885965,-132.1112354242081,259.28289853881506,67.84926644614798
CH,2025-09-26,86.5,-1.82,4.92,"Marsh, Brandon",686797,605400,field_out,hit_into_play,,,,,11.0,Brooks Lee flies out to left fielder Brandon Marsh.,R,L,R,PHI,MIN,X,7,fly_ball,0,1,2025,-1.37,0.2,-0.86,2.52,665019.0,,,2,7,Top,62.69,127.69,,,,,5.143909032783367,-125.90356518650398,0.077281648036649,-15.596696309908053,24.7018369888402,-30.27191225402208,3.34,1.6,237.0,81.3,49.0,87.8,1600.0,7.0,776176,592663,547180,681082,664761,624641,669016,664056,592206,53.49,0.046,0.053,0.0,1.0,0,0,3.0,50,2,Changeup,3,1,1,3,1,3,1,3,Standard,Standard,251.0,0.045,-0.232,68.9,7.2,0.071,0.232,88.0,2,-2,0.848,0.152,32,24,32,24,3,2,6.0,1.0,,1.0,2.84,1.37,-1.37,15.9,14.624816519559136,4.103000125120744,24.475495078259065,45.6439567239123,25.60364692687996,1,-157.44332460873738,177.14570143288194,5.627195598131207,-132.1112354242081,259.28289853881506,85.95483634369769
ST,2025-09-25,80.2,-1.22,5.35,"Marsh, Brandon",682663,621111,field_out,hit_into_play,,,,,6.0,Agustín Ramírez flies out to left fielder Brandon Marsh.,R,R,R,PHI,MIA,X,7,fly_ball,1,0,2025,1.26,-0.2,0.34,2.13,,,,2,5,Top,78.62,87.37,,,,,1.089747042643005,-116.79887458033453,0.0574221231637319,11.156550440827266,24.76521611349124,-34.278233315734205,3.13,1.41,300.0,92.6,47.0,80.1,2512.0,6.5,776188,592663,547180,681082,664761,624641,669016,664056,596146,54.04,0.006,0.008,0.0,1.0,0,0,3.0,36,2,Sweeper,1,0,0,1,0,1,0,1,Standard,Standard,81.0,0.014,-0.299,82.3,8.2,0.012,0.299,92.6,1,-1,0.699,0.301,30,23,31,24,3,2,6.0,1.0,,1.0,3.78,-1.26,-1.26,38.2,13.567200428117385,-16.171754216387008,22.568091188215543,41.58066120592153,41.32076694672468,1,-116.63990365133832,276.3966947635346,6.204457475266667,-132.1112354242081,259.28289853881506,23.0704167289504
SI,2025-09-25,92.6,-1.16,5.67,"Marsh, Brandon",682663,621111,single,hit_into_play,,,,,5.0,Agustín Ramírez singles on a sharp line drive to left fielder Brandon Marsh. Troy Johnston to 3rd.,R,R,R,PHI,MIA,X,7,line_drive,0,1,2025,-0.98,1.22,-0.25,2.59,,,687859.0,2,3,Top,48.56,96.65,,,,,4.49363205862109,-134.80051823388777,-4.788816370850954,-12.959762973316945,27.941352719620788,-16.39131463318453,3.13,1.41,344.0,113.7,14.0,93.0,1898.0,6.4,776188,592663,547180,681082,664761,624641,669016,664056,596146,54.12,0.763,0.884,0.9,1.0,1,0,6.0,19,2,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,208.0,-0.03,0.388,81.5,7.7,1.345,-0.388,113.7,1,-1,0.647,0.353,30,23,31,24,2,1,6.0,1.0,,1.0,1.42,0.98,0.98,43.1,14.421907200686242,-6.290474572927312,19.3147029288172,35.29950789885967,37.115772065157486,0,-207.51281809061237,274.36186019214193,2.58007413426242,-132.1112354242081,259.28289853881506,76.89456257201219
FF,2025-09-24,96.0,-0.42,5.89,"Marsh, Brandon",687859,676661,field_out,hit_into_play,,,,,5.0,Troy Johnston flies out to left fielder Brandon Marsh.,R,L,R,PHI,MIA,X,7,fly_ball,2,2,2025,-0.16,1.53,-0.11,2.49,691594.0,,,2,9,Top,80.48,125.58,,,,,1.1988595847350147,-139.56891280257952,-6.854407912163501,-2.3637641626009738,34.13237889544536,-10.92232467966543,3.49,1.62,217.0,83.0,56.0,96.5,2637.0,6.8,776201,665561,805249,642215,664761,681082,669016,664056,592206,53.66,0.014,0.013,0.0,1.0,0,0,3.0,70,5,4-Seam Fastball,11,1,1,11,1,11,1,11,Infield shade,Standard,198.0,0.001,-0.198,75.7,7.2,0.014,0.198,88.0,10,-10,0.999,0.001,26,28,26,28,1,0,3.0,1.0,3.0,1.0,0.97,0.16,-0.16,51.5,8.118987938839561,-2.32620830608842,28.51256179925771,38.73158009663148,32.14928634773656,1,-114.11141164989364,184.57406570606966,6.303068677113581,-132.1112354242081,259.28289853881506,76.84662230142241
FF,2025-09-24,94.9,-0.46,5.91,"Marsh, Brandon",672640,676661,field_out,hit_into_play,,,,,2.0,Otto Lopez flies out to left fielder Brandon Marsh.,R,R,R,PHI,MIA,X,7,fly_ball,3,2,2025,-0.15,1.33,-0.24,3.24,,691594.0,,0,9,Top,65.18,84.17,,,,,0.9252768463822524,-138.16244686674582,-4.3767221445054005,-2.090147501849398,31.806610086979624,-14.332846510172336,3.35,1.6,321.0,96.8,43.0,96.3,2697.0,7.1,776201,665561,805249,642215,664761,681082,669016,664056,592206,53.38,0.034,0.062,0.0,1.0,0,0,3.0,68,6,4-Seam Fastball,11,1,1,11,1,11,1,11,Standard,Standard,196.0,0.0,-0.335,74.5,6.7,0.118,0.335,96.8,10,-10,0.999,0.001,26,26,26,27,1,3,3.0,1.0,3.0,1.0,1.2,0.15,0.15,53.2,8.330812787260289,-10.62546253553872,20.407999552915708,35.43402369207034,35.60225084956723,1,-149.86951355406862,283.8663927045025,6.049696843734539,-132.1112354242081,259.28289853881506,30.326632314384522
SL,2025-09-23,84.6,1.91,6.1,"Marsh, Brandon",672640,650911,single,hit_into_play,,,,,9.0,Otto Lopez singles on a line drive to left fielder Brandon Marsh.,R,R,L,PHI,MIA,X,7,line_drive,0,1,2025,-0.03,-0.04,0.35,1.96,,,,0,6,Top,101.12,99.04,,,,,-3.5851345907670744,-123.14023956033986,-3.225479393783359,0.4236022398131464,25.427899988098208,-32.13070009946109,3.35,1.6,191.0,76.9,17.0,85.0,2139.0,6.6,776215,592663,805249,642215,664761,681082,669016,664056,596146,53.89,0.946,0.853,0.9,1.0,1,0,4.0,40,2,Slider,3,0,0,3,0,3,0,3,Standard,Standard,306.0,-0.04,0.478,72.3,7.5,1.0,-0.478,88.0,3,-3,0.872,0.128,28,26,29,27,3,2,7.0,2.0,5.0,1.0,3.23,-0.03,0.03,32.4,7.509550954859519,-8.22301371309414,31.57659519803925,44.691983226309645,36.57007493334152,0,-45.43076755904686,185.51831542733416,2.1370924611222506,-132.1112354242081,259.28289853881506,113.81879120309539
