pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SI,2025-09-23,93.0,2.13,5.98,"Marte, Starling",664023,656849,double,hit_into_play,,,,,8.0,Ian Happ doubles (30) on a sharp line drive to left fielder Starling Marte. Matt Shaw scores. Nico Hoerner scores.,R,R,L,CHC,NYM,X,7,line_drive,3,2,2025,1.15,0.6,0.02,2.03,807713.0,,663538.0,1,2,Bot,93.07,67.33,,,,,-8.072707828529758,-135.134462139175,-5.706991178769695,15.871229623554454,30.397193920689425,-23.772623480043464,3.61,1.66,294.0,109.4,12.0,94.2,2107.0,7.1,776209,682626,624413,643446,683146,596019,516782,607043,665742,53.36,0.894,0.882,1.25,1.0,1,1,5.0,19,7,Sinker,3,1,3,1,1,5,5,1,Standard,Standard,144.0,0.095,0.715,74.2,6.7,1.169,-0.715,109.4,2,2,0.799,0.799,29,30,30,31,2,1,6.0,2.0,,1.0,2.05,1.15,-1.15,37.7,-3.3679825395558622,-5.333265365996526,37.00391911279387,36.670776027181,35.357171716254946,0,-70.5153565557851,285.4182623621174,2.1600653150823117,-135.74315942212448,266.410950732322,67.94074007664463
FF,2025-09-23,92.3,2.27,5.82,"Marte, Starling",663538,656849,single,hit_into_play,,,,,4.0,Nico Hoerner singles on a line drive to left fielder Starling Marte. Justin Turner scores. Matt Shaw to 3rd.,R,R,L,CHC,NYM,X,7,line_drive,2,2,2025,0.33,1.09,-0.4,2.26,457759.0,807713.0,,1,2,Bot,79.05,102.07,,,,,-7.66218832865585,-134.20880088941846,-5.761830726578178,5.463872366999446,25.80536537904788,-17.96478592828728,3.38,1.56,180.0,92.4,13.0,94.5,2221.0,7.4,776209,682626,624413,643446,683146,596019,516782,607043,665742,53.13,0.94,0.905,0.9,1.0,1,0,4.0,18,6,4-Seam Fastball,2,1,2,1,1,3,3,1,Strategic,Standard,140.0,0.063,0.577,68.8,7.6,1.106,-0.577,92.4,1,1,0.736,0.736,29,28,30,28,2,1,6.0,2.0,,1.0,1.57,0.33,-0.33,35.1,10.319393993733886,-4.844465766685938,40.57251859327242,34.52210393909089,27.978349513596186,0,-78.15724645194007,162.1463685287176,1.9887993226832987,-135.74315942212448,266.410950732322,119.11020306716733
CH,2025-09-23,85.6,2.21,6.26,"Marte, Starling",807713,656849,single,hit_into_play,,,,,6.0,Matt Shaw singles on a sharp line drive to left fielder Starling Marte. Justin Turner to 2nd.,R,R,L,CHC,NYM,X,7,line_drive,0,1,2025,1.37,0.22,0.36,2.36,,,457759.0,0,2,Bot,70.23,99.81,,,,,-7.223489545175531,-124.39174048657463,-3.3764256882801007,15.674228248839126,25.18819621084678,-29.38670643005016,3.18,1.47,171.0,100.9,11.0,86.8,1761.0,7.1,776209,682626,624413,643446,683146,596019,516782,607043,665742,53.37,0.911,0.89,0.9,1.0,1,0,4.0,16,2,Changeup,2,1,2,1,1,2,2,1,Standard,Standard,127.0,0.044,0.512,69.7,7.4,1.147,-0.512,100.9,1,1,0.691,0.691,29,23,30,24,1,0,6.0,3.0,,1.0,2.9,1.37,-1.37,46.1,18.775465348763355,-2.989869098397164,30.5096593833666,39.0407044443294,35.604117173655,0,-83.61160225357338,149.1646739968624,1.8557696961470382,-135.74315942212448,266.410950732322,128.31363396438388
CH,2025-09-23,89.7,-1.55,6.11,"Marte, Starling",691718,623211,single,hit_into_play,,,,,13.0,Pete Crow-Armstrong singles on a line drive to left fielder Starling Marte.,R,L,R,CHC,NYM,X,7,line_drive,2,1,2025,-1.33,0.03,-0.91,2.2,,,,1,4,Bot,92.45,98.76,,,,,4.337147010950737,-130.57983927688767,-3.670996265124394,-16.08824064930801,29.665094531164545,-31.251143735332167,3.05,1.4,150.0,72.7,17.0,88.4,1922.0,5.6,776209,682626,624413,643446,683146,596019,516782,607043,665742,54.87,0.814,0.739,0.9,1.0,1,0,4.0,33,4,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,241.0,0.007,0.371,74.6,8.0,0.866,-0.371,88.0,4,4,0.913,0.913,35,23,36,23,1,1,3.0,2.0,3.0,1.0,2.82,1.33,-1.33,40.8,30.8054090257356,-7.698661043678113,33.542761888306494,46.50978035834287,42.890702769204005,0,-47.176526552549575,142.3881151727088,2.029752770518617,-135.74315942212448,266.410950732322,152.39984316954175
SI,2025-09-21,96.9,2.42,5.46,"Marte, Starling",686611,642397,single,hit_into_play,,,,,6.0,Dylan Crews singles on a line drive to left fielder Starling Marte.,R,R,L,NYM,WSH,X,7,line_drive,1,0,2025,1.43,0.66,0.59,2.44,,,,0,8,Top,79.39,116.37,,,,,-8.208401108094167,-140.97402076412465,-4.088474356286999,20.9213128927484,30.444488007235368,-22.63497212190365,3.08,1.36,142.0,93.8,8.0,97.9,2368.0,6.7,776237,620443,624413,643446,683146,596019,516782,607043,665742,53.77,0.571,0.541,0.9,1.0,1,0,4.0,58,2,Sinker,2,3,3,2,3,2,3,2,Standard,Standard,125.0,-0.033,0.397,77.5,7.8,0.664,-0.397,93.8,-1,1,0.247,0.753,30,23,30,23,1,3,3.0,1.0,2.0,1.0,1.76,1.43,-1.43,29.0,7.830272249010688,-11.04925582251306,25.39384254082416,41.762994445730726,35.588714664941946,0,-69.57259982648011,123.78874485745648,1.330361957248018,-135.74315942212448,266.410950732322,157.22479628167196
CU,2025-09-08,79.6,-0.36,6.31,"Marte, Starling",592663,664854,field_out,hit_into_play,,,,,6.0,J.T. Realmuto lines out sharply to left fielder Starling Marte.,R,R,R,PHI,NYM,X,7,line_drive,2,2,2025,0.36,-1.19,0.45,2.7,,,,0,8,Bot,74.7,87.75,,,,,1.1382861802495647,-115.90884851784529,1.150503238501853,2.946925930087067,23.679677024377263,-43.28625988809784,3.59,1.65,304.0,103.1,15.0,80.0,2513.0,6.8,776405,682626,624413,643446,682668,596019,516782,607043,665742,53.75,0.646,0.674,0.0,1.0,0,0,4.0,60,5,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,29.0,-0.013,-0.233,68.9,7.5,0.95,0.233,103.1,1,1,0.871,0.871,30,34,31,34,1,3,5.0,1.0,2.0,1.0,4.81,-0.36,-0.36,67.6,15.432297315134194,-1.7161433424594623,27.68461207404866,41.74652963532993,33.2651491371698,1,-126.79730399439975,276.2941253442638,2.5072071277431336,-135.74315942212448,266.410950732322,13.330621506287049
FC,2025-08-23,89.2,-0.81,6.7,"Marte, Starling",595777,605280,double_play,hit_into_play,,,,,5.0,"Jurickson Profar lines into a double play, left fielder Starling Marte to catcher Hayden Senger. Nacho Alvarez Jr. out at home.",R,L,R,ATL,NYM,X,7,line_drive,1,1,2025,0.1,0.31,0.12,2.85,805373.0,,660644.0,1,3,Bot,61.38,105.37,,,,,2.0550137679692453,-130.1414005974378,-4.223250921491291,0.8029969394179789,22.040719086306115,-28.022289719130708,3.42,1.62,283.0,87.0,25.0,89.4,2519.0,5.8,776626,663584,624413,643446,683146,596019,516782,621438,665742,54.68,0.08,0.072,0.0,1.0,0,0,3.0,27,3,Cutter,0,3,0,3,3,0,0,3,Standard,Strategic,243.0,-0.112,-0.11,61.6,6.1,0.124,0.11,88.0,-3,-3,0.288,0.288,32,32,32,32,2,1,6.0,1.0,5.0,1.0,2.49,-0.1,0.1,44.0,-2.3949745351905416,15.824103741677224,31.0253789179257,33.301070284256184,21.478436741105288,0,-160.61919043629914,233.00316663854136,3.4068911785750373,-135.74315942212448,266.410950732322,41.65209426997451
FO,2025-08-20,82.2,-2.0,6.09,"Marte, Starling",695734,673540,single,hit_into_play,,,,,13.0,Daylen Lile singles on a line drive to left fielder Starling Marte.,R,L,R,WSH,NYM,X,7,line_drive,2,2,2025,-0.94,0.42,-0.66,1.24,,,,0,6,Bot,97.22,109.39,,,,,4.829984724970196,-119.61808615010952,-5.270107965138471,-9.953817385084834,22.86824531893728,-27.32684084008965,3.49,1.57,188.0,65.6,26.0,82.0,1459.0,6.1,776659,620443,624413,643446,683146,596019,516782,656775,665742,54.39,0.917,0.831,0.9,1.0,1,0,4.0,51,5,Forkball,5,4,5,4,4,5,5,4,Infield shade,Standard,235.0,0.031,0.465,63.6,8.3,0.968,-0.465,88.0,1,1,0.746,0.746,32,22,32,23,3,2,6.0,3.0,5.0,1.0,2.95,0.94,-0.94,47.3,19.255335976024448,-13.745028107131391,41.56109108261552,41.57387535864713,43.21988497479883,0,-56.85580352576324,179.19658926843394,2.6911126866789647,-135.74315942212448,266.410950732322,117.599148661344
FO,2025-08-20,80.4,-2.08,6.05,"Marte, Starling",686611,673540,double,hit_into_play,,,,,5.0,Dylan Crews doubles (4) on a sharp line drive to left fielder Starling Marte. Paul DeJong scores.,R,R,R,WSH,NYM,X,7,line_drive,0,1,2025,-0.8,-0.01,0.03,2.07,,657557.0,,1,4,Bot,33.49,107.5,,,,,6.193147687541714,-116.91442389571898,-2.1005212667081787,-8.55621400220999,22.985795875957493,-32.03361161205979,3.06,1.33,177.0,106.1,10.0,80.2,1408.0,6.3,776659,620443,624413,643446,683146,596019,516782,656775,665742,54.2,0.849,0.841,1.25,1.0,1,1,4.0,29,2,Forkball,2,0,2,0,0,3,3,0,Standard,Standard,249.0,0.071,0.852,77.3,7.8,1.068,-0.852,106.1,2,2,0.807,0.807,32,23,32,23,2,1,6.0,1.0,5.0,1.0,3.55,0.8,0.8,44.5,14.531177506136272,-20.870207798366152,30.736960845010707,32.79763834176481,43.46565747101437,0,-125.95001495562056,124.36074031895657,1.7842570898329322,-135.74315942212448,266.410950732322,142.387386930947
ST,2025-08-20,82.1,-2.03,5.99,"Marte, Starling",657557,673540,double,hit_into_play,,,,,1.0,Paul DeJong doubles (8) on a line drive to left fielder Starling Marte.,R,R,R,WSH,NYM,X,7,line_drive,0,2,2025,0.93,-0.31,-0.32,3.38,,,,0,4,Bot,41.41,123.54,,,,,2.068592286096791,-119.5522318375681,1.2378994960641352,8.478296614993141,23.419557155980936,-35.61586811629838,3.41,1.53,190.0,90.2,14.0,82.3,2647.0,6.4,776659,620443,624413,643446,683146,596019,516782,656775,665742,54.08,0.977,0.928,1.25,1.0,1,1,4.0,27,3,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,38.0,0.042,0.81,71.1,6.7,1.146,-0.81,90.2,2,2,0.793,0.793,32,31,32,32,2,1,6.0,1.0,5.0,1.0,3.69,-0.93,-0.93,48.3,23.711719944357743,-7.516865042910573,25.55602533448237,32.1324941595718,37.217541153193146,0,-141.96207774387113,126.28051505534448,2.0791658074079606,-135.74315942212448,266.410950732322,140.26836403163793
