pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SL,2025-09-10,85.3,-1.9,5.63,"Mesa Jr., Victor",682928,691587,field_out,hit_into_play,,,,,8.0,CJ Abrams flies out to left fielder Victor Mesa Jr.,R,L,R,MIA,WSH,X,7,fly_ball,2,1,2025,0.11,0.52,0.05,1.67,,,,0,6,Top,77.47,133.97,,,,,4.383814987604294,-124.17342151757902,-4.051135226765616,0.2136304574249493,25.504515324715523,-26.20275590563964,3.5,1.56,203.0,82.0,58.0,85.6,2399.0,6.5,776386,689414,687859,669364,691185,672640,683748,805300,686894,53.98,0.037,0.041,0.0,1.0,0,0,3.0,36,4,Slider,0,1,1,0,1,0,1,0,Standard,Standard,180.0,0.024,-0.306,70.1,7.4,0.053,0.306,88.0,-1,1,0.333,0.667,22,24,22,25,3,2,7.0,1.0,6.0,1.0,2.62,-0.11,0.11,24.9,11.07715503737882,-3.762754405480409,29.999595591670616,39.325181330135095,34.38501694862668,1,-121.35411278593942,162.73346094131193,6.36929987458353,-145.06671290084026,272.8308061934084,112.62199090660992
FF,2025-09-10,97.6,-1.74,5.95,"Mesa Jr., Victor",691781,691587,double,hit_into_play,,,,,7.0,Brady House doubles (11) on a line drive to left fielder Victor Mesa Jr.,R,R,R,MIA,WSH,X,7,line_drive,2,0,2025,-1.05,1.52,-0.55,2.06,,,,0,3,Top,86.53,51.19,,,,,5.623108568171845,-141.8706587871132,-8.427155195388925,-15.476319917651484,33.835503585837685,-9.899646208220698,3.59,1.61,237.0,109.4,8.0,97.5,2713.0,6.4,776386,689414,687859,669364,691185,672640,683748,805300,686894,54.11,0.714,0.693,1.25,1.0,1,1,4.0,13,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,222.0,-0.069,0.597,76.1,7.7,0.886,-0.597,109.4,0,0,0.5,0.5,22,22,22,22,1,0,7.0,1.0,6.0,1.0,0.89,1.05,1.05,27.4,4.346325782579644,2.290469575058708,43.17776411967156,29.60964448407072,25.62524275599801,0,-60.584019828014185,229.12567848558308,1.5115040682313907,-145.06671290084026,272.8308061934084,95.1181560838658
FF,2025-09-07,98.0,-2.01,5.27,"Mesa Jr., Victor",669016,678692,double,hit_into_play,,,,,8.0,Brandon Marsh doubles (21) on a line drive to left fielder Victor Mesa Jr.,R,L,R,MIA,PHI,X,7,line_drive,0,1,2025,-0.47,1.58,0.13,1.88,,,,2,8,Top,36.86,111.74,,,,,6.871161150187092,-142.3169345954428,-7.262498741882645,-8.1518857233569,37.97427589618253,-9.218812052516888,3.23,1.53,277.0,93.0,23.0,97.6,2708.0,6.5,776426,689414,687859,669364,691185,672640,683748,805300,686894,53.97,0.146,0.167,1.25,1.0,1,1,3.0,65,2,4-Seam Fastball,5,3,3,5,3,5,3,5,Standard,Standard,214.0,-0.029,0.624,71.6,6.7,0.269,-0.624,93.0,2,-2,0.929,0.071,25,27,25,28,1,3,8.0,1.0,3.0,3.0,0.83,0.47,-0.47,44.4,3.7401372978029817,9.73637806976543,44.47183873520163,36.31604853296144,20.976728451844064,0,-198.12617022158707,193.5846602221537,3.3683330757274352,-145.06671290084026,272.8308061934084,95.36906029981402
FF,2025-09-05,96.0,-1.66,5.95,"Mesa Jr., Victor",596146,669199,field_out,hit_into_play,,,,,5.0,Max Kepler flies out to left fielder Victor Mesa Jr.,R,L,R,MIA,PHI,X,7,fly_ball,0,0,2025,-0.91,1.59,-0.21,2.54,,,,0,4,Top,32.62,109.27,,,,,5.825713421732697,-139.4833130872796,-6.917892760927661,-13.16584531593254,33.86508310465459,-10.092597145273103,3.45,1.63,319.0,90.9,38.0,94.9,2833.0,5.9,776456,682663,676572,691185,691594,672640,683748,805300,686894,54.61,0.02,0.029,0.0,1.0,0,0,3.0,28,1,4-Seam Fastball,1,5,5,1,5,1,5,1,Strategic,Standard,217.0,0.008,-0.259,71.5,6.8,0.048,0.259,90.9,-4,4,0.114,0.886,30,32,30,32,1,1,4.0,1.0,2.0,1.0,0.91,0.91,-0.91,36.0,-3.909549523603197,7.777376925155549,34.62399533722033,41.17982224061088,21.58683613955313,1,-230.23159800335733,220.80401101615087,5.138547304224691,-145.06671290084026,272.8308061934084,99.79902339673092
FF,2025-09-05,96.7,-0.76,6.57,"Mesa Jr., Victor",624641,656848,field_out,hit_into_play,,,,,8.0,Edmundo Sosa flies out sharply to left fielder Victor Mesa Jr.,R,R,R,MIA,PHI,X,7,fly_ball,2,0,2025,-0.57,1.51,0.03,1.73,,664761.0,681082.0,2,9,Top,78.26,67.51,,,,,3.42211244735148,-140.32433491080914,-10.727453400075854,-8.330655082808589,35.58739410727102,-9.855326422265552,3.39,1.54,345.0,102.8,44.0,96.4,2300.0,6.5,776456,640459,676572,676466,691594,691185,683748,805300,686894,53.97,0.12,0.229,0.0,1.0,0,0,3.0,78,3,4-Seam Fastball,3,9,9,3,9,3,9,3,Standard,Standard,199.0,0.001,-0.339,83.0,9.3,0.436,0.339,102.8,-6,6,0.002,0.998,31,29,31,29,1,0,2.0,2.0,2.0,1.0,0.96,0.57,0.57,55.8,17.077716886491192,-18.77493580248752,36.31575879985987,37.20576084526395,38.75739769159126,1,-117.04803292340334,324.53776049754504,6.5391145493029255,-145.06671290084026,272.8308061934084,58.81033541043697
CU,2025-09-05,77.5,-1.27,5.96,"Mesa Jr., Victor",547180,678368,single,hit_into_play,,,,,5.0,Bryce Harper singles on a fly ball to left fielder Victor Mesa Jr. Trea Turner scores. Kyle Schwarber to 2nd.,R,L,R,MIA,PHI,X,7,fly_ball,0,0,2025,1.05,-0.68,-0.02,2.35,,607208.0,656941.0,0,1,Top,46.73,130.94,,,,,0.7445505394358878,-112.75080294905176,0.5211394797680844,8.755083936940224,22.677133099721807,-38.24899958277485,3.2,1.62,240.0,77.6,35.0,76.5,2777.0,5.8,776456,682663,676572,691185,691594,672640,683748,805300,686894,54.7,0.069,0.062,0.9,1.0,1,0,3.0,3,1,Curveball,0,0,0,0,1,0,1,0,Standard,Standard,46.0,-0.091,0.489,69.0,6.8,0.088,-0.489,88.0,0,0,0.412,0.588,25,32,25,33,1,0,7.0,1.0,4.0,1.0,4.51,-1.05,1.05,45.1,-2.7649299577352235,16.89316610575487,38.352176493504274,38.92707644154373,26.690868612095738,0,-182.3572889023294,156.03146857026104,4.10342160335512,-145.06671290084026,272.8308061934084,122.60779880467967
FF,2025-09-05,97.7,-1.1,6.51,"Mesa Jr., Victor",596146,656848,field_out,hit_into_play,,,,,2.0,Max Kepler flies out to left fielder Victor Mesa Jr.,R,L,R,MIA,PHI,X,7,fly_ball,0,2,2025,-0.71,1.38,0.06,3.37,,,,1,9,Top,82.46,61.16,,,,,4.740028413874917,-142.12836279155468,-6.118931718599312,-10.760276230632927,32.45018265510544,-12.256662309635267,3.45,1.63,358.0,96.0,26.0,97.2,2156.0,6.0,776456,640459,676572,676466,691594,691185,683748,805300,686894,54.47,0.266,0.391,0.0,1.0,0,0,5.0,75,3,4-Seam Fastball,3,9,9,3,9,3,9,3,Infield shade,Standard,209.0,0.001,-0.163,65.6,6.3,0.672,0.163,96.0,-6,6,0.002,0.998,31,32,31,32,1,4,2.0,1.0,2.0,1.0,1.01,0.71,-0.71,56.4,1.9109395604535089,5.092889691366158,27.527990477529368,38.39218004373204,24.12795219072212,1,-107.039203089275,341.62349012035594,3.884807392734798,-145.06671290084026,272.8308061934084,78.60359320248403
ST,2025-09-05,85.9,-2.21,5.47,"Mesa Jr., Victor",592663,669199,single,hit_into_play,,,,,9.0,J.T. Realmuto singles on a line drive to left fielder Victor Mesa Jr.,R,R,R,MIA,PHI,X,7,line_drive,1,2,2025,1.04,0.08,0.38,1.79,,,,0,4,Top,66.98,115.08,,,,,4.002515945978654,-124.9359627784218,-2.516043690010848,9.870619311591964,28.415989715911497,-31.048117594482875,3.62,1.67,175.0,91.9,12.0,84.9,2921.0,6.0,776456,682663,676572,691185,691594,672640,683748,805300,686894,54.53,0.826,0.797,0.9,1.0,1,0,4.0,25,5,Sweeper,1,2,2,1,2,1,2,1,Standard,Standard,45.0,-0.035,0.508,69.5,8.0,0.963,-0.508,91.9,-1,1,0.371,0.629,30,34,30,34,1,1,4.0,1.0,2.0,1.0,3.05,-1.04,-1.04,32.1,25.680948672468045,-9.4199433808586,31.28431515905964,40.53918316141173,38.77723340982772,0,-100.59490935662471,143.19798955129383,1.843186419220969,-145.06671290084026,272.8308061934084,137.04892725243567
ST,2025-09-01,78.5,1.6,5.77,"Mesa Jr., Victor",695734,806188,field_out,hit_into_play,,,,,7.0,Daylen Lile flies out to left fielder Victor Mesa Jr.,R,L,L,WSH,MIA,X,7,fly_ball,0,0,2025,-0.9,0.06,-0.58,2.05,,,671277.0,1,4,Bot,89.41,119.13,,,,,-3.0484488899336792,-114.2957052935545,-1.3433305688164934,-7.300794530244256,20.84690682000772,-31.607315676472968,3.52,1.64,221.0,73.1,40.0,78.0,2909.0,5.9,776498,682663,676572,691594,681393,672640,683748,805300,686894,54.61,0.257,0.232,0.0,1.0,0,0,3.0,28,1,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,304.0,-0.019,-0.256,66.6,7.7,0.302,0.256,88.0,2,2,0.795,0.795,27,22,27,23,1,1,2.0,1.0,5.0,1.0,3.63,-0.9,-0.9,27.9,10.02020974797995,3.4353422460207224,36.50783297372536,43.18379815468887,30.780998790930905,1,-91.5289598939259,201.15528703152722,4.327016880972338,-145.06671290084026,272.8308061934084,89.46323850696757
ST,2025-09-01,78.9,-2.74,4.44,"Mesa Jr., Victor",667690,661527,field_out,hit_into_play,,,,,9.0,C.J. Stubbs flies out to left fielder Victor Mesa Jr.,R,R,R,WSH,MIA,X,7,fly_ball,2,2,2025,1.64,1.03,0.58,2.17,,,,2,5,Bot,102.02,95.98,,,,,4.216315935457744,-114.83872511003732,-0.0017379793845282,13.658456536005223,22.473007135299817,-23.304090929169423,3.49,1.6,263.0,93.1,48.0,79.6,2559.0,6.9,776498,682663,676572,691594,681393,672640,683748,805300,686894,53.58,0.006,0.007,0.0,1.0,0,0,3.0,37,6,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,87.0,-0.006,-0.224,68.3,7.7,0.01,0.224,93.1,2,2,0.795,0.795,30,28,31,29,1,1,3.0,,4.0,,2.64,-1.64,-1.64,9.4,20.720881425561068,-7.194778424736367,33.103187078086506,42.6240953163031,47.972751872215845,1,-58.64919938100531,256.3772053283347,6.337249967646372,-145.06671290084026,272.8308061934084,87.96992454457383
