pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-09-20,99.4,-1.2,5.63,"Myers, Dane",592626,676534,field_out,hit_into_play,,,,,4.0,Joc Pederson flies out to left fielder Dane Myers.,R,L,R,TEX,MIA,X,7,fly_ball,3,2,2025,-0.67,1.3,-0.53,2.7,694671.0,680737.0,,2,9,Bot,113.49,94.8,,,,,3.384042336888204,-144.55110924669893,-5.599752570891128,-10.173998370210152,36.37512516432232,-12.909201810988169,3.61,1.71,230.0,92.6,57.0,98.7,2654.0,6.1,776242,682663,676572,669364,681393,672640,667472,805300,686894,54.38,0.009,0.008,0.0,1.0,0,0,3.0,76,7,4-Seam Fastball,3,4,3,4,4,3,3,4,Strategic,Standard,218.0,-0.235,-0.26,76.4,7.6,0.014,0.26,92.6,-1,-1,0.235,0.235,29,33,30,33,1,4,2.0,1.0,3.0,1.0,1.03,0.67,-0.67,41.1,10.34459451754024,-0.9839771210897386,23.358825178301743,39.84952324049158,27.795891908033724,1,-26.344266995221627,228.4862787925885,7.106656607082345,-134.83517842264538,264.62893768394525,114.35282967242252
FF,2025-09-20,96.6,-1.45,5.62,"Myers, Dane",669701,676534,field_out,hit_into_play,,,,,2.0,Josh Smith flies out to left fielder Dane Myers.,R,L,R,TEX,MIA,X,7,fly_ball,3,1,2025,-0.65,1.22,-0.09,2.75,,,,0,9,Bot,87.99,128.43,,,,,5.069784608852735,-140.58234543801325,-4.8291927740232,-9.72078781126903,32.33924226798054,-15.082930799846068,3.27,1.54,202.0,85.5,60.0,96.0,2545.0,5.9,776242,682663,676572,669364,681393,672640,667472,805300,686894,54.55,0.031,0.039,0.0,1.0,0,0,3.0,72,5,4-Seam Fastball,3,4,3,4,4,3,3,4,Standard,Standard,223.0,-0.086,-0.439,70.0,6.5,0.054,0.439,88.0,-1,-1,0.194,0.194,29,27,30,28,1,3,2.0,1.0,3.0,1.0,1.22,0.65,-0.65,39.1,16.748145749224022,3.2532983920075176,30.32378843149365,34.85817263686228,31.94716610040869,1,-95.41985095535287,178.0422760011179,6.778279098125175,-134.83517842264538,264.62893768394525,95.13578727655701
CH,2025-09-18,87.9,-1.95,5.99,"Myers, Dane",696100,645261,field_out,hit_into_play,,,,,8.0,Hunter Goodman flies out to left fielder Dane Myers.,R,R,R,COL,MIA,X,7,fly_ball,0,0,2025,-1.06,0.44,-0.09,1.93,,,,0,6,Bot,50.79,96.35,,,,,6.700418640487597,-127.97324299092122,-4.73245903913503,-12.95226183629619,22.421465956347863,-26.59410096130485,3.37,1.62,313.0,97.0,49.0,88.5,1904.0,6.3,776270,682663,676572,691594,688363,672640,667472,805300,687859,54.21,0.006,0.009,0.0,1.0,0,0,3.0,46,1,Changeup,2,4,2,4,4,2,2,4,Standard,Strategic,239.0,-0.035,-0.259,81.2,8.3,0.018,0.259,97.0,-2,-2,0.248,0.248,29,25,30,26,3,2,6.0,1.0,8.0,1.0,2.47,1.06,1.06,30.4,19.396550219587297,-21.64793143416888,27.51665028178504,37.61432100681537,47.978614679384094,1,-184.91739091010317,252.53625193029237,6.702159086890471,-134.83517842264538,264.62893768394525,51.52146209469866
SL,2025-09-18,89.6,-1.94,5.99,"Myers, Dane",671289,645261,field_out,hit_into_play,,,,,4.0,Tyler Freeman flies out to left fielder Dane Myers.,R,R,R,COL,MIA,X,7,fly_ball,1,0,2025,0.12,0.44,-0.33,2.23,,,,1,5,Bot,49.66,109.18,,,,,3.734016068589448,-130.6674007375079,-4.387689166742634,0.8051390724097984,20.49377559355848,-26.51773841399648,3.34,1.57,290.0,97.3,55.0,90.6,2299.0,6.2,776270,682663,676572,691594,688363,672640,667472,805300,687859,54.27,0.009,0.009,0.0,1.0,0,0,3.0,41,2,Slider,2,4,2,4,4,2,2,4,Standard,Standard,203.0,-0.021,-0.294,73.7,7.4,0.015,0.294,97.3,-2,-2,0.246,0.246,29,26,30,26,3,2,6.0,1.0,8.0,1.0,2.33,-0.12,-0.12,31.3,16.617233569454687,-34.31345372657539,43.19384823565173,32.5586996853558,44.488534118191815,1,-187.8662648164955,220.92140354410748,7.292214545675524,-134.83517842264538,264.62893768394525,68.72150074537865
SL,2025-09-18,89.6,-1.8,6.02,"Myers, Dane",666160,645261,field_out,hit_into_play,,,,,5.0,Mickey Moniak flies out to left fielder Dane Myers.,R,L,R,COL,MIA,X,7,fly_ball,0,0,2025,0.06,0.37,0.22,2.33,,692585.0,671289.0,2,2,Bot,63.68,116.33,,,,,4.828166163971909,-130.46624706885416,-3.9187340193594937,-0.2396046978585459,25.02727582123651,-27.40162746164812,3.46,1.63,257.0,83.4,53.0,89.4,2336.0,6.0,776270,682663,676572,691594,688363,672640,667472,805300,687859,54.54,0.011,0.01,0.0,1.0,0,0,3.0,20,1,Slider,2,1,2,1,1,2,2,1,Standard,Strategic,192.0,-0.038,-0.283,74.0,7.6,0.014,0.283,88.0,1,1,0.655,0.655,29,27,30,27,2,1,6.0,1.0,8.0,1.0,2.45,-0.06,0.06,33.2,-4.609295864748723,-2.5495275096727696,41.53364782472536,36.052102204576585,27.863975461575208,1,-154.65652480474768,205.25681312764863,6.103104908849633,-134.83517842264538,264.62893768394525,62.59340977073929
CU,2025-09-18,81.3,-1.83,6.11,"Myers, Dane",671289,645261,single,hit_into_play,,,,,6.0,Tyler Freeman singles on a line drive to left fielder Dane Myers.,R,R,R,COL,MIA,X,7,line_drive,1,2,2025,0.31,-0.15,0.28,2.73,,,,0,1,Bot,102.72,79.99,,,,,4.116573979465916,-118.50707018660792,-0.8171634220041599,2.3294631035753643,19.274880342663227,-33.649975962701966,3.34,1.57,235.0,87.1,16.0,81.7,2387.0,6.1,776270,682663,676572,691594,688363,672640,667472,805300,687859,54.38,0.986,0.913,0.9,1.0,1,0,4.0,4,5,Curveball,0,0,0,0,0,0,0,0,Standard,Strategic,90.0,0.036,0.508,72.9,6.7,1.1,-0.508,88.0,0,0,0.547,0.547,29,26,30,26,1,0,6.0,1.0,8.0,1.0,3.55,-0.31,-0.31,32.6,1.210077390404446,-0.0626528477718684,32.43831324851672,37.84331346840815,31.90211316735088,0,-44.29229055725932,230.78819943227452,2.2709508286831976,-134.83517842264538,264.62893768394525,96.66028195914787
ST,2025-09-18,86.8,-1.19,5.91,"Myers, Dane",696100,676534,single,hit_into_play,,,,,6.0,Hunter Goodman singles on a line drive to left fielder Dane Myers.,R,R,R,COL,MIA,X,7,line_drive,0,0,2025,1.25,-0.18,0.3,2.55,,,,2,9,Bot,42.68,104.88,,,,,1.0094396325958992,-126.54199644803737,-1.581363114036008,13.365158915451516,22.108331943884814,-34.08715582184718,3.37,1.62,283.0,80.7,27.0,87.0,3098.0,6.0,776270,682663,676572,691594,688363,672640,667472,805300,686894,54.53,0.146,0.139,0.9,1.0,1,0,3.0,79,1,Sweeper,7,9,7,9,9,7,7,9,Standard,Standard,53.0,0.03,0.328,78.3,7.7,0.204,-0.328,88.0,-2,-2,0.014,0.014,29,25,30,26,1,4,1.0,1.0,2.0,1.0,3.16,-1.25,-1.25,45.0,14.902461182509583,-21.57052366142586,20.32166516118815,41.99268546401124,46.42723300263891,0,-187.66838826435045,211.82439908155294,3.3951592302998455,-134.83517842264538,264.62893768394525,74.69717102534193
SL,2025-09-16,84.6,-2.1,5.43,"Myers, Dane",690022,691587,field_out,hit_into_play,,,,,8.0,Ryan Ritter flies out to left fielder Dane Myers.,R,R,R,COL,MIA,X,7,fly_ball,3,2,2025,0.22,0.16,-0.03,2.04,,688760.0,,1,3,Bot,66.18,113.68,,,,,4.433948982413371,-123.20521053178754,-1.9511352672200504,1.4869294328537828,21.97301853404016,-30.36182812542369,3.58,1.65,,95.8,51.0,,2396.0,7.0,776293,682663,676572,691594,681393,672640,667472,805300,686894,53.53,0.009,0.013,0.0,1.0,0,0,3.0,22,7,Slider,0,3,0,3,3,0,0,3,Standard,Standard,144.0,-0.035,-0.284,66.7,7.6,0.018,0.284,95.8,-3,-3,0.241,0.241,22,24,22,25,1,0,6.0,2.0,5.0,2.0,2.99,-0.22,-0.22,22.1,22.02233521530251,-21.42421385086585,36.98733182014865,34.346034221170484,39.40636670130526,1,,,6.8150921883982205,-134.83517842264538,264.62893768394525,
FF,2025-09-16,97.1,-1.87,5.95,"Myers, Dane",688760,691587,single,hit_into_play,,,,,8.0,Blaine Crim singles on a line drive to left fielder Dane Myers.,R,R,R,COL,MIA,X,7,line_drive,2,0,2025,-0.54,1.22,-0.18,2.19,,,,0,3,Bot,69.26,84.34,,,,,5.804861617378808,-141.32469194573972,-7.413005130027747,-8.499101785482168,28.64847075564076,-14.35314920309908,3.58,1.68,268.0,98.2,12.0,98.0,2550.0,6.6,776293,682663,676572,691594,681393,672640,667472,805300,686894,53.94,0.94,0.886,0.9,1.0,1,0,4.0,20,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,215.0,0.039,0.32,75.1,7.2,1.102,-0.32,98.2,-3,-3,0.224,0.224,22,28,22,28,1,0,6.0,2.0,5.0,1.0,1.18,0.54,0.54,29.0,9.62860832917894,-6.480992022339465,32.09935724445273,35.095585663079,34.7355859392654,0,-118.49253607580361,240.38202697856673,1.956734885208641,-134.83517842264538,264.62893768394525,29.24029133971455
FC,2025-09-16,86.8,-1.43,6.26,"Myers, Dane",696100,656848,single,hit_into_play,,,,,8.0,Hunter Goodman singles on a sharp line drive to left fielder Dane Myers.,R,R,R,COL,MIA,X,7,line_drive,1,1,2025,0.36,-0.12,0.2,1.77,,,,2,8,Bot,71.38,86.3,,,,,3.204082001434952,-126.59231479144032,-4.503685291543464,3.4044790644986462,19.53390879567671,-32.92941528158038,3.35,1.58,246.0,104.7,11.0,88.2,2432.0,6.5,776293,682663,676572,691594,681393,672640,667472,805300,686894,54.01,0.937,0.917,0.9,1.0,1,0,4.0,66,3,Cutter,3,6,3,6,6,3,3,6,Standard,Standard,100.0,0.013,0.344,74.1,7.6,1.179,-0.344,104.7,-3,-3,0.039,0.039,31,25,31,26,1,3,3.0,2.0,3.0,1.0,3.07,-0.36,-0.36,47.8,13.052179840642792,-12.60246666962296,25.0158174532676,40.3775950025795,39.526771170694175,0,-106.92502979608848,221.54692054530025,1.9185852848724851,-134.83517842264538,264.62893768394525,51.33260754229224
