pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
ST,2025-09-26,81.3,-2.74,4.83,"Outman, James",547180,657746,field_out,hit_into_play,,,,,5.0,Bryce Harper flies out to left fielder James Outman.,R,L,R,PHI,MIN,X,7,fly_ball,2,0,2025,1.47,0.33,0.06,2.69,,,664056.0,2,5,Bot,99.44,105.74,,,,,3.46859386121584,-118.3410489438663,1.2272874132686111,13.012392284843074,24.632252560240246,-29.58474963403924,3.22,1.69,243.0,75.4,43.0,81.3,2651.0,6.5,776176,543877,666397,665019,668904,686797,681546,621439,663616,53.99,0.154,0.16,0.0,1.0,0,0,3.0,36,3,Sweeper,2,0,2,0,0,2,2,0,Infield shade,Standard,67.0,-0.014,-0.355,75.8,7.3,0.209,0.355,88.0,2,2,0.803,0.803,29,32,29,33,3,2,6.0,1.0,,1.0,3.14,-1.47,1.47,24.7,14.11070105000918,8.238223794882023,33.83235550653653,37.56408883794236,30.83606964794764,1,-65.6879275401926,233.9531922745967,4.7276983628539035,-133.9271974231663,262.84692463556854,74.10428951085619
FF,2025-09-26,91.4,-3.56,5.45,"Outman, James",592663,543859,single,hit_into_play,,,,,8.0,J.T. Realmuto singles on a sharp line drive to left fielder James Outman.,R,R,R,PHI,MIN,X,7,line_drive,1,0,2025,-1.3,0.99,0.02,1.94,,,,2,8,Bot,52.0,105.32,,,,,11.750564086449105,-132.43265631499995,-4.988036434347109,-17.95595599957977,30.816441644647067,-19.64117964060724,3.67,1.75,202.0,103.5,12.0,90.4,2192.0,6.1,776176,543877,666397,665019,668904,686797,681546,621439,663616,54.38,0.931,0.938,0.9,1.0,1,0,4.0,59,2,4-Seam Fastball,3,1,3,1,1,3,3,1,Strategic,Standard,248.0,0.004,0.29,73.6,8.6,1.248,-0.29,103.5,2,2,0.932,0.932,35,34,36,34,1,3,7.0,1.0,,1.0,1.79,1.3,1.3,15.0,17.753926005101537,-14.342278655969226,41.9861355021424,37.26506781011859,35.40684273567427,0,-125.20850661784048,158.51444688270593,2.0527416401768317,-133.9271974231663,262.84692463556854,104.6961388180598
FF,2025-09-26,95.7,-2.71,4.9,"Outman, James",547180,657746,single,hit_into_play,,,,,6.0,Bryce Harper singles on a line drive to left fielder James Outman. Kyle Schwarber to 3rd.,R,L,R,PHI,MIN,X,7,line_drive,2,0,2025,-0.85,1.12,0.38,2.35,,,656941.0,1,1,Bot,90.12,74.03,,,,,10.140462373665152,-138.9113165540608,-3.598017874550848,-13.450146491412957,33.52017027695677,-17.0676737110807,3.22,1.69,287.0,92.2,22.0,95.9,2342.0,6.7,776176,543877,666397,665019,668904,686797,681546,621439,663616,53.76,0.197,0.194,0.9,1.0,1,0,3.0,6,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,225.0,0.061,0.304,74.0,6.5,0.3,-0.304,92.2,0,0,0.55,0.55,29,32,29,33,1,0,6.0,1.0,,1.0,1.4,0.85,-0.85,31.9,0.0713364148835537,12.454449575313044,43.23964076065229,32.595655453266176,24.35654556428988,0,-78.43987095872883,276.072792292138,3.207076052212775,-133.9271974231663,262.84692463556854,57.04180022965747
FF,2025-09-16,96.4,-1.97,5.86,"Outman, James",663757,805673,sac_fly,hit_into_play,,,,,2.0,Trent Grisham out on a sacrifice fly to left fielder James Outman. Ryan McMahon scores. Anthony Volpe to 3rd. Austin Wells to 2nd.,R,L,R,MIN,NYY,X,7,fly_ball,1,2,2025,-0.39,1.28,0.15,3.2,641857.0,683011.0,669224.0,0,3,Top,90.82,65.59,,,,,6.576854745588825,-140.3194780612323,-4.435510959801913,-6.640356080659082,30.90103715992477,-14.43962273706877,3.64,1.74,343.0,92.0,32.0,97.1,2367.0,6.6,776298,681508,665019,668885,668904,680837,681546,621439,670242,53.89,0.074,0.129,0.0,1.0,0,0,3.0,28,5,4-Seam Fastball,1,6,6,1,7,1,7,1,Strategic,Standard,208.0,-0.006,-0.124,67.5,6.4,0.237,0.124,92.0,-5,5,0.044,0.956,25,28,25,29,3,2,7.0,1.0,7.0,1.0,1.17,0.39,-0.39,38.6,15.184449575553352,17.219094760331817,24.355119022014563,37.22642722937143,17.81608540441192,1,-86.55219763130462,331.90016132143046,4.486384202517799,-133.9271974231663,262.84692463556854,83.74210471484795
FF,2025-09-16,97.1,-1.98,6.01,"Outman, James",669224,805673,single,hit_into_play,,,,,5.0,Austin Wells singles on a line drive to left fielder James Outman. Ryan McMahon to 3rd. Anthony Volpe to 2nd.,R,L,R,MIN,NYY,X,7,line_drive,0,0,2025,-0.44,1.4,0.19,2.51,,641857.0,683011.0,0,3,Top,88.8,88.27,,,,,6.865595998266553,-141.1514907617787,-7.109422557093202,-7.37434345880847,29.949972130344605,-12.010776506310002,3.61,1.66,268.0,83.6,20.0,97.9,2354.0,6.7,776298,681508,665019,668885,668904,680837,681546,621439,670242,53.83,0.74,0.679,0.9,1.0,1,0,4.0,27,1,4-Seam Fastball,1,6,6,1,6,1,6,1,Infield shade,Standard,207.0,-0.019,0.489,74.2,6.7,0.837,-0.489,88.0,-5,5,0.063,0.937,25,25,25,26,2,1,7.0,1.0,7.0,1.0,1.01,0.44,-0.44,41.2,-5.827128037398165,9.90566897462518,35.10519777742979,29.578362474267458,19.70383535283161,0,-84.65194658915097,254.27946818150207,2.676514609727077,-133.9271974231663,262.84692463556854,50.01451444178433
FF,2025-09-16,93.4,-1.69,5.51,"Outman, James",700250,689520,single,hit_into_play,,,,,5.0,Ben Rice singles on a sharp line drive to left fielder James Outman.,R,L,R,MIN,NYY,X,7,line_drive,0,1,2025,-1.06,1.23,-0.02,2.34,,,,2,5,Top,91.09,70.17,,,,,6.661542135516879,-135.81578833554883,-5.0898417285300415,-14.59773164288246,31.24244466731931,-16.068647979813683,3.61,1.71,261.0,101.6,14.0,93.3,2435.0,6.4,776298,681508,665019,668885,668904,680837,681546,621439,670242,54.09,0.789,0.789,0.9,1.0,1,0,4.0,45,2,4-Seam Fastball,1,10,10,1,10,1,10,1,Infield shade,Standard,225.0,0.0,0.371,69.7,6.7,1.062,-0.371,101.6,-9,9,0.006,0.994,27,26,27,26,1,3,3.0,1.0,3.0,1.0,1.4,1.06,-1.06,28.0,-3.9105474049157696,5.849355587319106,40.321947083783,37.9535342600631,19.98021729866229,0,-67.5622525175571,252.10383185257984,2.3212527895530712,-133.9271974231663,262.84692463556854,67.22886251356962
FF,2025-09-16,94.4,-2.06,5.9,"Outman, James",641857,805673,field_out,hit_into_play,,,,,5.0,Ryan McMahon flies out sharply to left fielder James Outman.,R,L,R,MIN,NYY,X,7,fly_ball,0,0,2025,-0.68,1.39,-0.06,2.42,,,,0,2,Top,66.87,59.03,,,,,6.7306347758760925,-137.2298693991133,-6.423950517422902,-10.12313098035,32.17957394740873,-13.345071638279762,3.54,1.63,375.0,100.6,27.0,94.3,2255.0,6.4,776298,681508,665019,668885,668904,680837,681546,621439,670242,54.06,0.663,1.192,0.0,1.0,0,0,6.0,13,1,4-Seam Fastball,1,2,2,1,2,1,2,1,Infield shade,Standard,220.0,0.02,-0.259,72.4,7.3,2.248,0.259,100.6,-1,1,0.392,0.608,25,30,25,31,1,0,7.0,1.0,7.0,1.0,1.18,0.68,-0.68,33.1,2.3874098586855466,11.386210061855683,41.38289590751628,40.833462283217344,21.37540620534081,1,-145.35820595879125,345.6819231033663,4.208222477927457,-133.9271974231663,262.84692463556854,83.62000315296325
FF,2025-09-16,96.1,-2.0,5.94,"Outman, James",700250,805673,field_out,hit_into_play,,,,,6.0,Ben Rice flies out to left fielder James Outman.,R,L,R,MIN,NYY,X,7,fly_ball,0,0,2025,-0.57,1.34,0.31,2.7,,663757.0,592450.0,0,1,Top,54.27,125.19,,,,,7.446727226973039,-139.78147015945638,-6.064354755503046,-9.10191109456074,29.674111729002995,-13.419374745518184,3.61,1.71,256.0,79.1,46.0,96.8,2316.0,6.6,776298,681508,665019,668885,668904,680837,681546,621439,670242,53.9,0.04,0.037,0.0,1.0,0,0,3.0,3,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,210.0,0.05,-0.264,,,0.045,0.264,88.0,0,0,0.412,0.588,25,26,25,26,1,0,7.0,1.0,7.0,1.0,1.12,0.57,-0.57,42.0,,,,,,1,-178.58105516623877,183.42520747081844,5.22330805630575,-133.9271974231663,262.84692463556854,91.1140832623372
FF,2025-09-06,92.0,-1.3,5.66,"Outman, James",686469,641672,field_out,hit_into_play,,,,,1.0,Vinnie Pasquantino flies out to left fielder James Outman.,R,L,R,KC,MIN,X,7,fly_ball,3,2,2025,-0.37,1.49,-0.32,3.32,,,,2,5,Bot,83.93,75.66,,,,,3.311724839466738,-134.03400296943323,-3.383611074896568,-5.167933763030966,27.672156673475342,-13.66639229086832,3.53,1.67,323.0,95.6,39.0,92.5,2527.0,6.4,776434,681508,666397,807712,668904,686797,681546,621439,670242,54.07,0.077,0.148,0.0,1.0,0,0,3.0,49,9,4-Seam Fastball,9,2,9,2,2,9,9,2,Infield shade,Standard,212.0,0.0,-0.329,67.4,6.2,0.283,0.329,95.6,7,7,0.988,0.988,30,27,31,28,2,3,4.0,1.0,3.0,1.0,1.19,0.37,-0.37,38.9,7.330009427123366,5.253292543999537,21.435186531025376,42.955946051695136,24.228363828334217,1,-103.53293073272219,305.95740267869536,5.518909394215026,-133.9271974231663,262.84692463556854,52.74774653723853
ST,2025-09-06,80.5,-2.91,4.68,"Outman, James",521692,657746,single,hit_into_play,,,,,9.0,Salvador Perez singles on a line drive to left fielder James Outman. Vinnie Pasquantino to 2nd.,R,R,R,KC,MIN,X,7,line_drive,3,2,2025,1.71,-0.17,0.43,1.78,,,686469.0,2,2,Bot,82.9,118.74,,,,,4.176095495793146,-117.16805484373674,0.598270233464101,14.78279169748598,23.71901389839808,-34.05802432765128,3.68,1.68,244.0,80.0,21.0,80.5,2937.0,6.5,776434,681508,666397,807712,668904,686797,681546,621439,670242,54.03,0.869,0.785,0.9,1.0,1,0,4.0,21,7,Sweeper,5,0,5,0,0,5,5,0,Infield shade,Standard,63.0,0.005,0.323,73.0,8.2,0.944,-0.323,88.0,5,5,0.92,0.92,29,35,29,35,2,1,6.0,1.0,7.0,1.0,3.7,-1.71,-1.71,25.7,9.625256730342018,-19.570733802246227,33.89400896940422,40.43765065043747,39.722787376413486,0,-115.04254012625718,215.17716877331225,2.683317286580884,-133.9271974231663,262.84692463556854,51.27412510407975
