pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-06-14,92.9,-1.67,5.61,"Pérez, Wenceel",669289,605154,field_out,hit_into_play,,,,,1.0,Santiago Espinal flies out to left fielder Wenceel Pérez.,R,R,R,DET,CIN,X,7,fly_ball,2,2,2025,-0.91,1.52,-0.63,2.86,,,,1,8,Top,79.19,75.57,,,,,4.66716950741733,-135.18710302625968,-4.609853403177783,-12.1243537447863,28.61956489835907,-12.716314080481045,3.34,1.55,327.0,87.2,28.0,93.4,2426.0,6.5,777517,693307,690993,650402,595879,700242,672761,678009,681481,53.98,0.071,0.092,0.0,1.0,0,0,3.0,66,6,4-Seam Fastball,1,10,10,1,10,1,10,1,Standard,Standard,209.0,0.0,-0.228,67.2,7.2,0.143,0.228,88.0,-9,9,0.001,0.999,35,30,35,31,1,1,1.0,1.0,78.0,1.0,1.12,0.91,0.91,39.7,10.304325938992353,-8.723104493477516,38.12242370660044,24.80238397118265,31.770871076113043,1,-115.29277514629757,306.00094117349585,3.781661292490578,-135.28916892238493,265.5199442081336,45.150491463083895
FA,2025-06-14,75.2,-1.79,5.58,"Pérez, Wenceel",641584,668670,field_out,hit_into_play,,,,,2.0,Jake Fraley flies out to left fielder Wenceel Pérez.,R,L,R,DET,CIN,X,7,fly_ball,2,0,2025,-0.45,1.3,0.05,3.02,,,687952.0,2,9,Top,80.29,106.2,,,,,4.512656841979209,-109.45605535618712,-0.4798126492213106,-4.398302092088059,19.332498528120507,-21.820218577195543,3.37,1.59,259.0,82.6,43.0,73.8,1762.0,5.3,777517,693307,690993,663330,595879,700242,672761,678009,681481,55.24,0.009,0.01,0.0,1.0,0,0,3.0,76,3,Other,1,11,11,1,11,1,11,1,Infield shade,Standard,218.0,0.0,-0.355,70.7,6.2,0.015,0.355,88.0,-10,10,0.001,0.999,30,30,30,30,1,4,,4.0,27.0,1.0,2.72,0.45,-0.45,33.5,2.9937024973642394,-2.2492773719384447,34.92234915892223,33.63529336450351,26.76317473119314,1,-113.99592724819043,232.5638161254353,5.171994468802536,-135.28916892238493,265.5199442081336,39.23657119574632
FF,2025-06-14,93.0,-2.61,5.32,"Pérez, Wenceel",666181,656427,field_out,hit_into_play,,,,,2.0,Will Benson flies out to left fielder Wenceel Pérez.,R,L,R,DET,CIN,X,7,fly_ball,1,2,2025,-0.65,1.29,-0.19,3.35,,,,1,2,Top,93.98,121.7,,,,,7.622519678013377,-135.20168899255762,-2.084789738260613,-9.6133819192663,29.73754802847947,-16.060400343742266,3.83,1.77,211.0,96.9,56.0,93.1,2156.0,6.4,777517,693307,690993,650402,595879,700242,672761,678009,681481,54.1,0.014,0.016,0.0,1.0,0,0,3.0,8,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,217.0,0.017,-0.18,73.9,7.0,0.023,0.18,96.9,0,0,0.523,0.477,29,27,30,27,1,0,6.0,4.0,6.0,1.0,1.35,0.65,-0.65,26.3,14.254038560252074,3.898669029903637,24.78193140483687,41.92757687278751,22.489881795797924,1,-80.14457141410129,195.186699528554,7.349475490078255,-135.28916892238493,265.5199442081336,89.37388847705026
FF,2025-06-14,90.3,2.06,6.31,"Pérez, Wenceel",669289,657424,single,hit_into_play,,,,,13.0,Santiago Espinal singles on a fly ball to left fielder Wenceel Pérez. TJ Friedl to 2nd.,R,R,L,DET,CIN,X,7,fly_ball,2,1,2025,0.0,1.33,-0.88,2.16,,,670770.0,1,6,Top,97.47,117.02,,,,,-7.2938273635805855,-131.16507651585968,-7.192494600097572,1.4941614703716493,26.76295773342213,-15.490334191907635,3.34,1.55,218.0,67.9,43.0,90.2,2052.0,6.2,777517,693307,690993,650402,595879,700242,672761,678009,681481,54.26,0.434,0.441,0.9,1.0,1,0,3.0,49,4,4-Seam Fastball,1,7,7,1,7,1,7,1,Standard,Strategic,163.0,-0.003,0.365,,,0.552,-0.365,88.0,-6,6,0.023,0.977,32,30,32,31,1,0,1.0,1.0,5.0,1.0,1.47,0.0,0.0,53.1,,,,,,0,-70.91347756398261,206.14383012785646,4.265633040955077,-135.28916892238493,265.5199442081336,87.57712350349468
FA,2025-06-14,76.5,-1.89,5.48,"Pérez, Wenceel",624431,668670,sac_fly,hit_into_play,,,,,4.0,Jose Trevino out on a sacrifice fly to left fielder Wenceel Pérez. Tyler Stephenson scores.,R,R,R,DET,CIN,X,7,fly_ball,1,1,2025,-0.53,1.21,-0.54,2.29,663886.0,,687952.0,1,9,Top,56.42,73.15,,,,,3.7252072452357847,-111.42210556635952,-1.915840320029648,-5.103632077003161,19.29058289871126,-21.916890831442306,3.23,1.44,353.0,99.8,31.0,75.2,1785.0,5.2,777517,693307,690993,663330,595879,700242,672761,678009,681481,55.33,0.509,0.94,0.0,1.0,0,0,6.0,75,3,Other,1,10,10,1,11,1,11,1,Standard,Standard,220.0,0.0,-0.11,72.0,7.3,1.81,0.11,99.8,-9,9,0.001,0.999,30,32,30,33,1,4,,1.0,27.0,4.0,2.66,0.53,0.53,30.5,13.442379876746218,-16.1700329216466,28.620086444916364,30.834868134569355,41.52267828481823,1,-170.46621349951235,309.11206714578236,4.725720374798477,-135.28916892238493,265.5199442081336,56.015155515202245
FA,2025-06-14,74.8,-1.83,5.55,"Pérez, Wenceel",687952,668670,single,hit_into_play,,,,,13.0,Christian Encarnacion-Strand singles on a sharp line drive to left fielder Wenceel Pérez. Tyler Stephenson to 3rd.,R,R,R,DET,CIN,X,7,line_drive,1,0,2025,-0.9,1.3,-0.31,1.22,,663886.0,,1,9,Top,74.0,114.0,,,,,4.610906610846464,-108.81296105978396,-4.015656877513197,-7.946055528978162,18.18177318147304,-21.332013953786188,3.3,1.48,147.0,104.8,8.0,73.5,1746.0,5.2,777517,693307,690993,663330,595879,700242,672761,678009,681481,55.25,0.674,0.627,0.9,1.0,1,0,4.0,74,2,Other,1,10,10,1,10,1,10,1,Standard,Strategic,221.0,0.0,0.512,74.8,7.5,0.757,-0.512,104.8,-9,9,0.001,0.999,30,25,30,26,1,0,,1.0,27.0,1.0,2.76,0.9,0.9,32.2,15.229749401741326,2.8032196433486782,46.85722266761407,33.27198897378544,33.13651168050146,0,-76.56820638441009,125.48430089487043,1.4576914378227064,-135.28916892238493,265.5199442081336,151.84904622534089
SI,2025-06-14,95.4,-2.74,5.39,"Pérez, Wenceel",666181,669724,field_out,hit_into_play,,,,,4.0,Will Benson lines out to left fielder Wenceel Pérez.,R,L,R,DET,CIN,X,7,line_drive,1,0,2025,-1.33,0.15,-0.28,2.5,,,,1,7,Top,57.33,80.87,,,,,9.371764634703236,-138.59322541490292,-2.265526063383566,-19.256292136563705,31.427246963356744,-29.889281173927937,3.83,1.77,338.0,99.5,21.0,94.6,2032.0,5.9,777517,693307,690993,650402,595879,700242,672761,678009,681481,54.58,0.326,0.405,0.0,1.0,0,0,5.0,57,2,Sinker,1,7,7,1,7,1,7,1,Infield shade,Standard,243.0,0.001,-0.294,73.3,6.9,0.653,0.294,99.5,-6,6,0.015,0.985,27,27,27,27,1,3,3.0,4.0,1.0,1.0,2.36,1.33,-1.33,30.7,0.1729086112412833,5.949719665378545,34.7978666834381,41.57241214497428,16.72384846501835,1,-169.57698717706154,292.38270369491886,3.3073231441005975,-135.28916892238493,265.5199442081336,43.55757486259543
FF,2025-06-14,91.1,-2.14,5.41,"Pérez, Wenceel",641584,605154,single,hit_into_play,,,,,4.0,Jake Fraley singles on a line drive to left fielder Wenceel Pérez. Jose Trevino to 2nd.,R,L,R,DET,CIN,X,7,line_drive,0,0,2025,-0.88,1.45,-0.68,2.26,,,624431.0,0,8,Top,53.84,114.52,,,,,5.583505938968391,-132.52614613622328,-5.11369384251377,-11.58419161359971,29.350962634882627,-14.184494329210017,3.37,1.59,236.0,88.1,15.0,91.3,2347.0,6.5,777517,693307,690993,650402,595879,700242,672761,678009,681481,54.02,0.991,0.928,0.9,1.0,1,0,4.0,63,1,4-Seam Fastball,1,7,7,1,7,1,7,1,Infield shade,Standard,223.0,-0.001,0.47,67.2,6.6,1.134,-0.47,88.1,-6,6,0.006,0.994,35,30,35,30,1,3,1.0,4.0,78.0,1.0,1.3,0.88,-0.88,30.6,-9.011779764624594,17.80071462943454,36.05331777239391,44.77868998077696,16.307868701894066,0,-153.33258017241496,179.40211776250007,2.1650118276742325,-135.28916892238493,265.5199442081336,87.98775324588058
FA,2025-06-14,71.7,-1.8,5.7,"Pérez, Wenceel",663886,668670,double,hit_into_play,,,,,13.0,Tyler Stephenson doubles (8) on a sharp line drive to left fielder Wenceel Pérez.,R,R,R,DET,CIN,X,7,line_drive,1,0,2025,-0.55,1.26,-1.03,2.16,,,,0,9,Top,42.0,101.0,,,,,2.374092648973707,-104.35137479290448,-1.5909376577912195,-4.399374293298324,18.562165865363408,-22.929269208648225,3.32,1.54,279.0,104.2,16.0,69.8,1709.0,4.9,777517,693307,690993,663330,595879,700242,672761,678009,681481,55.59,0.574,0.647,1.25,1.0,1,1,5.0,72,2,Other,1,10,10,1,10,1,10,1,Standard,Standard,222.0,0.0,0.675,72.5,7.2,0.955,-0.675,104.2,-9,9,0.001,0.999,30,28,30,29,1,4,,1.0,27.0,1.0,3.19,0.55,0.55,30.4,12.820173941498345,-19.574554664632974,47.02686240546429,22.7559702505778,36.48572429716447,0,-181.62816409682287,211.783403520714,2.6879365980779437,-135.28916892238493,265.5199442081336,70.95715805207595
SL,2025-06-14,85.0,2.28,6.28,"Pérez, Wenceel",624431,657424,double,hit_into_play,,,,,2.0,Jose Trevino doubles (15) on a sharp line drive to left fielder Wenceel Pérez.,R,R,L,DET,CIN,X,7,line_drive,1,0,2025,-0.62,0.09,-0.01,2.86,,,,2,5,Top,56.33,124.59,,,,,-4.12014367555344,-123.91088043426724,-1.9663550318058785,-5.7465528650139,22.026626041304866,-31.039462639110408,3.23,1.44,252.0,107.7,15.0,85.4,2208.0,6.2,777517,693307,690993,650402,595879,700242,672761,678009,681481,54.32,0.677,0.723,1.25,1.0,1,1,5.0,42,2,Slider,1,7,7,1,7,1,7,1,Standard,Standard,218.0,-0.004,0.543,73.7,7.5,1.061,-0.543,107.7,-6,6,0.038,0.962,32,32,32,33,1,2,1.0,1.0,5.0,4.0,3.02,-0.62,0.62,52.7,16.698570362495374,-11.969292021679616,20.62314911542837,39.36210117487935,36.22336993704237,0,-172.3730812222255,183.82470146842633,2.6127477367875787,-135.28916892238493,265.5199442081336,89.71805413495079
