pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SL,2025-08-14,82.6,-1.5,5.93,"Roden, Alan",656716,641927,field_out,hit_into_play,,,,,6.0,Zach McKinstry flies out to left fielder Alan Roden.,R,L,R,MIN,DET,X,7,fly_ball,1,2,2025,0.33,0.42,0.34,2.64,,,,0,5,Top,80.38,126.19,,,,,3.604228745541063,-120.29360984253722,-1.854547103686656,2.475311398876774,23.08539114494181,-27.912174276175065,3.35,1.57,215.0,86.0,60.0,84.2,1993.0,7.3,776744,680777,666397,807712,668904,686797,702176,668885,663616,53.21,0.031,0.039,0.0,1.0,0,0,3.0,34,5,Slider,3,2,2,3,2,3,2,3,Infield shade,Standard,157.0,0.032,-0.19,70.3,6.7,0.054,0.19,88.0,1,-1,0.644,0.356,29,30,30,30,2,1,5.0,1.0,6.0,1.0,2.91,-0.33,0.33,35.4,25.26802312991597,-2.5165600150811462,28.85645715170325,29.41772689295925,34.948114092286374,1,-113.93158140739146,182.3310032825217,6.817598593511011,-137.55912142108266,269.9749768290755,90.7729406052685
SL,2025-08-14,82.6,-1.5,5.93,"Roden, Alan",656716,641927,field_out,hit_into_play,,,,,6.0,Zach McKinstry flies out to left fielder Alan Roden.,R,L,R,MIN,DET,X,7,fly_ball,1,2,2025,0.33,0.42,0.34,2.64,,,,0,5,Top,80.38,126.19,,,,,3.604228745541063,-120.29360984253722,-1.854547103686656,2.475311398876774,23.08539114494181,-27.912174276175065,3.35,1.57,215.0,86.0,60.0,84.2,1993.0,7.3,776744,680777,666397,807712,668904,686797,702176,668885,663616,53.21,0.031,0.039,0.0,1.0,0,0,3.0,34,5,Slider,3,2,2,3,2,3,2,3,Infield shade,Standard,157.0,0.032,-0.19,70.3,6.7,0.054,0.19,88.0,1,-1,0.644,0.356,29,30,30,30,2,1,5.0,1.0,6.0,1.0,2.91,-0.33,0.33,35.4,25.26802312991597,-2.5165600150811462,28.85645715170325,29.41772689295925,34.948114092286374,1,-113.93158140739146,182.3310032825217,6.817598593511011,-138.02463945905188,259.58659230052456,80.92528332232915
FF,2025-08-14,95.6,-2.58,5.64,"Roden, Alan",672761,663485,field_out,hit_into_play,,,,,5.0,Wenceel Pérez flies out to left fielder Alan Roden.,R,L,R,MIN,DET,X,7,fly_ball,0,0,2025,-0.82,1.13,0.11,2.32,,656716.0,,1,10,Top,64.42,136.99,,,,,8.820576336584104,-138.8776782658652,-5.602744774108143,-12.549270271976264,31.20875794211997,-16.478055977018165,3.19,1.47,218.0,83.6,55.0,94.5,2437.0,5.8,776744,680777,666397,807712,668904,680837,702176,668885,663616,54.74,0.014,0.014,0.0,1.0,0,0,3.0,70,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,225.0,0.083,-0.263,74.3,6.8,0.021,0.263,88.0,0,0,0.615,0.385,27,25,28,26,1,0,2.0,1.0,3.0,1.0,1.37,0.82,-0.82,24.6,3.3391731511770173,5.280141792223828,31.97118070518672,33.24145074560818,24.107854523731355,1,-153.79589997766988,154.50184837101,6.273213554763809,-137.55912142108266,269.9749768290755,116.60907500614412
FF,2025-08-14,95.6,-2.58,5.64,"Roden, Alan",672761,663485,field_out,hit_into_play,,,,,5.0,Wenceel Pérez flies out to left fielder Alan Roden.,R,L,R,MIN,DET,X,7,fly_ball,0,0,2025,-0.82,1.13,0.11,2.32,,656716.0,,1,10,Top,64.42,136.99,,,,,8.820576336584104,-138.8776782658652,-5.602744774108143,-12.549270271976264,31.20875794211997,-16.478055977018165,3.19,1.47,218.0,83.6,55.0,94.5,2437.0,5.8,776744,680777,666397,807712,668904,680837,702176,668885,663616,54.74,0.014,0.014,0.0,1.0,0,0,3.0,70,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,225.0,0.083,-0.263,74.3,6.8,0.021,0.263,88.0,0,0,0.615,0.385,27,25,28,26,1,0,2.0,1.0,3.0,1.0,1.37,0.82,-0.82,24.6,3.3391731511770173,5.280141792223828,31.97118070518672,33.24145074560818,24.107854523731355,1,-153.79589997766988,154.50184837101,6.273213554763809,-138.02463945905188,259.58659230052456,106.26163966868648
SI,2025-08-13,93.1,-2.37,4.63,"Roden, Alan",683011,657746,double,hit_into_play,,,,,4.0,Anthony Volpe doubles (25) on a line drive to left fielder Alan Roden.,R,R,R,NYY,MIN,X,7,line_drive,0,0,2025,-1.54,0.62,-0.45,2.23,,,,1,7,Bot,97.27,64.75,,,,,8.393166110669764,-135.330009917489,-1.7813966128113106,-20.785326474245544,27.73083989919561,-24.31546977661568,3.43,1.57,300.0,95.0,17.0,94.3,2092.0,6.9,776760,680777,665019,807712,668904,686797,702176,621439,670242,53.58,0.56,0.537,1.25,1.0,1,1,4.0,54,1,Sinker,1,4,1,4,4,1,1,4,Standard,Standard,232.0,0.043,0.642,78.3,7.3,0.721,-0.642,95.0,-3,-3,0.091,0.091,29,24,29,24,3,2,5.0,1.0,6.0,2.0,2.0,1.54,1.54,21.9,9.12782068327074,5.24470004993081,36.211559748749,32.36753841174985,24.861871776866693,0,-61.88845844287197,293.5469616800094,2.603918322997676,-137.55912142108266,269.9749768290755,79.25709876960299
SI,2025-08-13,93.1,-2.37,4.63,"Roden, Alan",683011,657746,double,hit_into_play,,,,,4.0,Anthony Volpe doubles (25) on a line drive to left fielder Alan Roden.,R,R,R,NYY,MIN,X,7,line_drive,0,0,2025,-1.54,0.62,-0.45,2.23,,,,1,7,Bot,97.27,64.75,,,,,8.393166110669764,-135.330009917489,-1.7813966128113106,-20.785326474245544,27.73083989919561,-24.31546977661568,3.43,1.57,300.0,95.0,17.0,94.3,2092.0,6.9,776760,680777,665019,807712,668904,686797,702176,621439,670242,53.58,0.56,0.537,1.25,1.0,1,1,4.0,54,1,Sinker,1,4,1,4,4,1,1,4,Standard,Standard,232.0,0.043,0.642,78.3,7.3,0.721,-0.642,95.0,-3,-3,0.091,0.091,29,24,29,24,3,2,5.0,1.0,6.0,2.0,2.0,1.54,1.54,21.9,9.12782068327074,5.24470004993081,36.211559748749,32.36753841174985,24.861871776866693,0,-61.88845844287197,293.5469616800094,2.603918322997676,-138.02463945905188,259.58659230052456,83.36680843189072
FF,2025-08-13,96.9,-2.72,4.73,"Roden, Alan",641355,657746,field_out,hit_into_play,,,,,5.0,Cody Bellinger flies out to left fielder Alan Roden.,R,L,R,NYY,MIN,X,7,fly_ball,0,1,2025,-1.16,0.95,-0.24,2.93,,663757.0,,1,1,Bot,61.56,106.49,,,,,9.347637065019004,-140.7732667227727,-1.3900786636541833,-17.607280457631433,33.64202553318424,-19.42980929487208,3.88,1.74,280.0,88.6,49.0,97.4,2370.0,6.8,776760,680777,665019,807712,668904,686797,702176,621439,670242,53.74,0.011,0.013,0.0,1.0,0,0,3.0,6,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,231.0,-0.033,-0.225,71.2,6.8,0.02,0.225,88.6,0,0,0.566,0.566,29,29,29,30,1,0,5.0,1.0,6.0,2.0,1.49,1.16,-1.16,21.2,4.045455232198784,6.162179941654013,28.15877884083996,32.56761842435185,26.315996675530663,1,-159.92006765732188,229.83814296255878,6.126788536728475,-137.55912142108266,269.9749768290755,45.94537353649815
FF,2025-08-13,96.9,-2.72,4.73,"Roden, Alan",641355,657746,field_out,hit_into_play,,,,,5.0,Cody Bellinger flies out to left fielder Alan Roden.,R,L,R,NYY,MIN,X,7,fly_ball,0,1,2025,-1.16,0.95,-0.24,2.93,,663757.0,,1,1,Bot,61.56,106.49,,,,,9.347637065019004,-140.7732667227727,-1.3900786636541833,-17.607280457631433,33.64202553318424,-19.42980929487208,3.88,1.74,280.0,88.6,49.0,97.4,2370.0,6.8,776760,680777,665019,807712,668904,686797,702176,621439,670242,53.74,0.011,0.013,0.0,1.0,0,0,3.0,6,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,231.0,-0.033,-0.225,71.2,6.8,0.02,0.225,88.6,0,0,0.566,0.566,29,29,29,30,1,0,5.0,1.0,6.0,2.0,1.49,1.16,-1.16,21.2,4.045455232198784,6.162179941654013,28.15877884083996,32.56761842435185,26.315996675530663,1,-159.92006765732188,229.83814296255878,6.126788536728475,-138.02463945905188,259.58659230052456,36.93751499490882
FF,2025-08-10,97.4,-2.36,5.76,"Roden, Alan",663697,570632,field_out,hit_into_play,,,,,1.0,Jonathan India lines out to left fielder Alan Roden.,R,R,R,MIN,KC,X,7,line_drive,3,2,2025,-1.34,0.89,-0.71,2.82,,,624428.0,2,3,Top,82.71,104.15,,,,,7.52884481363842,-141.6256265894097,-4.453854617981246,-19.79048589032693,30.42687948455988,-19.403647491104703,3.33,1.53,284.0,88.0,22.0,97.6,2211.0,6.3,776796,681508,665019,807712,680837,686797,702176,668885,663616,54.19,0.294,0.303,0.0,1.0,0,0,3.0,22,6,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shade,Standard,234.0,0.023,-0.296,75.5,7.0,0.441,0.296,88.0,-1,1,0.407,0.593,33,28,34,29,2,1,7.0,1.0,5.0,2.0,1.51,1.34,1.34,30.0,9.572838050021216,-5.946440068857382,24.201050353566146,29.75728239816222,32.47718304025105,1,-117.35646499617924,258.61836772279065,3.0663020769241305,-137.55912142108266,269.9749768290755,23.175847277190183
FF,2025-08-10,97.4,-2.36,5.76,"Roden, Alan",663697,570632,field_out,hit_into_play,,,,,1.0,Jonathan India lines out to left fielder Alan Roden.,R,R,R,MIN,KC,X,7,line_drive,3,2,2025,-1.34,0.89,-0.71,2.82,,,624428.0,2,3,Top,82.71,104.15,,,,,7.52884481363842,-141.6256265894097,-4.453854617981246,-19.79048589032693,30.42687948455988,-19.403647491104703,3.33,1.53,284.0,88.0,22.0,97.6,2211.0,6.3,776796,681508,665019,807712,680837,686797,702176,668885,663616,54.19,0.294,0.303,0.0,1.0,0,0,3.0,22,6,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shade,Standard,234.0,0.023,-0.296,75.5,7.0,0.441,0.296,88.0,-1,1,0.407,0.593,33,28,34,29,2,1,7.0,1.0,5.0,2.0,1.51,1.34,1.34,30.0,9.572838050021216,-5.946440068857382,24.201050353566146,29.75728239816222,32.47718304025105,1,-117.35646499617924,258.61836772279065,3.0663020769241305,-138.02463945905188,259.58659230052456,20.690840835032994
FF,2025-08-10,93.3,-1.07,5.95,"Roden, Alan",573262,701487,field_out,hit_into_play,,,,,2.0,Mike Yastrzemski flies out to left fielder Alan Roden in foul territory.,R,L,R,MIN,KC,X,7,fly_ball,2,2,2025,-0.82,1.44,-0.24,3.07,,,,1,7,Top,23.59,110.23,,,,,3.937571542195238,-135.77073231046057,-4.848196525912529,-10.990514233052508,28.229246748802915,-13.44751038445671,3.43,1.59,335.0,91.7,36.0,93.5,2170.0,6.3,776796,681508,665019,807712,680837,686797,702176,668885,663616,54.21,0.054,0.091,0.0,1.0,0,0,3.0,51,5,4-Seam Fastball,2,1,1,2,1,2,1,2,Infield shade,Standard,206.0,0.031,-0.228,67.8,6.6,0.17,0.228,91.7,1,-1,0.743,0.257,25,34,26,35,1,3,4.0,1.0,5.0,1.0,1.17,0.82,-0.82,47.3,6.623006314464012,21.749747435946823,21.216576647432763,35.244430930658794,21.112539818013964,1,-253.41760052162303,219.0993376207767,4.951764931797071,-137.55912142108266,269.9749768290755,126.53662649345183
FF,2025-08-10,93.3,-1.07,5.95,"Roden, Alan",573262,701487,field_out,hit_into_play,,,,,2.0,Mike Yastrzemski flies out to left fielder Alan Roden in foul territory.,R,L,R,MIN,KC,X,7,fly_ball,2,2,2025,-0.82,1.44,-0.24,3.07,,,,1,7,Top,23.59,110.23,,,,,3.937571542195238,-135.77073231046057,-4.848196525912529,-10.990514233052508,28.229246748802915,-13.44751038445671,3.43,1.59,335.0,91.7,36.0,93.5,2170.0,6.3,776796,681508,665019,807712,680837,686797,702176,668885,663616,54.21,0.054,0.091,0.0,1.0,0,0,3.0,51,5,4-Seam Fastball,2,1,1,2,1,2,1,2,Infield shade,Standard,206.0,0.031,-0.228,67.8,6.6,0.17,0.228,91.7,1,-1,0.743,0.257,25,34,26,35,1,3,4.0,1.0,5.0,1.0,1.17,0.82,-0.82,47.3,6.623006314464012,21.749747435946823,21.216576647432763,35.244430930658794,21.112539818013964,1,-253.41760052162303,219.0993376207767,4.951764931797071,-138.02463945905188,259.58659230052456,122.28962856387628
