pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-08-03,97.7,-1.86,5.3,"Ruiz, Esteury",664040,592779,field_out,hit_into_play,,,,,2.0,Brandon Lowe flies out to left fielder Esteury Ruiz.,R,L,R,TB,LAD,X,7,fly_ball,0,1,2025,-0.51,1.22,0.09,2.9,,,,1,8,Bot,66.18,64.02,,,,,6.420480356348569,-142.29896633427964,-3.852422429194115,-8.316134914361461,30.06989616444909,-14.80030531665474,3.27,1.43,364.0,97.8,34.0,97.9,2727.0,6.2,776889,669257,518692,500743,690976,605141,665923,681624,669743,54.31,0.234,0.45,0.0,1.0,0,0,5.0,63,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,208.0,-0.028,-0.216,75.1,6.3,0.871,0.216,97.8,-2,-2,0.115,0.115,33,30,34,31,1,3,6.0,1.0,1.0,2.0,1.14,0.51,-0.51,20.5,7.803458597101473,5.839223310455802,31.11224649618922,35.271061407801334,31.07588204976699,1,-146.95007417485104,333.0190320387197,5.0231778187972385,-132.56522592394765,260.1739050630034,74.25184430914658
FF,2025-07-29,94.9,-1.57,6.0,"Ruiz, Esteury",624431,607192,double,hit_into_play,,,,,4.0,Jose Trevino doubles (18) on a sharp line drive to left fielder Esteury Ruiz.,R,R,R,CIN,LAD,X,7,line_drive,1,2,2025,-0.29,1.33,-0.28,2.23,,,,0,5,Bot,83.13,55.12,,,,,4.130766874887849,-138.1533168536491,-7.38460502333156,-4.576694247560998,28.211387590299097,-13.74245132389222,3.28,1.5,370.0,103.5,20.0,97.6,2578.0,7.6,776963,669257,518692,500743,669242,605141,665923,681624,606192,52.88,0.569,0.751,1.25,1.0,1,1,6.0,40,4,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,186.0,0.059,0.786,70.7,7.2,1.233,-0.786,103.5,1,1,0.713,0.713,31,32,32,33,2,1,6.0,2.0,6.0,3.0,1.18,0.29,0.29,58.9,8.157626737072176,-3.372014788419576,25.01433536198697,39.32718996607216,32.1978722763869,0,-104.82822761179528,354.8394604546817,3.2841509215569844,-132.56522592394765,260.1739050630034,98.64536711363215
FF,2025-07-26,90.0,1.55,5.96,"Ruiz, Esteury",701350,477132,double,hit_into_play,,,,,1.0,Roman Anthony doubles (13) on a fly ball to left fielder Esteury Ruiz. Alex Bregman scores.,R,L,L,BOS,LAD,X,7,fly_ball,0,1,2025,-0.15,1.63,-0.29,3.56,,,608324.0,2,5,Bot,87.52,58.84,,,,,-4.295513075726245,-131.06529899084074,-3.49816704176845,-0.8097045975057228,27.129969368104124,-12.878025944426945,3.6,1.73,359.0,96.9,25.0,90.8,2407.0,6.7,776998,669257,518692,808975,669242,500743,665923,681624,606192,53.81,0.303,0.437,1.25,1.0,1,1,5.0,44,2,4-Seam Fastball,3,2,3,2,2,4,4,2,Infield shade,Standard,188.0,0.122,0.96,74.9,6.7,0.754,-0.96,96.9,1,1,0.689,0.689,37,21,37,21,3,2,6.0,1.0,6.0,1.0,1.18,-0.15,-0.15,53.8,5.857727137386856,6.509217173279331,21.670965696106308,37.739124676590365,30.84980897318211,0,-94.16688617733702,346.42978732733775,3.7829022970903217,-132.56522592394765,260.1739050630034,94.41668136772677
FF,2025-07-20,88.3,1.52,6.05,"Ruiz, Esteury",655316,477132,single,hit_into_play,,,,,11.0,Andruw Monasterio singles on a line drive to left fielder Esteury Ruiz. Blake Perkins scores. Andruw Monasterio to 2nd.,R,R,L,LAD,MIL,X,7,line_drive,1,2,2025,-0.37,1.19,-0.53,3.48,,663368.0,,2,4,Top,83.16,114.89,,,,,-4.240072004499288,-128.6808447051851,-2.7847727686272266,-3.433574702182074,21.31674104201163,-18.5043829235074,3.25,1.49,236.0,85.9,19.0,89.3,2228.0,6.4,777070,687221,518692,500743,669242,605141,665923,681624,606192,54.1,0.777,0.705,0.9,1.0,1,0,4.0,28,5,4-Seam Fastball,3,1,1,3,2,3,2,3,Standard,Standard,182.0,-0.109,0.755,64.4,5.9,0.882,-0.755,88.0,2,-2,0.758,0.242,37,28,37,28,2,1,12.0,7.0,6.0,10.0,1.68,-0.37,0.37,55.8,13.529326327921662,-0.5035958367368237,26.832733278519417,27.359374284133366,27.570569426116087,0,-106.69208325948613,210.50605542299934,2.620868120000598,-132.56522592394765,260.1739050630034,56.00281063658888
FF,2025-07-20,88.4,1.53,6.02,"Ruiz, Esteury",683734,477132,single,hit_into_play,,,,,8.0,Andrew Vaughn singles on a sharp line drive to left fielder Esteury Ruiz. William Contreras to 2nd.,R,R,L,LAD,MIL,X,7,line_drive,1,0,2025,0.05,1.56,-0.12,1.57,,,661388.0,1,1,Top,49.47,112.11,,,,,-4.123285027799223,-128.54433413167686,-7.996549989542577,1.456476347965912,26.766466828206784,-13.367080992799844,3.29,1.54,206.0,100.5,13.0,88.3,2270.0,6.3,777070,687221,518692,500743,669242,605141,665923,681624,606192,54.2,0.914,0.883,0.9,1.0,1,0,4.0,3,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,176.0,-0.035,0.372,76.6,8.0,1.123,-0.372,100.5,0,0,0.497,0.503,37,27,37,27,1,0,12.0,1.0,6.0,1.0,1.36,0.05,-0.05,55.5,14.07056859253064,-11.97583259374246,40.08453222417371,35.57385897975113,33.83679416820648,0,-136.2198919780754,154.53200648888716,2.1479735592674216,-132.56522592394765,260.1739050630034,105.70509599026462
ST,2025-07-20,81.7,-1.27,6.03,"Ruiz, Esteury",606992,642152,single,hit_into_play,,,,,5.0,Eric Haase singles on a line drive to left fielder Esteury Ruiz. Joey Ortiz scores.,R,R,R,LAD,MIL,X,7,line_drive,1,2,2025,1.36,0.05,0.0,2.53,,687401.0,,1,6,Top,77.09,109.33,,,,,0.2579205447488393,-119.01706469636233,-1.391878185266082,12.792677801434284,23.86852361231643,-31.60522461095548,3.24,1.52,169.0,99.1,11.0,81.4,2712.0,6.2,777070,687221,518692,500743,669242,605141,665923,681624,606192,54.34,0.86,0.825,0.9,1.0,1,0,4.0,46,4,Sweeper,4,3,3,4,4,4,4,4,Standard,Standard,58.0,-0.139,0.614,74.9,7.0,1.022,-0.614,99.1,1,-1,0.635,0.365,33,32,34,33,1,2,1.0,7.0,38.0,3.0,3.37,-1.36,-1.36,32.8,16.68823895544036,-12.605778983450772,31.221073932775976,35.52879013285058,35.91833329559405,0,-80.69078485551015,148.49241475375695,1.8260897658981967,-132.56522592394765,260.1739050630034,123.14102855611166
FF,2025-07-20,88.2,1.88,6.02,"Ruiz, Esteury",694192,477132,field_out,hit_into_play,,,,,4.0,Jackson Chourio flies out sharply to left fielder Esteury Ruiz.,R,R,L,LAD,MIL,X,7,fly_ball,0,0,2025,0.05,1.46,-0.7,2.79,,,,0,1,Top,54.2,103.41,,,,,-6.336284624620439,-128.23258055254016,-4.721515149142327,1.9191831590697948,28.189910243834703,-15.311284310491176,3.43,1.65,294.0,105.1,51.0,87.6,2270.0,6.1,777070,687221,518692,500743,669242,605141,665923,681624,606192,54.4,0.023,0.033,0.0,1.0,0,0,3.0,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,168.0,0.022,-0.259,80.7,7.3,0.064,0.259,105.1,0,0,0.5,0.5,37,21,37,21,1,0,12.0,1.0,6.0,1.0,1.49,0.05,-0.05,53.3,13.266128615102897,-11.257594045333269,25.50867924287632,30.64434937169916,41.09455931283952,1,-176.5189455522865,235.1107438232224,7.471621727553706,-132.56522592394765,260.1739050630034,50.597346970941885
SL,2025-07-19,89.5,2.49,5.14,"Ruiz, Esteury",592885,656945,field_out,hit_into_play,,,,,6.0,Christian Yelich flies out to left fielder Esteury Ruiz.,R,L,L,LAD,MIL,X,7,fly_ball,0,1,2025,-0.45,0.18,0.44,2.35,,,,1,9,Top,75.12,106.0,,,,,-4.087610943860666,-130.36361846154944,-1.3539516026674443,-4.452040333937142,24.404960155842257,-29.986798470592177,3.41,1.75,265.0,78.7,34.0,89.6,2668.0,6.1,777085,669257,518692,808975,669242,500743,665923,681624,606192,54.42,0.037,0.033,0.0,1.0,0,0,3.0,78,2,Slider,7,8,8,7,8,7,8,7,Standard,Standard,244.0,0.012,-0.216,72.9,7.3,0.052,0.216,88.0,-1,1,0.174,0.826,30,33,31,34,1,4,6.0,1.0,2.0,2.0,2.63,-0.45,-0.45,30.6,2.104257839884178,4.395194587967079,37.51663659008082,33.72795723657869,24.7487467485098,1,-126.83927440200704,232.67315803326426,4.058246312939537,-132.56522592394765,260.1739050630034,28.09052523583924
ST,2025-07-18,80.3,-1.3,6.09,"Ruiz, Esteury",687401,642152,single,hit_into_play,,,,,3.0,Joey Ortiz singles on a line drive to left fielder Esteury Ruiz. Caleb Durbin to 3rd. Joey Ortiz to 2nd.,R,R,R,LAD,MIL,X,7,line_drive,0,2,2025,1.47,-0.16,0.75,3.07,,,702332.0,1,9,Top,87.42,123.87,,,,,1.737067510312625,-116.99662775815946,0.3400441187911394,13.15010780349256,23.10186050915237,-33.94622857604971,3.36,1.55,187.0,80.0,14.0,80.1,2750.0,6.2,777103,669257,518692,669242,500743,605141,665923,681624,606192,54.29,0.757,0.695,0.9,1.0,1,0,4.0,62,3,Sweeper,0,2,2,0,2,0,2,0,Standard,Standard,55.0,-0.027,0.495,74.1,8.2,0.819,-0.495,88.0,-2,2,0.07,0.93,33,26,34,27,1,3,7.0,5.0,1.0,1.0,3.7,-1.47,-1.47,34.3,10.083446718782175,-18.77445791873081,14.711025911944098,45.04474457816412,38.27817635134544,0,-85.05843799388623,166.53546807224043,1.8645177803476651,-132.56522592394765,260.1739050630034,105.00024657830532
CU,2025-07-13,77.6,-1.68,5.71,"Ruiz, Esteury",808982,808967,field_out,hit_into_play,,,,,4.0,Jung Hoo Lee flies out to left fielder Esteury Ruiz.,R,L,R,SF,LAD,X,7,fly_ball,2,2,2025,0.8,-1.22,-0.63,2.67,,,,0,5,Bot,62.89,100.26,,,,,0.7924097194420356,-113.07009054141729,2.6195798680164715,6.738510745837237,19.71036271286925,-43.37461671528759,3.33,1.5,290.0,85.0,36.0,78.0,2816.0,6.4,777119,669257,518692,669242,500743,605141,665923,681624,606192,54.08,0.011,0.012,0.0,1.0,0,0,3.0,36,5,Curveball,0,2,0,2,2,0,0,2,Strategic,Strategic,29.0,-0.031,-0.233,69.9,7.1,0.022,0.233,88.0,-2,-2,0.277,0.277,26,26,27,27,2,1,6.0,1.0,9.0,5.0,4.99,-0.8,0.8,53.2,6.377573391894315,3.0523601130757334,36.90728749550049,37.242739341977696,28.85707518838206,1,-155.97786144726763,244.48089237880532,4.595637540689559,-132.56522592394765,260.1739050630034,28.18549537003433
