pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CU,2025-09-28,79.9,-1.29,6.43,"Schuemann, Max",521692,687765,field_out,hit_into_play,,,,,9.0,Salvador Perez flies out to left fielder Max Schuemann.,R,R,R,ATH,KC,X,7,fly_ball,0,0,2025,0.68,-0.63,0.36,2.12,,686469.0,,2,6,Top,63.52,103.23,,,,,2.3482474516839105,-116.27245358771864,-1.4864000437772151,5.640994555687075,24.77203980624829,-37.7540106036178,3.7,1.72,283.0,77.4,33.0,79.4,2712.0,6.3,776138,680862,701762,687231,695391,691777,680474,687515,668709,54.24,0.134,0.145,0.0,1.0,0,0,3.0,51,1,Curveball,0,4,4,0,4,0,4,0,Standard,Standard,55.0,0.01,-0.29,72.6,8.7,0.199,0.29,88.0,-4,4,0.078,0.922,27,35,27,35,2,3,7.0,1.0,,,4.24,-0.68,-0.68,49.5,18.684147505243587,-28.39680106089506,35.04529068697697,38.59403063261824,44.72972668332356,1,-154.44914092445697,237.13806709952163,3.8912404817805655,-137.555167896266,258.7036447076656,27.394898471250528
FC,2025-09-28,90.9,-1.54,6.18,"Schuemann, Max",686681,687765,single,hit_into_play,,,,,5.0,Michael Massey singles on a line drive to left fielder Max Schuemann. Carter Jensen scores. Adam Frazier to 3rd.,R,L,R,ATH,KC,X,7,line_drive,1,0,2025,0.37,0.39,0.18,2.72,695600.0,,624428.0,2,5,Top,98.04,88.89,,,,,3.518869636264429,-132.35274754465743,-3.624909692789063,3.660959378588205,26.528487280821505,-26.98358031776578,3.52,1.59,208.0,87.2,13.0,91.1,2710.0,6.2,776138,680862,701762,687231,695391,691777,680474,687515,668709,54.28,0.829,0.792,0.9,1.0,1,0,4.0,40,2,Cutter,0,3,3,0,4,0,4,0,Infield shade,Standard,179.0,-0.059,0.613,65.6,6.1,0.961,-0.613,88.0,-3,3,0.154,0.846,27,27,27,27,2,2,7.0,1.0,,,2.35,-0.37,0.37,41.2,-1.8636849771339727,9.318613277754304,32.96525123181392,33.62378843398334,25.304227303097267,0,-50.50817465565776,201.77443914667083,1.8872006150096914,-137.555167896266,258.7036447076656,104.01016045577708
FC,2025-09-28,85.8,-2.3,6.0,"Schuemann, Max",677951,674370,double,hit_into_play,,,,,8.0,Bobby Witt Jr. doubles (47) on a sharp line drive to left fielder Max Schuemann. Michael Massey scores. Maikel Garcia scores.,R,R,R,ATH,KC,X,7,line_drive,2,1,2025,-0.19,0.4,0.16,1.81,,686681.0,672580.0,2,7,Top,52.59,76.02,,,,,6.168041338291979,-124.61209530603227,-4.296227139401445,-3.4454863048984787,30.148475237306247,-27.226847374092625,3.52,1.66,352.0,104.7,18.0,84.6,2266.0,6.1,776138,680862,701762,687231,695391,691777,680474,687515,668709,54.42,0.554,0.681,1.25,1.0,1,1,5.0,61,4,Cutter,0,6,6,0,8,0,8,0,Standard,Standard,76.0,-0.011,0.992,74.1,7.8,1.077,-0.992,104.7,-6,6,0.015,0.985,29,25,30,25,1,4,3.0,1.0,,,2.76,0.19,0.19,32.8,11.592900538456291,-13.003977146045974,28.36749163305532,35.82787071448113,37.9792103187006,0,-180.15581007775674,302.40351204182014,3.011672402323589,-137.555167896266,258.7036447076656,61.02862540888591
SL,2025-09-16,85.2,2.26,6.13,"Schuemann, Max",681987,605488,single,hit_into_play,,,,,6.0,Nate Eaton singles on a line drive to left fielder Max Schuemann.,R,R,L,BOS,ATH,X,7,line_drive,0,0,2025,-0.32,0.41,0.79,2.52,,,,0,2,Bot,62.02,111.05,,,,,-2.7940404445264457,-124.09178086706072,-3.044983514619952,-2.801931182855625,23.18860494378353,-27.54916275548336,3.42,1.64,206.0,98.7,12.0,85.5,2284.0,6.3,776310,669127,701762,687231,695391,805779,680474,671732,687515,54.25,0.937,0.883,0.9,1.0,1,0,4.0,13,1,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,199.0,0.038,0.439,78.4,7.8,1.091,-0.439,98.7,0,0,0.55,0.55,32,28,33,29,1,0,7.0,3.0,7.0,2.0,2.71,-0.32,0.32,50.4,11.358317232871457,-10.874537799667708,27.20147850620836,42.67364102369094,41.35015672126682,0,-121.12247213368637,166.62936939274653,1.9657743828385241,-137.555167896266,258.7036447076656,93.52917012778964
FF,2025-09-14,97.5,-1.68,5.71,"Schuemann, Max",624431,806960,single,hit_into_play,,,,,1.0,Jose Trevino singles on a sharp line drive to left fielder Max Schuemann. Ke'Bryan Hayes to 2nd.,R,R,R,ATH,CIN,X,7,line_drive,2,0,2025,-1.09,1.3,-0.41,2.88,,,663647.0,2,4,Top,64.69,91.83,,,,,5.886359567398077,-141.81580767854004,-5.028737914967795,-16.064618988217763,33.96435742304298,-13.6895707960126,3.17,1.41,193.0,100.9,9.0,96.8,2538.0,6.0,776327,680862,701762,687231,695391,805779,680474,687515,667670,54.51,0.657,0.606,0.9,1.0,1,0,4.0,27,3,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,213.0,-0.011,0.264,70.5,7.1,0.734,-0.264,100.9,-3,3,0.19,0.81,22,32,23,33,2,1,6.0,6.0,6.0,3.0,1.11,1.09,1.09,39.0,11.81628117764,-1.8024314389274072,23.140107303268348,34.79222163871808,27.943230541371072,0,-95.64455037362566,167.63388674079886,1.5587051355750425,-137.555167896266,258.7036447076656,100.25068916108626
CH,2025-06-26,78.3,2.23,6.23,"Schuemann, Max",650402,605488,field_out,hit_into_play,,,,,9.0,Gleyber Torres flies out to left fielder Max Schuemann.,R,R,L,DET,ATH,X,7,fly_ball,1,1,2025,1.17,0.51,0.4,1.78,,,,0,5,Bot,59.44,117.8,,,,,-6.044417297506107,-113.92968856193094,-3.7424253716912528,11.246182840743828,19.143562734606007,-27.22537934234439,3.26,1.53,260.0,76.0,37.0,78.0,1480.0,5.9,777351,642851,570482,649966,691777,805779,680474,672016,667670,54.58,0.094,0.085,0.0,1.0,0,0,3.0,36,3,Changeup,3,0,3,0,0,3,3,0,Strategic,Standard,126.0,-0.009,-0.251,72.1,8.4,0.108,0.251,88.0,3,3,0.892,0.892,32,28,33,29,3,2,6.0,1.0,5.0,1.0,3.18,1.17,-1.17,46.5,25.85732111028241,-21.10047970541954,37.69262103456811,38.79073424724887,47.88920658283221,1,-164.85262533485022,201.05624068953318,4.2142220269177715,-137.555167896266,258.7036447076656,63.783809643522446
SL,2025-06-26,87.7,-1.52,5.14,"Schuemann, Max",656716,669372,single,hit_into_play,,,,,5.0,Zach McKinstry singles on a line drive to left fielder Max Schuemann.,R,L,R,DET,ATH,X,7,line_drive,3,2,2025,0.46,0.08,-0.05,2.63,,,,2,6,Bot,47.23,105.84,,,,,2.60965720129238,-127.7862964682008,-0.1612647950608674,4.595069236081067,24.754712956744097,-31.47043180882569,3.36,1.56,266.0,89.8,20.0,88.7,2192.0,6.7,777351,642851,570482,649966,691777,805779,680474,672016,667670,53.82,0.389,0.35,0.9,1.0,1,0,4.0,44,7,Slider,3,0,3,0,0,3,3,0,Infield shade,Standard,35.0,0.004,0.26,67.9,6.2,0.471,-0.26,89.8,3,3,0.905,0.905,26,30,26,30,1,2,7.0,1.0,4.0,1.0,2.86,-0.46,0.46,42.5,0.3275385346006786,18.743471594272343,34.46071723188491,36.74250547137059,18.50234399717733,0,-171.79502672126569,203.08241872165993,2.8652551856411326,-137.555167896266,258.7036447076656,65.3153022847037
FC,2025-06-18,94.2,-2.2,5.98,"Schuemann, Max",605170,622663,single,hit_into_play,,,,,5.0,Victor Caratini singles on a line drive to left fielder Max Schuemann. Cam Smith to 2nd.,R,L,R,ATH,HOU,X,7,line_drive,1,0,2025,0.02,0.93,-0.06,2.38,,,701358.0,0,4,Top,104.66,112.49,,,,,5.526889177351813,-137.08703887189327,-5.737425711563134,-0.9329727288450907,29.55790677682008,-19.33808664522537,3.31,1.51,168.0,92.5,10.0,94.4,2126.0,6.3,777456,642851,701762,649966,691777,805779,680474,672016,667670,54.17,0.654,0.618,0.9,1.0,1,0,4.0,29,2,Cutter,1,1,1,1,1,1,1,1,Infield shade,Standard,208.0,-0.063,0.43,72.9,6.6,0.731,-0.43,92.5,0,0,0.456,0.544,31,31,31,32,2,1,5.0,2.0,6.0,1.0,1.63,-0.02,0.02,39.5,1.448355902936973,8.978839761994156,38.52317733557035,33.94776003833699,26.1288709719922,0,-39.51760297083859,163.28612634096987,1.5822874778834988,-137.555167896266,258.7036447076656,136.8059463172786
ST,2025-06-18,84.2,-2.26,5.88,"Schuemann, Max",670623,622663,field_out,hit_into_play,,,,,9.0,Isaac Paredes flies out to left fielder Max Schuemann.,R,R,R,ATH,HOU,X,7,fly_ball,0,1,2025,1.16,0.35,0.49,1.62,,,,1,3,Top,96.68,98.4,,,,,4.076812740095191,-122.51049954170672,-4.156141061134599,10.728128043805636,26.37338160698518,-28.0391494476784,3.24,1.58,261.0,73.0,36.0,83.9,2511.0,6.3,777456,642851,701762,649966,691777,805779,680474,672016,667670,54.18,0.351,0.342,0.0,1.0,0,0,3.0,20,2,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,66.0,0.018,-0.216,68.1,8.4,0.432,0.216,88.0,0,0,0.525,0.475,31,26,31,26,2,1,5.0,1.0,6.0,1.0,2.89,-1.16,-1.16,36.6,21.356822143928444,-29.72321389310469,33.7505409197099,39.07299394430825,48.367144858650576,1,-72.1797382663739,250.82082326592774,3.959094714050819,-137.555167896266,258.7036447076656,65.84896106375024
FF,2025-06-18,95.2,-3.26,5.93,"Schuemann, Max",673237,621053,single,hit_into_play,,,,,11.0,Yainer Diaz singles on a line drive to left fielder Max Schuemann.,R,R,R,ATH,HOU,X,7,line_drive,0,0,2025,-0.87,1.08,-0.9,2.86,,,,2,6,Top,79.66,102.06,,,,,8.079984122599475,-138.3374039275415,-4.780186916929746,-13.04870434657325,31.820734764974645,-17.398857217631594,3.18,1.5,159.0,96.3,10.0,94.5,2288.0,6.0,777456,642851,701762,649966,691777,805779,680474,672016,667670,54.49,0.686,0.659,0.9,1.0,1,0,4.0,51,1,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,233.0,-0.003,0.328,69.7,6.9,0.801,-0.328,96.3,-4,4,0.085,0.915,31,26,32,27,1,3,3.0,1.0,4.0,1.0,1.45,0.87,0.87,25.7,8.451678532693721,-8.684113334894585,27.200634797793622,26.45485983323766,33.58430586611581,0,-68.29339015183871,143.58625582404724,1.6384106077414387,-137.555167896266,258.7036447076656,134.3473374492426
