pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CH,2025-09-16,88.8,-1.17,5.77,"Simpson, Chandler",665489,686752,single,hit_into_play,,,,,11.0,Vladimir Guerrero Jr. singles on a line drive to left fielder Chandler Simpson. Andrés Giménez scores. George Springer to 3rd.,R,R,R,TB,TOR,X,7,line_drive,1,0,2025,-1.47,0.29,-1.04,2.74,,665926.0,543807.0,2,2,Top,64.45,134.02,,,,,3.4394776767506023,-129.25205948856603,-1.990592633724921,-17.214104879953894,27.01615071775537,-28.73056773280909,3.67,1.66,169.0,74.3,15.0,89.3,2577.0,6.6,776305,676439,676044,664040,691406,656484,802415,663968,666139,53.9,0.557,0.501,0.9,1.0,1,0,4.0,17,2,Changeup,0,3,3,0,4,0,4,0,Standard,Standard,251.0,-0.068,0.518,83.1,7.8,0.574,-0.518,88.0,-3,3,0.215,0.785,27,26,28,26,2,1,12.0,1.0,7.0,1.0,2.6,1.47,1.47,35.5,1.4597570496915644,-12.71657657890984,29.01035545635484,25.59318543202735,37.14579009687496,0,-116.33094605150514,122.58919606050853,1.853834848377023,-132.82645747709046,272.33459602864764,150.6512087864202
CH,2025-09-16,87.8,-1.08,5.91,"Simpson, Chandler",543807,686752,single,hit_into_play,,,,,5.0,George Springer singles on a sharp line drive to left fielder Chandler Simpson. Davis Schneider scores. Ernie Clement scores. Andrés Giménez to 2nd.,R,R,R,TB,TOR,X,7,line_drive,1,0,2025,-1.36,0.44,-0.05,2.36,676914.0,676391.0,665926.0,1,2,Top,52.46,107.5,,,,,5.32360903768317,-127.83959576527202,-3.422606449969599,-15.989185582264083,25.54310238019098,-26.86583135398872,3.54,1.63,230.0,109.9,14.0,88.5,2620.0,6.6,776305,676439,676044,664040,691406,656484,802415,663968,666139,53.89,0.723,0.821,0.9,1.0,1,0,6.0,15,2,Changeup,0,1,1,0,3,0,3,0,Standard,Standard,244.0,-0.112,0.407,78.2,7.9,1.226,-0.407,109.9,-1,1,0.303,0.697,27,35,28,36,2,1,12.0,1.0,7.0,1.0,2.51,1.36,1.36,40.8,17.08936029153387,-7.959303879583897,38.8174617322133,33.30806269747369,30.38762080575025,0,-144.09374052222776,179.2679389693341,2.4986167872174003,-132.82645747709046,272.33459602864764,93.74622298212932
SL,2025-09-16,90.3,-1.05,5.78,"Simpson, Chandler",680718,686752,single,hit_into_play,,,,,12.0,Addison Barger singles on a fly ball to left fielder Chandler Simpson. George Springer scores.,R,L,R,TB,TOR,X,7,fly_ball,0,2,2025,0.56,0.9,1.1,3.0,,543807.0,,2,1,Top,82.79,130.42,,,,,4.186404443086656,-131.68363364439236,-3.010942559880452,5.8811626156426735,23.77663360746749,-21.25679525860181,3.73,1.73,190.0,64.1,32.0,91.7,2625.0,6.7,776305,676439,676044,664040,691406,656484,802415,663968,666139,53.84,0.8,0.735,0.9,1.0,1,0,4.0,4,3,Slider,0,0,0,0,1,0,1,0,Standard,Standard,169.0,-0.093,0.769,72.7,6.2,0.863,-0.769,88.0,0,0,0.515,0.485,27,25,28,26,1,0,12.0,1.0,7.0,1.0,1.85,-0.56,0.56,36.8,-10.63199373628959,12.414043537072647,34.28915222714639,23.23943685868976,23.414084579871734,0,-101.08102752729071,160.88078155586857,3.1559679508045693,-132.82645747709046,272.33459602864764,115.88669070790787
SL,2025-09-16,89.8,-0.6,6.55,"Simpson, Chandler",664770,641329,field_out,hit_into_play,,,,,6.0,Nathan Lukes flies out to left fielder Chandler Simpson.,R,L,R,TB,TOR,X,7,fly_ball,0,1,2025,0.49,0.4,0.37,2.61,,,543807.0,1,9,Top,49.87,80.82,,,,,1.372949738438085,-130.8860416501133,-4.716117242987935,5.389766674868221,24.12887339083836,-26.842367029432083,3.32,1.53,347.0,97.4,29.0,90.5,2316.0,6.3,776305,663743,656484,664040,691406,700246,802415,663968,666139,54.17,0.3,0.508,0.0,1.0,0,0,5.0,74,2,Slider,4,6,6,4,6,4,6,4,Standard,Standard,145.0,0.009,-0.215,70.3,5.9,0.937,0.215,97.4,-2,2,0.07,0.93,30,30,31,31,1,4,1.0,1.0,2.0,1.0,2.39,-0.49,0.49,51.9,3.236158726208343,13.011137242861391,29.936046863066604,38.03989710660631,26.39448583258362,1,-187.72450653403774,291.8364433146622,4.34802257134133,-132.82645747709046,272.33459602864764,58.25905798951802
FF,2025-09-15,98.2,-0.96,5.83,"Simpson, Chandler",543807,671212,field_out,hit_into_play,,,,,5.0,George Springer lines out sharply to left fielder Chandler Simpson.,R,R,R,TB,TOR,X,7,line_drive,1,0,2025,-0.76,1.21,0.07,2.39,,,,0,6,Top,74.16,90.16,,,,,4.555916607850614,-142.8875657069172,-6.710643665375844,-11.413687697069411,29.68805183233025,-14.194072813189177,3.53,1.62,299.0,111.2,15.0,98.8,2485.0,6.4,776316,663743,650490,664040,656484,700246,802415,663968,666139,54.11,0.671,0.763,0.0,1.0,0,0,6.0,38,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,226.0,0.036,-0.301,80.3,7.8,1.172,0.301,111.2,1,-1,0.667,0.333,25,35,26,36,3,2,25.0,1.0,6.0,1.0,1.13,0.76,0.76,30.2,17.652733769863232,-0.8424222697867172,34.65550610722433,37.569459272850295,27.087946261019663,1,-128.09986076451383,270.1692537505187,2.6932041772656636,-132.82645747709046,272.33459602864764,5.198982945230037
FS,2025-09-15,93.3,-1.18,5.67,"Simpson, Chandler",665926,671212,field_out,hit_into_play,,,,,4.0,Andrés Giménez lines out to left fielder Chandler Simpson.,R,L,R,TB,TOR,X,7,line_drive,1,1,2025,-1.19,-0.09,-0.42,2.24,,,,1,3,Top,72.05,74.99,,,,,4.600243394357826,-135.89005727317073,-2.937636140611492,-15.756058575254054,27.779103837980323,-32.87102320681354,3.44,1.57,334.0,98.9,21.0,94.1,2049.0,6.5,776316,663743,650490,664040,656484,700246,802415,663968,666139,53.96,0.326,0.405,0.0,1.0,0,0,5.0,18,3,Split-Finger,1,0,0,1,0,1,0,1,Standard,Standard,240.0,0.018,-0.244,72.1,7.0,0.653,0.244,98.9,1,-1,0.643,0.357,25,26,26,27,1,0,25.0,1.0,6.0,1.0,2.69,1.19,-1.19,29.7,0.9155393774398972,12.223597980163548,30.54898621527132,43.190604037014495,25.3521775109668,1,-132.69342352117692,306.5101227598031,3.2880500108200788,-132.82645747709046,272.33459602864764,34.17578565864064
CH,2025-09-15,87.0,-0.93,6.52,"Simpson, Chandler",665926,641329,sac_fly,hit_into_play,,,,,7.0,Andrés Giménez out on a sacrifice fly to left fielder Chandler Simpson. Ernie Clement scores.,R,L,R,TB,TOR,X,7,fly_ball,2,2,2025,-1.2,0.54,-0.57,2.07,676391.0,,,1,8,Top,64.85,109.37,,,,,3.31652691038005,-126.694941296577,-5.66315251368778,-13.57628057677228,24.190730355255354,-25.424786212240807,3.44,1.57,269.0,81.1,38.0,87.4,1895.0,6.3,776316,663743,650490,664040,656484,700246,802415,663968,666139,54.18,0.011,0.01,0.0,1.0,0,0,3.0,53,6,Changeup,1,0,0,1,1,1,1,1,Strategic,Standard,230.0,-0.049,-0.04,64.8,6.8,0.011,0.04,88.0,1,-1,0.629,0.371,30,26,31,27,1,2,2.0,1.0,1.0,1.0,2.45,1.2,-1.2,51.5,9.449548829995104,9.76132691780808,31.392583808575004,47.71565236284573,30.3652892772688,1,-151.46310749019568,222.3059312510879,4.592781699307828,-132.82645747709046,272.33459602864764,53.38718969131472
ST,2025-09-15,79.6,-1.66,4.02,"Simpson, Chandler",543807,687330,single,hit_into_play,,,,,14.0,George Springer singles on a line drive to left fielder Chandler Simpson. Ernie Clement scores.,R,R,R,TB,TOR,X,7,line_drive,0,2,2025,1.67,0.44,1.16,2.54,,676391.0,,2,11,Top,71.87,129.27,,,,,3.105058556093954,-115.84463663463217,2.826984340053862,14.313773746949622,23.315772402786333,-29.07454420901712,3.53,1.62,169.0,79.9,14.0,80.9,2707.0,7.4,776316,676439,650490,664040,691406,656484,802415,663968,666139,53.14,0.757,0.695,0.9,1.0,1,0,4.0,74,3,Sweeper,1,1,1,1,2,1,2,1,Standard,Standard,78.0,-0.306,0.769,75.4,8.3,0.819,-0.769,88.0,0,0,0.698,0.302,27,35,28,36,1,4,3.0,1.0,1.0,1.0,3.18,-1.67,-1.67,11.2,19.279848495700097,-11.34563539282822,30.00740993386417,48.95749677787164,31.27142144403056,0,-103.61525182290575,133.5098482872175,1.862424568439974,-132.82645747709046,272.33459602864764,141.86474234721885
SI,2025-09-15,92.2,-1.55,3.73,"Simpson, Chandler",665926,687330,field_out,hit_into_play,,,,,5.0,Andrés Giménez lines out sharply to left fielder Chandler Simpson.,R,L,R,TB,TOR,X,7,line_drive,2,1,2025,-1.49,-0.2,0.09,2.56,,676391.0,,1,11,Top,88.43,94.68,,,,,7.520084628419735,-134.00875321743447,3.394222363779104,-19.536347513553835,29.58763135173276,-35.609865181452776,3.44,1.57,277.0,100.4,14.0,93.5,2159.0,7.2,776316,676439,650490,664040,691406,656484,802415,663968,666139,53.32,0.846,0.836,0.0,1.0,0,0,4.0,73,4,Sinker,1,1,1,1,1,1,1,1,Infield shade,Standard,254.0,0.083,-0.279,74.3,6.7,1.102,0.279,100.4,0,0,0.615,0.385,27,26,28,27,1,3,3.0,1.0,1.0,1.0,2.89,1.49,-1.49,4.4,1.362506006552722,15.160817189800364,32.17012015926129,39.96898520270892,24.49595300111467,1,-93.15082426729676,260.86763681668754,2.295680223097665,-132.82645747709046,272.33459602864764,41.29947970818569
CH,2025-09-15,84.2,-0.72,6.59,"Simpson, Chandler",676391,641329,double,hit_into_play,,,,,2.0,Ernie Clement doubles (31) on a line drive to left fielder Chandler Simpson.,R,R,R,TB,TOR,X,7,line_drive,0,1,2025,-1.07,0.62,0.1,2.91,,,,0,8,Top,45.95,118.03,,,,,4.033601200349327,-122.62458331385623,-3.408805775682514,-11.59485147653383,24.8557712412992,-25.41867810582578,3.35,1.54,231.0,88.4,17.0,84.3,1980.0,6.3,776316,663743,650490,664040,656484,700246,802415,663968,666139,54.15,0.891,0.803,1.25,1.0,1,1,4.0,51,2,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,222.0,-0.149,0.755,65.4,7.5,0.978,-0.755,88.4,1,-1,0.753,0.247,30,29,31,29,1,2,2.0,1.0,1.0,1.0,2.59,1.07,1.07,53.5,17.62637587732658,-13.896730833745822,26.5368894075234,39.22335027571479,41.7411894661,0,-162.55226812481735,164.1272680802233,2.433020532565112,-132.82645747709046,272.33459602864764,112.21608458862913
