pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CH,2025-08-24,88.3,-1.8,5.45,"Smith, Josh",700932,518876,field_out,hit_into_play,,,,,7.0,Kyle Manzardo flies out to left fielder Josh Smith.,R,L,R,TEX,CLE,X,7,fly_ball,1,2,2025,-1.12,-0.18,-0.5,1.35,,,,1,4,Top,51.13,119.35,,,,,5.453252077734696,-128.38775273276977,-3.447562989129217,-13.534713938968912,28.02801534798273,-33.608772810806464,3.21,1.36,269.0,87.6,49.0,87.4,2096.0,5.9,776611,543309,642133,677649,673962,608369,669701,694671,666969,54.6,0.014,0.02,0.0,1.0,0,0,3.0,26,6,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,246.0,0.019,-0.18,66.5,7.9,0.029,0.18,88.0,0,0,0.527,0.473,36,24,37,25,2,1,5.0,1.0,6.0,1.0,3.12,1.12,-1.12,23.5,16.98394095017089,3.3291888954303666,38.5731079681816,43.68797064284126,34.31550439479896,1,-184.3793608935683,195.870496186841,6.058324936296671,-131.203254424729,257.50088549043835,81.40026526307085
CH,2025-08-24,86.6,-1.78,5.53,"Smith, Josh",692216,518876,field_out,hit_into_play,,,,,4.0,C.J. Kayfus flies out to left fielder Josh Smith.,R,L,R,TEX,CLE,X,7,fly_ball,0,0,2025,-1.25,0.03,-0.53,2.68,,,700932.0,0,2,Top,44.66,87.46,,,,,5.513930455635183,-125.97607877527832,-0.6429007322578422,-14.481967373067508,25.959594353004466,-31.94787383182571,3.46,1.59,340.0,96.1,30.0,86.0,2192.0,5.9,776611,543309,642133,677649,673962,608369,669701,694671,666969,54.57,0.223,0.376,0.0,1.0,0,0,5.0,9,1,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,241.0,0.035,-0.242,70.2,6.2,0.694,0.242,96.1,0,0,0.462,0.538,36,23,37,24,1,0,5.0,1.0,6.0,2.0,3.02,1.25,-1.25,24.9,4.676808487554884,9.691288112551808,36.135807552610295,35.62042720793333,22.537754720858977,1,-200.2554587756316,274.7685411952418,4.4229264178929455,-131.203254424729,257.50088549043835,71.17849997898554
FF,2025-08-22,94.5,-2.18,5.59,"Smith, Josh",677587,543135,field_out,hit_into_play,,,,,1.0,Brayan Rocchio flies out to left fielder Josh Smith in foul territory.,R,L,R,TEX,CLE,X,7,fly_ball,2,2,2025,-1.2,1.08,-0.35,3.11,692216.0,,,2,2,Top,66.37,147.68,,,,,7.526993661978637,-137.45175492779126,-3.181332634052577,-16.954129873512382,31.980967006928573,-17.96422372181366,3.1,1.39,196.0,84.3,60.0,95.2,2245.0,6.8,776641,543309,642133,677649,673962,608369,669701,694671,696030,53.68,0.02,0.021,0.0,1.0,0,0,3.0,12,6,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,226.0,0.035,-0.198,70.9,6.7,0.027,0.198,88.0,-1,1,0.402,0.598,35,24,35,24,1,0,5.0,2.0,,1.0,1.48,1.2,-1.2,32.1,7.355791330545012,2.632408458177566,15.71489214451071,36.13140205378067,27.22885407326013,1,-148.84453771098794,127.51981647415546,6.683919894302483,-131.203254424729,257.50088549043835,131.17276081032122
FC,2025-08-22,90.9,-2.37,5.68,"Smith, Josh",692216,543135,double,hit_into_play,,,,,5.0,C.J. Kayfus doubles (4) on a line drive to left fielder Josh Smith. Carlos Santana scores.,R,L,R,TEX,CLE,X,7,line_drive,0,0,2025,0.23,0.62,0.17,2.44,,467793.0,,0,2,Top,34.51,112.03,,,,,5.9783213118947085,-132.36665710212176,-3.62399824085041,1.5360796406961177,26.626871011523946,-24.370121408288785,3.46,1.58,276.0,91.7,23.0,92.5,2254.0,7.1,776641,543309,642133,677649,673962,608369,669701,694671,696030,53.42,0.166,0.186,1.25,1.0,1,1,3.0,9,1,Cutter,0,0,0,0,1,0,1,0,Infield shade,Standard,196.0,-0.101,0.714,66.3,5.7,0.29,-0.714,91.7,0,0,0.436,0.564,35,23,35,24,1,0,5.0,2.0,,1.0,2.13,-0.23,0.23,36.5,-1.2199617485334828,17.347299405344984,46.39809227030032,26.62557444181156,19.854354407055908,0,-200.23672231169078,189.9506647471149,3.3227817421086776,-131.203254424729,257.50088549043835,96.58494712413477
FF,2025-08-22,93.8,-2.28,5.74,"Smith, Josh",467793,543135,double,hit_into_play,,,,,13.0,Carlos Santana doubles (10) on a fly ball to left fielder Josh Smith.,R,L,R,TEX,CLE,X,7,fly_ball,0,0,2025,-0.9,1.24,-1.08,2.18,,,,0,2,Top,74.58,136.53,,,,,5.148120579032898,-136.3967362591718,-6.282713427143012,-12.338859774229512,32.705104888795425,-15.49348024914949,3.46,1.64,202.0,80.9,57.0,94.9,2185.0,7.2,776641,543309,642133,677649,673962,608369,669701,694671,696030,53.34,0.046,0.052,1.25,1.0,1,1,3.0,8,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,218.0,-0.064,0.716,70.5,7.9,0.065,-0.716,88.0,0,0,0.5,0.5,35,39,35,39,1,0,5.0,3.0,,3.0,1.37,0.9,-0.9,37.8,12.499476558731374,1.1537723055875675,25.992027398425645,49.34858331627908,28.0756319067864,0,-128.40578261464998,155.93573994155173,6.215807724830541,-131.203254424729,257.50088549043835,101.60366449540446
FF,2025-08-22,94.1,-2.35,5.52,"Smith, Josh",608070,543135,field_out,hit_into_play,,,,,2.0,José Ramírez flies out to left fielder Josh Smith.,R,L,R,TEX,CLE,X,7,fly_ball,0,0,2025,-0.85,1.01,-0.11,3.01,,682177.0,,1,1,Top,70.21,135.57,,,,,7.802080034472006,-136.8077809150639,-3.0625894734001324,-12.399972038650272,30.8495692044709,-18.96656804087212,3.43,1.56,211.0,85.7,59.0,95.3,2138.0,7.1,776641,543309,642133,677649,673962,608369,669701,694671,696030,53.44,0.031,0.036,0.0,1.0,0,0,3.0,3,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Strategic,218.0,0.034,-0.263,66.1,6.5,0.05,0.263,88.0,0,0,0.481,0.519,35,32,35,33,1,0,5.0,2.0,,1.0,1.57,0.85,-0.85,33.5,7.592750520637563,3.0705292268155,27.559049558151614,31.77705546144057,24.961939692622053,1,-139.44087423223476,158.35795715198554,6.725076572821438,-131.203254424729,257.50088549043835,99.48456473049777
FF,2025-08-22,95.3,3.69,5.63,"Smith, Josh",692216,676395,field_out,hit_into_play,,,,,3.0,C.J. Kayfus flies out to left fielder Josh Smith.,R,L,L,TEX,CLE,X,7,fly_ball,1,1,2025,0.97,1.16,0.71,3.12,,,,0,9,Top,88.06,70.02,,,,,-9.978031069412996,-138.3508795741608,-3.5186957632318583,14.74469298030305,32.76899372216415,-16.684543616819887,3.46,1.58,334.0,90.5,32.0,94.8,2089.0,6.3,776641,543309,642133,677649,673962,608369,669701,694671,696030,54.23,0.031,0.04,0.0,1.0,0,0,3.0,61,3,4-Seam Fastball,2,3,3,2,3,2,3,2,Infield shade,Standard,124.0,0.016,-0.251,67.4,5.8,0.069,0.251,90.5,-1,1,0.158,0.842,29,23,29,24,1,3,1.0,2.0,3.0,1.0,1.37,0.97,0.97,27.3,6.691513314602094,-0.256362026379882,34.78017587254996,23.002293660512773,22.811970482410736,1,-93.4134195236987,320.6710667535964,4.41459035820085,-131.203254424729,257.50088549043835,73.61075616149702
CH,2025-08-22,80.9,4.45,4.02,"Smith, Josh",677587,571948,single,hit_into_play,,,,,6.0,Brayan Rocchio singles on a line drive to left fielder Josh Smith. Nolan Jones to 2nd.,R,R,L,TEX,CLE,X,7,line_drive,1,0,2025,1.46,-0.51,0.31,2.16,,,666134.0,0,8,Top,57.26,123.88,,,,,-12.043460956883742,-117.09951624856762,3.5580289311954663,15.651409616245612,21.71514692884612,-37.82017966401525,3.1,1.39,129.0,102.3,7.0,81.2,1738.0,6.7,776641,543309,642133,677649,673962,608369,669701,694671,696030,53.76,0.651,0.602,0.9,1.0,1,0,4.0,52,2,Changeup,2,1,1,2,1,2,1,2,Standard,Standard,79.0,-0.121,0.43,72.2,7.6,0.724,-0.43,102.3,1,-1,0.665,0.335,34,24,34,24,1,2,2.0,2.0,2.0,1.0,4.02,1.46,-1.46,-10.4,21.1453526950206,-4.505586880790203,29.88643152915365,36.881416845460365,34.48259690596718,0,-87.14705285682706,95.11251851554236,1.2821024937560703,-131.203254424729,257.50088549043835,168.25852318787625
FF,2025-08-13,90.9,-1.86,5.33,"Smith, Josh",664983,518876,single,hit_into_play,,,,,2.0,Jake McCarthy singles on a line drive to left fielder Josh Smith.,R,L,R,TEX,AZ,X,7,line_drive,1,0,2025,-0.66,0.92,0.04,2.98,,,,2,4,Top,86.16,77.09,,,,,6.146210237911101,-132.30284640160008,-1.973107404051148,-9.062032479411368,27.57366790488152,-21.15286040541177,3.51,1.68,280.0,96.6,17.0,90.5,2444.0,6.0,776746,641680,669394,543760,673962,608369,669701,694497,677649,54.49,0.526,0.541,0.9,1.0,1,0,4.0,28,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shade,Standard,219.0,-0.015,0.29,70.9,6.4,0.76,-0.29,96.6,0,0,0.546,0.454,36,27,37,28,2,1,5.0,2.0,6.0,2.0,1.83,0.66,-0.66,21.7,12.55924951522474,18.527330125416444,26.534372142921377,41.2603588979942,23.855043713138024,0,-86.29852914455577,266.3692247003889,2.645443433091645,-131.203254424729,257.50088549043835,45.772063453929796
CU,2025-08-13,83.4,-1.77,5.61,"Smith, Josh",606466,518876,single,hit_into_play,,,,,8.0,Ketel Marte singles on a line drive to left fielder Josh Smith. Geraldo Perdomo scores.,R,L,R,TEX,AZ,X,7,line_drive,2,2,2025,0.64,-0.82,0.07,1.81,,672695.0,,2,3,Top,89.65,90.48,,,,,2.9805148656549445,-121.4814231968234,-0.7018602484618378,5.700585773562277,24.23907674993046,-40.33262385080564,3.66,1.71,247.0,96.5,14.0,83.3,2624.0,6.2,776746,641680,669394,543760,673962,608369,669701,694497,677649,54.29,0.894,0.844,0.9,1.0,1,0,4.0,21,5,Curveball,1,0,0,1,1,1,1,1,Infield shade,Standard,50.0,-0.107,0.741,74.9,7.2,1.047,-0.741,96.5,1,-1,0.635,0.365,36,31,37,32,2,1,5.0,1.0,6.0,1.0,4.09,-0.64,0.64,30.0,1.623359928111222,9.746524098522231,39.70653627899048,30.315745399464607,30.007811253884388,0,-77.79500753561123,234.42895896738992,2.2127070082323343,-131.203254424729,257.50088549043835,58.17864409947953
