pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-09-27,93.6,2.3,5.8,"Steer, Spencer",668930,671096,double,hit_into_play,,,,,5.0,Brice Turang doubles (27) on a fly ball to left fielder Spencer Steer. Joey Ortiz scores.,R,L,L,MIL,CIN,X,7,fly_ball,0,0,2025,0.89,1.21,0.21,2.61,687401.0,,,2,3,Bot,28.16,104.88,,,,,-7.335186145993538,-136.12858914197827,-5.210240248340961,12.590589468144705,28.321344309826145,-16.154946522178037,3.58,1.71,333.0,97.5,34.0,93.8,2303.0,6.3,776153,663886,701398,680574,663647,682829,668715,670770,682622,54.17,0.2,0.386,1.25,1.0,1,1,5.0,32,1,4-Seam Fastball,1,6,1,6,6,2,2,6,Standard,Standard,145.0,0.048,0.813,69.3,6.6,0.74,-0.813,97.5,-5,-5,0.089,0.089,26,25,26,26,2,1,6.0,1.0,,1.0,1.38,0.89,0.89,51.7,8.886244550789625,7.809584227795646,35.80493742354341,31.98530255804381,30.351222094460063,0,-240.19680715877786,230.63931544888197,5.00799572592359,-138.4941110218378,260.46953989338346,105.98717229897255
FF,2025-09-27,93.6,2.49,5.94,"Steer, Spencer",668930,671096,field_out,hit_into_play,,,,,9.0,Brice Turang flies out to left fielder Spencer Steer in foul territory.,R,L,L,MIL,CIN,X,7,fly_ball,2,1,2025,1.0,1.2,0.7,1.97,,,592885.0,1,1,Bot,53.0,145.09,,,,,-6.822898946551114,-136.03335631938612,-7.129006691298719,13.967600047395162,30.61706728622911,-15.840521402552293,3.58,1.71,231.0,90.9,56.0,93.6,2335.0,6.4,776153,663886,701398,680574,663647,682829,668715,670770,682622,54.1,0.009,0.01,0.0,1.0,0,0,3.0,8,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,148.0,-0.028,-0.297,77.5,7.4,0.014,0.297,90.9,0,0,0.55,0.55,26,25,26,26,1,0,6.0,1.0,,1.0,1.41,1.0,1.0,46.7,12.158197191615468,-4.395903914299887,40.22593568682914,27.47771769728041,37.07659736968085,1,-186.19123947001083,136.7253537008447,6.897632932741186,-138.4941110218378,260.46953989338346,132.6183987184856
FF,2025-09-20,99.8,-1.49,6.44,"Steer, Spencer",683737,695505,field_out,hit_into_play,,,,,2.0,Michael Busch flies out to left fielder Spencer Steer.,R,L,R,CIN,CHC,X,7,fly_ball,2,2,2025,-0.25,1.34,0.09,3.11,,682634.0,,0,8,Top,76.54,85.57,,,,,4.944234857100604,-145.18950983559634,-6.933288617649133,-4.667044319110183,33.65720273608285,-11.79018588331979,3.33,1.59,308.0,89.2,38.0,99.9,2497.0,6.4,776254,663886,701398,680574,663647,682829,668715,670770,682622,54.14,0.014,0.018,0.0,1.0,0,0,3.0,59,5,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,198.0,0.101,-0.235,66.3,5.9,0.034,0.235,89.2,1,-1,0.604,0.396,22,27,22,28,1,3,3.0,1.0,4.0,1.0,0.95,0.25,-0.25,51.0,4.772283798120016,7.793862206737465,29.07239849252691,34.23900127294123,27.4592449626008,1,-122.55455574258893,282.5674802002818,5.043807260539637,-138.4941110218378,260.46953989338346,27.246805102754216
FC,2025-09-20,84.9,-1.58,5.58,"Steer, Spencer",807713,641941,double,hit_into_play,,,,,6.0,Matt Shaw doubles (21) on a line drive to left fielder Spencer Steer.,R,R,R,CIN,CHC,X,7,line_drive,0,1,2025,0.37,0.2,0.28,2.48,,,,2,9,Top,100.7,75.85,,,,,3.644881599105082,-123.66832814210484,-1.4020749951012903,3.2014743782594466,22.623856057617008,-30.05127785987779,3.17,1.46,220.0,89.0,12.0,86.2,2469.0,6.9,776254,663886,701398,680574,663647,682829,668715,670770,682622,53.62,0.774,0.773,1.25,1.0,1,1,4.0,70,2,Cutter,6,3,3,6,3,6,3,6,Standard,Standard,129.0,-0.008,0.624,64.8,7.0,0.937,-0.624,89.0,3,-3,0.996,0.004,34,23,34,24,1,3,1.0,1.0,4.0,3.0,2.94,-0.37,-0.37,43.7,8.98890947176742,1.2673834340687526,21.833640450086104,37.91694634371535,31.382338048491977,0,-43.545209191295584,215.6474316018772,1.7911545582846558,-138.4941110218378,260.46953989338346,104.99673971377138
SI,2025-06-30,89.8,3.35,5.96,"Steer, Spencer",680776,608718,field_out,hit_into_play,,,,,9.0,Jarren Duran flies out to left fielder Spencer Steer.,R,L,L,BOS,CIN,X,7,fly_ball,3,2,2025,0.88,1.21,0.38,2.14,,,,2,3,Bot,58.78,104.9,,,,,-9.43313634827966,-130.46306833578038,-6.199926076596483,11.947642121407617,25.649286335963936,-17.238120134362788,3.42,1.64,287.0,89.4,26.0,92.1,2251.0,7.6,777300,663886,687952,680574,669289,682829,668715,670770,677956,52.91,0.089,0.104,0.0,1.0,0,0,3.0,28,6,Sinker,7,0,7,0,0,7,7,0,Strategic,Standard,154.0,-0.001,-0.329,76.9,6.9,0.165,0.329,89.4,7,7,0.975,0.975,35,28,36,29,2,2,2.0,1.0,5.0,1.0,1.61,0.88,0.88,51.2,-3.941711120686972,11.014280223680478,35.64653593267507,34.63221361807172,25.684743748482536,1,-166.72778275831533,233.6040377572614,3.6244750934616254,-138.4941110218378,260.46953989338346,38.97300892603943
FF,2025-06-30,91.5,3.03,5.52,"Steer, Spencer",665966,686747,single,hit_into_play,,,,,8.0,Carlos Narváez singles on a sharp line drive to left fielder Spencer Steer.,R,R,L,BOS,CIN,X,7,line_drive,0,1,2025,1.29,0.79,-0.21,1.93,,,,2,6,Bot,41.19,100.84,,,,,-10.955352064517934,-132.69240095637463,-4.859026660059031,17.601862260289632,28.89070678762041,-21.88777046250856,3.63,1.61,318.0,104.9,21.0,91.4,2196.0,6.4,777300,663886,687952,680574,669289,682829,668715,670770,677956,54.06,0.743,1.102,0.9,1.0,1,0,6.0,57,2,4-Seam Fastball,9,5,9,5,5,9,9,5,Standard,Standard,126.0,0.002,0.371,75.0,8.5,1.906,-0.371,104.9,4,4,0.949,0.949,27,26,27,27,2,3,19.0,1.0,46.0,1.0,1.95,1.29,-1.29,27.2,22.13007644041336,-16.01668288898039,35.691751626068,36.32886423784953,39.62491370992106,0,-207.9725897096317,240.5647562081137,3.4809435500939867,-138.4941110218378,260.46953989338346,72.27350423445382
CH,2025-06-30,92.5,-1.89,6.3,"Steer, Spencer",691785,695505,double,hit_into_play,,,,,1.0,Marcelo Mayer doubles (4) on a sharp fly ball to left fielder Spencer Steer.,R,L,R,BOS,CIN,X,7,fly_ball,0,1,2025,-0.88,0.66,-0.48,3.06,,,,1,1,Bot,70.74,81.25,,,,,5.53030339732769,-134.6493381147506,-3.916254315943588,-11.92073361205422,28.7560057977052,-23.461423430425768,3.64,1.68,362.0,101.6,23.0,92.7,1511.0,6.3,777300,663886,687952,680574,669289,682829,668715,670770,677956,54.17,0.62,0.933,1.25,1.0,1,1,6.0,10,2,Changeup,5,0,5,0,0,5,5,0,Infield shade,Standard,225.0,0.012,0.681,75.5,7.3,1.643,-0.681,101.6,5,5,0.908,0.908,22,22,22,23,1,0,6.0,5.0,6.0,1.0,2.0,0.88,-0.88,48.6,-1.7262489193145758,14.17562507314965,28.04290118403508,42.30752654974887,20.802985459986047,0,-153.24715330960842,327.9623606490559,3.6701408108628786,-138.4941110218378,260.46953989338346,69.08641769770723
FF,2025-06-30,91.4,3.03,5.42,"Steer, Spencer",691785,686747,field_out,hit_into_play,,,,,2.0,Marcelo Mayer flies out to left fielder Spencer Steer.,R,L,L,BOS,CIN,X,7,fly_ball,0,0,2025,1.49,0.79,0.23,3.49,,596115.0,,0,5,Bot,53.12,96.66,,,,,-10.287513048007623,-132.78615118403283,-0.6687674851604987,19.87508525592513,27.976839785633725,-22.873545148369065,3.64,1.68,311.0,89.9,28.0,91.6,2100.0,6.5,777300,663886,687952,680574,669289,682829,668715,670770,677956,54.03,0.066,0.066,0.0,1.0,0,0,3.0,46,1,4-Seam Fastball,8,4,8,4,4,8,8,4,Standard,Standard,121.0,-0.01,-0.288,72.5,6.6,0.111,0.288,89.9,4,4,0.952,0.952,27,22,27,23,1,2,19.0,5.0,46.0,1.0,1.94,1.49,1.49,24.6,-4.646453294990373,12.58822969954292,24.637840142885565,34.93566545522678,25.4401065614174,1,-180.30476688998223,253.3992719735974,3.8957825556510874,-138.4941110218378,260.46953989338346,42.4042407381851
FF,2025-06-30,91.0,3.09,5.47,"Steer, Spencer",596115,686747,double,hit_into_play,,,,,7.0,Trevor Story doubles (9) on a fly ball to left fielder Spencer Steer.,R,R,L,BOS,CIN,X,7,fly_ball,2,0,2025,1.12,1.11,-0.81,2.1,,,,0,5,Bot,57.26,99.74,,,,,-12.239397810260543,-131.97497462951188,-4.944945163050599,15.603646532664827,26.327256006644543,-18.27748482421141,3.51,1.61,297.0,93.6,52.0,91.5,2147.0,6.6,777300,663886,687952,680574,669289,682829,668715,670770,677956,53.86,0.001,0.0,1.25,1.0,1,1,3.0,45,3,4-Seam Fastball,8,4,8,4,4,8,8,4,Infield shade,Standard,117.0,0.015,0.597,74.8,7.8,0.001,-0.597,93.6,4,4,0.937,0.937,27,32,27,33,1,2,19.0,1.0,46.0,1.0,1.65,1.12,-1.12,27.0,20.91613032285099,-25.523811953147334,35.22928975006363,29.97910613487086,40.86549819242377,0,-168.96640715333834,244.2526422655286,6.752186039155791,-138.4941110218378,260.46953989338346,34.51881516214291
SL,2025-06-25,88.5,-0.95,5.88,"Steer, Spencer",592450,664139,double,hit_into_play,,,,,8.0,Aaron Judge doubles (19) on a sharp line drive to left fielder Spencer Steer. DJ LeMahieu scores. Trent Grisham to 3rd.,R,R,R,CIN,NYY,X,7,line_drive,0,2,2025,0.56,0.02,-0.25,2.5,,518934.0,663757.0,0,6,Top,40.43,102.28,,,,,0.5412551163753259,-128.96533653289595,-2.2816488210214243,6.20680870917476,25.58983917798449,-31.70866511904544,4.04,1.86,272.0,105.6,16.0,90.1,2252.0,7.1,777367,624431,687952,680574,669289,682829,668715,670770,677956,53.41,0.586,0.658,1.25,1.0,1,1,5.0,48,3,Slider,1,4,4,1,5,1,5,1,Standard,Standard,138.0,-0.053,0.835,75.8,7.9,0.998,-0.835,105.6,-3,3,0.091,0.909,31,33,32,33,1,3,1.0,1.0,3.0,2.0,2.87,-0.56,-0.56,48.6,15.410544082840854,-9.154866493196112,37.95939941375867,37.96489223945291,36.30236588249373,0,-180.31025724448259,203.64727136013514,2.7222443906164218,-138.4941110218378,260.46953989338346,70.55040953940801
