pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-09-14,93.4,2.36,6.38,"Thomas, Colby",670770,656794,field_out,hit_into_play,,,,,5.0,TJ Friedl flies out to left fielder Colby Thomas.,R,L,L,ATH,CIN,X,7,fly_ball,1,1,2025,1.08,1.15,0.0,2.18,,,,0,7,Top,68.11,132.94,,,,,-8.2709600489694,-135.5940057706527,-7.401568804734735,15.203855590045976,30.75257406986116,-16.56108355588101,3.11,1.47,219.0,83.2,56.0,91.5,2342.0,5.4,776327,680862,701762,687231,695391,805779,687515,671732,667670,55.14,0.014,0.013,0.0,1.0,0,0,3.0,55,3,4-Seam Fastball,5,3,3,5,3,5,3,5,Strategic,Standard,132.0,0.033,-0.251,62.9,6.7,0.014,0.251,88.0,2,-2,0.824,0.176,32,29,32,30,1,3,2.0,1.0,,1.0,1.49,1.08,1.08,34.7,4.164041622182752,-0.4889656312858685,32.60023856787637,33.23446405460532,32.579380066223905,1,-144.4211296458695,164.63151980046516,6.318115042261262,-138.4941110218378,260.46953989338346,96.0211208281815
CH,2025-09-13,83.4,2.21,6.06,"Thomas, Colby",682622,663687,field_out,hit_into_play,,,,,5.0,Noelvi Marte flies out to left fielder Colby Thomas.,R,R,L,ATH,CIN,X,7,fly_ball,1,0,2025,0.98,1.16,0.16,2.51,663647.0,,,2,9,Top,73.84,56.1,,,,,-6.67495105604917,-121.28380322280594,-3.985664997655453,10.992173189031863,25.224146640440665,-20.179067400945385,3.4,1.62,374.0,97.5,40.0,83.7,2020.0,6.6,776340,669127,701762,680869,687231,805779,687515,671732,668709,53.85,0.111,0.214,0.0,1.0,0,0,3.0,80,2,Changeup,11,5,5,11,5,11,5,11,Standard,Standard,132.0,0.001,-0.306,77.0,7.9,0.398,0.306,97.5,6,-6,0.999,0.001,28,23,29,24,1,4,1.0,3.0,3.0,1.0,2.14,0.98,-0.98,49.6,14.64809238950299,-14.928525016486445,32.60618325517801,36.21918682821783,39.743049942742246,1,-127.5537477411692,351.57650865378105,5.74629846467029,-138.4941110218378,260.46953989338346,91.7614914080033
FF,2025-09-01,91.2,-1.35,5.81,"Thomas, Colby",701675,543518,field_out,hit_into_play,,,,,8.0,Nathan Church flies out to left fielder Colby Thomas.,R,L,R,STL,ATH,X,7,fly_ball,0,0,2025,-0.49,1.48,-0.28,1.81,,,665877.0,1,9,Bot,45.9,118.19,,,,,3.746862905950369,-132.58642952257736,-7.274297852666652,-6.601900950923791,30.876379149021314,-13.381436764525333,3.19,1.53,281.0,90.5,38.0,90.8,2409.0,6.3,776497,680862,691016,680869,687231,805779,687515,671732,668709,54.21,0.02,0.029,0.0,1.0,0,0,3.0,81,1,4-Seam Fastball,3,11,3,11,11,3,3,11,Standard,Standard,206.0,0.0,-0.256,72.8,7.6,0.048,0.256,90.5,-8,-8,0.001,0.001,35,24,36,25,1,3,93.0,1.0,5.0,1.0,1.29,0.49,-0.49,48.2,4.5339580798443135,11.002790293755528,38.3031945574971,39.520566930248506,24.504777361069152,1,-197.99860421371253,199.39296058141477,5.116253274041784,-138.4941110218378,260.46953989338346,85.27094024621206
SL,2025-09-01,83.9,-2.61,5.94,"Thomas, Colby",665877,543518,single,hit_into_play,,,,,8.0,José Fermín singles on a line drive to left fielder Colby Thomas. Thomas Saggese scores.,R,R,R,STL,ATH,X,7,line_drive,1,2,2025,0.62,-0.26,-0.04,1.99,,695336.0,,0,9,Bot,41.59,110.09,,,,,4.695798492007348,-122.17874405907438,-2.285610518431466,5.357196017082402,22.37010594119844,-34.52202628533725,3.42,1.63,219.0,86.6,17.0,83.9,2568.0,6.1,776497,680862,691016,680869,687231,805779,687515,671732,668709,54.4,0.929,0.858,0.9,1.0,1,0,4.0,79,4,Slider,2,11,2,11,11,3,3,11,Standard,Standard,93.0,0.0,0.622,71.0,7.6,1.043,-0.622,88.0,-9,-9,0.001,0.001,35,26,36,26,1,0,93.0,8.0,5.0,1.0,3.47,-0.62,-0.62,49.7,12.320142206859725,-19.636047150329457,35.148964355922644,33.20510934246821,38.63348542440279,0,-150.8919433644729,158.72183664415147,2.386533124070764,-138.4941110218378,260.46953989338346,102.50025055232726
ST,2025-09-01,80.6,-1.99,5.7,"Thomas, Colby",671056,806960,field_out,hit_into_play,,,,,5.0,Iván Herrera flies out to left fielder Colby Thomas.,R,R,R,STL,ATH,X,7,fly_ball,1,2,2025,1.83,-0.2,-0.25,2.78,,,663457.0,0,1,Bot,43.38,102.53,,,,,0.3734639208128216,-117.35646584203128,0.6523947282049503,16.597765988571688,25.829978369470112,-34.40263828311046,3.44,1.56,292.0,86.3,39.0,79.9,3037.0,6.1,776497,680862,691016,680869,687231,805779,687515,671732,668709,54.37,0.011,0.015,0.0,1.0,0,0,3.0,8,4,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,57.0,-0.033,-0.164,71.6,7.6,0.025,0.164,88.0,0,0,0.583,0.583,22,25,23,25,1,0,5.0,1.0,7.0,1.0,3.75,-1.83,-1.83,39.1,18.90549898680927,-22.497449063616624,30.616681596546883,30.27992051081086,44.36870097819617,1,-190.00056319788794,221.7290824057264,4.988904954192418,-138.4941110218378,260.46953989338346,64.44949698885715
SL,2025-07-25,84.0,0.68,6.15,"Thomas, Colby",694376,641386,field_out,hit_into_play,,,,,6.0,Shay Whitcomb flies out to left fielder Colby Thomas.,R,R,L,HOU,ATH,X,7,fly_ball,0,1,2025,0.15,0.36,0.28,2.56,673237.0,,,2,9,Bot,56.89,111.64,,,,,-1.2298871207131823,-122.25798223590844,-2.534184551111548,1.755537803890575,27.67920782270764,-28.283946562736475,3.27,1.57,276.0,86.5,44.0,83.0,2388.0,5.9,777007,669127,691016,649966,570482,680474,687515,671732,666126,54.56,0.009,0.012,0.0,1.0,0,0,3.0,84,2,Slider,3,15,3,15,15,3,3,15,Standard,Standard,163.0,-0.001,-0.232,64.1,8.2,0.018,0.232,88.0,-12,-12,0.001,0.001,30,26,31,27,1,1,,2.0,2.0,4.0,2.91,0.15,-0.15,34.2,17.238027756649927,-18.80687345905401,27.17477253362184,40.87829437908916,40.51497158386256,1,-171.23400076316886,216.4599662354198,5.512105956718846,-138.4941110218378,260.46953989338346,54.852009569661554
SL,2025-07-25,84.4,0.7,6.17,"Thomas, Colby",673237,641386,double,hit_into_play,,,,,4.0,Yainer Diaz doubles (14) on a fly ball to left fielder Colby Thomas. Taylor Trammell scores.,R,R,L,HOU,ATH,X,7,fly_ball,1,2,2025,-0.04,0.3,-0.33,2.49,666211.0,,,1,9,Bot,94.31,67.81,,,,,-2.301969010770596,-122.95698877043915,-2.776667294698538,0.1030858865032016,24.826848406777223,-28.77533364627616,3.17,1.48,334.0,98.4,42.0,83.8,2415.0,5.9,777007,669127,691016,649966,570482,680474,687515,671732,666126,54.62,0.049,0.083,1.25,1.0,1,1,3.0,82,7,Slider,2,15,2,15,15,3,3,15,Standard,Standard,158.0,0.0,0.681,73.9,7.4,0.16,-0.681,98.4,-13,-13,0.001,0.001,30,26,31,27,1,3,,1.0,2.0,1.0,2.9,-0.04,0.04,34.4,12.903201117191768,-9.63049763372041,30.87401177550514,31.74986008957147,40.04693647560737,0,-77.47459947000513,324.8902683014102,6.0338239726599845,-138.4941110218378,260.46953989338346,88.73224351184287
CU,2025-07-02,81.9,-2.01,6.31,"Thomas, Colby",666139,687765,single,hit_into_play,,,,,8.0,Josh Lowe singles on a line drive to left fielder Colby Thomas.,R,L,R,TB,ATH,X,7,line_drive,0,2,2025,0.82,-0.9,-0.08,1.77,,,,2,3,Bot,93.95,122.34,,,,,2.7944672759164613,-119.32192594989895,-2.006394187523548,7.307679329154838,21.84040352414904,-40.61418902885339,3.74,1.79,210.0,97.0,11.0,82.3,2753.0,6.3,777271,642851,691016,649966,691777,680474,687515,672016,667670,54.15,0.869,0.832,0.9,1.0,1,0,4.0,24,3,Curveball,1,2,1,2,2,1,1,2,Strategic,Standard,55.0,0.015,0.428,71.8,7.0,1.032,-0.428,97.0,-1,-1,0.384,0.384,27,27,27,27,2,1,5.0,1.0,7.0,2.0,4.27,-0.82,0.82,48.6,-5.319169202060212,12.854322565025791,37.44512183888223,40.34613441963226,24.135361045140723,0,-80.40443982100747,193.997747556692,1.7915278245620514,-138.4941110218378,260.46953989338346,88.27745508720112
FF,2025-07-02,93.4,2.51,6.0,"Thomas, Colby",664040,663687,field_out,hit_into_play,,,,,11.0,Brandon Lowe flies out to left fielder Colby Thomas.,R,L,L,TB,ATH,X,7,fly_ball,0,1,2025,0.73,1.41,-0.87,2.9,,,,1,7,Bot,57.43,132.54,,,,,-10.3566108028403,-135.59280314142964,-5.322139077009597,11.332974800422251,30.96749084097715,-13.789033380394631,3.27,1.43,236.0,77.1,44.0,93.6,2249.0,6.7,777271,642851,691016,680474,570482,691777,687515,672016,667670,53.84,0.077,0.077,0.0,1.0,0,0,3.0,57,2,4-Seam Fastball,6,2,6,2,2,6,6,2,Infield shade,Standard,152.0,-0.002,-0.216,68.7,6.7,0.105,0.216,88.0,4,4,0.971,0.971,28,30,29,31,1,3,3.0,1.0,3.0,2.0,1.23,0.73,0.73,55.0,7.609104819628268,9.113487283036203,24.17180456990849,47.31143606624312,26.26680220689226,1,-169.67335847243768,164.03338509182714,4.92084416164157,-138.4941110218378,260.46953989338346,101.35125763647667
CH,2025-07-02,81.4,3.03,5.72,"Thomas, Colby",691406,663687,double,hit_into_play,,,,,2.0,"Athletics challenged (tag play), call on the field was upheld: Junior Caminero doubles (19) on a line drive to left fielder Colby Thomas.",R,R,L,TB,ATH,X,7,line_drive,2,2,2025,1.58,1.01,0.13,3.34,,,,1,6,Bot,34.75,104.82,,,,,-9.618192984554016,-118.11709287690644,-0.6649339996995012,16.604296957699457,22.20650586818393,-22.79103623354345,3.5,1.61,287.0,96.5,19.0,82.0,2039.0,6.8,777271,642851,691016,680474,570482,691777,687515,672016,667670,53.7,0.346,0.388,1.25,1.0,1,1,4.0,48,5,Changeup,4,2,4,2,2,4,4,2,Standard,Standard,122.0,0.024,0.669,79.9,8.9,0.594,-0.669,96.5,2,2,0.84,0.84,28,21,29,22,1,2,3.0,1.0,3.0,2.0,2.45,1.58,-1.58,41.8,24.04916345287829,-16.665111621330542,18.7035723152399,39.23915686947713,47.2958048051931,0,-199.85271177669497,205.98032332118834,2.928036520974707,-138.4941110218378,260.46953989338346,82.06066420183025
