pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
FF,2025-06-22,93.4,-1.58,6.12,"Wade, Tyler",686469,681190,field_out,hit_into_play,,,,,11.0,Vinnie Pasquantino flies out to left fielder Tyler Wade.,R,L,R,SD,KC,X,7,fly_ball,0,0,2025,-0.83,1.38,-0.04,3.77,,,672580.0,1,3,Top,78.11,110.54,,,,,5.751516995584919,-135.9043332671071,-3.3105374046771763,-11.495377348186578,30.25320352661959,-14.58266809179713,3.59,1.67,252.0,90.2,52.0,93.0,2366.0,6.1,777396,455117,650333,630105,592518,593428,642180,701538,665487,54.39,0.011,0.014,0.0,1.0,0,0,3.0,20,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,208.0,0.031,-0.256,65.7,6.1,0.019,0.256,90.2,0,0,0.497,0.503,26,27,27,28,2,1,5.0,1.0,6.0,2.0,1.24,0.83,-0.83,39.1,6.884927128149624,3.673117193012208,20.895953708994945,40.75830653422112,27.659199027297667,1,-119.61183826870669,221.80398586585576,6.508949658489002,-137.10513092134312,269.0839703048871,50.41242125097571
FF,2025-06-19,94.1,-0.8,6.44,"Wade, Tyler",500743,592094,single,hit_into_play,,,,,1.0,Miguel Rojas singles on a sharp line drive to left fielder Tyler Wade.,R,R,R,LAD,SD,X,7,line_drive,1,1,2025,-0.46,1.39,-0.35,2.88,,,,1,8,Bot,63.78,101.88,,,,,2.198659730458624,-137.01061695075495,-6.664623038489102,-6.32408712522339,29.18875627261862,-13.371313357310106,3.37,1.67,222.0,101.1,12.0,94.6,2439.0,6.5,777442,455117,650333,630105,592518,593428,642180,663604,665487,54.02,0.949,0.915,0.9,1.0,1,0,4.0,64,3,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Standard,208.0,0.008,0.426,67.2,6.8,1.161,-0.426,101.1,-5,-5,0.011,0.011,33,36,34,36,1,0,2.0,4.0,1.0,1.0,1.17,0.46,0.46,41.9,9.125014556332545,-9.366854737876093,29.39615022181044,33.96658459963791,35.56002409541666,0,-119.60163785275567,187.02793433853213,2.0092164413250395,-137.10513092134312,269.0839703048871,83.90211742330361
SI,2025-06-13,93.0,-2.78,5.06,"Wade, Tyler",666971,663568,single,hit_into_play,,,,,7.0,Lourdes Gurriel Jr. singles on a line drive to left fielder Tyler Wade. Geraldo Perdomo scores. Eugenio Suárez to 2nd.,R,R,R,AZ,SD,X,7,line_drive,2,0,2025,-1.35,0.35,-0.78,1.89,,672695.0,553993.0,1,5,Bot,77.18,127.7,,,,,8.096388284632688,-135.25100908717988,-3.134958845349437,-18.325082752095653,29.23035415564369,-27.35728530165788,3.69,1.74,215.0,77.4,20.0,93.2,2164.0,6.4,777521,553869,650333,630105,592518,593428,642180,701538,665487,54.08,0.983,0.89,0.9,1.0,1,0,4.0,45,3,Sinker,4,1,4,1,1,5,5,1,Standard,Standard,225.0,0.04,0.375,75.4,8.0,1.051,-0.375,88.0,3,3,0.905,0.905,28,31,28,32,3,2,6.0,2.0,5.0,1.0,2.28,1.35,1.35,30.9,19.75181304653784,-15.88716434700141,47.64918398287811,29.167552510765013,40.40706117247197,0,-121.33038991792675,177.49348292927223,2.4884500756345225,-137.10513092134312,269.0839703048871,92.939011353831
SL,2025-06-13,84.8,-2.71,5.14,"Wade, Tyler",672695,663568,double,hit_into_play,,,,,8.0,Geraldo Perdomo doubles (16) on a line drive to left fielder Tyler Wade. Ketel Marte to 3rd.,R,L,R,AZ,SD,X,7,line_drive,0,2,2025,0.24,-0.03,-0.2,1.9,,,606466.0,0,5,Bot,76.2,71.17,,,,,5.408854202593759,-123.53485660763812,-1.2712463349418872,1.5208107014178878,21.56857811891689,-32.46028684007996,3.52,1.62,339.0,96.2,23.0,85.5,2500.0,6.4,777521,553869,650333,630105,592518,593428,642180,701538,665487,54.1,0.186,0.232,1.25,1.0,1,1,5.0,42,3,Slider,3,1,3,1,1,3,3,1,Infield shade,Standard,68.0,0.063,0.826,68.3,6.7,0.378,-0.826,96.2,2,2,0.841,0.841,28,25,28,26,3,2,6.0,2.0,5.0,1.0,3.16,-0.24,0.24,32.2,1.409407353401862,1.9291042271131755,38.33582666493931,37.46077818689767,22.674866711353687,0,-122.42026124320417,316.1238359205861,3.4805427912361537,-137.10513092134312,269.0839703048871,49.278741406482226
SL,2025-06-13,86.0,-2.83,5.16,"Wade, Tyler",666971,663568,single,hit_into_play,,,,,5.0,Lourdes Gurriel Jr. singles on a line drive to left fielder Tyler Wade.,R,R,R,AZ,SD,X,7,line_drive,0,0,2025,0.38,-0.17,-0.24,2.76,,,,1,4,Bot,71.63,99.94,,,,,5.374837528547128,-125.2945145843934,0.8614957172726836,3.0469037056667565,23.582139351678595,-34.33896489263137,3.69,1.74,217.0,85.7,14.0,86.5,2387.0,6.4,777521,553869,650333,630105,592518,593428,642180,701538,665487,54.14,0.911,0.861,0.9,1.0,1,0,4.0,32,1,Slider,2,1,2,1,1,2,2,1,Standard,Standard,74.0,0.022,0.415,76.4,7.6,1.059,-0.415,88.0,1,1,0.67,0.67,28,31,28,32,2,1,6.0,2.0,5.0,1.0,3.23,-0.38,-0.38,31.4,8.088895568030589,-12.086840888425783,38.90811461713928,34.73305127318065,30.45525650161477,0,-104.14279732400549,190.37667337552443,1.9842052481116106,-137.10513092134312,269.0839703048871,85.33085037727582
SL,2025-06-13,88.5,-1.52,6.42,"Wade, Tyler",606466,669308,field_out,hit_into_play,,,,,4.0,Ketel Marte flies out to left fielder Tyler Wade.,R,L,R,AZ,SD,X,7,fly_ball,2,1,2025,0.38,0.26,-0.57,2.55,,,,2,6,Bot,52.29,105.21,,,,,1.5461016560772198,-128.81425397170392,-3.903597141446093,3.856403649566024,27.35089296042141,-28.711479676655816,3.63,1.7,295.0,87.1,33.0,89.1,2429.0,6.7,777521,553869,650333,630105,592518,593428,642180,701538,665487,53.78,0.023,0.026,0.0,1.0,0,0,3.0,53,4,Slider,5,1,5,1,1,5,5,1,Infield shade,Standard,144.0,-0.002,-0.298,72.5,7.4,0.041,0.298,88.0,4,4,0.949,0.949,27,31,27,32,1,3,4.0,2.0,2.0,1.0,2.66,-0.38,0.38,36.0,6.286003865471627,15.133394436050557,28.01541286940392,37.27710919009735,29.434490318030573,1,-182.27496976257478,231.95007091624797,4.367668710337994,-137.10513092134312,269.0839703048871,58.4742748971581
SI,2025-06-13,94.7,0.13,6.18,"Wade, Tyler",553993,593974,field_out,hit_into_play,,,,,5.0,Eugenio Suárez flies out to left fielder Tyler Wade.,R,R,L,AZ,SD,X,7,fly_ball,1,1,2025,1.29,0.81,-0.15,2.55,,,,2,7,Bot,56.66,68.1,,,,,-3.5635997587981807,-137.91447548996334,-5.588628346400248,17.26213178320331,28.783924446481763,-20.85931503556193,3.5,1.57,364.0,98.6,40.0,94.1,2036.0,5.7,777521,553869,650333,630105,592518,593428,642180,701538,665487,54.75,0.086,0.156,0.0,1.0,0,0,3.0,59,3,Sinker,5,1,5,1,1,5,5,1,Standard,Standard,138.0,-0.001,-0.245,74.3,7.8,0.303,0.245,98.6,4,4,0.969,0.969,33,33,34,34,1,3,2.0,2.0,3.0,1.0,1.72,1.29,-1.29,48.1,17.37960797642097,-5.978065859681419,39.55288026696307,30.41207414048196,38.44305734249701,1,-170.01454886064096,321.855640273264,5.810404304953435,-137.10513092134312,269.0839703048871,62.19227396031336
FF,2025-06-13,96.6,-1.26,6.62,"Wade, Tyler",677950,669308,field_out,hit_into_play,,,,,5.0,Alek Thomas flies out to left fielder Tyler Wade.,R,L,R,AZ,SD,X,7,fly_ball,1,2,2025,-0.58,1.42,0.1,2.67,,,,0,6,Bot,47.66,121.38,,,,,4.987312499652742,-140.4443887551774,-8.252713585885695,-8.829545574277459,29.83417964162009,-11.763309508803086,3.28,1.47,272.0,80.5,41.0,97.6,2336.0,6.8,777521,553869,650333,630105,592518,593428,642180,701538,665487,53.72,0.031,0.033,0.0,1.0,0,0,3.0,51,4,4-Seam Fastball,5,1,5,1,1,5,5,1,Infield shade,Standard,220.0,-0.004,-0.19,68.4,6.4,0.046,0.19,88.0,4,4,0.956,0.956,27,25,27,25,1,2,4.0,2.0,2.0,1.0,1.02,0.58,-0.58,44.1,9.675547101289151,17.362009418071708,26.19563193510481,33.20369166396743,25.87969479475868,1,-193.41197397849285,191.24802828197423,4.853411117841342,-137.10513092134312,269.0839703048871,96.06713509653936
ST,2025-06-13,82.3,-1.79,6.25,"Wade, Tyler",672515,669308,field_out,hit_into_play,,,,,5.0,Gabriel Moreno flies out to left fielder Tyler Wade.,R,R,R,AZ,SD,X,7,fly_ball,0,1,2025,1.24,0.32,0.26,2.26,,553993.0,666971.0,2,5,Bot,64.74,96.84,,,,,2.2565414928387897,-119.86420736479438,-3.152011334308252,11.516493778014642,23.661388730466623,-28.714809642331968,3.32,1.52,294.0,87.7,44.0,82.8,2401.0,6.6,777521,553869,650333,630105,592518,593428,642180,701538,665487,53.87,0.003,0.004,0.0,1.0,0,0,3.0,47,2,Sweeper,5,1,5,1,1,5,5,1,Standard,Standard,63.0,-0.01,-0.235,60.6,7.9,0.004,0.235,88.0,4,4,0.936,0.936,27,25,27,25,1,2,4.0,3.0,2.0,1.0,3.05,-1.24,-1.24,31.5,33.848246529621015,-12.374031692450496,34.34883846686898,38.92619762710092,47.0005891886851,1,-150.9360678346866,252.29804483309593,5.5876477417515495,-137.10513092134312,269.0839703048871,21.749991030927227
KC,2025-06-10,82.2,-1.45,6.11,"Wade, Tyler",571970,656302,field_out,hit_into_play,,,,,4.0,Max Muncy flies out to left fielder Tyler Wade.,R,L,R,SD,LAD,X,7,fly_ball,2,2,2025,0.32,-1.47,-0.74,2.24,,,606192.0,0,2,Top,85.95,69.68,,,,,0.9880901175451462,-119.65920474736517,0.719398029119868,2.817463019247952,26.702993525713385,-46.49602116356315,3.15,1.58,335.0,97.3,40.0,82.0,2848.0,6.5,777560,455117,650333,630105,592518,593428,642180,701538,665487,53.99,0.111,0.214,0.0,1.0,0,0,3.0,8,7,Knuckle Curve,0,0,0,0,0,0,0,0,Infield shade,Standard,29.0,0.035,-0.2,65.5,7.2,0.398,0.2,97.3,0,0,0.462,0.538,29,34,30,35,1,0,5.0,1.0,6.0,1.0,4.88,-0.32,0.32,52.3,15.72419168112935,-10.120949193056612,34.46527166109957,46.49551056765914,35.46743486692859,1,-98.29997636162803,320.25320396102734,5.734643712555899,-137.10513092134312,269.0839703048871,64.21939343656287
