pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CH,2025-09-03,88.4,-1.65,6.43,"White, Eli",664023,693821,single,hit_into_play,,,,,7.0,"Ian Happ singles on a fly ball to left fielder Eli White. Ian Happ to 3rd. Ian Happ advances to 3rd, on a throwing error by left fielder Eli White.",R,L,R,CHC,ATL,X,7,fly_ball,0,1,2025,-0.87,0.46,-0.52,1.7,,,,0,2,Bot,68.35,135.14,,,,,4.543976452945136,-128.684588914181,-6.453234776805954,-10.595996875947597,24.23687489741489,-25.951935603239217,3.6,1.67,204.0,73.0,52.0,88.3,2161.0,6.0,776473,686948,621566,645277,805373,673490,642201,671739,660670,54.48,0.149,0.16,0.9,1.0,1,0,3.0,11,2,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,223.0,0.094,0.478,69.0,7.1,0.205,-0.478,88.0,0,0,0.55,0.55,26,30,26,31,1,0,5.0,1.0,5.0,2.0,2.43,0.87,-0.87,52.1,5.610009471395426,-6.633438717949718,35.43068443860835,41.06532179717496,34.302601474127925,0,-136.80353887229205,151.33007550390397,5.27990777835651,-130.63460174314505,267.8406257971518,116.67375075370981
SL,2025-09-02,83.1,0.73,6.2,"White, Eli",663538,666214,single,hit_into_play,,,,,13.0,Nico Hoerner singles on a line drive to left fielder Eli White. Kevin Alcántara to 2nd.,R,R,L,CHC,ATL,X,7,line_drive,1,1,2025,-0.38,0.12,-0.99,1.41,,,682634.0,1,3,Bot,92.02,116.72,,,,,-3.244113071288876,-121.08907399975952,-4.9150371967162485,-3.1809704045452025,20.496074936645616,-30.307362168074683,3.37,1.6,223.0,92.5,13.0,85.0,2535.0,7.2,776487,669221,621566,645277,805373,673490,642201,671739,660670,53.34,0.94,0.905,0.9,1.0,1,0,4.0,20,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,282.0,0.039,0.428,61.2,7.5,1.106,-0.428,92.5,0,0,0.557,0.557,27,28,28,28,2,1,6.0,1.0,5.0,1.0,3.13,-0.38,0.38,45.3,3.0848646506550024,-10.777763695768064,43.48448442943968,27.508707035262223,30.676711622609133,0,-84.51887064498932,206.36269164966703,1.9907579667441628,-130.63460174314505,267.8406257971518,76.85178619758868
FF,2025-09-02,91.8,2.81,4.48,"White, Eli",673548,802686,field_out,hit_into_play,,,,,6.0,Seiya Suzuki lines out sharply to left fielder Eli White.,R,R,L,CHC,ATL,X,7,line_drive,1,1,2025,1.0,1.14,0.34,2.4,,,,2,7,Bot,82.99,63.42,,,,,-8.527844431058915,-133.47548578642065,-1.870452332492184,13.779158949955436,28.9218987603708,-18.36211954368353,3.19,1.41,352.0,103.3,18.0,93.0,2169.0,7.1,776487,669221,621566,645277,805373,673490,642201,671739,660670,53.43,0.491,0.598,0.0,1.0,0,0,5.0,56,3,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,125.0,-0.009,-0.245,76.8,7.4,0.929,0.245,103.3,1,1,0.762,0.762,26,30,26,31,1,3,,1.0,4.0,1.0,1.57,1.0,-1.0,13.4,3.954552335464639,-1.8844535532203628,32.41886217309715,40.76995289519171,30.665534061569133,1,-105.64902521789193,335.77117724800206,2.9730344261306807,-130.63460174314505,267.8406257971518,72.37982353332933
SL,2025-09-02,86.1,0.8,6.31,"White, Eli",663538,666214,single,hit_into_play,,,,,8.0,Nico Hoerner singles on a line drive to left fielder Eli White.,R,R,L,CHC,ATL,X,7,line_drive,1,1,2025,-0.38,0.32,-0.16,1.48,,,,0,1,Bot,64.65,110.7,,,,,-1.5145517285289718,-125.46404720725836,-6.0085524582011125,-3.792005381283028,22.85613697321925,-27.91793364929973,3.37,1.6,166.0,85.9,12.0,87.9,2561.0,7.1,776487,669221,621566,645277,805373,673490,642201,671739,660670,53.39,0.666,0.633,0.9,1.0,1,0,4.0,5,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,208.0,0.036,0.447,70.8,8.3,0.747,-0.447,88.0,0,0,0.547,0.547,27,28,28,28,1,0,6.0,1.0,5.0,1.0,2.73,-0.38,0.38,46.5,13.020743445631574,-13.192835389297354,41.76503055321671,37.347954859457744,34.0182738470871,0,-94.6410456590943,136.37841646152526,1.7357178117910768,-130.63460174314505,267.8406257971518,136.30058166779702
EP,2025-08-28,59.3,-1.98,5.91,"White, Eli",642215,660644,field_out,hit_into_play,,,,,5.0,Weston Wilson flies out to left fielder Eli White.,R,R,R,PHI,ATL,X,7,fly_ball,0,0,2025,-0.34,1.15,0.13,2.58,,664056.0,624641.0,2,8,Bot,78.24,120.08,,,,,3.7536567103835097,-86.32687904651455,1.8369433963435773,-2.196323410113554,11.796663247164776,-26.87929333074541,3.71,1.64,230.0,88.8,58.0,57.1,1443.0,4.1,776560,686948,621566,645277,805373,669397,642201,671739,641584,56.41,0.02,0.024,0.0,1.0,0,0,3.0,80,1,Eephus,19,4,19,4,4,19,19,4,Standard,Standard,220.0,0.0,-0.283,79.6,8.6,0.035,0.283,88.8,15,15,0.999,0.999,27,30,27,31,1,1,,2.0,10.0,2.0,5.32,0.34,0.34,24.1,22.312453232713224,-28.348593123573863,38.08091729998311,37.04751954400938,48.4532026436479,1,-118.82625781735575,196.92719581897086,6.892833882963933,-130.63460174314505,267.8406257971518,71.88985698650468
EP,2025-08-28,57.4,-1.98,6.06,"White, Eli",656941,660644,field_out,hit_into_play,,,,,5.0,Kyle Schwarber pops out to left fielder Eli White on the infield fly rule.,R,L,R,PHI,ATL,X,7,popup,1,0,2025,-0.08,1.36,-0.21,2.61,,664056.0,624641.0,1,8,Bot,100.22,121.73,,,,,2.799462352984331,-83.44581245612977,1.9366054671924764,-0.7637559892122289,11.373928470816288,-26.30265444323319,3.37,1.53,205.0,89.3,61.0,55.1,1364.0,4.1,776560,686948,621566,645277,805373,669397,642201,671739,641584,56.44,0.017,0.02,0.0,1.0,0,0,3.0,79,2,Eephus,19,4,19,4,4,19,19,4,Infield shade,Standard,214.0,0.0,-0.275,78.3,7.0,0.026,0.275,89.3,15,15,0.999,0.999,27,32,27,32,1,5,,1.0,10.0,1.0,5.58,0.08,-0.08,30.2,17.394437102483508,-1.574371701847225,29.99281200745109,36.30545189944421,41.0563028718723,1,-64.10884248739043,194.7178890470184,7.1468653506083815,-130.63460174314505,267.8406257971518,98.85651862362913
EP,2025-08-28,58.6,-1.8,6.19,"White, Eli",624641,660644,single,hit_into_play,,,,,2.0,Edmundo Sosa singles on a line drive to left fielder Eli White. Max Kepler scores. Harrison Bader to 2nd.,R,R,R,PHI,ATL,X,7,line_drive,0,0,2025,-0.11,1.21,-0.23,3.0,596146.0,,664056.0,1,8,Bot,62.85,107.37,,,,,2.591582526393147,-85.27376687014082,2.164061581373136,-0.9057814096840768,11.5760405270331,-26.76340412174243,3.38,1.54,229.0,97.9,17.0,56.4,1404.0,4.1,776560,686948,621566,645277,805373,669397,642201,671739,641584,56.4,0.449,0.462,0.9,1.0,1,0,4.0,78,1,Eephus,18,4,18,4,4,19,19,4,Standard,Standard,220.0,0.0,0.479,76.4,7.7,0.677,-0.479,97.9,14,14,0.999,0.999,27,29,27,29,1,1,,2.0,10.0,2.0,5.42,0.11,0.11,32.3,11.939991984396622,-16.796816403891306,34.241911021902204,30.185342031691057,38.789339451322704,0,-129.84252516608603,188.6317010963277,2.6792075943789495,-130.63460174314505,267.8406257971518,79.2128849213608
SI,2025-06-28,96.0,-1.47,5.66,"White, Eli",805249,628452,single,hit_into_play,,,,,4.0,Otto Kemp singles on a line drive to left fielder Eli White.,R,R,R,ATL,PHI,X,7,line_drive,2,2,2025,-1.42,0.85,-0.35,2.32,,,,0,8,Top,98.85,82.14,,,,,6.156409790455829,-139.58089428081522,-5.1551673002763945,-19.92951399619365,32.270986232507475,-20.03485599535382,3.45,1.57,250.0,87.1,17.0,95.7,2292.0,6.2,777333,669221,621566,645277,663586,669397,642201,671739,660670,54.29,0.929,0.858,0.9,1.0,1,0,4.0,61,5,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,227.0,-0.012,0.465,75.1,7.3,1.043,-0.465,88.0,5,-5,0.985,0.015,35,25,35,26,1,2,4.0,1.0,1.0,1.0,1.63,1.42,1.42,30.9,6.8344057845068455,-5.610751558776515,42.263536748717534,25.84251645548828,25.58322009800171,0,-55.75805195581496,243.70276904888183,2.399440672056612,-130.63460174314505,267.8406257971518,78.67104827352007
FC,2025-06-26,86.9,2.54,5.82,"White, Eli",624413,689266,double,hit_into_play,,,,,8.0,Pete Alonso doubles (23) on a line drive to left fielder Eli White. Juan Soto to 3rd.,R,R,L,NYM,ATL,X,7,line_drive,1,2,2025,0.32,0.27,-0.12,1.82,,,665742.0,2,7,Bot,57.06,119.25,,,,,-7.1034517041096645,-126.3281898789175,-3.975176822491397,4.891180260323907,25.751079363956222,-28.63064369091523,3.58,1.7,226.0,112.4,13.0,87.7,2029.0,6.8,777352,669221,621566,645277,663586,669397,642201,671739,660670,53.67,0.811,0.871,1.25,1.0,1,1,6.0,54,4,Cutter,2,0,2,0,0,2,2,0,Standard,Standard,144.0,0.015,1.006,78.8,7.4,1.243,-1.006,112.4,2,2,0.881,0.881,27,30,27,31,1,3,2.0,1.0,6.0,1.0,2.75,0.32,-0.32,38.7,16.29101367958006,-10.228202434008068,40.04062855585537,32.0456637898701,35.29732400182739,0,-147.86107706785893,170.91840710799022,2.3834530479116665,-130.63460174314505,267.8406257971518,98.44119019873052
FF,2025-06-26,97.9,-1.03,6.36,"White, Eli",683146,656848,field_out,hit_into_play,,,,,8.0,Brett Baty flies out to left fielder Eli White.,R,L,R,NYM,ATL,X,7,fly_ball,2,2,2025,-0.85,1.6,-0.27,2.2,,,,0,8,Bot,59.37,88.99,,,,,4.022689155448354,-142.23233473212048,-9.387963702574758,-12.48668842379157,35.54109303771021,-8.500091971944846,3.7,1.67,319.0,93.5,25.0,97.7,2348.0,6.5,777352,669221,621566,645277,663586,669397,642201,671739,660670,54.03,0.149,0.189,0.0,1.0,0,0,3.0,60,5,4-Seam Fastball,4,0,4,0,0,4,4,0,Infield shade,Standard,206.0,-0.001,-0.233,64.2,7.5,0.306,0.233,93.5,4,4,0.989,0.989,31,25,31,26,1,3,28.0,1.0,1.0,1.0,0.81,0.85,-0.85,50.1,4.565968936632645,3.441051229149289,38.75785821409128,40.9717457937576,20.79082516825517,1,-165.00869152775482,273.00756714841856,3.6536426508649567,-130.63460174314505,267.8406257971518,34.76025505441299
SL,2025-06-26,85.0,-2.46,5.87,"White, Eli",596019,656550,field_out,hit_into_play,,,,,5.0,Francisco Lindor flies out to left fielder Eli White.,R,L,R,NYM,ATL,X,7,fly_ball,0,2,2025,0.16,-0.07,-0.07,2.56,,,,0,1,Bot,66.49,70.71,,,,,5.237116793789802,-123.75274131723046,-1.2913217140206124,0.5465438729853842,26.09996440279249,-32.81934058578599,3.5,1.62,349.0,96.4,36.0,84.1,2864.0,5.8,777352,669221,621566,645277,663586,669397,642201,671739,660670,54.71,0.16,0.294,0.0,1.0,0,0,3.0,4,3,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,55.0,-0.021,-0.165,72.3,6.9,0.573,0.165,96.4,0,0,0.547,0.547,29,31,29,32,1,0,5.0,1.0,5.0,1.0,3.23,-0.16,0.16,36.5,12.69677193438992,10.126431076662136,35.068892243034625,35.17084138143656,23.92752816542049,1,-146.3662728821353,316.8247372958625,5.201822495627144,-130.63460174314505,267.8406257971518,51.4483105275913
