pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
SL,2025-09-27,84.4,3.02,5.34,"Yoshida, Masataka",693307,813349,single,hit_into_play,,,,,2.0,Dillon Dingler singles on a sharp line drive to left fielder Masataka Yoshida.,R,R,L,BOS,DET,X,7,line_drive,3,1,2025,-0.13,0.49,-0.06,2.95,,,,1,5,Top,73.7,97.66,,,,,-7.011070070284458,-122.84122669273393,-0.2050367061753431,0.010025701421163,23.563324011185507,-27.32701348249679,3.39,1.55,348.0,106.5,20.0,85.8,2400.0,7.1,776157,665966,663993,686765,681987,666152,807799,678882,677800,53.4,0.777,1.119,0.9,1.0,1,0,6.0,32,5,Slider,1,0,0,1,0,1,0,1,Standard,Standard,240.0,-0.036,0.25,,,1.906,-0.25,106.5,1,-1,0.676,0.324,23,26,23,27,2,1,6.0,1.0,5.0,3.0,2.7,-0.13,0.13,28.7,,,,,,0,-159.10288953672955,309.5000331842684,3.3761504556571147,-127.56600371562152,261.5490674730576,57.39224930189889
CH,2025-09-27,84.0,2.78,5.56,"Yoshida, Masataka",663330,813349,single,hit_into_play,,,,,5.0,Jahmai Jones singles on a line drive to left fielder Masataka Yoshida.,R,R,L,BOS,DET,X,7,line_drive,1,1,2025,1.01,-0.12,-0.22,2.65,,,,0,1,Top,87.42,94.1,,,,,-9.009627849082936,-122.0816473445348,-0.1472350419798269,11.7289084420624,21.27449052089532,-33.538971910519614,3.48,1.64,217.0,97.4,13.0,85.0,1451.0,6.8,776157,665966,663993,686765,681987,666152,807799,678882,677800,53.75,0.969,0.922,0.9,1.0,1,0,4.0,1,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,115.0,-0.036,0.447,71.4,6.7,1.148,-0.447,97.4,0,0,0.5,0.5,23,27,23,28,1,0,6.0,1.0,5.0,4.0,3.33,1.01,-1.01,31.2,6.852842657333168,1.6054699608738794,27.535224867371863,32.50616705142616,29.192273461938964,0,-74.36561870265318,203.8596447435627,2.0869349660207828,-127.56600371562152,261.5490674730576,78.47515823743478
SL,2025-08-19,88.5,-1.72,5.49,"Yoshida, Masataka",702616,621111,double,hit_into_play,,,,,2.0,Jackson Holliday doubles (17) on a fly ball to left fielder Masataka Yoshida.,R,L,R,BOS,BAL,X,7,fly_ball,2,1,2025,0.62,0.86,-0.16,3.06,,,,0,5,Top,75.56,108.97,,,,,2.506729618255221,-129.0128632750077,-1.7383512141241697,6.562462702687372,24.183490583550945,-22.35714634964837,3.35,1.56,338.0,93.2,35.0,89.5,2347.0,6.6,776684,657136,647351,663853,608324,596115,807799,680776,701350,53.94,0.069,0.119,1.25,1.0,1,1,3.0,36,4,Slider,1,0,0,1,0,1,0,1,Infield shade,Standard,168.0,-0.087,0.67,80.7,6.5,0.226,-0.67,93.2,1,-1,0.644,0.356,30,21,31,22,3,2,6.0,1.0,5.0,2.0,2.02,-0.62,0.62,44.9,5.0998989025244805,12.831059524875368,26.324675231907698,37.0374497318689,24.23774814368713,0,-164.7754677901212,295.11530833649874,4.911721194866777,-127.56600371562152,261.5490674730576,50.112241442725626
SI,2025-08-19,93.6,-2.14,5.13,"Yoshida, Masataka",666185,621111,double,hit_into_play,,,,,5.0,Dylan Carlson doubles (5) on a fly ball to left fielder Masataka Yoshida. Coby Mayo to 3rd.,R,L,R,BOS,BAL,X,7,fly_ball,1,1,2025,-1.25,0.77,-0.17,2.49,,,691723.0,2,4,Top,37.94,102.25,,,,,7.923210199301661,-136.14020676121476,-2.775068557700976,-17.28998188114521,30.34941327838889,-22.231169620243417,3.51,1.67,322.0,96.5,27.0,94.3,1972.0,6.8,776684,657136,647351,663853,608324,596115,807799,680776,701350,53.74,0.286,0.438,1.25,1.0,1,1,5.0,30,3,Sinker,1,0,0,1,0,1,0,1,Infield shade,Standard,222.0,-0.046,0.933,69.6,6.6,0.772,-0.933,96.5,1,-1,0.661,0.339,30,26,31,27,2,1,6.0,1.0,5.0,2.0,1.84,1.25,-1.25,31.0,0.934684140070072,14.95652701035432,37.282927980606246,38.62170315314792,20.31843010522974,0,-216.85715660201961,238.02725396577415,4.040361567510216,-127.56600371562152,261.5490674730576,92.33734723530637
FF,2025-08-19,91.8,-1.67,5.41,"Yoshida, Masataka",691723,621111,single,hit_into_play,,,,,7.0,Coby Mayo singles on a sharp line drive to left fielder Masataka Yoshida.,R,R,R,BOS,BAL,X,7,line_drive,0,0,2025,-0.59,1.42,-0.31,2.14,,,,1,4,Top,49.01,78.12,,,,,4.768548296281319,-133.44658155783665,-5.428007404450874,-8.18420862829026,33.59521127603177,-14.243124188781929,3.61,1.7,293.0,105.5,13.0,91.7,2195.0,6.6,776684,657136,647351,663853,608324,596115,807799,680776,701350,53.85,0.866,0.867,0.9,1.0,1,0,4.0,28,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,204.0,-0.032,0.415,69.8,7.1,1.155,-0.415,105.5,1,-1,0.657,0.343,30,23,31,24,2,1,6.0,2.0,5.0,2.0,1.32,0.59,0.59,40.4,9.09312034765244,-9.251648434778074,45.11395794589037,31.94968740106817,33.09260011371464,0,-157.23261238223586,247.2385601063426,2.2467033173315487,-127.56600371562152,261.5490674730576,32.93779426237953
SL,2025-08-19,87.5,-1.49,5.58,"Yoshida, Masataka",702616,621111,field_out,hit_into_play,,,,,2.0,Jackson Holliday flies out to left fielder Masataka Yoshida.,R,L,R,BOS,BAL,X,7,fly_ball,1,2,2025,0.63,0.57,-0.01,3.32,,,,0,3,Top,64.74,104.59,,,,,2.288567793174912,-127.5696278140968,-0.577858554561633,6.515675482427755,23.328041401414087,-25.956944775835503,3.35,1.56,280.0,82.0,33.0,88.5,2552.0,6.6,776684,657136,647351,663853,608324,596115,807799,680776,701350,53.91,0.031,0.036,0.0,1.0,0,0,3.0,18,4,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,149.0,0.025,-0.19,70.8,6.1,0.063,0.19,88.0,0,0,0.5,0.5,30,21,31,22,2,1,6.0,1.0,5.0,2.0,2.37,-0.63,0.63,45.6,3.2466238805397163,19.5167642302403,23.610164478106583,35.821903436584336,21.20938960827268,1,-152.22267746010047,235.00692855079447,4.117026329060173,-127.56600371562152,261.5490674730576,36.22756821414313
SL,2025-08-19,87.2,1.32,6.23,"Yoshida, Masataka",663624,458677,single,hit_into_play,,,,,13.0,Ryan Mountcastle singles on a line drive to left fielder Masataka Yoshida. Jackson Holliday scores. Luis Vázquez to 2nd.,R,R,L,BOS,BAL,X,7,line_drive,1,2,2025,-0.21,0.16,-1.15,2.02,,702616.0,676679.0,1,5,Top,86.72,114.92,,,,,-5.504238845125299,-126.9640791425605,-4.302873654522357,-1.212302412258797,24.75131888350116,-29.82312517378358,3.62,1.79,202.0,76.1,20.0,87.3,2523.0,6.2,776684,657136,647351,663853,608324,596115,807799,680776,701350,54.29,0.997,0.907,0.9,1.0,1,0,4.0,39,5,Slider,1,0,0,1,1,1,1,1,Standard,Strategic,281.0,-0.139,0.551,78.2,7.5,1.055,-0.551,88.0,1,-1,0.589,0.411,37,28,38,28,1,2,3.0,1.0,2.0,2.0,2.83,-0.21,0.21,49.4,3.467789745226836,-0.5842179050267502,50.93446469288066,25.785951477964968,25.93083084478829,0,-85.06771304588857,183.21431220606746,2.449116659781131,-127.56600371562152,261.5490674730576,89.12036014619977
CH,2025-08-19,84.3,1.89,5.56,"Yoshida, Masataka",676679,571927,field_out,hit_into_play,,,,,13.0,Luis Vázquez flies out to left fielder Masataka Yoshida.,R,R,L,BOS,BAL,X,7,fly_ball,1,2,2025,1.31,-0.21,-0.12,1.0,,,702616.0,2,6,Top,97.44,97.98,,,,,-7.344479233108831,-122.62890350328158,-3.846404548958957,14.66281202688003,23.572836004929645,-33.75780747558737,3.37,1.53,262.0,77.3,32.0,85.0,2465.0,6.7,776684,657136,647351,663853,608324,596115,807799,680776,701350,53.78,0.151,0.157,0.0,1.0,0,0,3.0,49,4,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,95.0,0.018,-0.184,59.8,8.2,0.21,0.184,88.0,-2,2,0.23,0.77,34,25,34,26,1,3,2.0,1.0,2.0,3.0,3.41,1.31,-1.31,30.9,18.528244757940985,-7.33620892645664,41.178465222745984,37.04957148514767,38.16188628713255,1,-70.40687041139846,252.36258161397964,3.7838967402011017,-127.56600371562152,261.5490674730576,57.892642386826516
FC,2025-08-05,91.1,2.26,6.16,"Yoshida, Masataka",521692,676979,field_out,hit_into_play,,,,,1.0,Salvador Perez flies out to left fielder Masataka Yoshida.,R,R,L,BOS,KC,X,7,fly_ball,0,0,2025,-0.26,0.43,-0.7,3.15,,672580.0,,2,4,Top,80.19,103.02,,,,,-6.938250901415846,-132.62180860959725,-2.6652514587748253,-1.7147318348331402,25.75771574531436,-26.67513152467964,3.67,1.71,265.0,82.5,40.0,92.3,2486.0,6.8,776864,665966,647351,666152,608324,596115,807799,680776,677800,53.75,0.006,0.005,0.0,1.0,0,0,3.0,25,1,Cutter,1,1,1,1,1,1,1,1,Standard,Strategic,176.0,0.041,-0.29,69.7,7.6,0.008,0.29,88.0,0,0,0.518,0.482,26,35,26,35,2,1,10.0,1.0,6.0,1.0,2.29,-0.26,0.26,37.3,14.26168852515305,-10.035901183569411,29.48611786535216,27.606218745472816,27.24265214363536,1,-113.67186011292301,239.3819295988485,4.873060873246427,-127.56600371562152,261.5490674730576,26.16159834541086
FC,2025-07-20,90.0,2.28,6.23,"Yoshida, Masataka",663538,676979,single,hit_into_play,,,,,6.0,Nico Hoerner singles on a line drive to left fielder Masataka Yoshida.,R,R,L,CHC,BOS,X,7,line_drive,1,2,2025,-0.42,0.18,0.29,2.17,,,,2,5,Bot,86.27,101.28,,,,,-4.073328962949988,-130.97645760473262,-4.484294727178813,-3.965147612556728,28.11399805016304,-29.40607727532001,3.36,1.58,211.0,79.5,15.0,90.5,2525.0,6.7,777075,665966,663853,678882,691785,596115,807799,680776,677800,53.85,0.8,0.733,0.9,1.0,1,0,4.0,38,4,Cutter,1,0,1,0,0,1,1,0,Strategic,Standard,240.0,0.012,0.406,68.7,7.7,0.881,-0.406,88.0,1,1,0.677,0.677,26,28,26,28,3,2,8.0,1.0,6.0,1.0,2.64,-0.42,0.42,37.3,11.553830040622373,-11.394829209001449,28.45598982750784,39.91740434808323,33.29221185390204,0,-78.97868090125158,195.6613604243267,1.9705784947169387,-127.56600371562152,261.5490674730576,81.86524218743374
