pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-09-12,86.9,-1.99,5.97,"Bae, Ji Hwan",671277,656605,field_out,hit_into_play,,,,,4.0,Luis García Jr. flies out to left fielder Ji Hwan Bae.,R,L,R,WSH,PIT,X,7,fly_ball,1,0,2025,-1.23,0.4,-0.68,2.64,,,,0,5,Bot,66.64,77.02,,,,,5.661013064757326,-126.40157857094684,-2.597343604275102,-14.310832901871134,26.643926356800524,-27.554007387777844,3.47,1.67,335.0,98.5,37.0,86.9,2176.0,6.4,776351,680779,687462,693304,687478,669707,678225,665833,668804,54.08,0.171,0.331,0.0,1.0,0,0,3.0,36,2,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,235.0,-0.025,-0.301,77.7,7.4,0.651,0.301,98.5,-3,-3,0.179,0.179,29,25,29,25,2,1,6.0,2.0,7.0,1.0,2.63,1.23,-1.23,39.1,9.877990729173437,3.378282783795259,29.3858001608052,41.93381527048147,29.80854881414204
FF,2025-09-12,92.6,-1.93,5.89,"Bae, Ji Hwan",690987,656605,single,hit_into_play,,,,,6.0,Robert Hassell III singles on a line drive to left fielder Ji Hwan Bae.,R,L,R,WSH,PIT,X,7,line_drive,0,0,2025,-0.81,1.26,0.32,2.31,,,,2,3,Bot,83.59,81.14,,,,,7.510791040127223,-134.54577356643338,-6.106831314863536,-11.414649700645862,28.008177817787534,-15.72137910729448,3.43,1.63,272.0,98.5,15.0,92.9,2535.0,6.5,776351,680779,687462,693304,687478,669707,678225,665833,668804,54.04,0.734,0.723,0.9,1.0,1,0,4.0,23,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,207.0,0.015,0.328,69.6,6.4,0.956,-0.328,98.5,-1,-1,0.384,0.384,29,23,29,24,1,0,6.0,1.0,7.0,1.0,1.4,0.81,-0.81,38.8,3.734443477060666,14.479647482465731,40.93157928663885,29.587370224112814,27.620715645899523
FF,2025-09-07,96.8,-1.02,5.93,"Bae, Ji Hwan",663368,696149,double,hit_into_play,,,,,1.0,Blake Perkins doubles (6) on a sharp fly ball to left fielder Ji Hwan Bae. Jake Bauers scores. Andrew Vaughn to 3rd.,R,L,R,PIT,MIL,X,7,fly_ball,1,0,2025,-0.76,1.49,-0.5,2.93,,641343.0,683734.0,1,3,Top,72.32,52.09,,,,,3.1297209210669927,-140.85761251790314,-5.909280091377079,-10.778182125604664,32.358614646399644,-11.164704486626862,3.46,1.64,365.0,100.9,23.0,97.3,2257.0,6.6,776419,663698,687462,693304,669707,678894,678225,665833,668804,53.88,0.546,0.808,1.25,1.0,1,1,6.0,25,2,4-Seam Fastball,1,5,5,1,6,1,6,1,Standard,Standard,217.0,-0.055,0.758,65.7,7.0,1.398,-0.758,100.9,-4,4,0.117,0.883,22,28,23,29,2,1,5.0,1.0,6.0,1.0,0.94,0.76,-0.76,43.6,12.14868608619586,11.959096323520203,22.083462188351625,45.497610528492416,22.81415016933167
ST,2025-09-07,84.6,-1.85,5.63,"Bae, Ji Hwan",683734,670059,double,hit_into_play,,,,,4.0,Andrew Vaughn doubles (17) on a line drive to left fielder Ji Hwan Bae.,R,R,R,PIT,MIL,X,7,line_drive,0,2,2025,1.05,0.1,-0.47,2.45,,,,2,4,Top,78.39,155.04,,,,,1.1286800230802718,-123.33025444332796,-1.3131721162014078,10.551086021352337,23.850922082133952,-31.128299784525503,3.16,1.45,49.0,93.6,0.0,85.1,2587.0,6.5,776419,663698,687462,693304,669707,678894,678225,665833,668804,54.03,0.349,0.288,1.25,1.0,1,1,2.0,36,3,Sweeper,1,9,9,1,9,1,9,1,Standard,Standard,73.0,-0.001,0.68,68.8,7.1,0.398,-0.68,93.6,-8,8,0.017,0.983,29,27,30,27,1,2,2.0,1.0,4.0,1.0,3.07,-1.05,-1.05,28.8,18.27430846533629,-14.002119085782097,31.694971803899293,29.59873180549409,36.94555004616495
FF,2025-09-07,94.7,-1.24,5.96,"Bae, Ji Hwan",641343,676755,field_out,hit_into_play,,,,,4.0,Jake Bauers flies out to left fielder Ji Hwan Bae.,R,L,R,PIT,MIL,X,7,fly_ball,0,1,2025,-0.85,1.53,-0.3,2.28,,668930.0,686555.0,1,8,Top,60.5,88.93,,,,,4.4073738169920205,-137.7118290594615,-7.419178712346739,-11.770056818539738,31.154834619943863,-11.253027405431896,3.59,1.65,317.0,97.8,49.0,95.8,2395.0,7.0,776419,663698,687462,694377,669707,678894,678225,665833,672744,53.48,0.006,0.007,0.0,1.0,0,0,3.0,65,2,4-Seam Fastball,1,10,10,1,10,1,10,1,Infield shade,Standard,213.0,0.0,-0.21,75.8,7.8,0.013,0.21,97.8,-9,9,0.001,0.999,29,29,30,30,1,4,4.0,1.0,2.0,1.0,1.02,0.85,-0.85,48.7,11.393079021391324,-7.08888773167365,37.38691184248505,40.047680892865614,27.55580649079517
CU,2025-09-07,83.3,-2.77,5.72,"Bae, Ji Hwan",683734,670990,single,hit_into_play,,,,,8.0,Andrew Vaughn singles on a line drive to left fielder Ji Hwan Bae. Jake Bauers to 2nd.,R,R,R,PIT,MIL,X,7,line_drive,2,2,2025,1.05,-0.66,0.13,1.87,,,641343.0,0,7,Top,56.35,103.49,,,,,4.708084899315052,-121.22582410904316,-1.0502886838970218,9.23511235117114,26.175737828774928,-38.59345251818747,3.16,1.45,258.0,93.0,18.0,84.7,2286.0,7.4,776419,663698,687462,693304,669707,678894,678225,665833,694377,53.07,0.531,0.489,0.9,1.0,1,0,4.0,54,7,Curveball,1,9,9,1,9,1,9,1,Standard,Standard,36.0,-0.001,0.512,74.8,7.6,0.654,-0.512,93.0,-8,8,0.003,0.997,30,27,30,27,1,3,2.0,1.0,10.0,1.0,3.97,-1.05,-1.05,45.2,15.256318503220337,-15.7055038588001,30.02612234475051,37.58959360378667,40.24485504878192
FF,2025-09-07,100.1,-0.87,5.9,"Bae, Ji Hwan",686555,696149,single,hit_into_play,,,,,12.0,Isaac Collins singles on a line drive to left fielder Ji Hwan Bae. Brice Turang to 2nd.,R,L,R,PIT,MIL,X,7,line_drive,1,2,2025,-0.76,1.53,0.03,3.62,,,668930.0,0,1,Top,58.28,110.58,,,,,4.319256909041502,-145.76334356538433,-4.555510198919546,-11.831997916524832,34.01711286443879,-9.50719551521698,3.22,1.49,246.0,85.6,17.0,101.0,2361.0,6.7,776419,663698,687462,693304,669707,678894,678225,665833,668804,53.79,0.96,0.895,0.9,1.0,1,0,4.0,2,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,214.0,-0.052,0.548,63.4,5.1,1.082,-0.548,88.0,0,0,0.464,0.536,22,27,23,28,1,0,5.0,2.0,6.0,1.0,0.74,0.76,-0.76,41.1,-1.6130776429725262,22.719651597482382,19.302426958199728,36.461148722037024,19.124348008070207
FF,2025-03-29,92.7,1.26,5.81,"Bae, Ji Hwan",667472,663559,double,hit_into_play,,,,,4.0,Dane Myers doubles (2) on a sharp line drive to left fielder Ji Hwan Bae.,R,R,L,MIA,PIT,X,7,line_drive,2,1,2025,0.15,1.7,-0.42,2.74,,,,2,6,Bot,98.48,65.46,,,,,-4.715211370159174,-134.85672034907998,-5.825486558971357,2.9231027301633974,30.72802607762417,-10.364213613123765,3.6,1.68,200.0,100.9,10.0,93.9,2019.0,7.1,778539,663698,669707,624428,663647,643396,678225,665833,669261,53.41,0.777,0.737,1.25,1.0,1,1,4.0,48,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,165.0,0.042,0.544,69.0,6.7,0.911,-0.544,100.9,-1,-1,0.319,0.319,28,29,28,29,3,2,,1.0,7.0,1.0,0.96,0.15,-0.15,53.7,10.367953701790826,5.237017968792848,24.91042298068591,32.63617082512344,27.77948696649969
CU,2025-03-29,78.4,1.46,5.82,"Bae, Ji Hwan",669364,663559,sac_fly,hit_into_play,,,,,7.0,Xavier Edwards out on a sacrifice fly to left fielder Ji Hwan Bae. Nick Fortes scores.,R,R,L,MIA,PIT,X,7,fly_ball,1,0,2025,-0.38,-0.16,-0.39,1.63,663743.0,,,1,5,Bot,77.76,93.41,,,,,-3.30541851066471,-114.1548615660772,-1.939021027216576,-2.772573527935876,20.638604344797315,-33.455001870615,3.29,1.51,287.0,80.1,36.0,79.2,1901.0,6.7,778539,663698,669707,624428,663647,643396,678225,665833,669261,53.75,0.034,0.046,0.0,1.0,0,0,3.0,39,2,Curveball,0,1,0,1,1,1,1,1,Strategic,Standard,292.0,0.03,-0.151,69.1,6.9,0.065,0.151,88.0,-1,-1,0.484,0.484,28,25,28,26,3,2,,1.0,7.0,1.0,3.86,-0.38,0.38,54.1,10.638080895563055,-23.684230743714117,34.84083466377087,26.10789627821889,45.417961616709775
FF,2025-03-29,92.1,1.38,5.8,"Bae, Ji Hwan",663743,663559,double,hit_into_play,,,,,2.0,Nick Fortes doubles (1) on a sharp line drive to left fielder Ji Hwan Bae.,R,R,L,MIA,PIT,X,7,line_drive,2,2,2025,0.39,1.5,-0.12,2.96,,,,0,5,Bot,71.48,53.28,,,,,-4.695180208941154,-133.93336091305397,-4.606078593889199,5.721668479386585,32.04277536784474,-13.339194415425276,3.19,1.51,383.0,104.6,18.0,92.6,2033.0,6.9,778539,663698,669707,624428,663647,643396,678225,665833,669261,53.6,0.554,0.681,1.25,1.0,1,1,5.0,37,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,163.0,0.094,0.743,72.3,6.8,1.077,-0.743,104.6,-1,-1,0.407,0.407,28,28,28,29,2,1,,2.0,7.0,1.0,1.21,0.39,-0.39,50.2,2.1984978667044905,-8.463878608703702,12.739500701415052,37.22557773104215,33.01865071256012
