pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-09-26,90.7,-2.08,6.05,"Bauers, Jake",666158,682990,double,hit_into_play,,,,,7.0,"Gavin Lux doubles (28) on a line drive to left fielder Jake Bauers. Gavin Lux to 3rd. Gavin Lux advances to 3rd, on a fielding error by left fielder Jake Bauers.",R,L,R,MIL,CIN,X,7,line_drive,1,0,2025,-0.34,1.05,-0.36,1.62,,,,0,6,Top,43.69,106.3,,,,,5.049993140479273,-131.906639545949,-7.414626441797555,-5.014820936180647,27.404367419826954,-18.59436065364413,3.24,1.57,262.0,94.3,16.0,90.9,2242.0,6.4,776171,661388,683734,668930,655316,687401,641343,694192,686217,54.09,0.76,0.713,1.25,1.0,1,1,4.0,42,2,Cutter,1,1,1,1,1,1,1,1,Infield shade,Standard,210.0,-0.14,0.675,67.7,7.1,0.936,-0.675,94.3,0,0,0.5,0.5,24,27,25,28,3,2,8.0,1.0,,2.0,1.72,0.34,-0.34,48.6,2.9636939713329298,12.747598043280364,37.982278918529495,37.61258843162805,23.935498520556337
SL,2025-09-26,85.5,-2.11,6.03,"Bauers, Jake",666158,682990,double,hit_into_play,,,,,8.0,Gavin Lux doubles (27) on a fly ball to left fielder Jake Bauers.,R,L,R,MIL,CIN,X,7,fly_ball,3,2,2025,0.3,-0.12,-0.27,1.93,,,,0,4,Top,77.53,57.98,,,,,3.747213065001699,-124.50085416742324,-3.1785177759669976,2.437285384678871,23.430255099048672,-32.994643452115945,3.24,1.57,368.0,100.0,24.0,85.8,2445.0,6.3,776171,661388,683734,668930,655316,687401,641343,694192,686217,54.17,0.523,0.786,1.25,1.0,1,1,6.0,25,6,Slider,1,0,0,1,0,1,0,1,Standard,Standard,94.0,-0.078,0.631,68.7,7.3,1.381,-0.631,100.0,1,-1,0.629,0.371,24,27,25,28,2,1,8.0,1.0,,2.0,3.21,-0.3,0.3,45.5,9.182238810354098,3.856790395499954,35.192970270181746,36.83002480198621,32.119506027014246
SL,2025-09-26,85.3,-2.02,5.99,"Bauers, Jake",682622,682990,field_out,hit_into_play,,,,,8.0,Noelvi Marte lines out to left fielder Jake Bauers.,R,R,R,MIL,CIN,X,7,line_drive,0,0,2025,0.25,-0.14,-0.1,1.85,,670770.0,,2,3,Top,43.84,99.39,,,,,4.031548509485866,-124.29939964112587,-3.2050275015936727,1.808826641493752,23.73500709295222,-33.22213970995288,3.44,1.65,317.0,89.8,23.0,85.8,2514.0,6.4,776171,661388,683734,668930,655316,687401,641343,694192,686217,54.05,0.169,0.198,0.0,1.0,0,0,3.0,19,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,99.0,0.037,-0.29,74.6,7.9,0.309,0.29,89.8,0,0,0.517,0.483,24,23,25,24,2,1,8.0,1.0,,1.0,3.25,-0.25,-0.25,48.9,14.45749600928457,-21.528404374562392,33.32651232965857,35.14142921755053,44.61547090991239
SL,2025-09-26,84.4,-2.09,6.12,"Bauers, Jake",663647,682990,field_out,hit_into_play,,,,,7.0,Ke'Bryan Hayes flies out to left fielder Jake Bauers.,R,R,R,MIL,CIN,X,7,fly_ball,1,1,2025,0.37,-0.09,-0.41,1.68,,,,0,3,Top,89.7,96.13,,,,,3.1766213096721367,-122.96954293555808,-3.824978893071037,3.152083440577184,23.540432464355785,-32.58956202839023,3.32,1.55,271.0,87.1,47.0,84.6,2457.0,6.3,776171,661388,683734,668930,655316,687401,641343,694192,686217,54.23,0.001,0.0,0.0,1.0,0,0,3.0,16,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,98.0,0.025,-0.251,74.6,7.4,0.001,0.251,88.0,0,0,0.5,0.5,24,28,25,28,1,0,8.0,1.0,,1.0,3.28,-0.37,-0.37,46.5,1.4540277009912417,-21.530242382684264,31.084673103191165,29.995943541709902,48.52174481931843
FC,2025-09-26,92.3,-1.96,6.03,"Bauers, Jake",666158,682990,field_out,hit_into_play,,,,,4.0,Gavin Lux lines out sharply to left fielder Jake Bauers.,R,L,R,MIL,CIN,X,7,line_drive,3,1,2025,-0.2,0.81,-0.43,2.17,,,682622.0,1,1,Top,63.45,85.92,,,,,4.36420998628014,-134.30783907415167,-5.820519529027322,-3.3332321414241486,27.41862951308013,-21.26671208927455,3.24,1.57,320.0,100.6,18.0,92.8,2312.0,6.5,776171,661388,683734,668930,655316,687401,641343,694192,686217,54.02,0.434,0.507,0.0,1.0,0,0,5.0,3,5,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,205.0,0.028,-0.407,73.0,6.8,0.77,0.407,100.6,0,0,0.497,0.503,24,27,25,28,1,0,8.0,1.0,,2.0,1.85,0.2,-0.2,47.6,-7.227200574478097,13.0961968970778,31.669464878217397,37.837853000162,27.063210481354787
FF,2025-09-24,96.3,-0.99,5.71,"Bauers, Jake",630105,694477,field_out,hit_into_play,,,,,2.0,Jake Cronenworth flies out to left fielder Jake Bauers.,R,L,R,SD,MIL,X,7,fly_ball,0,0,2025,-0.68,1.46,-0.02,3.35,,,656811.0,1,2,Bot,60.79,79.19,,,,,4.071936609374655,-140.04425856753946,-3.915189303026998,-9.915790276468648,34.614992864324165,-12.401037095206338,3.35,1.6,338.0,93.5,38.0,95.1,2362.0,5.9,776198,643376,683734,668930,702332,655316,641343,694192,686217,54.63,0.034,0.054,0.0,1.0,0,0,3.0,16,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,220.0,-0.029,-0.256,68.5,6.1,0.1,0.256,93.5,0,0,0.553,0.553,26,31,27,31,1,0,4.0,2.0,4.0,2.0,1.02,0.68,-0.68,33.7,2.893352721190821,11.43223329202095,21.936044542901683,37.5554125340568,24.525913996773788
SI,2025-09-20,96.2,-0.93,5.63,"Bauers, Jake",571448,694477,single,hit_into_play,,,,,1.0,Nolan Arenado singles on a fly ball to left fielder Jake Bauers. Iván Herrera scores. Alec Burleson to 2nd.,R,R,R,STL,MIL,X,7,fly_ball,1,2,2025,-1.32,0.91,-0.64,3.08,671056.0,,676475.0,1,4,Bot,62.12,117.81,,,,,3.744360660039362,-140.1221041117145,-3.26900369052634,-18.17787456063202,31.36828823926357,-19.673676539857272,3.43,1.7,240.0,71.0,30.0,96.1,2168.0,6.1,776244,661388,683734,668930,702332,687401,641343,694192,686217,54.36,0.789,0.71,0.9,1.0,1,0,4.0,31,4,Sinker,0,1,0,1,1,1,1,1,Standard,Standard,222.0,0.096,0.566,69.6,7.7,0.827,-0.566,88.0,-1,-1,0.508,0.508,26,34,27,34,2,1,4.0,1.0,4.0,2.0,1.55,1.32,1.32,34.0,10.058275912904604,-9.816549493125372,31.54581345394054,29.03183726560964,33.78802896554042
FF,2025-09-20,95.2,-0.96,5.63,"Bauers, Jake",676475,694477,single,hit_into_play,,,,,6.0,Alec Burleson singles on a line drive to left fielder Jake Bauers. Iván Herrera to 3rd.,R,L,R,STL,MIL,X,7,line_drive,1,0,2025,-0.71,1.5,0.59,2.55,,,671056.0,1,4,Bot,99.01,73.89,,,,,5.665613634149424,-138.3513574203314,-5.70828646023609,-10.482422727014908,34.79440611411105,-11.849736181319596,3.52,1.65,275.0,89.8,20.0,94.4,2402.0,6.2,776244,661388,683734,668930,702332,687401,641343,694192,686217,54.32,0.389,0.35,0.9,1.0,1,0,4.0,30,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,220.0,0.083,0.372,76.7,7.1,0.471,-0.372,89.8,-1,-1,0.425,0.425,26,26,27,27,2,1,4.0,1.0,4.0,1.0,1.05,0.71,-0.71,34.6,3.100012776006017,10.29681181828694,35.54051678572609,26.6098184918366,28.15458256379025
CH,2025-09-20,92.3,0.53,6.44,"Bauers, Jake",691023,676879,single,hit_into_play,,,,,8.0,Jordan Walker singles on a line drive to left fielder Jake Bauers.,R,R,L,STL,MIL,X,7,line_drive,0,1,2025,1.3,0.34,-0.15,2.28,,,,0,7,Bot,60.73,116.45,,,,,-4.456781734058625,-134.37165490050515,-5.447778828815339,16.76445742818659,27.307047044186177,-27.158753121098503,3.75,1.77,156.0,95.8,9.0,91.0,1881.0,5.4,776244,661388,683734,668930,702332,687401,641343,694192,686217,55.14,0.609,0.558,0.9,1.0,1,0,4.0,57,2,Changeup,2,2,2,2,2,2,2,2,Strategic,Standard,139.0,0.057,0.478,83.0,8.7,0.661,-0.478,95.8,0,0,0.586,0.586,27,23,27,23,1,2,2.0,1.0,2.0,1.0,2.32,1.3,-1.3,47.6,16.718321768924856,-12.181932999912792,31.76008632894708,39.33243105088186,38.242077572124174
FC,2025-09-20,89.8,-1.07,5.54,"Bauers, Jake",695336,694477,field_out,hit_into_play,,,,,5.0,Thomas Saggese flies out to left fielder Jake Bauers.,R,R,R,STL,MIL,X,7,fly_ball,3,2,2025,-0.44,1.05,-0.01,2.59,,,,1,2,Bot,81.32,105.12,,,,,3.568627417566109,-130.8063997821687,-3.582490204259545,-5.824641665965113,25.92118697097913,-19.55655889871718,3.45,1.6,258.0,90.1,50.0,89.9,2453.0,6.1,776244,661388,683734,668930,702332,687401,641343,694192,686217,54.36,0.009,0.009,0.0,1.0,0,0,3.0,15,9,Cutter,0,1,0,1,1,0,0,1,Strategic,Standard,163.0,-0.018,-0.332,75.7,7.3,0.012,0.332,90.1,-1,-1,0.412,0.412,26,23,27,23,1,0,4.0,1.0,4.0,1.0,1.76,0.44,0.44,31.2,20.7456048089346,-9.860970105734603,31.735780628191893,33.70884751637908,40.59591393806197
