pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-09-28,96.0,-0.94,6.28,"Beavers, Dylan",519317,680694,single,hit_into_play,,,,,5.0,Giancarlo Stanton singles on a line drive to left fielder Dylan Beavers. Aaron Judge scores. Cody Bellinger to 2nd.,R,R,R,NYY,BAL,X,7,line_drive,3,2,2025,-1.2,0.94,-0.26,2.78,,592450.0,641355.0,0,4,Bot,99.82,117.98,,,,,4.50731511780514,-139.52207020536574,-5.714330120849558,-16.622070695709557,35.01062352498979,-18.771710832608665,3.8,1.85,216.0,76.4,19.0,95.7,2113.0,6.4,776140,668939,691723,702616,676059,683002,687637,681297,641933,54.05,0.977,0.885,0.9,1.0,1,0,4.0,29,7,Sinker,1,2,1,2,2,2,2,2,Standard,Standard,193.0,0.122,0.418,84.9,8.5,1.035,-0.418,88.0,-1,-1,0.541,0.541,28,35,29,36,2,1,7.0,1.0,,2.0,1.56,1.2,1.2,56.0,11.927551692561623,6.634787048892321,27.761039777256176,40.12509771848723,21.382115587615843
SI,2025-09-28,95.0,-0.95,6.36,"Beavers, Dylan",641355,680694,single,hit_into_play,,,,,11.0,Cody Bellinger singles on a line drive to left fielder Dylan Beavers. Aaron Judge to 2nd.,R,L,R,NYY,BAL,X,7,line_drive,2,2,2025,-1.07,1.05,-1.36,2.83,,,592450.0,0,4,Bot,88.61,118.44,,,,,1.3438781853571276,-138.16203662897797,-5.902629479031828,-13.976250363180087,33.44372835121154,-17.600586082642504,3.79,1.77,165.0,69.9,16.0,94.8,2149.0,6.4,776140,668939,691723,702616,676059,683002,687637,681297,641933,54.08,0.56,0.528,0.9,1.0,1,0,4.0,28,5,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,205.0,0.071,0.512,64.4,7.3,0.623,-0.512,88.0,-1,-1,0.47,0.47,28,29,29,30,2,1,7.0,1.0,,2.0,1.5,1.07,-1.07,49.3,9.923305878898365,13.485019231103069,25.10294146632493,45.92107589468388,24.274718688396725
SI,2025-09-28,96.0,-0.75,6.54,"Beavers, Dylan",683011,680694,single,hit_into_play,,,,,1.0,Anthony Volpe singles on a line drive to left fielder Dylan Beavers.,R,R,R,NYY,BAL,X,7,line_drive,2,2,2025,-0.96,1.22,-0.29,3.21,,,,2,2,Bot,98.71,101.54,,,,,3.403095846739785,-139.68602853559668,-5.9826695409970245,-13.31476342244484,31.26366654955413,-15.10466298206216,3.38,1.6,218.0,69.3,24.0,96.4,2126.0,6.5,776140,668939,691723,702616,676059,683002,687637,681297,641933,53.97,0.983,0.886,0.9,1.0,1,0,4.0,13,5,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,184.0,0.012,0.365,76.4,6.7,1.028,-0.365,88.0,1,1,0.626,0.626,28,24,29,24,1,0,7.0,1.0,,2.0,1.26,0.96,0.96,64.2,7.220756992801407,11.357575505751484,26.74430251529841,34.764233652580515,24.42925814269289
FS,2025-09-28,81.1,-2.13,6.24,"Beavers, Dylan",641355,665152,field_out,hit_into_play,,,,,7.0,Cody Bellinger flies out to left fielder Dylan Beavers.,R,L,R,NYY,BAL,X,7,fly_ball,2,2,2025,-0.7,0.83,-0.46,2.38,,,,0,6,Bot,91.51,130.4,,,,,5.061726172055659,-118.01764555831625,-3.624131719201387,-7.460858875544869,21.793191373036134,-23.91413032613636,3.79,1.77,204.0,86.9,60.0,81.0,942.0,6.2,776140,668939,691723,702616,676059,683002,687637,681297,641933,54.33,0.02,0.018,0.0,1.0,0,0,3.0,46,5,Split-Finger,2,2,2,2,2,2,2,2,Standard,Standard,217.0,-0.033,-0.233,71.5,8.1,0.02,0.233,88.0,0,0,0.574,0.574,29,29,29,30,1,2,5.0,1.0,,2.0,2.63,0.7,-0.7,44.7,16.353591866104,-2.4796618442952623,34.646881409776604,35.16216882231947,33.3086702500757
SI,2025-09-27,94.5,-2.34,6.0,"Beavers, Dylan",683011,608372,field_out,hit_into_play,,,,,13.0,Anthony Volpe lines out to left fielder Dylan Beavers.,R,R,R,NYY,BAL,X,7,line_drive,3,2,2025,-1.13,1.2,-0.9,2.49,,,641857.0,0,5,Bot,67.7,112.66,,,,,6.253501988377071,-137.43631424577913,-6.111960626970178,-15.699092105762809,31.03774499957259,-15.851678722022465,3.38,1.6,291.0,89.4,22.0,94.4,2317.0,6.3,776162,694212,691723,702616,676059,683002,687637,681297,669236,54.18,0.243,0.247,0.0,1.0,0,0,3.0,37,8,Sinker,3,0,3,0,0,3,3,0,Standard,Standard,212.0,-0.013,-0.314,74.6,7.0,0.352,0.314,89.4,3,3,0.905,0.905,35,24,36,24,2,1,7.0,1.0,,1.0,1.36,1.13,1.13,38.8,13.20634049340248,-1.089112153941077,34.07215319106064,27.90364322145766,29.193006878831536
ST,2025-09-27,84.0,-2.6,5.97,"Beavers, Dylan",700250,608372,field_out,hit_into_play,,,,,4.0,Ben Rice flies out to left fielder Dylan Beavers.,R,L,R,NYY,BAL,X,7,fly_ball,2,1,2025,0.95,0.29,-0.51,2.47,,,,1,3,Bot,84.94,120.94,,,,,2.9386687988746263,-122.27194278594068,-2.250138920555608,8.911465483063584,24.676324729741747,-29.07478060047,3.58,1.71,221.0,86.7,51.0,83.3,2559.0,5.9,776162,694212,691723,702616,676059,683002,687637,681297,669236,54.62,0.009,0.009,0.0,1.0,0,0,3.0,21,4,Sweeper,3,0,3,0,0,3,3,0,Strategic,Standard,74.0,-0.008,-0.299,74.0,7.4,0.014,0.299,88.0,3,3,0.837,0.837,35,26,36,26,2,1,7.0,2.0,,1.0,2.95,-0.95,0.95,39.7,12.897661958982283,-2.783231073320353,33.71658835781425,43.378028339205045,31.950782680041307
SI,2025-09-27,92.3,-2.58,5.94,"Beavers, Dylan",663757,608372,field_out,hit_into_play,,,,,7.0,Trent Grisham flies out to left fielder Dylan Beavers.,R,L,R,NYY,BAL,X,7,fly_ball,0,0,2025,-1.21,1.12,-0.65,1.69,,,,0,3,Bot,92.75,110.11,,,,,7.530493692633025,-134.02985220770697,-7.404608824013143,-16.267951984669093,28.803600520199332,-17.17498702535453,3.57,1.67,238.0,75.4,46.0,92.0,2320.0,6.2,776162,694212,691723,702616,676059,683002,687637,681297,669236,54.29,0.149,0.16,0.0,1.0,0,0,3.0,20,1,Sinker,3,0,3,0,0,3,3,0,Standard,Standard,210.0,-0.011,-0.259,75.8,8.2,0.204,0.259,88.0,3,3,0.848,0.848,35,28,36,29,2,1,7.0,1.0,,1.0,1.56,1.21,-1.21,39.2,18.650424151021788,1.524584674740922,34.740371291821525,45.515575973710725,27.8985737197116
ST,2025-09-27,83.0,-2.54,6.05,"Beavers, Dylan",700250,608372,field_out,hit_into_play,,,,,4.0,Ben Rice flies out to left fielder Dylan Beavers.,R,L,R,NYY,BAL,X,7,fly_ball,1,1,2025,1.1,0.16,-0.58,2.6,,,,1,1,Bot,69.01,129.61,,,,,2.319720645972437,-120.84975882422157,-1.723878999996704,10.348156843458767,23.857292954235533,-30.525656758652865,3.58,1.71,224.0,85.0,53.0,82.7,2816.0,6.1,776162,694212,691723,702616,676059,683002,687637,681297,669236,54.4,0.02,0.018,0.0,1.0,0,0,3.0,6,3,Sweeper,0,0,0,0,0,0,0,0,Strategic,Standard,43.0,-0.016,-0.244,75.0,7.5,0.021,0.244,88.0,0,0,0.526,0.526,35,26,36,26,1,0,7.0,2.0,,1.0,3.15,-1.1,1.1,40.5,8.32613446183238,1.815782300505808,30.32163585461768,44.08258526959705,26.53393206023627
SI,2025-09-27,94.9,-2.64,5.97,"Beavers, Dylan",663757,608372,field_out,hit_into_play,,,,,4.0,Trent Grisham flies out to left fielder Dylan Beavers.,R,L,R,NYY,BAL,X,7,fly_ball,3,2,2025,-1.28,1.16,-0.76,2.41,,,,0,1,Bot,90.66,115.88,,,,,7.780629097763006,-137.88314870205988,-6.248568001903743,-18.10534530298074,30.747137580213543,-16.109838268232174,3.57,1.67,227.0,89.5,56.0,94.8,2426.0,6.3,776162,694212,691723,702616,676059,683002,687637,681297,669236,54.19,0.009,0.009,0.0,1.0,0,0,3.0,5,6,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,207.0,-0.021,-0.345,75.6,8.0,0.014,0.345,89.5,0,0,0.547,0.547,35,28,36,29,1,0,7.0,1.0,,1.0,1.38,1.28,-1.28,39.4,25.34117269224752,0.0930629035362413,28.503333150404597,47.235803132440026,26.32017952375843
CH,2025-09-26,85.1,1.93,5.75,"Beavers, Dylan",502671,669432,field_out,hit_into_play,,,,,8.0,Paul Goldschmidt flies out to left fielder Dylan Beavers.,R,R,L,NYY,BAL,X,7,fly_ball,0,1,2025,1.13,0.43,-0.02,1.51,,,676609.0,0,3,Bot,82.94,96.41,,,,,-6.941687694812623,-123.62610039609444,-4.495298127629247,13.0295858426981,25.990821677981028,-26.99804823281354,3.38,1.56,277.0,77.4,31.0,85.8,1606.0,7.0,776174,668939,691723,702616,676059,683002,687637,681297,641933,53.52,0.154,0.139,0.0,1.0,0,0,3.0,23,2,Changeup,2,3,2,3,3,2,2,3,Standard,Standard,115.0,-0.041,-0.2,72.3,8.5,0.172,0.2,88.0,-1,-1,0.474,0.474,27,37,28,38,2,1,7.0,1.0,,1.0,2.74,1.13,-1.13,20.7,18.607280848005757,-13.617148701499412,38.62762211998182,43.44692817336824,31.277618338368136
