pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-08-06,80.0,2.4,5.93,"Cowser, Colton",664056,669432,field_out,hit_into_play,,,,,9.0,Harrison Bader flies out to left fielder Colton Cowser.,R,R,L,PHI,BAL,X,7,fly_ball,0,2,2025,-0.46,0.13,0.5,1.5,,,,0,6,Bot,49.12,83.05,,,,,-3.345918726780627,-116.57993254634673,-3.3829371707760902,-3.637016218406064,20.200714253695292,-30.601857690113256,3.23,1.53,342.0,95.8,25.0,80.8,2173.0,6.6,776851,656577,691723,702616,676059,683002,681297,666185,669236,53.91,0.209,0.269,0.0,1.0,0,0,5.0,48,3,Slider,1,4,1,4,4,1,1,4,Standard,Standard,247.0,-0.026,-0.165,72.3,8.0,0.457,0.165,95.8,-3,-3,0.151,0.151,27,31,28,31,3,2,5.0,2.0,7.0,3.0,3.4,-0.46,0.46,25.9,17.771872076080236,-9.272501983631107,32.12059047201218,41.02312245435196,39.89556351021003
FF,2025-08-06,94.4,2.26,5.97,"Cowser, Colton",607208,669432,triple,hit_into_play,,,,,1.0,Trea Turner triples (4) on a sharp line drive to left fielder Colton Cowser.,R,R,L,PHI,BAL,X,7,line_drive,0,2,2025,1.07,1.29,-0.38,2.95,,,,1,3,Bot,111.24,69.33,,,,,-9.2796508784652,-137.21460978225528,-5.0649360432202855,15.575727249795834,28.989162258129465,-14.942054716694855,3.49,1.68,324.0,101.4,16.0,94.8,2416.0,6.5,776851,656577,691723,702616,676059,683002,681297,666185,669236,54.0,0.589,0.62,1.6,1.0,1,2,4.0,21,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,127.0,0.083,1.164,73.2,6.9,0.858,-1.164,101.4,0,0,0.529,0.529,27,32,28,32,2,1,5.0,1.0,7.0,2.0,1.27,1.07,-1.07,22.0,8.543791188342494,0.2763335943253242,29.05749511996613,32.58363864132379,21.544107149061105
FC,2025-08-06,85.5,1.69,6.54,"Cowser, Colton",607208,608650,double,hit_into_play,,,,,7.0,Trea Turner doubles (24) on a line drive to left fielder Colton Cowser.,R,R,L,PHI,BAL,X,7,line_drive,1,1,2025,-0.15,0.33,-0.29,2.08,,,,0,7,Bot,56.37,124.0,,,,,-4.364941788544471,-124.5168646141108,-4.942103284633583,-0.6766217418619201,23.950252440632195,-27.93928910157956,3.49,1.68,151.0,96.5,9.0,85.5,2155.0,6.1,776851,656577,691723,702616,676059,683002,681297,660644,666185,54.35,0.563,0.508,1.25,1.0,1,1,4.0,57,3,Cutter,1,5,1,5,5,1,1,5,Standard,Standard,198.0,0.042,0.724,77.6,8.3,0.61,-0.724,96.5,-4,-4,0.064,0.064,34,32,34,32,1,3,3.0,1.0,4.0,2.0,2.77,-0.15,0.15,47.7,20.432396410572164,-26.35744003358739,28.681214118299557,34.25445767548913,40.78564116440799
FS,2025-08-05,82.1,-1.9,6.39,"Cowser, Colton",596146,665152,field_out,hit_into_play,,,,,11.0,Max Kepler flies out to left fielder Colton Cowser.,R,L,R,PHI,BAL,X,7,fly_ball,1,2,2025,-0.89,0.93,-0.93,2.93,,,,1,6,Bot,84.0,70.84,,,,,3.927185657564293,-119.4647096340984,-3.078372630471878,-9.31354689753825,23.113980018189064,-22.922879184141276,3.43,1.64,334.0,90.0,26.0,81.9,1096.0,6.2,776868,668939,691723,702616,676059,683002,681297,666185,676116,54.34,0.111,0.146,0.0,1.0,0,0,3.0,48,5,Split-Finger,4,0,4,0,0,4,4,0,Infield shade,Standard,214.0,-0.003,-0.18,64.9,7.0,0.237,0.18,90.0,4,4,0.952,0.952,29,32,29,32,3,2,6.0,1.0,7.0,3.0,2.46,0.89,-0.89,48.4,-2.160825076973687,3.9163911046356112,24.293198093838654,49.03053993154552,26.34901534116884
CU,2025-08-05,77.1,-1.78,6.52,"Cowser, Colton",607208,665152,field_out,hit_into_play,,,,,9.0,Trea Turner lines out to left fielder Colton Cowser.,R,R,R,PHI,BAL,X,7,line_drive,0,2,2025,0.65,-1.09,0.32,1.94,,,,0,1,Bot,74.06,65.4,,,,,3.28116175645585,-112.25155093554712,-0.7113454344682992,4.772741304441186,22.73739871203697,-41.41579737537376,3.49,1.69,354.0,97.3,20.0,76.5,2671.0,6.1,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.42,0.286,0.346,0.0,1.0,0,0,4.0,5,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,30.0,-0.021,-0.165,69.5,7.8,0.552,0.165,97.3,0,0,0.547,0.547,29,32,29,32,1,0,6.0,1.0,7.0,1.0,4.96,-0.65,-0.65,56.3,10.551412373033113,-10.430295165291728,26.05905693439252,38.66625403573257,34.93961084908961
FF,2025-08-04,95.5,-0.02,6.39,"Cowser, Colton",664056,682274,field_out,hit_into_play,,,,,4.0,Harrison Bader flies out to left fielder Colton Cowser.,R,R,R,PHI,BAL,X,7,fly_ball,2,1,2025,-0.79,1.61,-0.28,2.22,,,,2,7,Bot,51.67,103.89,,,,,1.1073051793707154,-138.83491099532347,-8.902065247252223,-10.484897444438992,33.01046489473994,-9.504901547598402,3.22,1.54,298.0,98.3,50.0,94.8,2250.0,6.1,776877,668939,691723,702616,676059,683002,681297,666185,669236,54.44,0.001,0.0,0.0,1.0,0,0,3.0,59,4,4-Seam Fastball,11,3,11,3,3,11,11,3,Standard,Standard,196.0,-0.001,-0.298,79.3,7.8,0.001,0.298,98.3,8,8,0.999,0.999,29,31,30,31,1,3,6.0,1.0,1.0,2.0,0.9,0.79,0.79,66.2,17.564687866198796,-18.57203769831704,26.99730556515122,32.41890961992725,36.08645103748576
FS,2025-08-03,87.2,-0.83,6.03,"Cowser, Colton",673548,687064,field_out,hit_into_play,,,,,2.0,Seiya Suzuki flies out to left fielder Colton Cowser. Michael Busch to 3rd.,R,R,R,CHC,BAL,X,7,fly_ball,2,1,2025,-0.99,0.48,0.17,2.66,,683737.0,663656.0,1,5,Bot,91.18,66.33,,,,,4.492075174499033,-127.06807745910292,-3.058277718466015,-11.65247621029824,21.73080845878949,-26.555902012159603,3.15,1.4,341.0,102.5,37.0,88.7,1368.0,6.8,776888,656577,691723,702616,676059,683002,681297,666185,669236,53.71,0.394,0.782,0.0,1.0,0,0,5.0,44,4,Split-Finger,2,2,2,2,2,2,2,2,Standard,Standard,216.0,-0.047,-0.277,78.1,7.3,1.501,0.277,102.5,0,0,0.613,0.613,26,30,27,31,3,2,5.0,1.0,6.0,1.0,2.47,0.99,0.99,53.2,8.075422606765844,-5.488116542077965,26.89573339884909,39.41329496599212,35.24875893862702
FC,2025-08-02,88.4,-2.41,6.04,"Cowser, Colton",663656,608372,field_out,hit_into_play,,,,,4.0,Kyle Tucker flies out to left fielder Colton Cowser in foul territory.,R,L,R,CHC,BAL,X,7,fly_ball,2,1,2025,-0.04,0.48,-0.28,2.7,,,,1,3,Bot,40.88,120.76,,,,,5.241946716861984,-128.79969221996794,-3.115629688873571,-1.4225191458495856,24.96712594778938,-26.34522831208035,3.49,1.61,285.0,88.3,43.0,88.4,2394.0,6.1,776902,668939,691723,702616,676059,676679,681297,666185,669236,54.41,0.001,0.0,0.0,1.0,0,0,3.0,21,4,Cutter,2,0,2,0,0,2,2,0,Infield shade,Standard,190.0,-0.011,-0.299,71.0,7.2,0.001,0.299,88.3,2,2,0.757,0.757,35,28,36,28,2,1,6.0,1.0,6.0,1.0,2.41,0.04,-0.04,43.2,4.625077290106486,2.5324447973096875,36.45826262042812,42.69106484548773,18.474543257663
SI,2025-08-02,93.5,-2.54,6.01,"Cowser, Colton",624512,608372,sac_fly,hit_into_play,,,,,5.0,Reese McGuire out on a sacrifice fly to left fielder Colton Cowser. Willi Castro scores.,R,L,R,CHC,BAL,X,7,fly_ball,3,1,2025,-1.35,0.9,-0.15,2.28,650489.0,663538.0,,1,2,Bot,48.42,97.09,,,,,9.088825555293733,-135.75288653008957,-5.821774726185007,-18.64654850386312,29.27551210753224,-19.862482104110256,3.4,1.66,317.0,90.8,34.0,93.1,2311.0,6.2,776902,668939,691723,702616,676059,676679,681297,666185,669236,54.34,0.029,0.038,0.0,1.0,0,0,3.0,15,5,Sinker,1,0,1,0,0,2,2,0,Strategic,Standard,214.0,0.008,-0.247,69.1,7.6,0.066,0.247,90.8,1,1,0.736,0.736,35,30,36,30,1,0,6.0,4.0,6.0,3.0,1.71,1.35,-1.35,38.6,2.909346958402524,6.725563804341523,37.48494938615456,39.28798766272557,23.081684058853668
FS,2025-08-02,88.0,-2.4,6.08,"Cowser, Colton",650489,608372,single,hit_into_play,,,,,13.0,Willi Castro singles on a line drive to left fielder Colton Cowser.,R,L,R,CHC,BAL,X,7,line_drive,0,1,2025,-0.58,0.32,-0.9,2.14,,664023.0,,1,2,Bot,84.18,106.31,,,,,4.821481481196251,-128.27373915607052,-4.242607462685552,-7.285464605172485,22.26786287030452,-28.025735480473,3.68,1.71,254.0,86.0,17.0,88.6,1350.0,6.2,776902,668939,691723,702616,676059,676679,681297,666185,669236,54.27,0.96,0.895,0.9,1.0,1,0,4.0,13,2,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,215.0,0.019,0.578,69.1,7.2,1.082,-0.578,88.0,0,0,0.571,0.571,35,28,36,28,1,0,6.0,3.0,6.0,1.0,2.57,0.58,-0.58,43.8,3.557647883491008,6.013042515537775,33.973910876948146,44.56862846244787,23.97745470586361
