pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-09-01,83.4,-1.7,5.68,"Fraley, Jake",807713,675911,double,hit_into_play,,,,,7.0,Matt Shaw doubles (19) on a line drive to left fielder Jake Fraley. Dansby Swanson scores.,R,R,R,CHC,ATL,X,7,line_drive,3,2,2025,0.47,0.21,-0.36,1.54,,,621020.0,0,5,Bot,34.9,92.19,,,,,2.1645412332822325,-121.47337950204748,-3.569976292831896,4.26395159048914,22.795511099291144,-29.62831540221889,3.23,1.48,311.0,101.9,17.0,84.5,2115.0,6.9,776506,686948,621566,645277,805373,669397,641584,671739,660670,53.64,0.437,0.504,1.25,1.0,1,1,5.0,45,8,Slider,1,6,1,6,6,2,2,6,Standard,Standard,174.0,0.07,0.659,71.1,6.9,0.769,-0.659,101.9,-5,-5,0.09,0.09,26,23,27,24,2,1,7.0,1.0,8.0,1.0,3.05,-0.47,-0.47,40.0,7.4806241573519054,-13.122908622826886,34.53962701962565,29.538866156949297,39.16605382210327
FF,2025-09-01,94.9,-1.64,5.79,"Fraley, Jake",691718,675911,field_out,hit_into_play,,,,,5.0,Pete Crow-Armstrong flies out to left fielder Jake Fraley.,R,L,R,CHC,ATL,X,7,fly_ball,0,0,2025,-1.02,1.2,0.04,2.07,,,608348.0,2,4,Bot,73.84,110.68,,,,,6.729104712931828,-137.8153518991364,-6.726873913920644,-14.516254792475827,34.17807147105668,-15.509547524602135,3.09,1.42,255.0,94.2,48.0,95.2,2327.0,6.8,776506,686948,621566,645277,805373,669397,641584,671739,660670,53.65,0.003,0.003,0.0,1.0,0,0,3.0,36,1,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shade,Standard,213.0,-0.029,-0.272,76.5,7.1,0.003,0.272,94.2,-2,-2,0.268,0.268,26,23,27,23,2,1,7.0,1.0,8.0,4.0,1.36,1.02,-1.02,41.3,7.240637045405129,0.3410265974764159,36.18100503357016,35.83668781556788,36.77429593614395
FF,2025-09-01,95.4,-1.55,5.82,"Fraley, Jake",683737,675911,field_out,hit_into_play,,,,,2.0,Michael Busch lines out to left fielder Jake Fraley.,R,L,R,CHC,ATL,X,7,line_drive,1,2,2025,-0.83,1.28,0.16,2.86,,,807713.0,1,3,Bot,73.44,108.92,,,,,6.411013517071434,-138.73464513183265,-5.052792504196439,-12.136785516063709,31.43074694928281,-14.679764206422604,3.3,1.55,274.0,91.1,20.0,96.1,2306.0,6.8,776506,686948,621566,645277,805373,669397,641584,671739,660670,53.74,0.354,0.334,0.0,1.0,0,0,4.0,26,4,4-Seam Fastball,0,3,0,3,3,0,0,3,Infield shade,Standard,210.0,-0.029,-0.179,62.9,5.5,0.452,0.179,91.1,-3,-3,0.227,0.227,26,27,27,28,2,1,7.0,1.0,8.0,1.0,1.23,0.83,-0.83,42.8,-0.4503552453659315,15.432206461081169,36.07334399706529,32.850092355431414,20.94845942763446
SL,2025-09-01,86.4,-1.86,5.92,"Fraley, Jake",608348,605154,single,hit_into_play,,,,,4.0,Carson Kelly singles on a line drive to left fielder Jake Fraley. Seiya Suzuki scores.,R,R,R,CHC,ATL,X,7,line_drive,0,0,2025,0.49,0.56,-0.28,2.37,673548.0,,,2,10,Bot,28.3,99.8,,,,,2.7746589806358672,-125.8286431248219,-3.406162229340361,4.653098164703114,24.83158430440214,-25.72744906968544,3.43,1.66,305.0,104.0,17.0,86.6,2635.0,6.3,776506,669221,621566,645277,805373,660644,641584,671739,660670,54.16,0.469,0.565,0.9,1.0,1,0,5.0,88,1,Slider,6,6,6,6,6,7,7,6,Standard,Standard,163.0,0.372,0.73,71.8,7.3,0.884,-0.73,104.0,0,0,0.628,0.628,35,30,35,31,1,4,1.0,2.0,5.0,1.0,2.48,-0.49,-0.49,39.5,17.03920160745483,-20.085815513579668,29.954991584758613,34.83405799742333,39.48831742634738
FF,2025-09-01,95.3,-1.32,5.93,"Fraley, Jake",621020,676702,double,hit_into_play,,,,,7.0,Dansby Swanson doubles (20) on a sharp line drive to left fielder Jake Fraley. Nico Hoerner scores. Pete Crow-Armstrong scores.,R,R,R,CHC,ATL,X,7,line_drive,2,1,2025,-0.34,1.33,-0.32,1.89,,663538.0,691718.0,2,6,Bot,98.21,77.04,,,,,3.408616104862947,-138.64921269812248,-8.033017619184283,-5.113258253660097,30.189045753042294,-13.464417384439844,3.59,1.68,191.0,108.7,9.0,95.9,2593.0,6.6,776506,686948,621566,645277,805373,669397,641584,671739,660670,53.89,0.8,0.8,1.25,1.0,1,1,4.0,56,4,4-Seam Fastball,2,6,2,6,6,4,4,6,Standard,Standard,206.0,0.137,0.992,74.9,7.5,1.023,-0.992,108.7,-4,-4,0.085,0.085,28,31,29,31,1,2,2.0,1.0,13.0,1.0,1.18,0.34,0.34,32.5,12.692159643873442,1.9005159371930365,41.16409743204496,32.366342602452534,28.811010849240265
FF,2025-09-01,97.1,-1.22,5.91,"Fraley, Jake",608348,676702,field_out,hit_into_play,,,,,5.0,Carson Kelly lines out to left fielder Jake Fraley.,R,R,R,CHC,ATL,X,7,line_drive,3,2,2025,-0.49,1.33,-0.13,2.4,,,663538.0,1,6,Bot,63.29,90.67,,,,,4.06469043726011,-141.26335389893177,-6.939506116884166,-7.532374089923016,31.143175950025647,-12.951325367739988,3.43,1.66,325.0,94.5,23.0,97.5,2542.0,6.4,776506,686948,621566,645277,805373,669397,641584,671739,660670,54.06,0.163,0.199,0.0,1.0,0,0,3.0,54,7,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,208.0,-0.023,-0.319,74.8,7.2,0.317,0.319,94.5,-4,-4,0.091,0.091,28,30,29,31,1,2,2.0,2.0,13.0,1.0,1.08,0.49,0.49,36.1,17.84213639246543,-15.726116432394646,32.68596772565039,36.16893326775648,38.826698724829406
SL,2025-09-01,84.2,-2.03,5.91,"Fraley, Jake",673548,605154,field_out,hit_into_play,,,,,9.0,Seiya Suzuki flies out to left fielder Jake Fraley.,R,R,R,CHC,ATL,X,7,fly_ball,3,2,2025,0.32,0.21,0.49,1.86,,,807713.0,2,9,Bot,61.77,115.52,,,,,5.238176694397269,-122.56924821762946,-3.495024759416294,2.274442005623213,22.838857780988107,-29.576785719884263,3.22,1.43,258.0,75.0,33.0,84.7,2721.0,6.5,776506,669221,621566,645277,805373,669397,641584,671739,660670,54.03,0.189,0.17,0.0,1.0,0,0,3.0,82,7,Slider,6,6,6,6,6,6,6,6,Standard,Standard,135.0,-0.063,-0.296,71.4,8.5,0.21,0.296,88.0,0,0,0.563,0.563,35,30,35,31,1,4,1.0,1.0,5.0,1.0,2.99,-0.32,-0.32,38.3,22.20430167735458,-26.080053590214,30.696152780774465,41.1644090705843,49.1002966677589
SL,2025-09-01,83.6,-1.75,5.77,"Fraley, Jake",673548,675911,single,hit_into_play,,,,,8.0,Seiya Suzuki singles on a line drive to left fielder Jake Fraley.,R,R,R,CHC,ATL,X,7,line_drive,2,1,2025,0.46,0.11,0.21,1.58,,,,2,1,Bot,73.61,102.77,,,,,3.664876644158584,-121.80070931392036,-3.5457042152593576,3.8546376201081047,23.123334832275862,-30.561282394207527,3.22,1.43,218.0,99.0,11.0,84.8,2264.0,6.9,776506,686948,621566,645277,805373,669397,641584,671739,660670,53.56,0.86,0.825,0.9,1.0,1,0,4.0,9,4,Slider,0,1,0,1,1,0,0,1,Standard,Standard,153.0,0.014,0.291,69.7,7.8,1.022,-0.291,99.0,-1,-1,0.402,0.402,26,30,27,31,1,0,7.0,1.0,8.0,1.0,3.13,-0.46,-0.46,43.3,14.966551622863811,-10.40507566711578,35.49807404380137,39.03702997892981,37.5200285691588
FF,2025-09-01,96.5,-1.98,5.97,"Fraley, Jake",664023,572955,single,hit_into_play,,,,,2.0,Ian Happ singles on a fly ball to left fielder Jake Fraley.,R,L,R,CHC,ATL,X,7,fly_ball,1,2,2025,-0.94,1.16,0.08,3.06,,,,0,8,Bot,89.62,122.37,,,,,7.5367252114256145,-140.31195330854842,-4.778573360744091,-14.063099194690356,31.69418873316233,-15.886508916060762,3.65,1.68,215.0,71.0,31.0,95.5,2437.0,5.8,776506,686948,621566,645277,805373,669397,641584,671739,660670,54.75,0.711,0.64,0.9,1.0,1,0,4.0,69,4,4-Seam Fastball,4,6,4,6,6,4,4,6,Infield shade,Standard,226.0,0.078,0.508,69.1,5.9,0.732,-0.508,88.0,-2,-2,0.156,0.156,34,30,34,31,1,3,2.0,1.0,5.0,1.0,1.29,0.94,-0.94,33.0,-0.7045297046489735,11.147333606306754,29.023123606879174,34.48008156780635,22.578221264631704
SL,2025-09-01,85.7,-1.66,5.86,"Fraley, Jake",807713,605154,single,hit_into_play,,,,,14.0,Matt Shaw singles on a line drive to left fielder Jake Fraley.,R,R,R,CHC,ATL,X,7,line_drive,0,2,2025,0.6,0.23,1.18,1.88,,,,0,9,Bot,96.29,107.04,,,,,5.517599985744052,-124.7907820593721,-3.68735224276239,5.3062893851517,23.11374703554734,-29.236204235891886,3.23,1.48,242.0,73.6,22.0,86.3,2802.0,6.4,776506,669221,621566,645277,805373,669397,641584,671739,660670,54.05,0.983,0.891,0.9,1.0,1,0,4.0,79,3,Slider,6,6,6,6,6,6,6,6,Standard,Standard,129.0,0.074,0.533,68.8,7.6,1.047,-0.533,88.0,0,0,0.634,0.634,35,23,35,24,1,3,1.0,1.0,5.0,1.0,2.85,-0.6,-0.6,38.0,13.758619261424911,-8.21309594899743,26.35473940758497,47.09668112626734,40.963877820171405
