pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-27,94.3,-2.29,5.89,"Greene, Riley",677800,672456,field_out,hit_into_play,,,,,5.0,Wilyer Abreu flies out to left fielder Riley Greene.,R,L,R,BOS,DET,X,7,fly_ball,0,0,2025,-0.54,1.46,-0.27,2.38,,,,0,3,Bot,74.74,82.58,,,,,6.472916105036207,-137.02164335113036,-6.600060208107832,-8.421043912083315,34.60625615579288,-12.552630314680025,3.45,1.62,316.0,90.5,31.0,93.8,2339.0,6.4,776157,693307,679529,650402,628451,595879,682985,678009,672761,54.09,0.063,0.081,0.0,1.0,0,0,3.0,21,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,215.0,-0.02,-0.259,76.7,6.9,0.136,0.259,90.5,1,1,0.673,0.673,24,26,25,26,2,1,7.0,1.0,7.0,1.0,1.14,0.54,-0.54,42.5,5.020437278311996,9.904093266581318,34.5825888428723,37.63017546977908,24.245913438632197
SV,2025-09-26,83.0,-2.53,5.57,"Greene, Riley",678882,663554,double,hit_into_play,,,,,8.0,Ceddanne Rafaela doubles (33) on a fly ball to left fielder Riley Greene. Masataka Yoshida to 3rd.,R,R,R,BOS,DET,X,7,fly_ball,0,1,2025,0.78,-0.38,-0.12,1.71,,,807799.0,1,7,Bot,29.62,93.91,,,,,4.028687706001931,-120.85578622456664,-1.5918718529557212,6.806620212389596,25.013853797783867,-35.73606180323564,3.47,1.6,349.0,95.4,28.0,83.8,2233.0,6.9,776181,693307,679529,650402,628451,595879,682985,678009,672761,53.58,0.171,0.282,1.25,1.0,1,1,5.0,57,2,Slurve,1,3,1,3,3,1,1,3,Standard,Standard,47.0,0.148,0.831,78.4,8.3,0.51,-0.831,95.4,-2,-2,0.216,0.216,28,24,28,25,3,2,5.0,1.0,5.0,1.0,3.7,-0.78,-0.78,38.1,17.118976044267693,-18.772778328151567,35.00814825051267,34.496274537256944,46.16867471946754
FF,2025-09-26,93.7,-1.9,5.89,"Greene, Riley",807799,663554,single,hit_into_play,,,,,12.0,Masataka Yoshida singles on a line drive to left fielder Riley Greene.,R,L,R,BOS,DET,X,7,line_drive,1,1,2025,-0.53,1.52,0.1,3.45,,,,0,7,Bot,68.5,125.8,,,,,6.406833780464713,-136.38552950771071,-4.008626685817907,-8.01868950139749,29.479361379919965,-12.44839515002758,3.27,1.44,141.0,82.6,10.0,94.9,2245.0,6.9,776181,693307,679529,650402,628451,595879,682985,678009,672761,53.55,0.454,0.409,0.9,1.0,1,0,4.0,55,3,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,213.0,0.067,0.447,64.0,5.6,0.48,-0.447,88.0,-2,-2,0.209,0.209,28,31,28,32,3,2,5.0,1.0,5.0,1.0,1.07,0.53,-0.53,47.4,1.3642573587725122,34.786962616108774,27.7586779535221,31.114032875880405,16.80778172962748
SI,2025-09-26,94.8,-2.08,5.75,"Greene, Riley",665966,663554,field_out,hit_into_play,,,,,13.0,Carlos Narváez flies out to left fielder Riley Greene.,R,R,R,BOS,DET,X,7,fly_ball,0,1,2025,-1.06,1.4,-1.1,1.82,,,,0,3,Bot,96.89,77.35,,,,,4.983720036177665,-137.81144390850986,-7.780520651721436,-14.679130925739289,31.894126140936685,-12.814051170641626,3.54,1.61,309.0,83.7,39.0,95.6,2404.0,6.9,776181,693307,679529,650402,628451,595879,682985,678009,672761,53.58,0.02,0.03,0.0,1.0,0,0,3.0,23,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,215.0,-0.025,-0.22,78.5,7.9,0.048,0.22,88.0,0,0,0.554,0.554,28,26,28,27,1,0,5.0,2.0,5.0,1.0,1.15,1.06,1.06,45.4,13.81146403004582,-9.603168497254872,41.93474651790788,24.50401102177656,40.25809211014662
SI,2025-09-26,95.1,-2.08,5.79,"Greene, Riley",663993,663554,double,hit_into_play,,,,,1.0,Nathaniel Lowe doubles (22) on a fly ball to left fielder Riley Greene. Masataka Yoshida to 3rd.,R,L,R,BOS,DET,X,7,fly_ball,0,0,2025,-1.0,1.44,-0.47,3.29,,,807799.0,2,2,Bot,36.33,92.94,,,,,6.5503994278687445,-138.24258220021903,-4.132996284354581,-14.277560859477765,33.573952959778744,-13.067878840347271,3.52,1.64,342.0,96.7,33.0,95.9,2355.0,7.0,776181,693307,679529,650402,628451,595879,682985,678009,672761,53.51,0.206,0.365,1.25,1.0,1,1,5.0,17,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,219.0,0.036,0.918,69.0,6.9,0.69,-0.918,96.7,0,0,0.524,0.524,28,29,28,30,1,0,5.0,1.0,5.0,1.0,1.11,1.0,-1.0,45.2,6.88007335404823,17.393023670445004,25.40313316444035,42.6819569883226,21.470264314582813
FF,2025-09-26,96.6,-1.85,5.66,"Greene, Riley",680776,640448,single,hit_into_play,,,,,4.0,Jarren Duran singles on a sharp line drive to left fielder Riley Greene. Nate Eaton scores.,R,L,R,BOS,DET,X,7,line_drive,3,1,2025,-0.64,1.52,-0.3,2.87,681987.0,,,0,8,Bot,78.68,99.49,,,,,5.6267291121405805,-140.48026075281206,-5.378861341950805,-9.738634338474313,31.988726604971816,-11.052522167158935,3.51,1.65,221.0,101.8,10.0,97.3,2273.0,6.7,776181,693307,679529,650402,628451,595879,682985,678009,672761,53.78,0.834,0.816,0.9,1.0,1,0,4.0,64,5,4-Seam Fastball,2,3,2,3,3,3,3,3,Strategic,Standard,207.0,0.112,0.319,69.2,6.4,1.04,-0.319,101.8,-1,-1,0.557,0.557,33,28,34,29,1,3,1.0,1.0,5.0,2.0,0.93,0.64,-0.64,54.5,-5.537529149370119,20.489810563036222,25.106047183359557,40.31808570515986,20.787490269186627
FS,2025-09-26,84.1,-2.53,5.6,"Greene, Riley",665966,640448,single,hit_into_play,,,,,11.0,Carlos Narváez singles on a line drive to left fielder Riley Greene.,R,R,R,BOS,DET,X,7,line_drive,2,2,2025,-1.0,-0.2,-0.97,3.03,,,,0,8,Bot,108.74,84.18,,,,,5.63944922757947,-122.34947398665246,0.8487165493327726,-11.161591543597016,24.46324458372952,-34.536740869455784,3.54,1.61,262.0,78.0,24.0,84.5,868.0,6.6,776181,693307,679529,650402,628451,595879,682985,678009,672761,53.91,0.674,0.607,0.9,1.0,1,0,4.0,63,6,Split-Finger,2,3,2,3,3,2,2,3,Standard,Standard,243.0,0.098,0.465,72.5,6.7,0.736,-0.465,88.0,-1,-1,0.297,0.297,33,26,34,27,1,2,1.0,2.0,5.0,1.0,3.42,1.0,1.0,50.2,11.288652338352671,3.0114312300668966,26.36196696547832,26.822139695454187,33.39154174854235
SL,2025-09-25,82.6,-1.5,5.64,"Greene, Riley",672356,675512,field_out,hit_into_play,,,,,3.0,Gabriel Arias flies out to left fielder Riley Greene.,R,R,R,CLE,DET,X,7,fly_ball,1,1,2025,0.76,-0.05,0.5,3.51,,,,0,4,Bot,63.94,80.47,,,,,3.10862290359969,-120.28531156865704,1.734707571818752,6.869458861286642,21.69148891656061,-33.21021307492816,3.5,1.57,330.0,87.9,32.0,83.7,2454.0,6.8,776189,693307,679529,650402,628451,595879,682985,678009,672761,53.7,0.029,0.035,0.0,1.0,0,0,3.0,31,3,Slider,1,4,1,4,4,1,1,4,Standard,Standard,79.0,-0.023,-0.251,75.5,8.0,0.058,0.251,88.0,-3,-3,0.203,0.203,24,25,25,25,2,1,5.0,1.0,6.0,1.0,3.37,-0.76,-0.76,41.0,17.467237504153548,-11.969757140004672,20.815247166764024,50.07316770428722,43.42009145512902
SL,2025-09-25,88.7,-1.75,5.52,"Greene, Riley",671655,675512,field_out,hit_into_play,,,,,7.0,George Valera lines out to left fielder Riley Greene.,R,L,R,CLE,DET,X,7,line_drive,2,1,2025,0.55,-0.1,-0.34,1.8,,,595978.0,1,3,Bot,75.71,82.87,,,,,2.3081698980766188,-129.22130366304884,-2.8880974883287456,5.773810096623293,24.83710994186202,-32.97673626187889,3.44,1.56,314.0,94.2,20.0,89.6,2433.0,6.6,776189,693307,679529,650402,628451,595879,682985,678009,672761,53.89,0.306,0.335,0.0,1.0,0,0,4.0,24,4,Slider,1,3,1,3,3,1,1,3,Infield shade,Standard,118.0,-0.033,-0.297,68.3,6.6,0.528,0.297,94.2,-2,-2,0.321,0.321,24,24,25,25,2,1,5.0,1.0,6.0,1.0,2.98,-0.55,0.55,38.5,-0.1933723409121763,8.671307946867076,25.859389890902232,41.39910312652993,29.744698453724855
FF,2025-09-25,96.0,-1.57,5.58,"Greene, Riley",595978,675512,single,hit_into_play,,,,,5.0,Austin Hedges singles on a line drive to left fielder Riley Greene.,R,R,R,CLE,DET,X,7,line_drive,0,0,2025,-0.37,1.24,-0.2,2.13,,,,0,3,Bot,56.14,106.56,,,,,4.512919873305753,-139.7467950728738,-6.433149295151798,-5.787434447603001,29.145525985014864,-14.667281417881169,3.29,1.49,245.0,95.4,13.0,97.4,2233.0,6.9,776189,693307,679529,650402,628451,595879,682985,678009,672761,53.62,0.937,0.894,0.9,1.0,1,0,4.0,22,1,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,217.0,0.044,0.439,76.5,7.7,1.109,-0.439,95.4,-2,-2,0.317,0.317,24,32,25,33,1,0,5.0,2.0,6.0,2.0,1.22,0.37,0.37,36.6,5.999952518425839,-12.00951309906238,31.185660006935283,35.444300178515874,41.21394322230192
