pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-09-01,87.7,-2.04,4.85,"Hampson, Garrett",668709,688297,field_out,hit_into_play,,,,,8.0,JJ Bleday flies out to left fielder Garrett Hampson.,R,L,R,STL,ATH,X,7,fly_ball,2,2,2025,0.39,-0.19,-0.01,2.09,,,,1,9,Top,76.4,65.94,,,,,4.171710864452214,-127.6912998829628,-0.1270119451555184,3.438688241777545,26.402112010447773,-34.43181130755697,3.41,1.67,351.0,98.6,37.0,89.0,2317.0,7.1,776497,686780,575929,693409,669357,695336,641658,701675,691023,53.4,0.183,0.355,0.0,1.0,0,0,5.0,76,5,Cutter,2,11,11,2,11,2,11,2,Infield shade,Standard,90.0,0.0,-0.228,71.1,7.2,0.688,0.228,98.6,-9,9,0.001,0.999,28,27,28,28,1,4,82.0,1.0,4.0,1.0,3.15,-0.39,0.39,17.8,8.859571706276993,6.0949427988742295,34.72566966595802,41.22761333769039,24.9242415448478
SL,2025-08-09,86.8,-1.97,5.99,"Hampson, Garrett",663538,681676,field_out,hit_into_play,,,,,4.0,Nico Hoerner flies out to left fielder Garrett Hampson.,R,R,R,STL,CHC,X,7,fly_ball,0,1,2025,0.16,0.07,-0.7,2.34,,,,1,7,Top,63.14,119.25,,,,,2.723902854310847,-126.46972688543912,-2.724832446699537,1.1367690265718329,25.846527173815037,-31.03336450607366,3.4,1.59,261.0,74.2,35.0,86.7,2852.0,6.1,776818,650968,676475,695336,669357,691026,641658,663457,691023,54.35,0.277,0.29,0.0,1.0,0,0,3.0,57,2,Slider,1,9,9,1,9,1,9,1,Standard,Standard,76.0,0.0,-0.216,68.1,7.6,0.379,0.216,88.0,-8,8,0.004,0.996,27,28,27,28,1,3,4.0,1.0,3.0,1.0,2.94,-0.16,-0.16,57.7,9.315926993859994,-14.538378308776704,32.74744113105502,28.49777753592038,37.07783263661146
SI,2025-08-08,97.3,-1.62,5.6,"Hampson, Garrett",673548,694335,single,hit_into_play,,,,,7.0,Seiya Suzuki singles on a sharp line drive to left fielder Garrett Hampson.,R,R,R,STL,CHC,X,7,line_drive,2,2,2025,-1.05,0.81,-0.39,1.86,,,,0,8,Top,85.76,77.96,,,,,5.755030370771063,-141.5448082596793,-6.4379598329643954,-15.436930009709911,31.21873673342228,-20.005981564392496,3.16,1.39,276.0,102.3,13.0,98.1,2369.0,6.7,776826,686780,575929,680977,695336,691026,641658,687363,691023,53.81,0.897,0.88,0.9,1.0,1,0,4.0,60,5,Sinker,5,0,0,5,0,5,0,5,Standard,Standard,223.0,-0.012,0.465,77.7,7.4,1.145,-0.465,102.3,5,-5,0.985,0.015,26,30,26,31,1,3,3.0,2.0,4.0,1.0,1.59,1.05,1.05,28.8,5.739967332820367,-3.2955864570790503,36.58549690764758,32.43220696463871,32.669504169976804
FF,2025-07-10,95.3,-1.98,5.81,"Hampson, Garrett",671277,681517,field_out,hit_into_play,,,,,12.0,Luis García Jr. lines out to left fielder Garrett Hampson.,R,L,R,STL,WSH,X,7,line_drive,2,2,2025,0.14,1.17,0.26,3.74,,,,1,9,Top,59.19,118.43,,,,,5.6488219171162255,-138.6979811544683,-2.492290869592149,0.6011803003178685,29.624424039493213,-16.65266841992589,3.53,1.65,260.0,81.4,25.0,97.0,2294.0,7.1,777167,650968,575929,680977,571448,691026,641658,687363,676475,53.38,0.326,0.293,0.0,1.0,0,0,3.0,67,5,4-Seam Fastball,8,1,1,8,1,8,1,8,Infield shade,Standard,192.0,0.0,-0.228,65.1,6.0,0.392,0.228,88.0,7,-7,0.999,0.001,28,25,28,25,1,3,4.0,2.0,8.0,1.0,1.33,-0.14,0.14,46.1,1.1312441926795074,19.335365223846928,19.3743037618431,35.526921875075814,20.35160626311752
SI,2025-06-11,94.2,3.64,5.18,"Hampson, Garrett",682657,666157,single,hit_into_play,,,,,4.0,Angel Martínez singles on a line drive to left fielder Garrett Hampson.,R,R,L,CLE,CIN,X,7,line_drive,2,1,2025,1.53,0.35,-0.47,2.5,,,,0,3,Bot,89.93,109.63,,,,,-14.072662245811976,-136.51407449044976,-2.0242980005310565,22.22517471007636,28.870958527951544,-27.548501531794,3.22,1.43,189.0,68.7,20.0,94.4,2268.0,6.5,777549,624431,687952,680574,669289,682829,641658,670770,656582,53.96,0.843,0.764,0.9,1.0,1,0,4.0,19,4,Sinker,1,0,1,0,0,1,1,0,Infield shade,Standard,109.0,0.032,0.393,70.4,6.9,0.883,-0.393,88.0,1,1,0.673,0.673,27,23,27,23,1,0,5.0,1.0,7.0,3.0,2.23,1.53,-1.53,15.1,2.0173279489439127,3.5060372198658123,33.83661840188625,26.93647034188553,34.023832699882426
CU,2025-06-11,82.9,3.54,5.35,"Hampson, Garrett",608070,666157,double,hit_into_play,,,,,4.0,José Ramírez doubles (15) on a fly ball to left fielder Garrett Hampson. David Fry scores.,R,R,L,CLE,CIN,X,7,fly_ball,2,1,2025,-0.82,0.28,-0.38,2.72,,,681807.0,1,1,Bot,26.85,97.47,,,,,-7.321731138542413,-120.58265486972606,-0.0813917885199072,-6.614517338521614,23.235753579814084,-29.630283816649577,3.4,1.56,348.0,96.4,29.0,82.6,2612.0,6.1,777549,624431,687952,680574,669289,682829,641658,670770,656582,54.43,0.246,0.404,1.25,1.0,1,1,5.0,7,4,Curveball,0,0,0,0,0,1,1,0,Standard,Standard,298.0,0.116,0.749,76.1,7.4,0.731,-0.749,96.4,0,0,0.55,0.55,27,32,27,33,1,0,5.0,1.0,7.0,2.0,3.04,-0.82,0.82,16.8,13.552313367604777,-16.035705049210613,21.59149448469591,31.76546661691032,41.45650459995776
CH,2025-06-11,86.5,3.03,5.13,"Hampson, Garrett",671286,686747,double,hit_into_play,,,,,8.0,Johnathan Rodríguez doubles (1) on a sharp line drive to left fielder Garrett Hampson.,R,R,L,CLE,CIN,X,7,line_drive,0,2,2025,1.07,0.43,0.07,2.09,,,,0,6,Bot,51.95,120.03,,,,,-9.269544364032155,-125.62516082880872,-1.9270515341157288,13.20500152922173,24.45828869122464,-27.389507202611576,3.44,1.65,182.0,111.1,10.0,86.8,1533.0,6.5,777549,624431,687952,680574,669289,682829,641658,670770,656582,54.03,0.909,0.908,1.25,1.0,1,1,5.0,47,4,Changeup,7,2,7,2,2,7,7,2,Standard,Standard,114.0,0.006,0.81,81.7,8.7,1.186,-0.81,111.1,5,5,0.977,0.977,27,25,27,26,1,2,4.0,1.0,19.0,4.0,2.62,1.07,-1.07,25.7,13.50590925424018,-15.269881572879726,33.996803278239106,38.35427725753405,44.71669867202728
SL,2025-06-02,89.1,-0.94,5.98,"Hampson, Garrett",668930,664139,field_out,hit_into_play,,,,,3.0,Brice Turang flies out to left fielder Garrett Hampson.,R,L,R,CIN,MIL,X,7,fly_ball,0,1,2025,0.36,0.36,0.51,2.93,,,,2,7,Top,41.65,110.77,,,,,2.825624646451876,-129.78237117280034,-2.262514475855448,3.5258847542007623,26.7825545265699,-27.88772081229923,3.34,1.57,301.0,91.6,39.0,90.1,2248.0,6.8,777671,624431,668715,666158,669289,682829,641658,670770,656582,53.67,0.023,0.026,0.0,1.0,0,0,3.0,54,2,Slider,2,3,3,2,3,2,3,2,Standard,Standard,130.0,0.012,-0.218,71.2,6.2,0.045,0.218,91.6,-1,1,0.342,0.658,31,25,32,26,1,3,5.0,1.0,7.0,1.0,2.51,-0.36,0.36,52.0,7.62480159826317,11.39021005415717,30.2042188630623,31.683098323374924,31.00681965997255
ST,2025-06-02,76.9,2.05,5.59,"Hampson, Garrett",592885,573124,field_out,hit_into_play,,,,,14.0,Christian Yelich flies out to left fielder Garrett Hampson.,R,L,L,CIN,MIL,X,7,fly_ball,2,2,2025,-1.62,-0.03,0.88,2.48,,,,2,8,Top,92.46,103.64,,,,,0.4511176002998829,-111.8901047151412,0.5438117125385047,-13.51247207498606,24.007954670257863,-32.785801793286616,3.42,1.74,254.0,77.1,39.0,75.3,3020.0,5.5,777671,624431,668715,666158,669289,682829,641658,670770,656582,54.96,0.066,0.075,0.0,1.0,0,0,3.0,61,6,Sweeper,2,3,3,2,3,2,3,2,Strategic,Standard,296.0,0.012,-0.224,68.6,6.8,0.102,0.224,88.0,-1,1,0.285,0.715,34,33,35,34,1,3,1.0,1.0,6.0,1.0,3.95,-1.62,-1.62,28.1,4.002909922596497,3.8747419637138822,40.76659310991032,28.49224229110637,27.173394009315462
FF,2025-05-28,98.3,-1.99,6.13,"Hampson, Garrett",663697,668881,single,hit_into_play,,,,,11.0,Jonathan India singles on a line drive to left fielder Garrett Hampson.,R,R,R,KC,CIN,X,7,line_drive,3,1,2025,-0.83,1.29,-0.34,3.69,,,,0,1,Bot,74.61,121.45,,,,,6.412583232442586,-142.90182594511788,-4.121075356980665,-12.874565484558527,34.35490341442734,-13.728623674009889,3.44,1.59,160.0,89.5,11.0,98.4,2446.0,6.5,777733,663886,668715,680574,669289,682829,641658,670770,656582,54.02,0.603,0.547,0.9,1.0,1,0,4.0,4,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,210.0,0.036,0.259,68.6,6.7,0.664,-0.259,89.5,0,0,0.547,0.547,25,28,26,29,1,0,5.0,1.0,6.0,2.0,1.08,0.83,0.83,40.9,19.466044420665224,-5.384982727951927,15.289939705514303,31.265671307944466,28.28060270469849
